 Time [ s ]     Force [ N ]
    0.00           19.13
    0.16           19.13
    0.32           19.14
    0.49           19.14
    0.64           19.16
    0.80           19.17
    0.96           19.17
    1.10           19.17
    1.27           19.17
    1.44           19.17
    1.60           19.17
    1.76           19.19
    1.93           19.18
    2.08           19.20
    2.25           19.21
    2.41           19.20
    2.62           19.22
    2.87           19.22
    3.01           19.22
    3.18           19.23
    3.32           19.24
    3.48           19.23
    3.63           19.24
    3.80           19.24
    3.93           19.24
    4.12           19.26
    4.32           19.25
    4.46           19.24
    4.59           19.25
    4.76           19.27
    4.96           19.27
    5.15           19.27
    5.30           19.27
    5.46           19.28
    5.60           19.28
    5.77           19.28
    5.93           19.29
    6.08           19.29
    6.22           19.29
    6.40           19.30
    6.57           19.31
    6.75           19.30
    6.90           19.31
    7.06           19.31
    7.21           19.31
    7.42           19.32
    7.58           19.33
    7.71           19.34
    7.84           19.32
    7.99           19.33
    8.15           19.34
    8.27           19.33
    8.43           19.33
    8.59           19.33
    8.74           19.35
    8.90           19.35
    9.07           19.36
    9.22           19.36
    9.38           19.35
    9.55           19.37
    9.70           19.37
    9.86           19.37
   10.02           19.37
   10.18           19.37
   10.35           19.38
   10.53           19.38
   10.69           19.38
   10.85           19.38
   11.00           19.38
   11.16           19.39
   11.30           19.38
   11.46           19.40
   11.60           19.40
   11.75           19.39
   11.90           19.40
   12.09           19.40
   12.24           19.40
   12.41           19.40
   12.57           19.41
   12.71           19.42
   12.88           19.41
   13.04           19.41
   13.20           19.42
   13.35           19.41
   13.52           19.42
   13.68           19.43
   13.84           19.43
   14.00           19.43
   14.17           19.44
   14.34           19.43
   14.50           19.43
   14.67           19.44
   14.84           19.44
   14.98           19.45
   15.14           19.44
   15.30           19.44
   15.46           19.45
   15.61           19.46
   15.75           19.45
   15.91           19.46
   16.07           19.46
   16.24           19.45
   16.41           19.47
   16.56           19.46
   16.72           19.46
   16.88           19.47
   17.04           19.47
   17.19           19.48
   17.33           19.47
   17.49           19.46
   17.66           19.48
   17.81           19.47
   17.98           19.48
   18.15           19.48
   18.29           19.49
   18.46           19.49
   18.60           19.48
   18.77           19.49
   18.93           19.48
   19.10           19.49
   19.26           19.49
   19.43           19.50
   19.59           19.50
   19.75           19.49
   19.91           19.50
   20.08           19.50
   20.25           19.50
   20.41           19.50
   20.56           19.51
   20.71           19.51
   20.86           19.52
   21.01           19.52
   21.17           19.52
   21.32           19.51
   21.49           19.53
   21.65           19.52
   21.80           19.51
   21.96           19.52
   22.10           19.51
   22.26           19.53
   22.41           19.53
   22.57           19.53
   22.72           19.53
   22.89           19.53
   23.05           19.54
   23.21           19.53
   23.37           19.54
   23.53           19.54
   23.70           19.55
   23.85           19.55
   24.00           19.54
   24.18           19.55
   24.33           19.55
   24.49           19.55
   24.66           19.55
   24.81           19.55
   24.98           19.55
   25.14           19.57
   25.30           19.57
   25.48           19.56
   25.62           19.55
   25.81           19.56
   25.95           19.56
   26.11           19.56
   26.28           19.57
   26.44           19.57
