Shift_mm,TendonAdded_mm,Objective,MinTorqueMargin_pct,MeanTorqueShortfall_pct,MinTibiaClearance_mm,MinFemurClearance_mm,ReachViolation_mm,CollisionFeasible,ReachFeasible,StrainFeasible,AllFeasible
0,0,0.0663137947823041,-5.03638796272101,1.15532477741085,1.51239234273369,1.499473787592,0.0100259745101638,1,0,1,0
-1,0,0.0746021356565766,-5.21760021714464,1.18747916713363,1.51369191887471,1.49947328971408,0.0928591061889472,1,0,1,0
-2,0,0.0997973492715863,-5.60068843953359,1.27912969711827,1.51501322581959,1.49947279197885,0.175692238508995,1,0,1,0
-3,0,0.141919542384082,-6.17455040749925,1.42466342278935,1.516313171471,1.49947229438625,0.258525371469753,1,0,1,0
-4,0,0.201237490785513,-6.92185475515791,1.62496957296262,1.51763181684015,1.49947179693622,0.341358505071443,1,0,1,0
-5,0,0.278166618443939,-7.83221824821415,1.87695664386623,1.51894403243445,1.4994712996287,0.424191639313398,1,0,1,0
-6,0,0.373200319181397,-8.88697473527955,2.17981690206221,1.52024207603879,1.49947080246362,0.507024774195508,1,0,1,0
-7,0,0.486871374117173,-10.0820314819224,2.53352380965869,1.52156285503031,1.49947030544093,0.589857909717439,1,0,1,0
-8,0,0.619687096987747,-11.3922970439628,2.93743726879196,1.5228599560745,1.49946980856056,0.67269104587897,1,0,1,0
-9,0,0.772162002220042,-12.8264093307066,3.38990787738085,1.52417925870828,1.49946931182245,0.755524182679768,1,0,1,0
-10,0,0.944742531819308,-14.3654667749895,3.8885657996783,1.52547673440852,1.49946881522655,0.838357320119609,1,0,1,0
-11,0,1.13784391549458,-16.0023842826087,4.43634589979803,1.52679336672074,1.49946831877279,0.921190458198273,1,0,1,0
-12,0,1.35183562922085,-17.7318321840795,5.02866245012725,1.52809262051214,1.51011587859702,1.0040235969152,1,0,1,0
-13,0,1.58702821723454,-19.5482000317214,5.66322124210989,1.52940547363841,1.56421167007504,1.08685673627051,1,0,1,0
-14,0,1.8436821879754,-21.4455699600865,6.33851047381298,1.53070799511739,1.66392307735037,1.16968987626365,1,0,1,0
-15,0,2.1220104607783,-23.4175986527382,7.05220097438904,1.53201604523488,1.80885478531278,1.2525230168946,1,0,1,0
-16,0,2.42218261697464,-25.4575764174922,7.80084406627201,1.53438196397499,1.99825931328385,1.33535615816271,1,0,1,0
-17,0,2.74432331242752,-27.5584637522655,8.59337944748901,1.54812682345099,2.23102514337059,1.41818930006798,1,0,1,0
-18,0,3.08851333038613,-29.7128847083853,9.41870423879152,1.57943918455858,2.50602096193681,1.50102244261019,1,0,1,0
-19,0,3.45481141338712,-31.9271087693142,10.2690899007291,1.62829524521079,2.82173602836279,1.58385558578877,1,0,1,0
-20,0,3.84325247865686,-34.1926112525362,11.1517152208172,1.69465883211405,3.17646642254234,1.66668872960385,1,0,1,0
-21,0,4.2538109835481,-36.4934481362415,12.0678245462443,1.77863387489363,3.5687039663236,1.74952187405486,1,0,1,0
-22,0,4.68648058626818,-38.8213344906722,12.9933036622425,1.88048917845723,3.99633965360706,1.83235501914147,1,0,1,0
-23,0,5.14119832898294,-41.1910781835119,13.9658499929356,2.00010980755036,4.45782481806981,1.91518816486369,1,0,1,0
-24,0,5.61791134216761,-43.5914889621544,14.934265834839,2.1373122879796,4.9510622772321,1.99802131122118,1,0,1,0
-25,0,6.11652253690619,-45.9998551587532,15.9484025260812,2.29165774269657,5.47422531852346,2.08085445821338,1,0,1,0
-26,0,6.6369601162227,-48.4306418242171,16.9609823821017,2.46295463322486,6.02576028848439,2.1636876058404,1,0,1,0
-27,0,7.17908162923563,-50.8819682834853,17.9597603821794,2.65107270918913,6.60341769021734,2.2465207541017,1,0,1,0
-28,0,7.74274404469467,-53.3209271717126,18.9445452363214,2.8558696567924,7.20602946903593,2.32935390299716,1,0,1,0
-29,0,8.32780543629557,-55.7816804434249,19.9151505617014,3.0771911585475,7.83173366902232,2.41218705252644,1,0,1,0
-30,0,8.93412606059669,-58.2335751594922,20.872430057592,3.31487095799514,8.47875629840764,2.49502020268932,1,0,1,0
