Shift_mm,TendonAdded_mm,Objective,MinTorqueMargin_pct,MeanTorqueShortfall_pct,MinTibiaClearance_mm,MinFemurClearance_mm,ReachViolation_mm,CollisionFeasible,ReachFeasible,StrainFeasible,AllFeasible
0,0.110025974510167,0.0688727825559399,-5.1753100834505,1.20312802068962,1.51238911116298,1.49948083249026,-0.099999999999989,1,1,1,1
-1,0.19285910618895,0.0707849527102596,-5.46977175101525,1.27432480607667,1.51369332284142,1.49948563659904,-0.099999999999989,1,1,1,1
-2,0.275692238508998,0.0762997092177179,-5.97881664222258,1.40778812861322,1.5150071083569,1.49949043933097,-0.099999999999989,1,1,1,1
-3,0.358525371469756,0.0856564561931048,-6.68359817796722,1.60160875295935,1.51631666859782,1.49949524068663,-0.099999999999989,1,1,1,1
-4,0.441358505071446,0.0993220619546525,-7.56629182530364,1.85346111798608,1.51762496830468,1.49950004066662,-0.099999999999989,1,1,1,1
-5,0.524191639313401,0.117884909934988,-8.61764112397159,2.16234076539627,1.51893961621202,1.49950483927154,-0.099999999999989,1,1,1,1
-6,0.607024774195511,0.141986253131834,-9.82793877766547,2.52697961079255,1.52024257874291,1.49950963650195,-0.099999999999989,1,1,1,1
-7,0.689857909717442,0.172282092730911,-11.1710322937967,2.95170073378942,1.52156205594089,1.49951443235847,-0.099999999999989,1,1,1,1
-8,0.772691045878973,0.209387191492913,-12.652308396353,3.42840717007816,1.52285983188904,1.49951922684168,-0.099999999999989,1,1,1,1
-9,0.85552418267977,0.253896884977466,-14.2482666627819,3.96125209223752,1.52418124730315,1.49952401995216,-0.099999999999989,1,1,1,1
-10,0.938357320119612,0.306333829212128,-15.9516272982319,4.54495591817378,1.52547662442612,1.49952881169052,-0.099999999999989,1,1,1,1
-11,1.02119045819828,0.367153889961792,-17.7572811627384,5.17846370661995,1.5267931784041,1.49953360205734,-0.099999999999989,1,1,1,1
-12,1.10402359691521,0.436762109786047,-19.6612806133712,5.86463451219339,1.5280928574875,1.51821774304512,-0.099999999999989,1,1,1,1
-13,1.18685673627052,0.515495637170745,-21.6593776610125,6.59641392958168,1.52940470535564,1.58308743596138,-0.099999999999989,1,1,1,1
-14,1.26968987626365,0.603628933586965,-23.739274361715,7.37170528696132,1.53070843664158,1.69417231205631,-0.099999999999989,1,1,1,1
-15,1.3525230168946,0.70138140829104,-25.8943428898828,8.18733902805988,1.53201573566181,1.85078553033382,-0.099999999999989,1,1,1,1
-16,1.43535615816272,0.808918326635347,-28.121584967285,9.05019832561066,1.53438196397499,2.05212472562448,-0.099999999999989,1,1,1,1
-17,1.51818930006799,0.926352618216051,-30.4174538058,9.95117681154282,1.54812682345099,2.29697438847183,-0.099999999999989,1,1,1,1
-18,1.60102244261019,1.05376168449814,-32.7714151372996,10.8834230460117,1.57943918455858,2.58399819615541,-0.099999999999989,1,1,1,1
-19,1.68385558578878,1.19119584241386,-35.1759147203437,11.8416766771395,1.62829524521079,2.91158320299743,-0.099999999999989,1,1,1,1
-20,1.76668872960385,1.33864694498099,-37.6231051700137,12.8492347352562,1.69465883211405,3.27813928501559,-0.099999999999989,1,1,1,1
-21,1.84952187405486,1.49609127282148,-40.1048602149303,13.8674442842685,1.77863387489363,3.68161687252357,-0.099999999999989,1,1,1,1
-22,1.93235501914148,1.66349536290395,-42.6299468676949,14.926575543983,1.88048917845723,4.12055018503237,-0.099999999999989,1,1,1,1
-23,2.01518816486369,1.8407640164398,-45.1917697599183,15.9941825247328,2.00010980755036,4.59261969018997,-0.099999999999989,1,1,1,1
-24,2.09802131122118,2.02783383301579,-47.7689170084245,17.1013946012883,2.1373122879796,5.09610943745164,-0.099999999999989,1,1,1,1
-25,2.18085445821338,2.22458510241456,-50.3524883571345,18.1958735817982,2.29165774269657,5.62933057635817,-0.099999999999989,1,1,1,1
-26,2.26368760584041,2.43086987961374,-52.9751479508972,19.2755018636588,2.46295463322486,6.19006817993481,-0.099999999999989,1,1,1,1
-27,2.3465207541017,2.6465369865366,-55.5955486067273,20.3399264330259,2.65107270918913,6.77674939368624,-0.099999999999989,1,1,1,1
-28,2.42935390299716,2.87143698792438,-58.2015849421062,21.3889279705321,2.8558696567924,7.38793346596672,-0.099999999999989,1,1,1,1
-29,2.51218705252644,3.10542224357845,-60.8312409189477,22.4222927259857,3.0771911585475,8.02163064539094,-0.099999999999989,1,1,1,1
-30,2.59502020268933,3.34834694414054,-63.4413980575983,23.4398125103184,3.31487095799514,8.67630054536847,-0.099999999999989,1,1,1,1
