UNKNOWN			
version=1			
nRows=100			
nColumns=4			
inDegrees=no			
endheader			
time	/jointset/knee_r/knee_angle_r/value	bifemlh_r	bifemsh_r
0	-119.9999999	0.6840905	-2.46121431
1	-118.6868686	0.36728462	-2.99899687
2	-117.3737372	0.05027646	-3.53528366
3	-116.0606059	-0.26711582	-4.06985937
4	-114.7474746	-0.58507631	-4.60250426
5	-113.4343433	-0.90379039	-5.13299389
6	-112.121212	-1.22344369	-5.66109887
7	-110.8080807	-1.54422116	-6.18658467
8	-109.4949494	-1.86630601	-6.70921146
9	-108.181818	-2.18987874	-7.22873399
10	-106.8686867	-2.51511614	-7.74490153
11	-105.5555554	-2.84219031	-8.25745787
12	-104.2424241	-3.17126762	-8.76614137
13	-102.9292928	-3.50250777	-9.27068504
14	-101.6161615	-3.83606276	-9.77081674
15	-100.3030302	-4.17207593	-10.26625934
16	-98.98989883	-4.51069032	-10.75669407
17	-97.67676752	-4.85204928	-11.24174535
18	-96.3636362	-5.19626316	-11.72111079
19	-95.05050489	-5.54342902	-12.19448789
20	-93.73737357	-5.89363057	-12.66157126
21	-92.42424226	-6.24693725	-13.12205323
22	-91.11111094	-6.60340336	-13.57562449
23	-89.79797963	-6.96306719	-14.02197471
24	-88.48484831	-7.32595019	-14.46079331
25	-87.171717	-7.69205619	-14.89177011
26	-85.85858569	-8.06137064	-15.31459618
27	-84.54545437	-8.43385993	-15.72896459
28	-83.23232306	-8.80947073	-16.13457124
29	-81.91919174	-9.18812942	-16.53111566
30	-80.60606043	-9.56974153	-16.9183019
31	-79.29292911	-9.95417335	-17.29595269
32	-77.9797978	-10.34119757	-17.66438361
33	-76.66666648	-10.73064843	-18.0234347
34	-75.35353517	-11.12235087	-18.37286939
35	-74.04040385	-11.51610687	-18.71245717
36	-72.72727254	-11.91169542	-19.04197417
37	-71.41414123	-12.30887251	-19.36120384
38	-70.10100991	-12.70737125	-19.66993752
39	-68.7878786	-13.10693408	-19.96801695
40	-67.47474728	-13.50729429	-20.25530822
41	-66.16161597	-13.90812215	-20.53163183
42	-64.84848465	-14.30906646	-20.79681813
43	-63.53535334	-14.70975543	-21.05070804
44	-62.22222202	-15.10979737	-21.29315357
45	-60.90909071	-15.50878153	-21.5240182
46	-59.59595939	-15.90629885	-21.74300547
47	-58.28282808	-16.30219738	-21.94739388
48	-56.96969677	-16.69610425	-22.13614686
49	-55.65656545	-17.08753446	-22.30911662
50	-54.34343414	-17.47599389	-22.46618295
51	-53.03030282	-17.8609812	-22.60725403
52	-51.71717151	-18.24198979	-22.73226705
53	-50.40404019	-18.61850984	-22.84118874
54	-49.09090888	-18.99003044	-22.93401581
55	-47.77777756	-19.35604178	-23.01077526
56	-46.46464625	-19.71603738	-23.07152456
57	-45.15151493	-20.06951642	-23.1163518
58	-43.83838362	-20.41598597	-23.14537562
59	-42.52525231	-20.75496338	-23.15874514
60	-41.21212099	-21.08597855	-23.15663974
61	-39.89898968	-21.4085735	-23.13929337
62	-38.58585836	-21.7217733	-23.11168485
63	-37.27272705	-22.02471768	-23.07757036
64	-35.95959573	-22.31693711	-23.03714643
65	-34.64646442	-22.59796635	-22.99059697
66	-33.3333331	-22.86734609	-22.93809374
67	-32.02020179	-23.12462454	-22.8797969
68	-30.70707048	-23.36935911	-22.8158556
69	-29.39393916	-23.60070424	-22.74598516
70	-28.08080785	-23.81527671	-22.66732244
71	-26.76767653	-24.01195974	-22.57936946
72	-25.45454522	-24.1902118	-22.48219698
73	-24.1414139	-24.34951353	-22.37587132
74	-22.82828259	-24.48936992	-22.26045535
75	-21.51515127	-24.60931241	-22.13600946
76	-20.20201996	-24.70890096	-22.00259261
77	-18.88888864	-24.78223458	-21.8422408
78	-17.57575733	-24.81919867	-21.62371425
79	-16.26262602	-24.81920228	-21.34729365
80	-14.9494947	-24.78196704	-21.01397265
81	-13.63636339	-24.70736106	-20.62487354
82	-12.32323207	-24.59541306	-20.18126073
83	-11.01010076	-24.446326	-19.68455369
84	-9.69696944	-24.26087168	-19.13762974
85	-8.38383813	-24.04926789	-18.57475526
86	-7.07070681	-23.81617051	-18.01093914
87	-5.7575755	-23.56198278	-17.44668308
88	-4.44444418	-23.2871179	-16.88243678
89	-3.13131287	-22.99199693	-16.31859979
90	-1.81818156	-22.67704655	-15.7555234
91	-0.50505024	-22.34269817	-15.19351253
92	0.80808107	-21.98938463	-14.63282773
93	2.12121239	-21.61753951	-14.07368712
94	3.4343437	-21.22759525	-13.51626836
95	4.74747502	-20.81998174	-12.9607107
96	6.06060633	-20.39512494	-12.40711689
97	7.37373765	-19.95344566	-11.85555522
98	8.68686896	-19.49535848	-11.30606151
99	10.00000028	-19.02088906	-10.75830406
