[Afferent] H7IAZ6Y7 1958 Eccles and Lundberg | Integrative pattern of Ia synaptic actions on motoneurones of hip and knee muscles
[Afferent] GF95QC93 1976 A. Procházka et al. | Discharges of single hindlimb afferents in the freely moving cat.
[Afferent] TD2MS4GA 1977 Prochazka et al. | Ia afferent activity during a variety of voluntary movements in the cat
[Afferent] D9FPFD55 2019 Laliberte et al. | Propriospinal Neurons: Essential Elements of Locomotor Control in the Intact and Possibly the Injure
[Afferent] NU75BEIA 2017 Gosgnach et al. | Delineating the Diversity of Spinal Interneurons in Locomotor Circuits
[Afferent] X6AYLUAA  Hoffer et al. | Cat Hindlimb Motoneurons During Locomotion. 11. Normal Activity Patterns
[Afferent] RXX4L3NG 1949 Hebb | The organization of behavior; a neuropsychological theory
[Afferent] 7C383CK5 1976 Cheney and Preston | Classification and response characteristics of muscle spindle afferents in the primate
[Afferent] QE3ETZCL 02/1 Prochazka et al. | Muscle spindle discharge in normal and obstructed movements.
[Afferent] IW43CN7E 1964 Crowe and Matthews | Further studies of static and dynamic fusimotor fibres
[Afferent] LBRSID9Y 2012 Feldman | The spike timing dependence of plasticity
[Afferent] NAFCFZ6S 1998 Kakuda and Nagaoka | Dynamic response of human muscle spindle afferents to stretch during voluntary contraction
[Afferent] 374MUWNL 1983 Hasan | A model of spindle afferent response to muscle stretch
[Afferent] 6LNZC8S4 1990 Edin and Vallbo | Dynamic response of human muscle spindle afferents to stretch
--- end Afferent ---
[Sensory Feedback] 38FTX7IH   | ChatGPT
[Sensory Feedback] 4XQG7QPN 1997 Prochazka et al. | Positive Force Feedback Control of Muscles
[Sensory Feedback] TN2DVMAX Janu Pearson | Role of sensory feedback in the control of stance duration in walking cats.
--- end Sensory Feedback ---
[Ia Afferent Cite] 5UAAKQF5 2014 Livingston and Nichols | Effects of reinnervation of the biarticular shoulder-elbow muscles on joint kinematics and electromy
[Ia Afferent Cite] 5SCE5YFT 1979 Houk | Regulation of Stiffness by Skeletomotor Reflexes
[Ia Afferent Cite] QWICNHLH 1981 Houk et al. | Function of the spindle dynamic response in stiffness regulation—a predictive mechanism provided by 
[Ia Afferent Cite] EUUB4I5F   | Atlas Gets a Grip | Boston Dynamics
[Ia Afferent Cite] 8CAZL5AS   | Walk, Run, Crawl, RL Fun | Boston Dynamics
[Ia Afferent Cite] HYI8JM75   | Resources | Boston Dynamics
[Ia Afferent Cite] IK49AIUS 1964 Jansen and Rudjord | On the Silent Period and Golgi Tendon Organs of the Soleus Muscle of the Cat
[Ia Afferent Cite] UHK5RTCK 1967 Houk and Henneman | Responses of Golgi tendon organs to active contractions of the soleus muscle of the cat.
[Ia Afferent Cite] KE8AJI2V 2000 Arber et al. | ETS gene Er81 controls the formation of functional connections between group Ia sensory afferents an
[Ia Afferent Cite] 7I99G7XC 2015 Livingston and Nichols | Effects of Reinnervation of the Triceps Brachii on Joint Kinematics and Electromyographic Patterns o
[Ia Afferent Cite] 64HSA2WE 2015 Livingston and Nichols | Effects of Reinnervation of the Biarticular Shoulder-Elbow Muscles on Joint Kinematics and Electromy
[Ia Afferent Cite] CJ92AIUH 2000 Abelew et al. | Local Loss of Proprioception Results in Disruption of Interjoint Coordination During Locomotion in t
[Ia Afferent Cite] NHIFKZXY 2015 Sharp and Bekoff | Pyridoxine Treatment Alters Embryonic Motility in Chicks: Implications for the Role of Proprioceptio
[Ia Afferent Cite] Y32E8ES5 2003 Pearson et al. | Chemical ablation of sensory afferents in the walking system of the cat abolishes the capacity for f
[Ia Afferent Cite] 7MEM4AYD 2004 Moritz and Farley | Passive dynamics change leg mechanics for an unexpected surface during human hopping
[Ia Afferent Cite] DL3ZMQ8V 2023 Duman and Azizi | Hindlimb muscle spindles inform preparatory forelimb coordination prior to landing in toads
--- end Ia Afferent Cite ---
[CPGs] FQXK8RY2 2019 Deng et al. | Neuromechanical Model of Rat Hindlimb Walking with Two-Layer CPGs
[CPGs] 66KVYB3J 2013 Szczecinski et al. | A neuromechanical simulation of insect walking and transition to turning of the cockroach Blaberus d
[CPGs] IAD47LNA 2006 Tryba et al. | Gasping activity in vitro: a rhythm dependent on 5-HT2A receptors
[CPGs] SX6WSKDU 2013 Szczecinski et al. | A neuromechanical simulation of insect walking and transition to turning of the cockroach Blaberus d
[CPGs] 89GWZLI7 2019 Deng et al. | Neuromechanical Model of Rat Hind Limb Walking with Two-Layer CPGs
[CPGs] 9ID7ASV7 2008 McCrea and Rybak | Organization of mammalian locomotor rhythm and pattern generation
[CPGs] RGG72ZQM 1987 Arbas and Calabrese | Ionic conductances underlying the activity of interneurons that control heartbeat in the medicinal l
[CPGs] 5WYHFU4V 10/2 Bicanski et al. | Decoding the mechanisms of gait generation in salamanders by combining neurobiology, modeling and ro
--- end CPGs ---
[Dual-Layered CPGs] KCC2QRCW 2016 Markin et al. | A Neuromechanical Model of Spinal Control of Locomotion
[Dual-Layered CPGs] UT27R2EU 2010 Markin et al. | Afferent control of locomotor CPG: insights from a simple neuromechanical model
[Dual-Layered CPGs] UHQLPGXJ 2019 Habu et al. | Three-dimensional walking of a simulated muscle-driven quadruped robot with neuromorphic two-level c
[Dual-Layered CPGs] 352UDMZ7 2006 Rybak et al. | Modelling spinal circuitry involved in locomotor pattern generation: insights from deletions during 
[Dual-Layered CPGs] 9ID7ASV7 2008 McCrea and Rybak | Organization of mammalian locomotor rhythm and pattern generation
[Dual-Layered CPGs] 4997JXFN 2018 Deng et al. | Neuromechanical Model of Rat Hind Limb Walking with Two Layer CPGs and Muscle Synergies
--- end Dual-Layered CPGs ---
[Network Architecture] WVY8U8ZE 2008 Jankowska | Spinal interneuronal networks in the cat: Elementary components
[Network Architecture] 8SZGUGSY 2013 Talpalar et al. | Dual-mode operation of neuronal networks involved in left–right alternation
[Network Architecture] 9YIA6HYF 2010 Brownstone and Bui | Spinal interneurons providing input to the final common path during locomotion
[Network Architecture] HJL7MSAF 2006 Akay et al. | Coordination of fore and hind leg stepping in cats on a transversely-split treadmill
[Network Architecture] TWYG57YX 2013 Rybak et al. | Modelling genetic reorganization in the mouse spinal cord affecting left-right coordination during l
[Network Architecture] TZUCY8C5 2022 Shevtsova et al. | Ipsilateral and Contralateral Interactions in Spinal Locomotor Circuits Mediated by V1 Neurons: Insi
--- end Network Architecture ---
[Spikes to Muscle Activation] 9K27QB6V 2024 Elzein and Hunt | Pulse Modulation in Braided Pneumatic Actuators Mimics Contractile Behavior of Biological Muscles
[Spikes to Muscle Activation] UXIPZ8TG   | Stimulation Pattern That Maximizes Force in Paralyzed and Control Whole Thenar Muscles | Journal of 
[Spikes to Muscle Activation] A7VFD2TL Aug  Hunt et al. | Modeling length effects of braided pneumatic actuators
[Spikes to Muscle Activation] GPUB7AW5 Oct  McNeal and Hunt | Real-time, pulse-based actuation of braided pneumatic actuator muscles
[Spikes to Muscle Activation] 6GDJ43VK 2005 Lindner et al. | Integrate-and-fire neurons with threshold noise: A tractable model of how interspike interval correl
[Spikes to Muscle Activation] 6LKA6H8S 2005 Lindner et al. | Integrate-and-fire neurons with threshold noise: A tractable model of how interspike interval correl
[Spikes to Muscle Activation] EY9IP9CA 2009 Dai et al. | Electrophysiological and Pharmacological Properties of Locomotor Activity-Related Neurons in cfos-EG
