FIXED-tau_h NaP — e_ion sweep (plateau target 3..6 mV)
 g_na e_ion  e_m   s_h  e_h  tau_h  cyc  period    amp   Vmin   Vmax
 6.00   8.0  1.5  -2.0  3.0   0.35    0     nan   0.00  -2.69   5.03
 6.00   8.0  2.0  -2.0  3.5   0.35    0     nan   0.00  -2.73   5.26
 6.00  12.0  2.0  -2.0  3.5   0.35    0     nan   0.00  -2.70   6.60
10.00   8.0  2.0  -2.0  3.5   0.35    0     nan   0.00  -2.66   5.65
10.00  12.0  2.0  -2.0  3.5   0.35   19    1.34  24.73  -2.65   9.96
10.00  12.0  2.0  -2.0  3.5   0.70   11    2.39  25.75  -2.71  10.36
15.00   8.0  2.0  -2.0  3.5   0.35   21    1.17  18.76  -2.61   7.03
15.00  12.0  2.5  -2.0  3.5   0.35   20    1.25  25.83  -2.66  10.53
15.00  12.0  2.5  -2.0  4.0   0.70   11    2.21  26.65  -2.72  10.83
20.00   8.0  2.0  -2.0  3.5   0.35   41    0.61  17.65  -2.55   7.09
20.00  12.0  2.5  -2.0  4.0   0.35    0     nan   0.00  -2.60  10.61
20.00  12.0  2.5  -2.5  4.0   0.70    0     nan   0.00  -2.70  10.88
