ref,kine_score,cycles_r,cycles_l,sim_duty_r,sim_T_r,sim_knee_min_r,ref_T_r,ref_duty_r,ref_knee_min_r
subject01_of_record,-189.45,11,0,0.25,0.898,-49.0,,,
Case_40_motion,-200.46,11,0,0.25,0.898,-49.0,1.113,0.57,-59.2
ong_selfsel_Init050,-205.55,11,0,0.25,0.898,-49.0,1.263,0.58,-77.1
ong_selfsel_Init125,-216.08,11,0,0.25,0.898,-49.0,1.259,0.58,-76.3
ong_selfsel_Init200,-215.46,11,0,0.25,0.898,-49.0,1.219,0.57,-71.4
ong_speed_050,-203.32,11,0,0.25,0.898,-49.0,2.096,0.62,-66.8
ong_speed_075,-208.15,11,0,0.25,0.898,-49.0,1.715,0.60,-70.7
ong_speed_100,-207.37,11,0,0.25,0.898,-49.0,1.470,0.57,-73.1
ong_speed_125,-211.91,11,0,0.25,0.898,-49.0,1.376,0.56,-70.5
ong_speed_150,-215.68,11,0,0.25,0.898,-49.0,1.195,0.56,-73.3
ong_speed_175,-218.37,11,0,0.25,0.898,-49.0,1.114,0.54,-71.8
ong_speed_200,-224.42,11,0,0.25,0.898,-49.0,1.021,0.53,-67.0
subject01_Run_20002,-197.86,11,0,0.25,0.898,-49.0,0.767,0.42,-82.7
subject01_Run_30002,-231.74,11,0,0.25,0.898,-49.0,0.718,0.36,-98.7
subject01_Run_40002,-260.94,11,0,0.25,0.898,-49.0,0.700,0.32,-110.2
subject01_Run_50002,-288.21,11,0,0.25,0.898,-49.0,0.598,0.33,-122.1
subject02_Run_20002,-205.70,11,0,0.25,0.898,-49.0,0.801,0.43,-90.2
subject02_Run_30002,-236.56,11,0,0.25,0.898,-49.0,0.764,0.39,-106.4
subject02_Run_40005,-279.08,11,0,0.25,0.898,-49.0,0.714,0.35,-122.1
subject02_Run_50002,-307.12,11,0,0.25,0.898,-49.0,0.654,0.33,-128.8
subject04_Run_20002,-192.18,11,0,0.25,0.898,-49.0,0.801,0.41,-85.8
subject04_Run_30002,-237.19,11,0,0.25,0.898,-49.0,0.739,0.38,-103.4
subject04_Run_40002,-277.94,11,0,0.25,0.898,-49.0,0.702,0.34,-119.2
subject04_Run_50004,-311.82,11,0,0.25,0.898,-49.0,0.626,0.35,-123.0
subject08_Run_20002,-188.15,11,0,0.25,0.898,-49.0,0.723,0.39,-80.8
subject08_Run_30001,-222.51,11,0,0.25,0.898,-49.0,0.675,0.34,-101.4
subject08_Run_40002,-265.14,11,0,0.25,0.898,-49.0,0.655,0.33,-118.6
subject08_Run_50003,-293.57,11,0,0.25,0.898,-49.0,0.610,0.31,-131.6
subject10_Run_20002,-203.11,11,0,0.25,0.898,-49.0,0.727,0.45,-84.7
subject10_Run_30002,-243.70,11,0,0.25,0.898,-49.0,0.714,0.40,-105.5
subject10_Run_40002,-303.76,11,0,0.25,0.898,-49.0,0.704,0.35,-131.1
subject10_Run_50002,-332.22,11,0,0.25,0.898,-49.0,0.584,0.36,-140.0
subject11_Run_20002,-189.97,11,0,0.25,0.898,-49.0,0.716,0.44,-80.3
subject11_Run_30002,-224.13,11,0,0.25,0.898,-49.0,0.679,0.39,-92.3
subject11_Run_40002,-246.75,11,0,0.25,0.898,-49.0,0.624,0.37,-99.6
subject11_Run_50002,-276.43,11,0,0.25,0.898,-49.0,0.564,0.36,-109.6
subject17_Run_20002,-196.40,11,0,0.25,0.898,-49.0,0.796,0.38,-90.0
subject17_Run_30001,-251.93,11,0,0.25,0.898,-49.0,0.758,0.35,-112.8
subject17_Run_40001,-316.40,11,0,0.25,0.898,-49.0,0.700,0.32,-134.5
subject17_Run_50001,-326.92,11,0,0.25,0.898,-49.0,0.672,0.32,-138.1
subject20_Run_20001,-207.96,11,0,0.25,0.898,-49.0,0.670,0.43,-87.6
subject20_Run_30001,-256.43,11,0,0.25,0.898,-49.0,0.675,0.35,-110.6
subject20_Run_40001,-297.14,11,0,0.25,0.898,-49.0,0.649,0.32,-127.0
subject20_Run_50002,-320.27,11,0,0.25,0.898,-49.0,0.592,0.33,-139.3
