TimeSlice	Time	toe_L_contact	toe_R_contact	foot_L_contact	foot_R_contact
0	0	0	0	0	0
1	0.0002	0	0	0	0
2	0.0004	0	0	0	0
3	0.0006	0	0	0	0
4	0.0008	0	0	0	0
5	0.001	0	0	0	0
6	0.0012	0	0	0	0
7	0.0014	0	0	0	0
8	0.0016	0	0	0	0
9	0.0018	0	0	0	0
10	0.002	0	0	0	0
11	0.0022	0	0	0	0
12	0.0024	0	0	0	0
13	0.0026	0	0	0	0
14	0.0028	0	0	0	0
15	0.003	0	0	0	0
16	0.0032	0	0	0	0
17	0.0034	0	0	0	0
18	0.0036	0	0	0	0
19	0.0038	0	0	0	0
20	0.004	0	0	0	0
21	0.0042	0	0	0	0
22	0.0044	0	0	0	0
23	0.0046	0	0	0	0
24	0.0048	0	0	0	0
25	0.005	1	0	0	0
26	0.0052	1	0	0	0
27	0.0054	1	0	0	0
28	0.0056	1	0	0	0
29	0.0058	1	0	0	0
30	0.006	1	0	0	0
31	0.0062	1	0	0	0
32	0.0064	1	0	0	0
33	0.0066	1	0	0	0
34	0.0068	1	0	0	0
35	0.007	0	0	0	0
36	0.0072	0	0	0	0
37	0.0074	0	0	0	0
38	0.0076	0	0	0	0
39	0.0078	0	0	0	0
40	0.008	0	0	0	0
41	0.0082	0	0	0	0
42	0.0084	0	0	0	0
43	0.0086	0	0	0	0
44	0.0088	0	0	0	0
45	0.009	0	0	0	0
46	0.0092	0	0	0	0
47	0.0094	0	0	0	0
48	0.0096	0	0	0	0
49	0.0098	0	0	0	0
50	0.01	0	0	0	0
51	0.0102	0	0	0	0
52	0.0104	0	0	0	0
53	0.0106	0	0	0	0
54	0.0108	0	0	0	0
55	0.011	0	0	0	0
56	0.0112	0	0	0	0
57	0.0114	0	0	0	0
58	0.0116	0	0	0	0
59	0.0118	0	0	0	0
60	0.012	0	0	0	0
61	0.0122	0	0	0	0
62	0.0124	0	0	0	0
63	0.0126	0	0	0	0
64	0.0128	0	0	0	0
65	0.013	1	0	0	0
66	0.0132	1	0	0	0
67	0.0134	1	0	0	0
68	0.0136	1	0	0	0
69	0.0138	1	0	0	0
70	0.014	0	0	0	0
71	0.0142	0	0	0	0
72	0.0144	0	0	0	0
73	0.0146	0	0	0	0
74	0.0148	0	0	0	0
75	0.015	0	0	0	0
76	0.0152	0	0	0	0
77	0.0154	0	0	0	0
78	0.0156	0	0	0	0
79	0.0158	0	0	0	0
80	0.016	0	0	0	0
81	0.0162	0	0	0	0
82	0.0164	0	0	0	0
83	0.0166	0	0	0	0
84	0.0168	0	0	0	0
85	0.017	0	0	0	0
86	0.0172	0	0	0	0
87	0.0174	0	0	0	0
88	0.0176	0	0	0	0
89	0.0178	0	0	0	0
