TimeSlice	Time	ankle_L	hip_L	knee_L
2500	0.5	-0.0862928	0.341942	-0.00479554
2505	0.501	-0.0863173	0.341692	-0.00378516
2510	0.502	-0.0863825	0.341787	-0.0016257
2515	0.503	-0.0864253	0.34183	0.000490304
2520	0.504	-0.0864298	0.341795	0.00248817
2525	0.505	-0.0864312	0.341659	0.00430274
2530	0.506	-0.0864348	0.341406	0.00588433
2535	0.507	-0.0864393	0.341023	0.00719116
2540	0.508	-0.0864445	0.340498	0.00818876
2545	0.509	-0.0864504	0.339823	0.00884944
2550	0.51	-0.086457	0.338989	0.00915187
2555	0.511	-0.0864641	0.337993	0.0090806
2560	0.512	-0.0864717	0.336831	0.00862558
2565	0.513	-0.08648	0.335501	0.00778151
2570	0.514	-0.0864878	0.334003	0.00654785
2575	0.515	-0.0864957	0.332339	0.00492802
2580	0.516	-0.0865038	0.33051	0.002929
2585	0.517	-0.0865119	0.32852	0.000560933
2590	0.518	-0.0865201	0.326374	-0.00216335
2595	0.519	-0.0864461	0.32478	-0.0030916
2600	0.52	-0.0864686	0.323625	-0.0025705
2605	0.521	-0.0865137	0.322643	-0.00140735
2610	0.522	-0.086552	0.321585	-0.000350615
2615	0.523	-0.0865689	0.320364	0.000336262
2620	0.524	-0.0865763	0.318975	0.000634909
2625	0.525	-0.0865842	0.317414	0.00053282
2630	0.526	-0.0865925	0.315679	2.3178e-005
2635	0.527	-0.0866008	0.313771	-0.000895976
2640	0.528	-0.0865749	0.311987	-0.0013148
2645	0.529	-0.0865847	0.310321	-0.00126261
2650	0.53	-0.0866041	0.308702	-0.000951503
2655	0.531	-0.0866227	0.307053	-0.000616161
2660	0.532	-0.0866371	0.305325	-0.000406663
2665	0.533	-0.0866468	0.303505	-0.000359969
2670	0.534	-0.0866532	0.301609	-0.000429878
2675	0.535	-0.0866585	0.299665	-0.000539124
2680	0.536	-0.0866645	0.297691	-0.000625729
2685	0.537	-0.0866719	0.295699	-0.000662179
2690	0.538	-0.0866804	0.293687	-0.000652672
2695	0.539	-0.0866894	0.291648	-0.000618489
2700	0.54	-0.0866983	0.289576	-0.00058231
2705	0.541	-0.0867066	0.287467	-0.000558355
2710	0.542	-0.0867143	0.285319	-0.000550006
2715	0.543	-0.0867217	0.283135	-0.000552829
2720	0.544	-0.0867288	0.280919	-0.000559604
2725	0.545	-0.0867359	0.278672	-0.000564395
2730	0.546	-0.086743	0.276395	-0.000564475
2735	0.547	-0.0867501	0.27409	-0.000560143
2740	0.548	-0.0867572	0.271757	-0.000553356
2745	0.549	-0.0867641	0.269394	-0.000546262
2750	0.55	-0.0867709	0.267003	-0.000540237
2755	0.551	-0.0867775	0.264584	-0.000535651
2760	0.552	-0.086784	0.262137	-0.000532121
2765	0.553	-0.0867903	0.259664	-0.00052897
2770	0.554	-0.0867965	0.257165	-0.00052564
2775	0.555	-0.0868026	0.25464	-0.000521855
2780	0.556	-0.0868086	0.252092	-0.000517633
2785	0.557	-0.0868145	0.249519	-0.000513151
2790	0.558	-0.0868203	0.246923	-0.000508624
2795	0.559	-0.086826	0.244304	-0.000504194
2800	0.56	-0.0868316	0.241663	-0.000499898
2805	0.561	-0.086837	0.239	-0.000495697
2810	0.562	-0.0868424	0.236317	-0.000491526
2815	0.563	-0.0868477	0.233613	-0.000487346
2820	0.564	-0.0868528	0.230889	-0.000483128
2825	0.565	-0.0868579	0.228146	-0.000478878
2830	0.566	-0.0868629	0.225385	-0.000474596
2835	0.567	-0.0868678	0.222606	-0.000470333
2840	0.568	-0.0868725	0.21981	-0.000466083
2845	0.569	-0.0868772	0.216997	-0.000461851
2850	0.57	-0.0868819	0.214168	-0.000457648
2855	0.571	-0.0868864	0.211323	-0.000453465
2860	0.572	-0.0868908	0.208464	-0.00044929
2865	0.573	-0.0868952	0.20559	-0.00044512
2870	0.574	-0.0868995	0.202703	-0.000440962
2875	0.575	-0.0869037	0.199803	-0.000436829
2880	0.576	-0.0869078	0.19689	-0.000432718
2885	0.577	-0.0869118	0.193966	-0.000428625
2890	0.578	-0.0869158	0.19103	-0.000424564
2895	0.579	-0.0869197	0.188083	-0.000420531
2900	0.58	-0.0869236	0.185126	-0.000416515
2905	0.581	-0.0869273	0.182159	-0.000412511
2910	0.582	-0.086931	0.179184	-0.000408532
2915	0.583	-0.0869346	0.1762	-0.000404583
2920	0.584	-0.0869382	0.173208	-0.000400671
2925	0.585	-0.0869417	0.170208	-0.000396791
2930	0.586	-0.0869451	0.167202	-0.000392944
2935	0.587	-0.0869485	0.164189	-0.000389131
2940	0.588	-0.0869518	0.161171	-0.000385354
2945	0.589	-0.0869551	0.158147	-0.000381608
2950	0.59	-0.0869583	0.155119	-0.000377889
2955	0.591	-0.0869614	0.152086	-0.000374208
2960	0.592	-0.0869645	0.149049	-0.000370555
2965	0.593	-0.0869675	0.14601	-0.000366932
2970	0.594	-0.0869705	0.142967	-0.000363353
2975	0.595	-0.0869734	0.139923	-0.000359803
2980	0.596	-0.0869763	0.136876	-0.000356292
2985	0.597	-0.0869791	0.133829	-0.00035283
2990	0.598	-0.0869819	0.13078	-0.000349411
2995	0.599	-0.0869846	0.127731	-0.000346023
3000	0.6	-0.0869872	0.124683	-0.000342667
3005	0.601	-0.0869898	0.121635	-0.000339358
3010	0.602	-0.0869924	0.118588	-0.000336086
3015	0.603	-0.0869949	0.115542	-0.000332859
3020	0.604	-0.0869974	0.112498	-0.000329667
3025	0.605	-0.0869998	0.109457	-0.00032652
3030	0.606	-0.0870022	0.106418	-0.000323426
3035	0.607	-0.0870045	0.103383	-0.000320374
3040	0.608	-0.0870068	0.100351	-0.000317357
3045	0.609	-0.0870091	0.097323	-0.00031437
3050	0.61	-0.0870113	0.0942995	-0.000311425
3055	0.611	-0.0870135	0.0912808	-0.000308527
3060	0.612	-0.0870156	0.0882672	-0.000305671
3065	0.613	-0.0870177	0.0852592	-0.000302866
3070	0.614	-0.0870197	0.082257	-0.000300115
3075	0.615	-0.0870217	0.0792611	-0.000297402
3080	0.616	-0.0870237	0.0762719	-0.000294725
3085	0.617	-0.0870256	0.0732896	-0.000292081
3090	0.618	-0.0870275	0.0703147	-0.000289489
