TimeSlice	Time	L Hip MN ext	L Hip MN flx	L Hip PF flx	L Hip PF ext	L RG ext	L RG flx
2500	0.5	-0.0454608	-0.0938114	-0.0615266	-0.0564131	-0.0577691	-0.0634027
2501	0.5002	-0.045467	-0.093797	-0.0615269	-0.0564159	-0.0577692	-0.0633966
2502	0.5004	-0.0454737	-0.0937831	-0.0615272	-0.0564188	-0.0577693	-0.0633906
2503	0.5006	-0.0454807	-0.0937695	-0.0615273	-0.0564217	-0.0577694	-0.0633846
2504	0.5008	-0.0454882	-0.0937564	-0.0615274	-0.0564248	-0.0577695	-0.0633786
2505	0.501	-0.045496	-0.0937436	-0.0615273	-0.0564279	-0.0577696	-0.0633727
2506	0.5012	-0.0455043	-0.0937323	-0.0615272	-0.056431	-0.0577697	-0.0633667
2507	0.5014	-0.0455129	-0.0937224	-0.0615271	-0.0564343	-0.0577698	-0.0633608
2508	0.5016	-0.0455219	-0.0937137	-0.0615268	-0.0564376	-0.0577698	-0.063355
2509	0.5018	-0.0455313	-0.0937062	-0.0615265	-0.0564409	-0.0577699	-0.0633491
2510	0.502	-0.0455411	-0.0936997	-0.0615261	-0.0564443	-0.05777	-0.0633433
2511	0.5022	-0.0455512	-0.0936954	-0.0615257	-0.0564478	-0.05777	-0.0633375
2512	0.5024	-0.0455617	-0.0936931	-0.0615252	-0.0564513	-0.0577701	-0.0633318
2513	0.5026	-0.0455726	-0.0936925	-0.0615246	-0.0564549	-0.0577702	-0.063326
2514	0.5028	-0.0455838	-0.0936937	-0.0615239	-0.0564585	-0.0577702	-0.0633204
2515	0.503	-0.0455954	-0.0936962	-0.0615232	-0.0564622	-0.0577703	-0.0633147
2516	0.5032	-0.0456074	-0.093701	-0.0615224	-0.0564659	-0.0577703	-0.0633091
2517	0.5034	-0.0456197	-0.0937078	-0.0615215	-0.0564697	-0.0577704	-0.0633034
2518	0.5036	-0.0456324	-0.0937163	-0.0615206	-0.0564735	-0.0577704	-0.0632979
2519	0.5038	-0.0456454	-0.0937264	-0.0615196	-0.0564774	-0.0577705	-0.0632923
2520	0.504	-0.0456589	-0.093738	-0.0615185	-0.0564813	-0.0577705	-0.0632868
2521	0.5042	-0.0456726	-0.0937507	-0.0615174	-0.0564853	-0.0577705	-0.0632813
2522	0.5044	-0.0456867	-0.0937645	-0.0615162	-0.0564893	-0.0577706	-0.0632759
2523	0.5046	-0.0457012	-0.0937792	-0.061515	-0.0564933	-0.0577706	-0.0632704
2524	0.5048	-0.045716	-0.0937946	-0.0615137	-0.0564974	-0.0577706	-0.0632651
2525	0.505	-0.0457311	-0.0938108	-0.0615124	-0.0565015	-0.0577707	-0.0632597
2526	0.5052	-0.0457466	-0.0938274	-0.061511	-0.0565057	-0.0577707	-0.0632544
2527	0.5054	-0.0457624	-0.0938446	-0.0615095	-0.0565099	-0.0577707	-0.0632491
2528	0.5056	-0.0457786	-0.093862	-0.061508	-0.0565142	-0.0577707	-0.0632438
2529	0.5058	-0.045795	-0.0938798	-0.0615064	-0.0565184	-0.0577708	-0.0632386
2530	0.506	-0.0458119	-0.0938977	-0.0615048	-0.0565227	-0.0577708	-0.0632334
2531	0.5062	-0.045829	-0.0939158	-0.0615031	-0.0565271	-0.0577708	-0.0632282
2532	0.5064	-0.0458464	-0.0939339	-0.0615014	-0.0565315	-0.0577708	-0.0632231
2533	0.5066	-0.0458641	-0.093952	-0.0614996	-0.0565359	-0.0577708	-0.063218
2534	0.5068	-0.0458821	-0.0939701	-0.0614977	-0.0565403	-0.0577708	-0.0632129
2535	0.507	-0.0459005	-0.0939881	-0.0614959	-0.0565448	-0.0577709	-0.0632078
2536	0.5072	-0.0459191	-0.0940059	-0.0614939	-0.0565492	-0.0577709	-0.0632028
2537	0.5074	-0.045938	-0.0940236	-0.061492	-0.0565538	-0.0577709	-0.0631979
2538	0.5076	-0.0459572	-0.0940411	-0.0614899	-0.0565583	-0.0577709	-0.0631929
