TimeSlice	Time	L Hip PF ext IN	L Hip PF flx IN	L Hip PF ext	L Hip PF flx
0	0	-0.0595489	-0.0595489	-0.052851	-0.052851
1	0.0002	-0.0591408	-0.0591408	-0.0531235	-0.0531244
2	0.0004	-0.0587731	-0.0587731	-0.053406	-0.0534086
3	0.0006	-0.0584434	-0.0584436	-0.0536953	-0.0537003
4	0.0008	-0.0581492	-0.0581497	-0.0539886	-0.0539969
5	0.001	-0.0578882	-0.0578891	-0.0542833	-0.0542958
6	0.0012	-0.0576581	-0.0576597	-0.0545773	-0.0545949
7	0.0014	-0.0574568	-0.0574592	-0.0548687	-0.0548923
8	0.0016	-0.057282	-0.0572855	-0.0551558	-0.0551864
9	0.0018	-0.0571319	-0.0571368	-0.0554374	-0.0554759
10	0.002	-0.0570046	-0.0570112	-0.0557122	-0.0557596
11	0.0022	-0.0568982	-0.056907	-0.0559794	-0.0560366
12	0.0024	-0.0568111	-0.0568224	-0.0562382	-0.0563061
13	0.0026	-0.0567418	-0.056756	-0.056488	-0.0565674
14	0.0028	-0.0566888	-0.0567063	-0.0567283	-0.0568202
15	0.003	-0.0566506	-0.0566721	-0.056959	-0.0570639
16	0.0032	-0.0566261	-0.0566519	-0.0571796	-0.0572985
17	0.0034	-0.0566141	-0.0566447	-0.0573902	-0.0575236
18	0.0036	-0.0566133	-0.0566493	-0.0575906	-0.0577391
19	0.0038	-0.0566228	-0.0566647	-0.0577809	-0.0579439
20	0.004	-0.0566415	-0.0566898	-0.0579612	-0.0581381
21	0.0042	-0.0566686	-0.0567238	-0.0581315	-0.058322
22	0.0044	-0.0567033	-0.0567658	-0.0582922	-0.0584958
23	0.0046	-0.0567446	-0.0568148	-0.0584433	-0.0586597
24	0.0048	-0.0567918	-0.0568702	-0.0585852	-0.058814
25	0.005	-0.0568443	-0.0569311	-0.058718	-0.0589591
26	0.0052	-0.0569014	-0.0569971	-0.0588421	-0.0590952
27	0.0054	-0.0569626	-0.0570674	-0.0589504	-0.0592226
28	0.0056	-0.0570267	-0.0571414	-0.0590508	-0.0593417
29	0.0058	-0.0570934	-0.0572187	-0.0591437	-0.0594529
30	0.006	-0.0571622	-0.0572987	-0.0592293	-0.0595565
31	0.0062	-0.0572327	-0.0573809	-0.059308	-0.0596527
32	0.0064	-0.0573044	-0.0574649	-0.0593799	-0.0597421
33	0.0066	-0.057377	-0.0575504	-0.0594455	-0.0598248
34	0.0068	-0.0574501	-0.057637	-0.059505	-0.0599012
35	0.007	-0.0575234	-0.0577243	-0.0595586	-0.0599716
36	0.0072	-0.0575966	-0.0578119	-0.0596067	-0.0600364
37	0.0074	-0.0576695	-0.0578977	-0.0596495	-0.0600957
38	0.0076	-0.0577418	-0.0579802	-0.0596873	-0.06015
39	0.0078	-0.0578132	-0.0580594	-0.0597206	-0.0601995
40	0.008	-0.0578836	-0.0581355	-0.0597495	-0.0602444
41	0.0082	-0.0579528	-0.0582086	-0.0597745	-0.060285
