TimeSlice	Time	hip_L_flx_rec	hip_L_ext_rec	hip_L	hip_L_flx	hip_L_ext
0	0	1.5698	1.6105	0	0	0
5	0.001	1.5701	1.61063	0	0	0
10	0.002	1.5704	1.6105	1.30848e-017	45.4419	27.1977
15	0.003	1.57546	1.6105	0.00094493	101.322	82.4991
20	0.004	1.58103	1.6105	0.00200122	153.133	133.168
25	0.005	1.58566	1.6105	0.00288116	199.883	178.54
30	0.006	1.58906	1.6105	0.00352887	239.625	218.041
35	0.007	1.59157	1.6105	0.00400574	269.199	249.2
40	0.008	1.59361	1.6105	0.00439395	285.77	269.171
45	0.009	1.5998	1.6105	0.00561154	282.721	270.068
50	0.01	1.60562	1.6105	0.00676555	272.089	255.224
55	0.011	1.611	1.6105	0.00784655	257.839	232.311
60	0.012	1.61596	1.6105	0.00885524	242.267	206.731
65	0.013	1.62057	1.6105	0.00980516	226.509	181.055
70	0.014	1.62494	1.6105	0.0107158	211.137	156.367
75	0.015	1.62915	1.6105	0.0116041	196.348	133.091
80	0.016	1.63323	1.6105	0.0124752	182.313	111.46
85	0.017	1.63732	1.6105	0.0133572	168.862	91.3852
90	0.018	1.64125	1.6105	0.0142154	156.322	72.8211
95	0.019	1.645	1.6105	0.0150469	144.654	55.7006
100	0.02	1.64857	1.6105	0.0158495	133.841	39.946
105	0.021	1.65194	1.6105	0.0166192	123.835	25.4663
110	0.022	1.65507	1.6105	0.0173479	114.648	12.1589
115	0.023	1.65793	1.6105	0.0180289	106.283	0
120	0.024	1.66049	1.6105	0.0186574	98.687	0
125	0.025	1.66276	1.6105	0.019231	91.8546	0
130	0.026	1.66477	1.6105	0.0197588	85.632	0
135	0.027	1.66649	1.6105	0.0202324	80.1513	0
140	0.028	1.66793	1.6105	0.0206531	75.4051	0
145	0.029	1.6691	1.6105	0.0210239	71.3621	0
150	0.03	1.67003	1.6105	0.0213477	67.9182	0
155	0.031	1.67073	1.6105	0.0216269	65.0433	0
160	0.032	1.6712	1.6105	0.0218628	62.6667	0
165	0.033	1.67146	1.6105	0.022056	60.7237	0
170	0.034	1.6715	1.6105	0.0222063	59.1671	0
175	0.035	1.67133	1.6105	0.0223135	57.9626	0
180	0.036	1.67094	1.6105	0.0223778	57.0837	0
185	0.037	1.67036	1.6105	0.0224013	56.4852	0
190	0.038	1.66959	1.6105	0.0223878	56.1076	0
195	0.039	1.66867	1.6105	0.0223417	55.8913	0
200	0.04	1.66762	1.6105	0.0222659	55.8244	0
205	0.041	1.66644	1.6105	0.0221637	55.874	0
210	0.042	1.66516	1.6105	0.0220377	56.0041	0
215	0.043	1.66378	1.6105	0.0218905	56.208	0
220	0.044	1.66233	1.6105	0.0217245	56.4495	0
225	0.045	1.6608	1.6105	0.0215411	56.7456	0
230	0.046	1.65922	1.6105	0.0213421	57.0739	0
235	0.047	1.65757	1.6105	0.0211294	57.4073	0
240	0.048	1.65589	1.6105	0.0209048	57.7426	0
245	0.049	1.65417	1.6105	0.0206699	58.094	0
250	0.05	1.65243	1.6105	0.0204261	58.4135	0
255	0.051	1.65213	1.6105	0.020468	56.4792	0
260	0.052	1.65304	1.6105	0.0207512	52.7931	0
265	0.053	1.65452	1.6105	0.0211485	48.4823	0
270	0.054	1.65595	1.6105	0.0215394	44.4964	0
275	0.055	1.65723	1.6105	0.0219058	40.9516	0
280	0.056	1.65835	1.6105	0.0222421	37.8907	0
285	0.057	1.6593	1.6105	0.0225444	35.2871	0
290	0.058	1.66005	1.6105	0.0228091	33.1272	0
295	0.059	1.66059	1.6105	0.0230335	31.399	0
300	0.06	1.66091	1.6105	0.0232156	30.0991	0
305	0.061	1.66102	1.6105	0.0233541	29.1974	0
310	0.062	1.6609	1.6105	0.0234483	28.6542	0
315	0.063	1.66056	1.6105	0.0234981	28.4564	7.1007
320	0.064	1.66039	1.6105	0.023582	27.9769	15.1053
325	0.065	1.66042	1.6105	0.0237034	27.2094	23.331
330	0.066	1.66051	1.6105	0.0238388	26.379	31.6638
335	0.067	1.66054	1.6105	0.0239608	25.6805	40.034
340	0.068	1.66042	1.6105	0.0240513	25.2666	48.4088
345	0.069	1.66011	1.6105	0.0241055	25.1253	56.7972
350	0.07	1.65965	1.6105	0.0241278	25.2339	65.2162
355	0.071	1.65907	1.6105	0.0241263	25.5065	73.6816
360	0.072	1.65841	1.6105	0.0241075	25.8759	82.204
365	0.073	1.65772	1.6105	0.0240789	26.2753	90.7858
370	0.074	1.65701	1.6105	0.0240464	26.6774	99.4224
375	0.075	1.65629	1.6105	0.0240133	27.0326	108.119
380	0.076	1.6556	1.6105	0.0239808	27.3721	116.86
385	0.077	1.65492	1.6105	0.0239489	27.6878	125.622
390	0.078	1.65424	1.6105	0.0239173	27.973	134.401
395	0.079	1.65357	1.6105	0.0238859	28.2399	143.194
400	0.08	1.65292	1.6105	0.0238555	28.4966	151.995
405	0.081	1.65229	1.6105	0.023827	28.7267	160.787
410	0.082	1.65166	1.6105	0.0238018	28.929	169.585
415	0.083	1.65108	1.6105	0.023781	29.103	178.367
420	0.084	1.65053	1.6105	0.0237657	29.2254	187.129
425	0.085	1.65	1.6105	0.0237562	29.3245	195.873
430	0.086	1.64952	1.6105	0.0237523	29.3751	204.58
435	0.087	1.64907	1.6105	0.0237535	29.4106	213.241
440	0.088	1.64864	1.6105	0.0237587	29.4216	221.852
445	0.089	1.64823	1.6105	0.0237665	29.428	230.394
450	0.09	1.64783	1.6105	0.0237752	29.4515	238.86
455	0.091	1.64742	1.6105	0.0237834	29.4876	247.245
460	0.092	1.64702	1.6105	0.0237902	29.5406	255.543
465	0.093	1.64662	1.6105	0.023795	29.638	263.744
470	0.094	1.64621	1.6105	0.0237979	29.7505	271.847
475	0.095	1.64579	1.6105	0.0237992	29.8711	279.855
480	0.096	1.64537	1.6105	0.0237994	30.0159	287.764
485	0.097	1.64495	1.6105	0.0237987	30.1658	295.571
490	0.098	1.64454	1.6105	0.0237975	30.3336	303.268
495	0.099	1.64412	1.6105	0.0237956	30.5019	310.858
500	0.1	1.64371	1.6105	0.0237929	30.6772	318.33
505	0.101	1.64329	1.6105	0.023789	30.8543	325.696
510	0.102	1.64288	1.6105	0.0237838	31.053	332.937
515	0.103	1.64246	1.6105	0.0237771	31.2518	340.055
520	0.104	1.64203	1.6105	0.0237691	31.4678	347.061
525	0.105	1.64162	1.6105	0.0237599	31.6855	353.94
530	0.106	1.64119	1.6105	0.0237498	31.9164	360.696
535	0.107	1.64077	1.6105	0.0237392	32.148	367.336
540	0.108	1.64035	1.6105	0.0237284	32.375	373.854
545	0.109	1.63994	1.6105	0.0237175	32.6024	380.249
550	0.11	1.63953	1.6105	0.0237064	32.8266	386.525
555	0.111	1.63913	1.6105	0.0236947	33.0489	392.67
560	0.112	1.63872	1.6105	0.0236818	33.2751	398.692
565	0.113	1.63831	1.6105	0.0236674	33.5153	404.586
570	0.114	1.63789	1.6105	0.0236513	33.7742	410.349
575	0.115	1.63746	1.6105	0.023633	34.0455	415.988
580	0.116	1.63703	1.6105	0.0236125	34.3171	421.508
585	0.117	1.6366	1.6105	0.0235895	34.606	426.896
590	0.118	1.63615	1.6105	0.0235638	34.923	432.163
595	0.119	1.63569	1.6105	0.0235352	35.2389	437.299
600	0.12	1.63522	1.6105	0.0235033	35.5669	442.318
605	0.121	1.63474	1.6105	0.0234679	35.9242	447.21
610	0.122	1.63425	1.6105	0.0234288	36.2927	451.98
615	0.123	1.63374	1.6105	0.0233857	36.6763	456.636
620	0.124	1.63322	1.6105	0.0233384	37.0845	461.169
625	0.125	1.63268	1.6105	0.0232868	37.5174	465.584
630	0.126	1.63212	1.6105	0.0232302	37.9602	469.88
635	0.127	1.63154	1.6105	0.0231681	38.4285	474.059
640	0.128	1.63093	1.6105	0.0231001	38.9385	478.12
645	0.129	1.6303	1.6105	0.0230258	39.4542	482.073
650	0.13	1.62965	1.6105	0.0229453	40.0078	485.913
655	0.131	1.62898	1.6105	0.0228587	40.5834	489.642
660	0.132	1.62827	1.6105	0.0227661	41.1752	493.27
665	0.133	1.62755	1.6105	0.0226674	41.7974	496.791
670	0.134	1.6268	1.6105	0.0225626	42.4264	500.215
675	0.135	1.62604	1.6105	0.0224513	43.0841	503.53
680	0.136	1.62523	1.6105	0.0223332	43.7725	506.752
685	0.137	1.62441	1.6105	0.0222078	44.4747	509.875
690	0.138	1.62356	1.6105	0.0220748	45.1958	512.901
695	0.139	1.62267	1.6105	0.0219338	45.9595	515.832
700	0.14	1.62176	1.6105	0.0217847	46.7367	518.67
705	0.141	1.62081	1.6105	0.0216272	47.5572	521.41
710	0.142	1.61982	1.6105	0.0214614	48.3899	524.064
715	0.143	1.61881	1.6105	0.0212869	49.261	526.623
720	0.144	1.61776	1.6105	0.0211038	50.1409	529.088
725	0.145	1.61668	1.6105	0.0209118	51.0598	531.462
730	0.146	1.61557	1.6105	0.0207107	52.0022	533.737
735	0.147	1.61441	1.6105	0.0205003	52.9785	535.914
740	0.148	1.61322	1.6105	0.0202805	53.9783	537.993
745	0.149	1.612	1.6105	0.020051	54.994	539.976
750	0.15	1.61074	1.6105	0.0198116	56.048	541.855
755	0.151	1.60945	1.6105	0.0195622	57.1164	543.632
760	0.152	1.60811	1.6105	0.0193028	58.2217	545.307
765	0.153	1.60673	1.6105	0.0190331	59.3544	546.886
770	0.154	1.60532	1.6105	0.0187532	60.5048	548.368
775	0.155	1.60388	1.6105	0.0184628	61.6971	549.748
780	0.156	1.60239	1.6105	0.018162	62.9053	551.035
785	0.157	1.60087	1.6105	0.0178507	64.1254	552.227
790	0.158	1.59931	1.6105	0.0175287	65.3868	553.327
795	0.159	1.5977	1.6116	0.0171961	66.6599	554.341
800	0.16	1.59606	1.61579	0.0168526	67.975	555.275
805	0.161	1.59439	1.62008	0.0164984	69.2958	556.123
810	0.162	1.59268	1.62446	0.0161333	70.6437	556.888
815	0.163	1.59092	1.62892	0.0157574	72.0147	557.579
820	0.164	1.58913	1.63347	0.0153706	73.4062	558.201
825	0.165	1.5873	1.63811	0.0149729	74.8201	558.754
830	0.166	1.58545	1.64282	0.0145644	76.2538	559.234
835	0.167	1.58354	1.64763	0.014145	77.6953	559.652
840	0.168	1.58161	1.65253	0.0137149	79.1693	560.01
845	0.169	1.57964	1.65749	0.0132739	80.6618	560.31
850	0.17	1.57763	1.66252	0.0128223	82.1572	560.551
855	0.171	1.57559	1.66764	0.0123599	83.6681	560.744
860	0.172	1.57353	1.67284	0.011887	85.197	560.879
865	0.173	1.57142	1.67812	0.0114035	86.7433	560.972
