TimeSlice	Time	L Knee ext Ia	L Knee flx Ia	L Knee ext Ia IN	L Knee flx Ia IN	L Knee flx Ib	L Knee ext Ib	L Knee MN ext	L Knee MN flx	L Knee MN ext RE	L Knee MN flx RE
0	0	-0.0596848	-0.0596848	-0.06	-0.06	-0.06	-0.06	-0.0876866	-0.0876866	-0.0529905	-0.0529905
1	0.0002	-0.0593893	-0.0593893	-0.06	-0.0599999	-0.06	-0.06	-0.0779261	-0.0779261	-0.0533226	-0.0533226
2	0.0004	-0.0591127	-0.0591127	-0.0599999	-0.0599998	-0.06	-0.06	-0.0702106	-0.0702117	-0.0536006	-0.0536006
3	0.0006	-0.0588541	-0.0588541	-0.0599999	-0.0599998	-0.06	-0.06	-0.0641351	-0.0641389	-0.0538344	-0.0538344
4	0.0008	-0.0586125	-0.0586125	-0.0599998	-0.0599997	-0.06	-0.06	-0.0593773	-0.0593859	-0.0540321	-0.0540321
5	0.001	-0.0583872	-0.0583872	-0.0599998	-0.0599996	-0.06	-0.0599902	-0.055681	-0.0556968	-0.0542001	-0.0542002
6	0.0012	-0.0581772	-0.0581772	-0.0599997	-0.0599996	-0.06	-0.0599808	-0.0528423	-0.0528683	-0.0543438	-0.0543439
7	0.0014	-0.0579817	-0.0579816	-0.0599997	-0.0599995	-0.06	-0.0599718	-0.0506997	-0.050739	-0.0544675	-0.0544677
8	0.0016	-0.0577997	-0.0577997	-0.0599997	-0.0599994	-0.06	-0.0599631	-0.0491245	-0.0491805	-0.0545747	-0.0545749
9	0.0018	-0.0576412	-0.0576437	-0.0599996	-0.0599994	-0.06	-0.0599548	-0.0480143	-0.0480906	-0.0546682	-0.0546687
10	0.002	-0.0575129	-0.0575184	-0.0599996	-0.0599993	-0.0599993	-0.0599394	-0.0472845	-0.0473858	-0.0547506	-0.0547513
11	0.0022	-0.0574118	-0.0574209	-0.0599996	-0.0599993	-0.0599986	-0.0599246	-0.0468657	-0.0469972	-0.0548238	-0.0548248
12	0.0024	-0.0573354	-0.0573487	-0.0599996	-0.0599992	-0.0599979	-0.0599104	-0.0467024	-0.0468702	-0.0548895	-0.0548908
13	0.0026	-0.0572811	-0.0572993	-0.0599995	-0.0599992	-0.0599973	-0.0598968	-0.04675	-0.0469605	-0.0549488	-0.0549507
14	0.0028	-0.0572467	-0.0572705	-0.0599995	-0.0599991	-0.0599967	-0.0598837	-0.0469722	-0.0472329	-0.0550031	-0.0550056
15	0.003	-0.0572301	-0.0572602	-0.0599995	-0.0599991	-0.0599829	-0.0598637	-0.0473399	-0.0476589	-0.0550532	-0.0550564
16	0.0032	-0.0572294	-0.0572666	-0.0599994	-0.059999	-0.0599697	-0.0598446	-0.0478288	-0.0482145	-0.0550999	-0.055104
17	0.0034	-0.0572428	-0.057288	-0.0599994	-0.059999	-0.0599571	-0.0598262	-0.0484194	-0.0488812	-0.0551437	-0.0551489
18	0.0036	-0.0572688	-0.0573228	-0.0599994	-0.0599989	-0.0599449	-0.0598086	-0.0490957	-0.049644	-0.0551854	-0.0551919
19	0.0038	-0.0573058	-0.0573696	-0.0599994	-0.0599989	-0.0599332	-0.0597916	-0.0498442	-0.0504903	-0.0552252	-0.0552333
20	0.004	-0.0573525	-0.0574269	-0.0599994	-0.0599989	-0.0599101	-0.0597683	-0.0506538	-0.0514092	-0.0552636	-0.0552735
21	0.0042	-0.0574076	-0.0574934	-0.0599993	-0.0599988	-0.0598879	-0.059746	-0.0515148	-0.0523906	-0.0553009	-0.0553129
22	0.0044	-0.05747	-0.057568	-0.0599993	-0.0599988	-0.0598665	-0.0597246	-0.0524191	-0.0534268	-0.0553373	-0.0553517
23	0.0046	-0.0575387	-0.0576496	-0.0599993	-0.0599987	-0.059846	-0.059704	-0.0533598	-0.0545114	-0.0553731	-0.0553903
24	0.0048	-0.0576126	-0.0577372	-0.0599993	-0.0599987	-0.0598263	-0.0596842	-0.0543311	-0.0556389	-0.0554084	-0.0554288
