TimeSlice	Time	R Hip PF ext IN	R Hip PF flx IN	R Hip PF ext	R Hip PF flx
0	0	-0.0595489	-0.0595489	-0.052851	-0.052851
1	0.0002	-0.0591408	-0.0591408	-0.0531245	-0.0531234
2	0.0004	-0.0587731	-0.0587731	-0.053409	-0.0534056
3	0.0006	-0.0584436	-0.0584433	-0.0537011	-0.0536946
4	0.0008	-0.0581497	-0.0581491	-0.0539981	-0.0539874
5	0.001	-0.0578892	-0.0578881	-0.0542974	-0.0542818
6	0.0012	-0.0576599	-0.0576579	-0.0545967	-0.0545756
7	0.0014	-0.0574595	-0.0574565	-0.0548942	-0.054867
8	0.0016	-0.0572859	-0.0572817	-0.0551881	-0.0551543
9	0.0018	-0.0571373	-0.0571315	-0.0554772	-0.0554364
10	0.002	-0.0570117	-0.0570041	-0.0557602	-0.055712
11	0.0022	-0.0569075	-0.0568977	-0.0560363	-0.0559802
12	0.0024	-0.0568229	-0.0568107	-0.0563045	-0.0562403
13	0.0026	-0.0567564	-0.0567416	-0.0565643	-0.0564918
14	0.0028	-0.0567065	-0.0566887	-0.0568153	-0.056734
15	0.003	-0.056672	-0.0566509	-0.057057	-0.0569668
16	0.0032	-0.0566515	-0.0566268	-0.0572893	-0.0571899
17	0.0034	-0.0566438	-0.0566152	-0.057512	-0.057403
18	0.0036	-0.0566478	-0.056615	-0.057725	-0.0576062
19	0.0038	-0.0566626	-0.0566252	-0.0579284	-0.0577995
20	0.004	-0.0566871	-0.0566448	-0.0581222	-0.0579829
21	0.0042	-0.0567204	-0.0566729	-0.0583065	-0.0581564
22	0.0044	-0.0567616	-0.0567086	-0.0584815	-0.0583204
23	0.0046	-0.0568101	-0.0567511	-0.0586473	-0.0584748
24	0.0048	-0.056865	-0.0567997	-0.0588042	-0.05862
25	0.005	-0.0569257	-0.0568537	-0.0589525	-0.0587562
26	0.0052	-0.0569916	-0.0569124	-0.0590923	-0.0588837
27	0.0054	-0.0570619	-0.0569752	-0.0592239	-0.0590026
28	0.0056	-0.0571363	-0.0570415	-0.0593477	-0.0591133
29	0.0058	-0.0572141	-0.0571109	-0.0594639	-0.059216
30	0.006	-0.0572948	-0.0571828	-0.0595728	-0.0593111
31	0.0062	-0.0573781	-0.0572567	-0.0596746	-0.0593989
32	0.0064	-0.0574634	-0.0573323	-0.0597696	-0.0594795
33	0.0066	-0.0575505	-0.057409	-0.0598578	-0.0595533
34	0.0068	-0.0576388	-0.0574866	-0.0599394	-0.0596206
35	0.007	-0.0577281	-0.0575647	-0.0600148	-0.0596817
36	0.0072	-0.0578172	-0.0576429	-0.0600841	-0.0597368
37	0.0074	-0.0579028	-0.057721	-0.0601479	-0.0597863
38	0.0076	-0.057985	-0.0577987	-0.0602063	-0.0598304
39	0.0078	-0.058064	-0.0578757	-0.0602596	-0.0598696
40	0.008	-0.0581399	-0.0579518	-0.0603081	-0.0599042
41	0.0082	-0.0582129	-0.0580268	-0.0603521	-0.0599345
42	0.0084	-0.0582829	-0.0581005	-0.0603918	-0.0599608
43	0.0086	-0.0583503	-0.0581728	-0.0604274	-0.0599834
44	0.0088	-0.0584149	-0.0582435	-0.0604593	-0.0600026
45	0.009	-0.0584771	-0.0583124	-0.0604876	-0.0600186
46	0.0092	-0.0585368	-0.0583786	-0.0605125	-0.0600316
47	0.0094	-0.0585942	-0.0584421	-0.0605343	-0.0600418
48	0.0096	-0.0586493	-0.0585032	-0.0605532	-0.0600495
49	0.0098	-0.0587023	-0.0585619	-0.0605695	-0.0600549
50	0.01	-0.0587531	-0.0586183	-0.0605832	-0.0600579
51	0.0102	-0.058802	-0.0586725	-0.0605946	-0.0600605
52	0.0104	-0.058849	-0.0587245	-0.0606039	-0.0600625
53	0.0106	-0.0588941	-0.0587746	-0.0606112	-0.060064
54	0.0108	-0.0589375	-0.0588226	-0.0606166	-0.060065
55	0.011	-0.0589792	-0.0588688	-0.0606203	-0.0600656
56	0.0112	-0.0590192	-0.0589131	-0.0606224	-0.0600656
57	0.0114	-0.0590576	-0.0589557	-0.060623	-0.0600652
58	0.0116	-0.0590946	-0.0589967	-0.0606223	-0.0600643
59	0.0118	-0.0591301	-0.059036	-0.0606203	-0.060063
60	0.012	-0.0591642	-0.0590738	-0.0606172	-0.0600613
61	0.0122	-0.059197	-0.0591101	-0.060613	-0.0600592
62	0.0124	-0.0592285	-0.059145	-0.0606078	-0.0600568
63	0.0126	-0.0592587	-0.0591786	-0.0606017	-0.0600539
64	0.0128	-0.0592878	-0.0592108	-0.0605948	-0.0600508
65	0.013	-0.0593157	-0.0592417	-0.0605872	-0.0600473
66	0.0132	-0.0593425	-0.0592714	-0.0605788	-0.0600435
67	0.0134	-0.0593683	-0.0593	-0.0605699	-0.0600394
68	0.0136	-0.0593931	-0.0593275	-0.0605603	-0.060035
69	0.0138	-0.0594169	-0.0593538	-0.0605503	-0.0600304
70	0.014	-0.0594398	-0.0593792	-0.0605398	-0.0600255
71	0.0142	-0.0594617	-0.0594035	-0.0605289	-0.0600203
72	0.0144	-0.0594828	-0.0594269	-0.0605176	-0.060015
73	0.0146	-0.0595031	-0.0594494	-0.060506	-0.0600095
74	0.0148	-0.0595226	-0.059471	-0.0604941	-0.0600037
75	0.015	-0.0595413	-0.0594917	-0.0604819	-0.0599978
76	0.0152	-0.0595593	-0.0595115	-0.0604695	-0.0599917
77	0.0154	-0.0595766	-0.0595302	-0.0604569	-0.0599855
78	0.0156	-0.0595932	-0.0595477	-0.0604442	-0.0599791
79	0.0158	-0.0596091	-0.0595642	-0.0604314	-0.0599725
80	0.016	-0.0596245	-0.0595796	-0.0604185	-0.0599659
81	0.0162	-0.0596392	-0.059594	-0.0604055	-0.0599591
82	0.0164	-0.0596533	-0.0596075	-0.0603925	-0.0599522
83	0.0166	-0.0596669	-0.05962	-0.0603796	-0.0599453
84	0.0168	-0.05968	-0.0596316	-0.0603667	-0.0599382
85	0.017	-0.0596925	-0.0596423	-0.0603539	-0.0599311
86	0.0172	-0.0597046	-0.0596521	-0.0603411	-0.0599239
87	0.0174	-0.0597162	-0.0596612	-0.0603285	-0.0599166
88	0.0176	-0.0597273	-0.0596694	-0.060316	-0.0599093
89	0.0178	-0.059738	-0.0596769	-0.0603036	-0.0599019
90	0.018	-0.0597483	-0.0596836	-0.0602914	-0.0598945
91	0.0182	-0.0597581	-0.0596896	-0.0602794	-0.059887
92	0.0184	-0.0597676	-0.0596949	-0.0602676	-0.0598796
93	0.0186	-0.0597767	-0.0596996	-0.060256	-0.0598721
94	0.0188	-0.0597855	-0.0597036	-0.0602446	-0.0598645
95	0.019	-0.0597939	-0.059707	-0.0602334	-0.059857
96	0.0192	-0.059802	-0.0597098	-0.0602225	-0.0598494
97	0.0194	-0.0598097	-0.0597121	-0.0602118	-0.0598419
98	0.0196	-0.0598172	-0.0597137	-0.0602014	-0.0598343
99	0.0198	-0.0598244	-0.0597149	-0.0601912	-0.0598268
100	0.02	-0.0598313	-0.0597156	-0.0601814	-0.0598193
101	0.0202	-0.0598379	-0.0597158	-0.0601717	-0.0598117
102	0.0204	-0.0598442	-0.0597155	-0.0601624	-0.0598042
103	0.0206	-0.0598503	-0.0597147	-0.0601534	-0.0597967
104	0.0208	-0.0598562	-0.0597136	-0.0601446	-0.0597893
105	0.021	-0.0598618	-0.059712	-0.0601361	-0.0597818
106	0.0212	-0.0598673	-0.0597101	-0.0601279	-0.0597744
107	0.0214	-0.0598725	-0.0597077	-0.06012	-0.059767
108	0.0216	-0.0598775	-0.0597051	-0.0601123	-0.0597596
109	0.0218	-0.0598823	-0.059702	-0.060105	-0.0597523
110	0.022	-0.0598869	-0.0596987	-0.060098	-0.059745
111	0.0222	-0.0598913	-0.059695	-0.0600912	-0.0597378
112	0.0224	-0.0598956	-0.0596911	-0.0600847	-0.0597306
113	0.0226	-0.0598997	-0.0596869	-0.0600785	-0.0597234
114	0.0228	-0.0599036	-0.0596824	-0.0600726	-0.0597163
115	0.023	-0.0599074	-0.0596776	-0.060067	-0.0597092
116	0.0232	-0.059911	-0.0596727	-0.0600616	-0.0597021
117	0.0234	-0.0599145	-0.0596674	-0.0600566	-0.0596952
118	0.0236	-0.0599179	-0.059662	-0.0600518	-0.0596882
119	0.0238	-0.0599211	-0.0596564	-0.0600472	-0.0596813
120	0.024	-0.0599242	-0.0596506	-0.0600429	-0.0596745
121	0.0242	-0.0599272	-0.0596446	-0.0600389	-0.0596677
122	0.0244	-0.05993	-0.0596384	-0.0600351	-0.0596609
123	0.0246	-0.0599328	-0.0596321	-0.0600316	-0.0596543
124	0.0248	-0.0599354	-0.0596256	-0.0600283	-0.0596476
125	0.025	-0.0599379	-0.059619	-0.0600253	-0.059641
126	0.0252	-0.0599404	-0.0596123	-0.0600225	-0.0596345
127	0.0254	-0.0599427	-0.0596054	-0.0600199	-0.059628
128	0.0256	-0.0599449	-0.0595984	-0.0600175	-0.0596216
129	0.0258	-0.0599471	-0.0595913	-0.0600154	-0.0596152
130	0.026	-0.0599492	-0.0595841	-0.0600135	-0.0596089
131	0.0262	-0.0599512	-0.0595769	-0.0600118	-0.0596026
132	0.0264	-0.0599531	-0.0595695	-0.0600103	-0.0595964
133	0.0266	-0.0599549	-0.0595621	-0.060009	-0.0595903
134	0.0268	-0.0599567	-0.0595546	-0.0600079	-0.0595842
135	0.027	-0.0599584	-0.059547	-0.060007	-0.0595781
136	0.0272	-0.05996	-0.0595394	-0.0600062	-0.0595722
137	0.0274	-0.0599616	-0.0595317	-0.0600057	-0.0595662
138	0.0276	-0.0599631	-0.059524	-0.0600053	-0.0595603
139	0.0278	-0.0599645	-0.0595162	-0.0600051	-0.0595545
140	0.028	-0.0599659	-0.0595084	-0.060005	-0.0595487
141	0.0282	-0.0599673	-0.0595006	-0.0600052	-0.059543
142	0.0284	-0.0599685	-0.0594927	-0.0600054	-0.0595373
143	0.0286	-0.0599698	-0.0594848	-0.0600058	-0.0595317
144	0.0288	-0.059971	-0.0594769	-0.0600064	-0.0595262
145	0.029	-0.0599721	-0.059469	-0.0600071	-0.0595206
146	0.0292	-0.0599732	-0.0594611	-0.0600079	-0.0595152
147	0.0294	-0.0599743	-0.0594532	-0.0600089	-0.0595098
148	0.0296	-0.0599753	-0.0594453	-0.0600099	-0.0595044
149	0.0298	-0.0599762	-0.0594373	-0.060011	-0.0594991
150	0.03	-0.0599772	-0.0594294	-0.0600122	-0.0594939
151	0.0302	-0.0599781	-0.0594215	-0.0600134	-0.0594887
152	0.0304	-0.0599789	-0.0594136	-0.0600147	-0.0594835
153	0.0306	-0.0599797	-0.0594057	-0.0600161	-0.0594784
154	0.0308	-0.0599805	-0.0593979	-0.0600174	-0.0594733
155	0.031	-0.0599813	-0.05939	-0.0600189	-0.0594683
156	0.0312	-0.059982	-0.0593822	-0.0600204	-0.0594634
157	0.0314	-0.0599827	-0.0593744	-0.060022	-0.0594585
158	0.0316	-0.0599834	-0.0593666	-0.0600236	-0.0594536
159	0.0318	-0.0599841	-0.0593589	-0.0600253	-0.0594488
160	0.032	-0.0599847	-0.0593512	-0.060027	-0.0594441
161	0.0322	-0.0599853	-0.0593435	-0.0600288	-0.0594394
162	0.0324	-0.0599859	-0.0593358	-0.0600306	-0.0594347
163	0.0326	-0.0599864	-0.0593282	-0.0600325	-0.0594301
