TimeSlice	Time	R Hip ext Ia	R Hip flx Ia	R Hip ext Ia IN	R Hip flx Ia IN	R Hip flx Ib	R Hip ext Ib	R Hip MN flx	R Hip MN ext	R Hip MN ext RE	R Hip MN flx RE
0	0	-0.0596848	-0.0596848	-0.06	-0.06	-0.06	-0.06	-0.0876866	-0.0876866	-0.0529905	-0.0529905
1	0.0002	-0.0593893	-0.0593893	-0.0599086	-0.0599086	-0.06	-0.06	-0.0779261	-0.0779261	-0.0533226	-0.0533226
2	0.0004	-0.0591076	-0.0591076	-0.0598209	-0.0598209	-0.06	-0.06	-0.0702105	-0.0702118	-0.0536006	-0.0536006
3	0.0006	-0.0588393	-0.0588393	-0.0597365	-0.0597365	-0.06	-0.06	-0.0641352	-0.0641397	-0.0538344	-0.0538344
4	0.0008	-0.0585843	-0.0585843	-0.0596555	-0.0596555	-0.06	-0.06	-0.0593787	-0.0593887	-0.0540321	-0.0540321
5	0.001	-0.0583421	-0.0583421	-0.0595776	-0.0595776	-0.06	-0.06	-0.0556856	-0.0557033	-0.0542002	-0.0542001
6	0.0012	-0.0581123	-0.0581123	-0.0595028	-0.0595028	-0.06	-0.06	-0.0528531	-0.0528808	-0.054344	-0.0543438
7	0.0014	-0.0578945	-0.0578945	-0.0594309	-0.0594309	-0.06	-0.06	-0.05072	-0.0507598	-0.0544677	-0.0544675
8	0.0016	-0.0576883	-0.0576883	-0.0593618	-0.0593618	-0.06	-0.06	-0.0491581	-0.0492122	-0.0545751	-0.0545748
9	0.0018	-0.0575059	-0.0575036	-0.0592955	-0.0592955	-0.06	-0.06	-0.048065	-0.0481357	-0.0546689	-0.0546684
10	0.002	-0.0573524	-0.0573475	-0.0592309	-0.0592309	-0.059955	-0.06	-0.0473563	-0.0474466	-0.0547517	-0.054751
11	0.0022	-0.0572252	-0.0572173	-0.0591689	-0.0591689	-0.0599117	-0.06	-0.0469601	-0.0470761	-0.0548253	-0.0548244
12	0.0024	-0.0571218	-0.0571106	-0.0591093	-0.0591093	-0.0598702	-0.06	-0.0468214	-0.046969	-0.0548915	-0.0548903
13	0.0026	-0.05704	-0.0570251	-0.0590521	-0.0590521	-0.0598303	-0.06	-0.0468959	-0.0470809	-0.0549517	-0.05495
14	0.0028	-0.0569776	-0.0569586	-0.0589971	-0.0589971	-0.0597919	-0.06	-0.0471478	-0.0473762	-0.0550069	-0.0550047
15	0.003	-0.0569326	-0.0569093	-0.0589434	-0.0589434	-0.059699	-0.0599828	-0.047548	-0.047826	-0.0550581	-0.0550552
16	0.0032	-0.0569033	-0.0568752	-0.0588917	-0.0588917	-0.0596098	-0.0599663	-0.0480688	-0.048406	-0.0551061	-0.0551024
17	0.0034	-0.0568881	-0.0568548	-0.0588422	-0.0588422	-0.059524	-0.0599504	-0.0486912	-0.0490974	-0.0551515	-0.0551469
18	0.0036	-0.0568853	-0.0568464	-0.0587945	-0.0587945	-0.0594416	-0.0599351	-0.0493994	-0.0498845	-0.055195	-0.0551892
19	0.0038	-0.0568937	-0.0568488	-0.0587487	-0.0587487	-0.0593625	-0.0599205	-0.0501805	-0.0507546	-0.0552369	-0.0552298
20	0.004	-0.0569119	-0.0568606	-0.058704	-0.058704	-0.0592345	-0.0598892	-0.0510233	-0.0516971	-0.0552778	-0.055269
21	0.0042	-0.0569388	-0.0568806	-0.058661	-0.058661	-0.0591116	-0.0598592	-0.0519145	-0.0527023	-0.0553178	-0.0553072
22	0.0044	-0.0569732	-0.0569078	-0.0586197	-0.0586197	-0.0589934	-0.0598303	-0.0528465	-0.0537628	-0.0553573	-0.0553445
23	0.0046	-0.0570143	-0.0569411	-0.05858	-0.05858	-0.0588799	-0.0598026	-0.0538125	-0.0548724	-0.0553966	-0.0553812
