TimeSlice	Time	L Hip MN ext	L Hip MN flx	L Hip PF flx	L Hip PF ext	L RG ext	L RG flx
2500	0.5	-0.0549526	-0.0850027	-0.060353	-0.0577953	-0.058013	-0.0597387
2501	0.5002	-0.0549651	-0.0849975	-0.0603513	-0.0577963	-0.0580167	-0.0597359
2502	0.5004	-0.0549775	-0.0849923	-0.0603495	-0.0577974	-0.0580204	-0.0597331
2503	0.5006	-0.05499	-0.0849871	-0.0603478	-0.0577985	-0.0580241	-0.0597303
2504	0.5008	-0.0550025	-0.0849819	-0.0603461	-0.0577996	-0.0580279	-0.0597275
2505	0.501	-0.055015	-0.0849768	-0.0603444	-0.0578007	-0.0580316	-0.0597247
2506	0.5012	-0.0550275	-0.0849718	-0.0603427	-0.0578017	-0.0580354	-0.0597219
2507	0.5014	-0.05504	-0.0849667	-0.060341	-0.0578028	-0.0580393	-0.059719
2508	0.5016	-0.0550526	-0.0849617	-0.0603393	-0.0578039	-0.0580431	-0.0597161
2509	0.5018	-0.0550651	-0.0849567	-0.0603376	-0.057805	-0.058047	-0.0597132
2510	0.502	-0.0550776	-0.0849518	-0.0603358	-0.057806	-0.0580508	-0.0597103
2511	0.5022	-0.0550902	-0.0849469	-0.0603341	-0.0578071	-0.0580547	-0.0597073
2512	0.5024	-0.0551027	-0.0849421	-0.0603324	-0.0578082	-0.0580587	-0.0597044
2513	0.5026	-0.0551153	-0.0849372	-0.0603307	-0.0578093	-0.0580626	-0.0597014
2514	0.5028	-0.0551278	-0.0849325	-0.060329	-0.0578104	-0.0580666	-0.0596984
2515	0.503	-0.0551404	-0.0849277	-0.0603273	-0.0578114	-0.0580706	-0.0596954
2516	0.5032	-0.055153	-0.084923	-0.0603255	-0.0578125	-0.0580746	-0.0596923
2517	0.5034	-0.0551656	-0.0849184	-0.0603238	-0.0578136	-0.0580786	-0.0596892
2518	0.5036	-0.0551782	-0.0849137	-0.0603221	-0.0578147	-0.0580827	-0.0596862
2519	0.5038	-0.0551908	-0.0849091	-0.0603204	-0.0578157	-0.0580867	-0.059683
2520	0.504	-0.0552034	-0.0849046	-0.0603187	-0.0578168	-0.0580908	-0.0596799
