TimeSlice	Time	hip_L_flx_rec	hip_L_ext_rec	hip_L	hip_L_flx	hip_L_ext
0	0	1.5698	1.6105	0	0	0
5	0.001	1.56981	1.61051	0	0	0
10	0.002	1.56982	1.61666	3.56216e-017	44.5976	13.5224
15	0.003	1.5698	1.6105	-0.000764329	111.064	66.6295
20	0.004	1.57279	1.6105	0.000293954	164.266	119.398
25	0.005	1.58849	1.6105	0.00190509	208.172	169.573
30	0.006	1.6069	1.6105	0.00380943	242.121	215.482
35	0.007	1.6267	1.6105	0.00587814	264.25	253.837
40	0.008	1.64698	1.6105	0.00801734	272.751	274.916
45	0.009	1.66207	1.6105	0.00964628	271.057	276.415
50	0.01	1.67653	1.6105	0.0112267	261.576	262.071
55	0.011	1.69003	1.6105	0.0127248	248.322	240.095
60	0.012	1.70241	1.6105	0.0141215	233.649	215.842
65	0.013	1.7137	1.6105	0.0154206	218.799	191.529
70	0.014	1.72398	1.6105	0.016628	204.399	167.982
75	0.015	1.73332	1.6105	0.0177482	190.779	145.469
80	0.016	1.7417	1.6105	0.0187795	178.135	124.093
85	0.017	1.74918	1.6105	0.0197271	166.494	103.905
90	0.018	1.75584	1.6105	0.0205987	155.813	84.9183
95	0.019	1.76179	1.6105	0.0214044	146.011	67.1521
100	0.02	1.76716	1.6105	0.0221553	136.975	50.5928
105	0.021	1.77206	1.6105	0.0228626	128.628	35.2149
110	0.022	1.77658	1.6105	0.0235358	120.845	20.9779
115	0.023	1.78079	1.6105	0.0241825	113.57	7.84216
120	0.024	1.78476	1.6105	0.0248087	106.722	0
125	0.025	1.78853	1.6105	0.0254187	100.265	0
130	0.026	1.79214	1.6105	0.0260142	94.1532	0
135	0.027	1.79555	1.6105	0.026594	88.4423	0
140	0.028	1.79876	1.6105	0.0271571	83.218	0
145	0.029	1.80177	1.6105	0.0277021	78.5251	0
150	0.03	1.80458	1.6105	0.0282282	74.3274	0
155	0.031	1.80717	1.6105	0.028735	70.6068	0
160	0.032	1.80954	1.6105	0.0292227	67.3189	0
165	0.033	1.81173	1.6105	0.0296919	64.3815	0
170	0.034	1.81372	1.6105	0.0301434	61.7579	0
175	0.035	1.81552	1.6105	0.0305778	59.3912	0
180	0.036	1.81714	1.6105	0.030996	57.2505	0
185	0.037	1.81861	1.6105	0.0313986	55.2917	0
190	0.038	1.81993	1.6105	0.0317864	53.4776	0
195	0.039	1.82116	1.6105	0.032168	51.7659	0
200	0.04	1.82232	1.6105	0.0325415	50.1517	0
205	0.041	1.82337	1.6105	0.0329062	48.6337	0
210	0.042	1.82433	1.6105	0.0332617	47.2152	0
215	0.043	1.82519	1.6105	0.033607	45.921	0
220	0.044	1.82593	1.6105	0.0339417	44.733	0
225	0.045	1.82657	1.6105	0.0342657	43.6424	0
230	0.046	1.82709	1.6105	0.0345797	42.6706	0
235	0.047	1.82755	1.6105	0.0348847	41.7853	0
240	0.048	1.82791	1.6105	0.0351816	40.9784	0
245	0.049	1.82821	1.6105	0.0354716	40.2678	0
250	0.05	1.82846	1.6105	0.0357555	39.6296	0
255	0.051	1.82863	1.6105	0.0360336	39.0548	0
260	0.052	1.82877	1.6105	0.0363066	38.551	0
265	0.053	1.82886	1.6105	0.0365748	38.1073	0
270	0.054	1.8289	1.6105	0.0368381	37.7308	0
275	0.055	1.82889	1.6105	0.0370966	37.4187	0
280	0.056	1.82885	1.6105	0.0373499	37.1563	0
285	0.057	1.82874	1.6105	0.0375978	36.9705	0
290	0.058	1.82859	1.6105	0.0378385	36.8515	0
295	0.059	1.82834	1.6105	0.0380715	36.8138	0
300	0.06	1.82805	1.6105	0.0382968	36.8435	0
305	0.061	1.82767	1.6105	0.0385142	36.9449	0
310	0.062	1.82723	1.6105	0.0387236	37.1171	0
315	0.063	1.82667	1.6105	0.0389218	37.3898	0
320	0.064	1.82603	1.6105	0.0391084	37.743	0
325	0.065	1.82528	1.6105	0.0392833	38.1822	0
330	0.066	1.82442	1.6105	0.0394465	38.7106	0
335	0.067	1.82346	1.6105	0.0395982	39.3324	0
340	0.068	1.82242	1.6105	0.0397385	40.0212	0
345	0.069	1.82127	1.6105	0.0398676	40.7956	0
350	0.07	1.82003	1.6105	0.0399858	41.6484	0
355	0.071	1.8187	1.6105	0.0400934	42.5787	0
