TimeSlice	Time	L Knee ext Ia	L Knee flx Ia	L Knee ext Ia IN	L Knee flx Ia IN	L Knee flx Ib	L Knee ext Ib	L Knee MN ext	L Knee MN flx	L Knee MN ext RE	L Knee MN flx RE
0	0	-0.0596848	-0.0596848	-0.06	-0.06	-0.06	-0.06	-0.0876866	-0.0876866	-0.0529905	-0.0529905
1	0.0002	-0.0593893	-0.0593893	-0.06	-0.0599999	-0.06	-0.06	-0.0779261	-0.0779261	-0.0533226	-0.0533226
2	0.0004	-0.0591127	-0.0591127	-0.0599999	-0.0599998	-0.06	-0.06	-0.0702106	-0.0702118	-0.0536006	-0.0536006
3	0.0006	-0.0588541	-0.0588541	-0.0599999	-0.0599998	-0.06	-0.06	-0.0641351	-0.0641391	-0.0538344	-0.0538344
4	0.0008	-0.0586125	-0.0586125	-0.0599998	-0.0599997	-0.06	-0.06	-0.0593773	-0.0593861	-0.0540321	-0.0540321
5	0.001	-0.0583872	-0.0583872	-0.0599998	-0.0599996	-0.06	-0.0599991	-0.055681	-0.0556967	-0.0542001	-0.0542002
6	0.0012	-0.0581772	-0.0581772	-0.0599997	-0.0599996	-0.06	-0.0599982	-0.0528428	-0.0528676	-0.0543438	-0.0543439
7	0.0014	-0.0579817	-0.0579816	-0.0599997	-0.0599995	-0.06	-0.0599974	-0.0507009	-0.050737	-0.0544675	-0.0544677
8	0.0016	-0.0577997	-0.0577997	-0.0599997	-0.0599994	-0.06	-0.0599965	-0.0491267	-0.0491765	-0.0545747	-0.0545749
9	0.0018	-0.0576412	-0.0576434	-0.0599996	-0.0599994	-0.06	-0.0599958	-0.0480176	-0.0480837	-0.0546683	-0.0546687
10	0.002	-0.0575129	-0.0575176	-0.0599996	-0.0599993	-0.059999	-0.0599959	-0.0472892	-0.0473749	-0.0547507	-0.0547513
11	0.0022	-0.0574118	-0.0574195	-0.0599996	-0.0599993	-0.0599981	-0.0599961	-0.0468723	-0.0469811	-0.0548239	-0.0548247
12	0.0024	-0.0573354	-0.0573466	-0.0599996	-0.0599992	-0.0599972	-0.0599962	-0.0467115	-0.0468473	-0.0548895	-0.0548907
13	0.0026	-0.0572812	-0.0572962	-0.0599995	-0.0599992	-0.0599964	-0.0599964	-0.0467622	-0.0469292	-0.0549489	-0.0549505
14	0.0028	-0.0572469	-0.0572662	-0.0599995	-0.0599991	-0.0599956	-0.0599965	-0.0469881	-0.0471913	-0.0550032	-0.0550053
15	0.003	-0.0572304	-0.0572546	-0.0599995	-0.0599991	-0.0599809	-0.0599855	-0.0473601	-0.0476049	-0.0550534	-0.055056
16	0.0032	-0.0572298	-0.0572594	-0.0599994	-0.059999	-0.0599669	-0.0599748	-0.0478539	-0.0481456	-0.0551001	-0.0551034
17	0.0034	-0.0572434	-0.057279	-0.0599994	-0.059999	-0.0599534	-0.0599646	-0.0484501	-0.0487948	-0.055144	-0.0551482
18	0.0036	-0.0572696	-0.0573117	-0.0599994	-0.0599989	-0.0599404	-0.0599548	-0.0491327	-0.0495371	-0.0551858	-0.0551909
19	0.0038	-0.0573069	-0.0573561	-0.0599994	-0.0599989	-0.0599279	-0.0599454	-0.0498884	-0.05036	-0.0552257	-0.0552319
20	0.004	-0.057354	-0.0574109	-0.0599994	-0.0599989	-0.0599047	-0.0599205	-0.0507063	-0.051253	-0.0552643	-0.0552718
21	0.0042	-0.0574095	-0.0574748	-0.0599993	-0.0599988	-0.0598825	-0.0598965	-0.0515763	-0.0522068	-0.0553017	-0.0553107
22	0.0044	-0.0574725	-0.0575467	-0.0599993	-0.0599988	-0.059861	-0.0598735	-0.0524905	-0.0532141	-0.0553383	-0.0553491
23	0.0046	-0.0575418	-0.0576257	-0.0599993	-0.0599987	-0.0598405	-0.0598514	-0.0534422	-0.0542691	-0.0553743	-0.0553871
24	0.0048	-0.0576164	-0.0577107	-0.0599993	-0.0599987	-0.0598207	-0.0598302	-0.0544256	-0.0553665	-0.0554099	-0.0554249
