TimeSlice	Time	R Hip ext Ia	R Hip flx Ia	R Hip ext Ia IN	R Hip flx Ia IN	R Hip flx Ib	R Hip ext Ib	R Hip MN flx	R Hip MN ext	R Hip MN ext RE	R Hip MN flx RE
0	0	-0.0596848	-0.0596848	-0.06	-0.06	-0.06	-0.06	-0.0876866	-0.0876866	-0.0529905	-0.0529905
1	0.0002	-0.0593893	-0.0593893	-0.0599086	-0.0599086	-0.06	-0.06	-0.0779261	-0.0779261	-0.0533226	-0.0533226
2	0.0004	-0.0591076	-0.0591076	-0.0598209	-0.0598209	-0.06	-0.06	-0.0702106	-0.0702118	-0.0536006	-0.0536006
3	0.0006	-0.0588393	-0.0588393	-0.0597365	-0.0597365	-0.06	-0.06	-0.0641357	-0.0641397	-0.0538344	-0.0538344
4	0.0008	-0.0585843	-0.0585843	-0.0596555	-0.0596555	-0.06	-0.06	-0.0593799	-0.0593887	-0.0540321	-0.0540321
5	0.001	-0.0583421	-0.0583421	-0.0595776	-0.0595776	-0.06	-0.06	-0.0556876	-0.0557033	-0.0542002	-0.0542001
6	0.0012	-0.0581123	-0.0581123	-0.0595028	-0.0595028	-0.06	-0.06	-0.052856	-0.0528808	-0.054344	-0.0543439
7	0.0014	-0.0578945	-0.0578945	-0.059431	-0.059431	-0.06	-0.06	-0.0507238	-0.0507598	-0.0544677	-0.0544676
8	0.0016	-0.0576883	-0.0576883	-0.0593619	-0.0593619	-0.06	-0.06	-0.0491625	-0.0492122	-0.0545751	-0.0545748
9	0.0018	-0.0575059	-0.0575037	-0.0592956	-0.0592956	-0.06	-0.06	-0.0480698	-0.0481357	-0.0546689	-0.0546685
10	0.002	-0.0573524	-0.0573477	-0.0592318	-0.0592318	-0.0599525	-0.06	-0.0473613	-0.0474465	-0.0547517	-0.0547511
11	0.0022	-0.0572253	-0.0572175	-0.0591706	-0.0591706	-0.0599068	-0.06	-0.0469644	-0.047076	-0.0548253	-0.0548245
12	0.0024	-0.057122	-0.0571109	-0.0591117	-0.0591117	-0.0598629	-0.06	-0.0468242	-0.0469688	-0.0548915	-0.0548904
13	0.0026	-0.0570402	-0.0570253	-0.0590552	-0.0590552	-0.0598208	-0.06	-0.0468964	-0.0470808	-0.0549517	-0.0549501
14	0.0028	-0.056978	-0.0569588	-0.0590009	-0.0590009	-0.0597802	-0.06	-0.047145	-0.0473761	-0.0550069	-0.0550047
15	0.003	-0.0569332	-0.0569092	-0.0589485	-0.0589485	-0.0596874	-0.0599926	-0.0475409	-0.047826	-0.0550581	-0.0550553
16	0.0032	-0.0569042	-0.056875	-0.0588981	-0.0588981	-0.0595982	-0.0599854	-0.0480564	-0.0484067	-0.0551061	-0.0551025
17	0.0034	-0.0568893	-0.0568543	-0.0588498	-0.0588498	-0.0595125	-0.0599785	-0.0486723	-0.0490992	-0.0551515	-0.0551469
18	0.0036	-0.0568869	-0.0568456	-0.0588033	-0.0588033	-0.0594302	-0.0599719	-0.0493729	-0.0498881	-0.055195	-0.0551892
19	0.0038	-0.0568957	-0.0568475	-0.0587587	-0.0587587	-0.059351	-0.0599656	-0.0501449	-0.0507605	-0.0552369	-0.0552297
20	0.004	-0.0569145	-0.0568589	-0.0587147	-0.0587147	-0.0592269	-0.0599442	-0.0509774	-0.0517058	-0.0552778	-0.0552688
21	0.0042	-0.0569419	-0.0568783	-0.0586724	-0.0586724	-0.0591076	-0.0599237	-0.0518571	-0.0527146	-0.0553179	-0.0553068
22	0.0044	-0.056977	-0.0569048	-0.0586318	-0.0586318	-0.0589929	-0.0599039	-0.0527763	-0.0537796	-0.0553574	-0.0553439
23	0.0046	-0.0570188	-0.0569374	-0.0585928	-0.0585928	-0.0588828	-0.059885	-0.0537284	-0.0548945	-0.0553968	-0.0553805
