TimeSlice	Time	R Knee flx Ia	R Knee ext Ia	R Knee ext Ia IN	R Knee flx Ia IN	R Knee ext Ib	R Knee flx Ib	R Knee MN flx	R Knee MN ext	R Knee MN flx RE	L Knee MN ext RE
0	0	-0.0596848	-0.0596848	-0.06	-0.06	-0.06	-0.06	-0.0876866	-0.0876866	-0.0529905	-0.0529905
1	0.0002	-0.0593893	-0.0593893	-0.06	-0.0599999	-0.06	-0.06	-0.0779261	-0.0779261	-0.0533226	-0.0533226
2	0.0004	-0.0591127	-0.0591127	-0.0599999	-0.0599998	-0.06	-0.06	-0.0702106	-0.0702118	-0.0536006	-0.0536006
3	0.0006	-0.0588541	-0.0588541	-0.0599999	-0.0599998	-0.06	-0.06	-0.0641351	-0.0641391	-0.0538344	-0.0538344
4	0.0008	-0.0586125	-0.0586125	-0.0599998	-0.0599997	-0.06	-0.06	-0.0593773	-0.0593861	-0.0540321	-0.0540321
5	0.001	-0.0583872	-0.0583872	-0.0599998	-0.0599996	-0.0599991	-0.06	-0.055681	-0.0556967	-0.0542001	-0.0542002
6	0.0012	-0.0581772	-0.0581772	-0.0599997	-0.0599996	-0.0599982	-0.06	-0.0528428	-0.0528675	-0.0543438	-0.0543439
7	0.0014	-0.0579816	-0.0579817	-0.0599997	-0.0599995	-0.0599974	-0.06	-0.050701	-0.0507369	-0.0544675	-0.0544677
8	0.0016	-0.0577997	-0.0577997	-0.0599997	-0.0599994	-0.0599965	-0.06	-0.0491269	-0.0491763	-0.0545747	-0.0545749
9	0.0018	-0.0576411	-0.0576434	-0.0599996	-0.0599994	-0.0599958	-0.06	-0.0480179	-0.0480834	-0.0546683	-0.0546687
10	0.002	-0.0575128	-0.0575177	-0.0599996	-0.0599993	-0.0599951	-0.0599965	-0.0472896	-0.0473744	-0.0547507	-0.0547513
11	0.0022	-0.0574117	-0.0574196	-0.0599996	-0.0599993	-0.0599944	-0.0599932	-0.0468726	-0.0469806	-0.0548239	-0.0548247
12	0.0024	-0.0573353	-0.0573466	-0.0599995	-0.0599992	-0.0599938	-0.05999	-0.0467115	-0.0468468	-0.0548895	-0.0548907
13	0.0026	-0.0572811	-0.0572963	-0.0599995	-0.0599992	-0.0599932	-0.0599869	-0.0467615	-0.0469287	-0.0549489	-0.0549505
14	0.0028	-0.0572467	-0.0572663	-0.0599995	-0.0599991	-0.0599926	-0.0599839	-0.0469868	-0.0471909	-0.0550032	-0.0550053
15	0.003	-0.0572302	-0.0572547	-0.0599995	-0.0599991	-0.0599803	-0.0599699	-0.0473579	-0.0476045	-0.0550534	-0.055056
16	0.0032	-0.0572297	-0.0572596	-0.0599994	-0.059999	-0.0599685	-0.0599565	-0.0478504	-0.0481458	-0.0551001	-0.0551034
17	0.0034	-0.0572433	-0.0572792	-0.0599994	-0.059999	-0.0599571	-0.0599436	-0.0484449	-0.0487961	-0.055144	-0.0551482
18	0.0036	-0.0572694	-0.0573119	-0.0599994	-0.0599989	-0.0599462	-0.0599312	-0.0491253	-0.0495399	-0.0551857	-0.0551909
19	0.0038	-0.0573067	-0.0573563	-0.0599994	-0.0599989	-0.0599358	-0.0599193	-0.0498786	-0.0503647	-0.0552257	-0.055232
20	0.004	-0.0573537	-0.0574111	-0.0599993	-0.0599989	-0.0599111	-0.0598977	-0.0506937	-0.05126	-0.0552642	-0.0552718
21	0.0042	-0.0574093	-0.057475	-0.0599993	-0.0599988	-0.0598875	-0.059877	-0.0515604	-0.0522166	-0.0553016	-0.0553108
22	0.0044	-0.0574722	-0.057547	-0.0599993	-0.0599988	-0.0598647	-0.0598571	-0.052471	-0.0532273	-0.0553381	-0.0553492
23	0.0046	-0.0575415	-0.057626	-0.0599993	-0.0599987	-0.0598429	-0.0598379	-0.0534188	-0.0542861	-0.0553741	-0.0553872
24	0.0048	-0.0576161	-0.057711	-0.0599993	-0.0599987	-0.0598219	-0.0598196	-0.0543978	-0.055388	-0.0554096	-0.0554251
