TimeSlice	Time	L RG ext IN	L RG flx IN	L RG ext	L RG flx
0	0	-0.0595489	-0.0595489	-0.052453	-0.0528447
1	0.0002	-0.0591174	-0.0591404	-0.0523455	-0.0531112
2	0.0004	-0.0587062	-0.058772	-0.0522658	-0.053389
3	0.0006	-0.0583161	-0.0584414	-0.0522105	-0.053676
4	0.0008	-0.0579473	-0.0581463	-0.0521765	-0.0539698
5	0.001	-0.0575996	-0.0578844	-0.0521608	-0.0542685
6	0.0012	-0.0572728	-0.0576538	-0.0521607	-0.0545702
7	0.0014	-0.0569665	-0.0574523	-0.0521739	-0.054873
8	0.0016	-0.05668	-0.057278	-0.052198	-0.0551754
9	0.0018	-0.0564127	-0.0571291	-0.052231	-0.0554759
10	0.002	-0.0561637	-0.0570039	-0.0522711	-0.0557733
11	0.0022	-0.0559322	-0.0569007	-0.0523167	-0.0560665
12	0.0024	-0.0557173	-0.056818	-0.0523661	-0.0563544
13	0.0026	-0.0555181	-0.0567543	-0.0524182	-0.0566363
14	0.0028	-0.0553337	-0.0567083	-0.0524717	-0.0569115
15	0.003	-0.0551631	-0.0566786	-0.0525257	-0.0571793
16	0.0032	-0.0550056	-0.056664	-0.052579	-0.0574394
17	0.0034	-0.0548602	-0.0566634	-0.0526311	-0.0576914
18	0.0036	-0.054726	-0.0566757	-0.0526812	-0.057935
19	0.0038	-0.0546023	-0.0566999	-0.0527287	-0.0581701
20	0.004	-0.0544883	-0.0567351	-0.052773	-0.0583966
21	0.0042	-0.0543831	-0.0567804	-0.0528138	-0.0586143
22	0.0044	-0.0542861	-0.0568349	-0.0528507	-0.0588234
23	0.0046	-0.0541966	-0.0568979	-0.0528834	-0.0590239
24	0.0048	-0.0541139	-0.0569686	-0.0529117	-0.0592158
25	0.005	-0.0540375	-0.0570464	-0.0529353	-0.0593995
26	0.0052	-0.0539666	-0.0571306	-0.0529541	-0.0595749
27	0.0054	-0.0539009	-0.0572206	-0.0529679	-0.0597424
28	0.0056	-0.0538396	-0.0573159	-0.0529768	-0.0599022
29	0.0058	-0.0537825	-0.0574159	-0.0529807	-0.0600543
30	0.006	-0.0537289	-0.0575172	-0.0529794	-0.0601993
31	0.0062	-0.0536785	-0.0576146	-0.0529733	-0.0603371
32	0.0064	-0.0536309	-0.0577081	-0.0529626	-0.0604682
33	0.0066	-0.0535857	-0.057798	-0.0529478	-0.0605928
34	0.0068	-0.0535426	-0.0578843	-0.0529292	-0.0607112
35	0.007	-0.0535014	-0.0579673	-0.0529072	-0.0608236
36	0.0072	-0.0534617	-0.058047	-0.0528821	-0.0609302
37	0.0074	-0.0534234	-0.0581236	-0.0528541	-0.0610314
38	0.0076	-0.0533863	-0.0581972	-0.0528235	-0.0611274
39	0.0078	-0.0533502	-0.0582678	-0.0527906	-0.0612184
40	0.008	-0.0533149	-0.0583358	-0.0527555	-0.0613047
41	0.0082	-0.0532804	-0.058401	-0.0527186	-0.0613866
42	0.0084	-0.0532464	-0.0584637	-0.0526799	-0.0614642
43	0.0086	-0.053213	-0.058524	-0.0526397	-0.0615377
44	0.0088	-0.05318	-0.0585818	-0.0525982	-0.0616074
45	0.009	-0.0531473	-0.0586374	-0.0525554	-0.0616735
46	0.0092	-0.053115	-0.0586909	-0.0525117	-0.0617361
47	0.0094	-0.0530829	-0.0587422	-0.052467	-0.0617955
48	0.0096	-0.053051	-0.0587915	-0.0524215	-0.0618519
49	0.0098	-0.0530192	-0.0588389	-0.0523754	-0.0619053
50	0.01	-0.0529876	-0.0588844	-0.05272	-0.0619559
51	0.0102	-0.0529715	-0.0589282	-0.0530474	-0.0620053
52	0.0104	-0.0529694	-0.0589702	-0.0533586	-0.0620531
53	0.0106	-0.0529797	-0.0590106	-0.0536546	-0.062099
54	0.0108	-0.0530011	-0.0590494	-0.0539365	-0.0621427
55	0.011	-0.0530325	-0.0590866	-0.0542049	-0.062184
56	0.0112	-0.0530727	-0.0591225	-0.0544607	-0.062223
57	0.0114	-0.0531209	-0.0591569	-0.0547043	-0.0622594
58	0.0116	-0.0531762	-0.0591899	-0.0549365	-0.0622931
59	0.0118	-0.0532378	-0.0592217	-0.0551579	-0.0623243
60	0.012	-0.053305	-0.0592522	-0.0553689	-0.0623527
61	0.0122	-0.0533773	-0.0592815	-0.05557	-0.0623785
62	0.0124	-0.0534539	-0.0593097	-0.0557617	-0.0624017
63	0.0126	-0.0535344	-0.0593368	-0.0559445	-0.0624223
64	0.0128	-0.0536184	-0.0593628	-0.0561188	-0.0624403
65	0.013	-0.0537053	-0.0593878	-0.056285	-0.0624559
66	0.0132	-0.0537948	-0.0594118	-0.0564435	-0.062469
67	0.0134	-0.0538865	-0.0594348	-0.0565946	-0.0624797
68	0.0136	-0.0539801	-0.059457	-0.0567386	-0.0624881
69	0.0138	-0.0540752	-0.0594783	-0.056876	-0.0624942
70	0.014	-0.0541716	-0.0594987	-0.0570069	-0.0624982
71	0.0142	-0.0542691	-0.0595184	-0.0571318	-0.0625001
72	0.0144	-0.0543673	-0.0595373	-0.0572508	-0.0625
73	0.0146	-0.0544661	-0.0595554	-0.0573643	-0.0624979
74	0.0148	-0.0545653	-0.0595729	-0.0574725	-0.062494
75	0.015	-0.0546646	-0.0595896	-0.0575756	-0.0624883
76	0.0152	-0.0547639	-0.0596057	-0.0576739	-0.0624808
77	0.0154	-0.0548631	-0.0596212	-0.0577676	-0.0624718
78	0.0156	-0.054962	-0.059636	-0.057857	-0.0624611
79	0.0158	-0.0550605	-0.0596503	-0.0579421	-0.0624489
80	0.016	-0.0551584	-0.059664	-0.0580232	-0.0624353
81	0.0162	-0.0552556	-0.0596772	-0.0581005	-0.0624204
82	0.0164	-0.0553521	-0.0596898	-0.0581741	-0.0624041
83	0.0166	-0.0554478	-0.059702	-0.0582443	-0.0623866
84	0.0168	-0.0555425	-0.0597137	-0.0583111	-0.0623679
85	0.017	-0.0556362	-0.0597249	-0.0583747	-0.0623481
86	0.0172	-0.0557288	-0.0597357	-0.0584353	-0.0623273
87	0.0174	-0.0558203	-0.0597461	-0.058493	-0.0623054
88	0.0176	-0.0559105	-0.059756	-0.0585479	-0.0622826
89	0.0178	-0.0559995	-0.0597656	-0.0586001	-0.0622589
90	0.018	-0.0560872	-0.0597748	-0.0586498	-0.0622344
91	0.0182	-0.0561735	-0.0597836	-0.0586971	-0.0622091
92	0.0184	-0.0562585	-0.0597921	-0.0587421	-0.062183
93	0.0186	-0.0563421	-0.0598002	-0.0587848	-0.0621563
94	0.0188	-0.0564242	-0.0598081	-0.0588255	-0.0621289
95	0.019	-0.0565048	-0.0598156	-0.0588641	-0.0621009
96	0.0192	-0.056584	-0.0598228	-0.0589008	-0.0620723
97	0.0194	-0.0566617	-0.0598298	-0.0589356	-0.0620433
98	0.0196	-0.0567378	-0.0598365	-0.0589687	-0.0620137
99	0.0198	-0.0568125	-0.0598429	-0.0590001	-0.0619837
100	0.02	-0.0568855	-0.059849	-0.0590298	-0.0619534
101	0.0202	-0.0569571	-0.0598549	-0.059058	-0.0619226
102	0.0204	-0.0570271	-0.0598606	-0.0590848	-0.0618915
103	0.0206	-0.0570956	-0.0598661	-0.0591101	-0.0618602
104	0.0208	-0.0571625	-0.0598713	-0.0591341	-0.0618286
105	0.021	-0.0572279	-0.0598764	-0.0591568	-0.0617967
106	0.0212	-0.0572918	-0.0598812	-0.0591783	-0.0617647
107	0.0214	-0.0573542	-0.0598859	-0.0591986	-0.0617325
108	0.0216	-0.057415	-0.0598904	-0.0592177	-0.0617001
109	0.0218	-0.0574743	-0.0598947	-0.0592358	-0.0616677
110	0.022	-0.0575322	-0.0598988	-0.0592529	-0.0616351
111	0.0222	-0.0575885	-0.0599028	-0.059269	-0.0616025
112	0.0224	-0.0576434	-0.0599066	-0.0592841	-0.0615699
113	0.0226	-0.0576969	-0.0599102	-0.0592984	-0.0615373
114	0.0228	-0.0577489	-0.0599138	-0.0593118	-0.0615047
115	0.023	-0.0577995	-0.0599171	-0.0593243	-0.0614721
116	0.0232	-0.0578487	-0.0599204	-0.0593361	-0.0614396
117	0.0234	-0.0578965	-0.0599235	-0.0593472	-0.0614071
118	0.0236	-0.0579429	-0.0599265	-0.0593575	-0.0613748
119	0.0238	-0.057988	-0.0599294	-0.0593671	-0.0613426
120	0.024	-0.0580318	-0.0599322	-0.0593761	-0.0613105
121	0.0242	-0.0580743	-0.0599348	-0.0593845	-0.0612786
122	0.0244	-0.0581155	-0.0599374	-0.0593923	-0.0612469
123	0.0246	-0.0581555	-0.0599398	-0.0593995	-0.0612153
124	0.0248	-0.0581942	-0.0599422	-0.0594062	-0.0611839
125	0.025	-0.0582317	-0.0599445	-0.0594123	-0.0611528
126	0.0252	-0.058268	-0.0599466	-0.059418	-0.0611219
127	0.0254	-0.0583031	-0.0599487	-0.0594232	-0.0610912
128	0.0256	-0.0583371	-0.0599507	-0.0594279	-0.0610608
129	0.0258	-0.05837	-0.0599527	-0.0594322	-0.0610307
130	0.026	-0.0584017	-0.0599545	-0.0594362	-0.0610009
131	0.0262	-0.0584324	-0.0599563	-0.0594397	-0.0609713
132	0.0264	-0.0584621	-0.059958	-0.0594428	-0.0609421
133	0.0266	-0.0584907	-0.0599597	-0.0594456	-0.0609131
134	0.0268	-0.0585183	-0.0599613	-0.0594481	-0.0608845
135	0.027	-0.0585449	-0.0599628	-0.0594503	-0.0608562
136	0.0272	-0.0585705	-0.0599642	-0.0594521	-0.0608282
137	0.0274	-0.0585952	-0.0599656	-0.0594537	-0.0608006
138	0.0276	-0.058619	-0.059967	-0.0594549	-0.0607734
139	0.0278	-0.0586418	-0.0599683	-0.059456	-0.0607464
140	0.028	-0.0586638	-0.0599695	-0.0594567	-0.0607199
141	0.0282	-0.058685	-0.0599707	-0.0594573	-0.0606937
142	0.0284	-0.0587053	-0.0599719	-0.0594576	-0.0606679
143	0.0286	-0.0587248	-0.059973	-0.0594577	-0.0606425
144	0.0288	-0.0587435	-0.059974	-0.0594576	-0.0606174
145	0.029	-0.0587615	-0.059975	-0.0594573	-0.0605928
146	0.0292	-0.0587787	-0.059976	-0.0594568	-0.0605685
147	0.0294	-0.0587951	-0.059977	-0.0594561	-0.0605446
148	0.0296	-0.0588109	-0.0599779	-0.0594553	-0.0605211
149	0.0298	-0.0588259	-0.0599787	-0.0594543	-0.060498
150	0.03	-0.0588403	-0.0599796	-0.0594532	-0.0604753
151	0.0302	-0.058854	-0.0599804	-0.059452	-0.060453
152	0.0304	-0.0588671	-0.0599811	-0.0594506	-0.0604311
153	0.0306	-0.0588796	-0.0599819	-0.0594491	-0.0604096
154	0.0308	-0.0588915	-0.0599826	-0.0594474	-0.0603884
155	0.031	-0.0589028	-0.0599833	-0.0594457	-0.0603677
156	0.0312	-0.0589136	-0.0599839	-0.0594439	-0.0603474
157	0.0314	-0.0589238	-0.0599846	-0.0594419	-0.0603274
158	0.0316	-0.0589334	-0.0599852	-0.0594399	-0.0603079
159	0.0318	-0.0589426	-0.0599857	-0.0594378	-0.0602887
160	0.032	-0.0589512	-0.0599863	-0.0594356	-0.06027
161	0.0322	-0.0589594	-0.0599868	-0.0594333	-0.0602516
162	0.0324	-0.0589671	-0.0599874	-0.059431	-0.0602336
163	0.0326	-0.0589744	-0.0599879	-0.0594286	-0.060216
164	0.0328	-0.0589812	-0.0599883	-0.0594261	-0.0601988
165	0.033	-0.0589876	-0.0599888	-0.0594236	-0.0601819
166	0.0332	-0.0589936	-0.0599892	-0.059421	-0.0601655
167	0.0334	-0.0589992	-0.0599896	-0.0594183	-0.0601494
168	0.0336	-0.0590044	-0.0599901	-0.0594157	-0.0601337
169	0.0338	-0.0590092	-0.0599904	-0.059413	-0.0601183
170	0.034	-0.0590137	-0.0599908	-0.0594102	-0.0601033
171	0.0342	-0.0590178	-0.0599912	-0.0594074	-0.0600887
172	0.0344	-0.0590216	-0.0599915	-0.0594046	-0.0600744
173	0.0346	-0.0590251	-0.0599919	-0.0594017	-0.0600604
174	0.0348	-0.0590283	-0.0599922	-0.0593988	-0.0600468
175	0.035	-0.0590311	-0.0599925	-0.0593959	-0.0600336
176	0.0352	-0.0590337	-0.0599928	-0.059393	-0.0600207
177	0.0354	-0.059036	-0.0599931	-0.05939	-0.0600081
178	0.0356	-0.0590381	-0.0599933	-0.0593871	-0.0599958
179	0.0358	-0.0590398	-0.0599933	-0.0593841	-0.0599839
180	0.036	-0.0590414	-0.0599926	-0.0593811	-0.0599723
181	0.0362	-0.0590427	-0.0599912	-0.0593781	-0.059961
182	0.0364	-0.0590437	-0.0599891	-0.0593752	-0.05995
183	0.0366	-0.0590446	-0.0599865	-0.0593723	-0.0599393
184	0.0368	-0.0590452	-0.0599833	-0.0593695	-0.0599289
185	0.037	-0.0590457	-0.0599796	-0.0593668	-0.0599189
186	0.0372	-0.059046	-0.0599754	-0.0593643	-0.0599091
187	0.0374	-0.0590461	-0.0599707	-0.0593618	-0.0598995
188	0.0376	-0.059046	-0.0599657	-0.0593595	-0.0598903
189	0.0378	-0.0590459	-0.0599603	-0.0593573	-0.0598813
190	0.038	-0.0590456	-0.0599546	-0.0593553	-0.0598726
191	0.0382	-0.0590452	-0.0599485	-0.0593534	-0.0598642
192	0.0384	-0.0590447	-0.0599422	-0.0593517	-0.059856
193	0.0386	-0.0590441	-0.0599356	-0.0593502	-0.0598481
194	0.0388	-0.0590435	-0.0599288	-0.0593488	-0.0598404
195	0.039	-0.0590428	-0.0599218	-0.0593476	-0.059833
196	0.0392	-0.0590421	-0.0599146	-0.0593466	-0.0598257
197	0.0394	-0.0590413	-0.0599073	-0.0593457	-0.0598187
198	0.0396	-0.0590406	-0.0598998	-0.059345	-0.059812
199	0.0398	-0.0590398	-0.0598922	-0.0593445	-0.0598054
200	0.04	-0.059039	-0.0598845	-0.0593441	-0.059799
201	0.0402	-0.0590382	-0.0598768	-0.059344	-0.0597928
202	0.0404	-0.0590375	-0.0598689	-0.0593439	-0.0597869
203	0.0406	-0.0590367	-0.059861	-0.0593441	-0.0597811
204	0.0408	-0.0590361	-0.0598531	-0.0593444	-0.0597754
205	0.041	-0.0590354	-0.0598451	-0.0593448	-0.05977
206	0.0412	-0.0590348	-0.0598371	-0.0593454	-0.0597646
207	0.0414	-0.0590343	-0.0598291	-0.0593462	-0.0597595
208	0.0416	-0.0590338	-0.0598212	-0.0593471	-0.0597545
209	0.0418	-0.0590335	-0.0598132	-0.0593481	-0.0597496
210	0.042	-0.0590331	-0.0598052	-0.0593492	-0.0597449
211	0.0422	-0.0590329	-0.0597973	-0.0593505	-0.0597403
212	0.0424	-0.0590327	-0.0597894	-0.0593519	-0.0597358
