ts,trial,phase_reset_e,phase_reset_f,f1_kneext_inh,run,kine_score,duty,knee_min,rmse_hip,rmse_knee,rmse_ankle,cadence,tilt_max,stayed_up,npz
2026-09-14 23:38:24,0,0.1007,1.4396,0.0000,eval,-104.776,0.086,-58.08,21.02,22.93,22.07,0.364,14.0,True,
2026-09-14 23:39:44,0,0.1007,1.4396,0.0000,full22,-99.275,0.147,-54.15,28.88,25.69,23.00,0.400,14.6,True,v10_best_trial0.npz
2026-09-14 23:40:42,1,1.3597,0.5126,0.6952,eval,-93.816,0.464,-92.79,32.28,28.13,9.50,0.455,26.4,True,
2026-09-14 23:42:01,1,1.3597,0.5126,0.6952,full22,-93.924,0.315,-92.18,32.26,27.98,9.47,0.500,26.3,True,v10_best_trial1.npz
2026-09-14 23:42:59,2,1.0185,0.9598,1.9111,eval,-71.354,0.099,-72.48,25.78,18.51,7.25,0.545,14.4,True,
2026-09-14 23:44:18,2,1.0185,0.9598,1.9111,full22,-72.593,0.157,-72.36,25.80,18.68,7.50,0.600,14.6,True,v10_best_trial2.npz
2026-09-14 23:45:16,3,1.0965,0.2760,0.1975,eval,-67.760,0.083,-70.20,30.87,20.65,7.70,0.364,16.0,True,
2026-09-14 23:46:37,3,1.0965,0.2760,0.1975,full22,-68.424,0.156,-69.42,30.79,20.90,8.15,0.400,16.0,True,v10_best_trial3.npz
2026-09-14 23:47:35,4,1.7496,0.9981,0.2136,eval,-25.000,nan,nan,nan,nan,nan,0.000,12.6,True,
2026-09-14 23:48:34,5,0.6805,1.9345,0.2861,eval,-25.000,nan,nan,nan,nan,nan,0.000,17.3,True,
2026-09-14 23:49:32,6,0.4484,1.3778,0.3070,eval,-90.457,0.253,-62.14,22.67,29.71,11.48,1.091,15.0,True,
2026-09-14 23:50:29,7,0.7479,0.0264,1.6586,eval,-101.329,0.091,-74.15,20.66,19.44,19.33,0.636,13.2,True,
2026-09-14 23:51:26,8,1.2437,1.4414,0.0836,eval,-77.055,0.248,-54.71,31.38,24.74,9.76,0.364,14.5,True,
2026-09-14 23:52:23,9,0.2613,1.6888,0.7844,eval,-82.929,0.331,-69.91,22.28,21.33,9.07,0.818,14.3,True,
2026-09-14 23:53:20,10,0.7167,0.6990,0.3177,eval,-81.581,0.187,-62.50,25.37,21.66,7.20,0.727,22.1,True,
2026-09-14 23:54:17,11,0.8206,1.3918,1.9059,eval,-80.902,0.097,-70.02,22.11,18.24,10.20,0.545,15.2,True,
2026-09-14 23:55:14,12,1.2860,1.0134,0.9603,eval,-78.634,0.090,-81.18,32.20,21.72,10.53,0.455,16.3,True,
2026-09-14 23:56:10,13,0.6599,1.2149,0.6145,eval,-71.883,0.087,-72.04,25.98,17.90,6.74,0.455,14.4,True,
2026-09-14 23:57:08,14,1.2142,1.0297,1.9928,eval,-70.420,0.085,-88.41,29.27,20.37,10.15,0.455,18.9,True,
2026-09-14 23:58:05,15,1.0145,0.2453,0.1282,eval,-79.552,0.181,-58.37,24.13,20.19,8.18,0.727,17.3,True,
