ts,trial,phase_reset_e,phase_reset_f,run,kine_score,duty,knee_min,rmse_hip,rmse_knee,rmse_ankle,cadence,tilt_max,stayed_up,npz
2026-09-12 15:38:56,0,0.0000,0.0000,eval,-61.181,0.467,10.90,14.04,21.01,5.38,1.067,34.6,True,
2026-09-12 15:40:16,0,0.0000,0.0000,full22,-62.702,0.437,10.04,14.67,21.12,5.53,1.200,36.3,True,v5_best_trial0.npz
2026-09-12 15:41:01,1,1.7143,0.3302,eval,-63.606,0.188,11.63,14.05,22.91,4.62,0.667,30.0,True,
2026-09-12 15:41:45,2,0.1113,0.9596,eval,-62.715,0.173,13.80,13.73,22.49,3.92,0.667,33.1,True,
2026-09-12 15:41:54,3,0.6387,0.1408,eval,-25.000,nan,nan,nan,nan,nan,0.000,19.5,True,
2026-09-12 15:42:39,4,0.5999,1.4023,eval,-25.000,nan,nan,nan,nan,nan,0.000,34.8,True,
2026-09-12 15:43:24,5,0.6687,1.2233,eval,-25.000,nan,nan,nan,nan,nan,0.000,38.4,True,
2026-09-12 15:44:13,6,1.4684,1.7506,eval,-62.616,0.329,13.66,13.69,22.08,4.81,0.533,28.4,True,
2026-09-12 15:45:02,7,0.6043,0.8764,eval,-25.000,nan,nan,nan,nan,nan,0.000,30.3,True,
2026-09-12 15:45:50,8,0.8310,0.5721,eval,-64.201,0.162,12.62,14.42,22.94,4.24,0.533,35.2,True,
2026-09-12 15:46:35,9,0.7329,1.8236,eval,-25.000,nan,nan,nan,nan,nan,0.000,35.9,True,
2026-09-12 15:47:20,10,1.1625,0.9923,eval,-61.662,0.394,10.24,13.82,21.32,5.45,0.667,33.2,True,
2026-09-12 15:48:01,11,0.0491,0.0295,eval,-61.970,0.471,9.97,13.99,21.92,5.05,0.533,38.3,True,
2026-09-12 15:48:48,12,0.6216,1.0061,eval,-61.510,0.474,10.46,14.15,21.22,5.40,0.933,36.8,True,
2026-09-12 15:49:32,13,0.0989,0.1875,eval,-61.801,0.467,10.55,14.38,21.02,5.43,0.933,37.1,True,
2026-09-12 15:50:17,14,0.5197,0.7929,eval,-61.752,0.465,11.32,14.41,20.79,5.43,1.333,32.1,True,
2026-09-12 15:51:01,15,0.4597,0.0421,eval,-61.647,0.482,10.37,14.36,20.90,5.46,1.067,33.5,True,
2026-09-12 15:51:45,16,0.3346,0.0215,eval,-61.687,0.411,10.98,13.84,21.87,4.85,0.667,33.6,True,
2026-09-12 15:52:29,17,0.6024,0.1835,eval,-61.373,0.471,10.74,13.97,21.37,5.29,0.933,34.0,True,
2026-09-12 15:53:13,18,0.1381,0.3802,eval,-62.212,0.301,11.80,14.08,21.73,4.78,0.800,35.7,True,
2026-09-12 15:53:58,19,0.1234,0.0350,eval,-62.238,0.204,10.53,14.02,22.28,4.09,0.533,38.1,True,
2026-09-12 15:54:42,20,0.0683,0.1320,eval,-61.173,0.459,11.17,14.06,20.86,5.48,1.067,33.1,True,
2026-09-12 15:56:02,20,0.0683,0.1320,full22,-63.072,0.478,10.01,14.85,21.09,5.80,1.200,35.1,True,v5_best_trial20.npz
2026-09-12 15:56:46,21,0.8800,0.3041,eval,-61.991,0.479,10.52,14.43,21.03,5.57,0.933,37.2,True,
2026-09-12 15:57:30,22,0.1294,0.1556,eval,-62.484,0.232,10.42,14.07,21.92,4.82,0.667,35.2,True,
2026-09-12 15:58:14,23,0.5870,0.3632,eval,-61.932,0.465,11.07,14.44,20.75,5.77,1.200,34.9,True,
2026-09-12 15:58:59,24,0.1000,0.2057,eval,-61.709,0.442,10.36,13.98,21.74,5.15,0.800,33.6,True,
2026-09-12 15:59:43,25,0.0516,0.3059,eval,-61.569,0.357,11.67,13.86,21.30,5.26,1.067,33.3,True,
2026-09-12 16:00:27,26,0.6882,0.3214,eval,-62.312,0.218,11.09,13.78,22.18,4.70,0.800,34.7,True,
2026-09-12 16:01:11,27,0.4488,0.3170,eval,-61.776,0.477,10.79,14.45,20.74,5.60,1.200,33.2,True,
2026-09-12 16:01:55,28,0.4690,0.4516,eval,-61.281,0.470,10.91,14.12,20.91,5.47,1.067,33.9,True,
2026-09-12 16:02:39,29,0.2352,0.2505,eval,-62.028,0.419,10.73,14.01,21.97,5.03,0.800,32.4,True,
2026-09-12 16:03:23,30,0.3283,0.3469,eval,-61.711,0.479,11.23,14.41,20.73,5.53,1.200,32.6,True,
2026-09-12 16:04:08,31,0.5297,0.0473,eval,-61.726,0.464,10.40,13.56,22.44,5.13,0.667,32.6,True,
2026-09-12 16:04:52,32,0.0789,0.3406,eval,-61.250,0.472,10.72,14.17,20.87,5.50,1.200,35.8,True,
2026-09-12 16:05:36,33,0.2350,0.0529,eval,-61.635,0.473,11.22,14.28,20.86,5.56,1.067,33.3,True,
