phase_reset_e,phase_reset_f,kine_score,duty,duty_ref,knee_min,knee_min_ref,rmse_hip,rmse_knee,rmse_ankle,cadence,tilt_max,stayed_up,nan,n_cycles
0.0,0.0,-61.181,0.467,0.61,10.9,-69.7,14.04,21.01,5.38,1.067,34.6,True,False,8
0.0,0.25,-61.327,0.459,0.61,10.8,-69.7,14.11,21.02,5.35,1.067,34.4,True,False,8
0.0,0.5,-61.396,0.384,0.61,11.37,-69.7,13.92,21.13,5.36,1.067,34.6,True,False,8
0.0,1.0,-61.201,0.453,0.61,11.02,-69.7,14.0,21.05,5.37,1.067,34.5,True,False,8
0.25,0.0,-61.617,0.377,0.61,10.67,-69.7,14.13,21.06,5.34,1.067,34.5,True,False,8
0.25,0.25,-61.621,0.379,0.61,10.7,-69.7,14.13,21.06,5.35,1.067,34.5,True,False,8
0.25,0.5,-61.610,0.386,0.61,10.73,-69.7,14.13,21.07,5.33,1.067,34.5,True,False,8
0.25,1.0,-61.215,0.459,0.61,10.97,-69.7,14.04,21.03,5.37,1.067,34.6,True,False,8
0.5,0.0,-61.592,0.388,0.61,10.71,-69.7,14.13,21.05,5.35,1.067,34.5,True,False,8
0.5,0.25,-61.581,0.389,0.61,10.7,-69.7,14.13,21.05,5.35,1.067,34.5,True,False,8
0.5,0.5,-61.577,0.39,0.61,10.68,-69.7,14.12,21.07,5.33,1.067,34.5,True,False,8
0.5,1.0,-61.565,0.399,0.61,10.73,-69.7,14.13,21.06,5.34,1.067,34.5,True,False,8
1.0,0.0,-61.346,0.451,0.61,10.71,-69.7,14.14,20.96,5.39,1.067,34.7,True,False,8
1.0,0.25,-61.346,0.451,0.61,10.68,-69.7,14.14,20.97,5.38,1.067,34.7,True,False,8
1.0,0.5,-61.350,0.451,0.61,10.75,-69.7,14.14,20.96,5.39,1.067,34.7,True,False,8
1.0,1.0,-61.339,0.452,0.61,10.68,-69.7,14.14,20.96,5.4,1.067,34.7,True,False,8
