ts,trial,phase_reset_e,phase_reset_f,f1_kneext_inh,run,kine_score,duty,knee_min,rmse_hip,rmse_knee,rmse_ankle,cadence,tilt_max,stayed_up,npz
2026-09-14 14:08:21,0,0.5033,0.5787,0.0000,eval,-72.719,0.073,-44.48,25.24,21.41,18.14,0.267,20.0,True,
2026-09-14 14:09:59,0,0.5033,0.5787,0.0000,full22,-73.011,0.238,-43.40,25.45,21.64,18.32,0.300,19.9,True,v8b_best_trial0.npz
2026-09-14 14:10:51,1,0.7457,1.3597,0.5126,eval,-25.000,nan,nan,nan,nan,nan,0.000,19.8,True,
2026-09-14 14:12:27,1,0.7457,1.3597,0.5126,full22,nan,nan,nan,nan,nan,nan,0.000,19.8,True,v8b_best_trial1.npz
2026-09-14 14:13:19,2,0.1514,1.3129,1.0185,eval,-77.161,0.449,-86.81,26.67,32.09,8.60,0.800,22.6,True,
2026-09-14 14:14:13,3,1.5448,0.1358,1.3722,eval,-86.712,0.154,-81.09,34.80,28.25,16.32,0.533,15.4,True,
2026-09-14 14:15:06,4,0.3818,0.9813,1.4240,eval,-75.770,0.280,-82.39,24.74,25.73,16.93,0.800,18.4,True,
2026-09-14 14:15:59,5,0.2579,1.5211,0.4033,eval,-77.427,0.200,-81.48,34.36,26.31,9.33,0.400,16.8,True,
2026-09-14 14:16:51,6,1.0936,1.3934,1.9262,eval,-86.342,0.469,-92.18,28.82,38.55,8.36,0.800,20.8,True,
2026-09-14 14:17:42,7,0.5088,1.3377,1.5198,eval,-25.000,nan,nan,nan,nan,nan,0.000,17.3,True,
2026-09-14 14:18:34,8,0.1970,1.1204,1.4201,eval,-25.000,nan,nan,nan,nan,nan,0.000,20.9,True,
2026-09-14 14:19:26,9,1.3885,0.1057,1.1629,eval,-83.308,0.499,-85.81,26.00,39.06,7.93,0.933,21.6,True,
2026-09-14 14:20:17,10,0.5029,1.9813,0.3458,eval,-25.000,nan,nan,nan,nan,nan,0.000,19.9,True,
2026-09-14 14:21:09,11,0.9515,0.9627,0.2531,eval,-25.000,nan,nan,nan,nan,nan,0.000,21.9,True,
2026-09-14 14:22:01,12,0.5553,1.2121,0.6953,eval,-25.000,nan,nan,nan,nan,nan,0.000,18.2,True,
2026-09-14 14:22:53,13,0.1631,0.9489,0.9777,eval,-25.000,nan,nan,nan,nan,nan,0.000,17.4,True,
2026-09-14 14:23:44,14,0.5454,1.1573,0.6121,eval,-25.000,nan,nan,nan,nan,nan,0.000,19.8,True,
2026-09-14 14:24:35,15,0.8240,1.5940,0.2544,eval,-25.000,nan,nan,nan,nan,nan,0.000,18.9,True,
2026-09-14 14:25:27,16,0.7043,1.2424,1.6031,eval,-25.000,nan,nan,nan,nan,nan,0.000,17.0,True,
2026-09-14 14:26:19,17,0.4655,0.6969,1.0837,eval,-25.000,nan,nan,nan,nan,nan,0.000,17.5,True,
2026-09-14 14:27:10,18,0.8478,1.1823,0.2038,eval,-25.000,nan,nan,nan,nan,nan,0.000,18.0,True,
2026-09-14 14:28:02,19,1.0596,1.6427,0.2504,eval,-25.000,nan,nan,nan,nan,nan,0.000,18.2,True,
2026-09-14 14:28:54,20,1.0724,1.7573,0.6471,eval,-25.000,nan,nan,nan,nan,nan,0.000,20.5,True,
2026-09-14 14:29:45,21,0.6736,1.9661,1.8581,eval,-25.000,nan,nan,nan,nan,nan,0.000,17.6,True,
2026-09-14 14:30:37,22,0.3376,1.0852,1.2913,eval,-25.000,nan,nan,nan,nan,nan,0.000,17.9,True,
2026-09-14 14:31:28,23,0.8942,1.5352,1.5838,eval,-25.000,nan,nan,nan,nan,nan,0.000,19.5,True,
2026-09-14 14:32:20,24,0.4010,1.4085,1.9242,eval,-25.000,nan,nan,nan,nan,nan,0.000,18.7,True,
2026-09-14 14:33:12,25,0.0013,1.5635,1.7203,eval,-25.000,nan,nan,nan,nan,nan,0.000,17.0,True,
2026-09-14 14:34:03,26,0.8858,1.3236,1.3071,eval,-25.000,nan,nan,nan,nan,nan,0.000,17.0,True,
2026-09-14 14:34:55,27,0.3602,1.5234,1.6946,eval,-25.000,nan,nan,nan,nan,nan,0.000,19.2,True,
