group,role,muscles
HIP-E,primary,"add_mag3, gem, glut_max1, glut_max2, glut_max3, peri, quad_fem"
HIP-E,secondary,"bifemlh, semimem, semiten"
HIP-F,primary,"iliacus, psoas, sar, tfl"
HIP-F,secondary,rect_fem
HIP-AB,primary,"glut_med1, glut_med2, glut_med3, glut_min1, glut_min2, glut_min3"
HIP-AD,primary,"add_brev, add_long, add_mag1, add_mag2, grac, pect"
HIP-AD,secondary,add_mag3
KNEE-E,primary,"rect_fem, vas_int, vas_lat, vas_med"
KNEE-F,primary,"bifemlh, bifemsh, semimem, semiten"
KNEE-F,secondary,"lat_gas, med_gas"
ANK-PF,primary,"flex_dig, flex_hal, lat_gas, med_gas, per_brev, per_long, per_tert, soleus, tib_post"
ANK-DF,primary,"ext_dig, ext_hal, tib_ant"
TRK-E,primary,ercspn
TRK-F,primary,"extobl, intobl"
