TimeSlice	Time	hip_L_deg	knee_L_deg	ankle_L_deg	hip_R_deg	knee_R_deg	ankle_R_deg	RG_L_stance	RG_L_inhabit	RG_R_stance	PF_L_hip_ext	PF_L_knee	PF_L_dorsi	MN_L_hip_ext	MN_L_knee_ext
0	0	0	0	0	0	0	0	-0.0595499	-0.0597647	-0.0597838	-0.0597562	-0.0599125	-0.0597487	-0.06	-0.06
1	0.0002	0	0	0	0	0	0	-0.0592557	-0.0595387	-0.0596076	-0.0598155	-0.0595568	-0.0597599	-0.06	-0.06
2	0.0004	0	0	0	0	0	0	-0.0591503	-0.0593215	-0.0592346	-0.0595148	-0.0591528	-0.0593641	-0.06	-0.06
3	0.0006	0	0	0	0	0	0	-0.0588396	-0.0591129	-0.0589108	-0.0590908	-0.0589809	-0.0589874	-0.06	-0.06
4	0.0008	0	0	0	0	0	0	-0.0585044	-0.0589124	-0.0585523	-0.0591681	-0.0586354	-0.0586309	-0.06	-0.06
5	0.001	0	0	0	0	0	0	-0.0583147	-0.0587198	-0.0584341	-0.0588455	-0.0582561	-0.058648	-0.06	-0.06
6	0.0012	0	0	0	0	0	0	-0.0579904	-0.0585347	-0.0581635	-0.058715	-0.0582099	-0.0583361	-0.06	-0.06
7	0.0014	0	0	0	0	0	0	-0.0579949	-0.0583569	-0.0580315	-0.0585146	-0.0579104	-0.0582667	-0.06	-0.06
8	0.0016	0	0	0	0	0	0	-0.0578435	-0.0581861	-0.057725	-0.058469	-0.0575515	-0.0582246	-0.06	-0.06
9	0.0018	1.01641e-016	-1.08853e-015	8.76045e-015	9.97634e-017	-4.59077e-016	8.76045e-015	-0.0578488	-0.0580219	-0.0573651	-0.0580964	-0.0572624	-0.057956	-0.06	-0.06
10	0.002	1.01641e-016	-1.08853e-015	8.76045e-015	9.97634e-017	-4.59077e-016	8.76045e-015	-0.0575037	-0.0578642	-0.0570894	-0.0581122	-0.0570274	-0.0580096	-0.06	-0.06
11	0.0022	1.01641e-016	-1.08853e-015	8.76045e-015	9.97634e-017	-4.59077e-016	8.76045e-015	-0.0572199	-0.0577127	-0.0568935	-0.0581139	-0.056686	-0.057922	-0.06	-0.06
12	0.0024	1.01641e-016	-1.08853e-015	8.76045e-015	9.97634e-017	-4.59077e-016	8.76045e-015	-0.05716	-0.0575671	-0.056954	-0.0580853	-0.0566539	-0.0579856	-0.06	-0.06
13	0.0026	1.01641e-016	-1.08853e-015	8.76045e-015	9.97634e-017	-4.59077e-016	8.76045e-015	-0.0568951	-0.0574273	-0.0569128	-0.0580463	-0.0567462	-0.0580245	-0.06	-0.06
14	0.0028	-0.0453922	-0.303038	-4.77218	-0.0453973	-0.303043	-4.77217	-0.0565826	-0.0572929	-0.0566545	-0.0581338	-0.0567413	-0.0579034	-0.06	-0.06
15	0.003	-0.0453922	-0.303038	-4.77218	-0.0453973	-0.303043	-4.77217	-0.0564734	-0.0571638	-0.0567696	-0.0579053	-0.0565601	-0.0579043	-0.06	-0.06
16	0.0032	-0.0453922	-0.303038	-4.77218	-0.0453973	-0.303043	-4.77217	-0.0561763	-0.0570397	-0.0566955	-0.0577848	-0.0562299	-0.0578288	-0.06	-0.06
17	0.0034	-0.0453922	-0.303038	-4.77218	-0.0453973	-0.303043	-4.77217	-0.0560962	-0.0569205	-0.0566145	-0.057618	-0.0563564	-0.057726	-0.06	-0.06
18	0.0036	-0.0453922	-0.303038	-4.77218	-0.0453973	-0.303043	-4.77217	-0.0560563	-0.056806	-0.0564959	-0.0577505	-0.0562711	-0.0574603	-0.06	-0.06
19	0.0038	0.0561305	-0.258868	-8.14732	0.0561064	-0.258919	-8.14738	-0.0558672	-0.056696	-0.0565718	-0.0574979	-0.0564245	-0.0573516	-0.06	-0.06
20	0.004	0.0561305	-0.258868	-8.14732	0.0561064	-0.258919	-8.14738	-0.0558876	-0.0565903	-0.0565692	-0.057216	-0.0565014	-0.0574684	-0.06	-0.06
