TimeSlice	Time	hip_L_flx_rec	hip_L_ext_rec	hip_L	hip_L_flx	hip_L_ext
0	0	1.5698	1.6105	0	0	0
5	0.001	1.57022	1.61051	0	0	0
10	0.002	1.57063	1.61602	-6.93889e-018	0	0
15	0.003	1.57626	1.6105	-0.00065221	0	0
20	0.004	1.5698	1.6105	0.000471113	0	0
25	0.005	1.5698	1.6105	0.00212421	0	0
30	0.006	1.5698	1.6105	0.004333	0	0
35	0.007	1.5698	1.6105	0.0070712	0	0
40	0.008	1.5698	1.6105	0.0102886	0	0
45	0.009	1.5698	1.6105	0.0139444	0	0
50	0.01	1.5698	1.6105	0.0180153	0	0
55	0.011	1.5698	1.6105	0.0223633	0	11.0885
60	0.012	1.5698	1.6105	0.0271412	0	26.1474
65	0.013	1.5698	1.6105	0.0323784	0	42.9036
70	0.014	1.5698	1.6105	0.0380876	0	61.1642
75	0.015	1.5698	1.6105	0.0442587	0	80.7045
80	0.016	1.5698	1.6105	0.0508748	0	101.364
85	0.017	1.5698	1.6105	0.0579308	0	123.047
90	0.018	1.5698	1.6105	0.0654274	0	145.651
95	0.019	1.5698	1.6105	0.0733584	0	168.969
100	0.02	1.5698	1.6105	0.0817085	0	192.782
105	0.021	1.5698	1.6105	0.0904514	0	216.819
110	0.022	1.5698	1.6105	0.0995491	0	240.688
115	0.023	1.5698	1.6105	0.108945	0	263.948
120	0.024	1.5698	1.6105	0.11856	0	286.101
125	0.025	1.5698	1.6105	0.128306	0	306.688
130	0.026	1.5698	1.6105	0.138087	0	325.519
135	0.027	1.5698	1.6105	0.147852	0	342.596
140	0.028	1.5698	1.6105	0.157576	0	357.935
145	0.029	1.5698	1.6105	0.167235	0	371.487
150	0.03	1.5698	1.6105	0.176799	0	383.269
155	0.031	1.5698	1.6105	0.186242	0	393.252
160	0.032	1.5698	1.6105	0.195534	0	401.421
165	0.033	1.5698	1.6105	0.204646	0	407.789
170	0.034	1.5698	1.6105	0.213552	0	412.363
175	0.035	1.5698	1.6105	0.222227	0	415.204
180	0.036	1.5698	1.6105	0.230651	0	416.343
185	0.037	1.5698	1.6105	0.238807	0	415.889
190	0.038	1.5698	1.6105	0.246682	0	413.899
195	0.039	1.5698	1.6105	0.254267	0	410.646
200	0.04	1.5698	1.6105	0.261581	0	406.319
205	0.041	1.5698	1.6105	0.268643	0	401.12
210	0.042	1.5698	1.6105	0.275469	0	395.221
215	0.043	1.5698	1.6105	0.282076	0	388.749
220	0.044	1.5698	1.6105	0.288481	0	381.871
225	0.045	1.5698	1.6105	0.294697	0	374.665
230	0.046	1.5698	1.6105	0.300738	0	367.249
