TimeSlice	Time	L RG ext IN	L RG flx IN	L RG ext	L RG flx
0	0	-0.0595489	-0.0595489	-0.0524435	-0.0528447
1	0.0002	-0.0591168	-0.0591404	-0.0523236	-0.0531111
2	0.0004	-0.0587045	-0.058772	-0.0527734	-0.053389
3	0.0006	-0.0583431	-0.0584414	-0.053217	-0.0536771
4	0.0008	-0.0580282	-0.0581463	-0.0536841	-0.0539718
5	0.001	-0.0577575	-0.0578846	-0.0541664	-0.0542698
6	0.0012	-0.0575285	-0.057654	-0.0546554	-0.0545683
7	0.0014	-0.0573385	-0.0574524	-0.0551172	-0.054865
8	0.0016	-0.0571833	-0.0572777	-0.0555469	-0.0551576
9	0.0018	-0.057059	-0.0571279	-0.0559457	-0.0554444
10	0.002	-0.0569619	-0.0570011	-0.0563147	-0.0557239
11	0.0022	-0.0568889	-0.0568955	-0.0566573	-0.0559951
12	0.0024	-0.0568373	-0.0568094	-0.0569746	-0.0562572
13	0.0026	-0.0568046	-0.0567411	-0.057268	-0.0565094
14	0.0028	-0.0567886	-0.0566892	-0.0575387	-0.0567515
15	0.003	-0.0567873	-0.0566523	-0.0577877	-0.056983
16	0.0032	-0.0567988	-0.0566289	-0.0580163	-0.0572039
17	0.0034	-0.0568216	-0.056618	-0.0582257	-0.0574141
18	0.0036	-0.0568542	-0.0566182	-0.0584172	-0.0576137
19	0.0038	-0.0568953	-0.0566287	-0.058592	-0.0578029
20	0.004	-0.0569437	-0.0566483	-0.0587512	-0.0579817
21	0.0042	-0.0569983	-0.0566761	-0.058896	-0.0581505
22	0.0044	-0.0570581	-0.0567114	-0.0590273	-0.0583095
23	0.0046	-0.0571222	-0.0567532	-0.0591461	-0.058459
24	0.0048	-0.0571899	-0.0568009	-0.0592533	-0.0585994
25	0.005	-0.0572605	-0.0568537	-0.0593499	-0.0587309
26	0.0052	-0.0573333	-0.0569111	-0.0594365	-0.058854
27	0.0054	-0.0574077	-0.0569724	-0.059514	-0.0589689
28	0.0056	-0.0574833	-0.0570372	-0.059583	-0.0590761
29	0.0058	-0.0575594	-0.0571048	-0.0596442	-0.0591758
30	0.006	-0.0576358	-0.0571748	-0.0596981	-0.0592685
31	0.0062	-0.0577121	-0.0572468	-0.0597455	-0.0593545
32	0.0064	-0.0577879	-0.0573204	-0.0597867	-0.059434
33	0.0066	-0.0578629	-0.0573952	-0.0598224	-0.0595075
34	0.0068	-0.0579369	-0.0574709	-0.0598528	-0.0595752
35	0.007	-0.0580097	-0.0575471	-0.0598785	-0.0596375
36	0.0072	-0.058081	-0.0576237	-0.0598998	-0.0596947
37	0.0074	-0.0581506	-0.0577003	-0.0599172	-0.059747
38	0.0076	-0.0582185	-0.0577766	-0.0599309	-0.0597948
39	0.0078	-0.0582845	-0.0578525	-0.0599412	-0.0598382
40	0.008	-0.0583484	-0.0579278	-0.0599485	-0.0598776
41	0.0082	-0.0584103	-0.0580023	-0.0599531	-0.0599133
42	0.0084	-0.0584699	-0.0580758	-0.0599551	-0.0599453
43	0.0086	-0.0585274	-0.0581482	-0.0599548	-0.0599741
44	0.0088	-0.0585825	-0.0582194	-0.0599524	-0.0599997
45	0.009	-0.0586354	-0.0582892	-0.0599481	-0.0600224
46	0.0092	-0.0586859	-0.0583563	-0.0599322	-0.0600424
47	0.0094	-0.0587335	-0.0584207	-0.0599061	-0.0600599
48	0.0096	-0.0587778	-0.0584826	-0.0598712	-0.060075
49	0.0098	-0.0588182	-0.0585421	-0.0598287	-0.0600879
50	0.01	-0.0588546	-0.0585993	-0.0597785	-0.0600988
51	0.0102	-0.0588867	-0.0586542	-0.0597185	-0.0601078
52	0.0104	-0.0589139	-0.058707	-0.0596501	-0.0601152
53	0.0106	-0.0589361	-0.0587577	-0.0595748	-0.0601212
54	0.0108	-0.058953	-0.0588064	-0.0594937	-0.0601259
55	0.011	-0.0589645	-0.0588532	-0.059408	-0.0601296
56	0.0112	-0.0589705	-0.0588982	-0.0593279	-0.0601324
57	0.0114	-0.0589716	-0.0589414	-0.0592531	-0.0601345
58	0.0116	-0.0589683	-0.0589829	-0.059183	-0.0601362
59	0.0118	-0.0589611	-0.0590228	-0.0591173	-0.0601376
60	0.012	-0.0589503	-0.0590611	-0.0590556	-0.0601389
61	0.0122	-0.0589363	-0.0590979	-0.0590041	-0.0601401
62	0.0124	-0.05892	-0.0591333	-0.0589616	-0.0601415
63	0.0126	-0.0589019	-0.0591673	-0.0589269	-0.060143
64	0.0128	-0.0588825	-0.0591999	-0.0588993	-0.0601449
65	0.013	-0.0588623	-0.0592313	-0.0588779	-0.0601471
66	0.0132	-0.0588418	-0.0592614	-0.0588627	-0.0601496
67	0.0134	-0.0588212	-0.0592904	-0.0588531	-0.0601525
68	0.0136	-0.058801	-0.0593182	-0.0588483	-0.0601557
69	0.0138	-0.0587814	-0.0593449	-0.0588478	-0.0601594
70	0.014	-0.0587625	-0.0593706	-0.058851	-0.0601633
71	0.0142	-0.0587447	-0.0593953	-0.0588575	-0.0601676
72	0.0144	-0.058728	-0.059419	-0.0588659	-0.0601722
73	0.0146	-0.0587125	-0.0594418	-0.0588743	-0.060177
74	0.0148	-0.0586981	-0.0594637	-0.0588827	-0.060182
75	0.015	-0.0586849	-0.0594847	-0.0588912	-0.0601871
76	0.0152	-0.0586726	-0.0595049	-0.058899	-0.0601924
77	0.0154	-0.0586614	-0.0595243	-0.0589064	-0.0601977
78	0.0156	-0.058651	-0.059543	-0.0589132	-0.0602031
79	0.0158	-0.0586415	-0.0595609	-0.0589197	-0.0602085
80	0.016	-0.0586328	-0.0595781	-0.0589257	-0.0602139
81	0.0162	-0.0586248	-0.0595947	-0.0589302	-0.0602192
82	0.0164	-0.0586173	-0.0596106	-0.0589332	-0.0602244
83	0.0166	-0.0586104	-0.0596258	-0.058935	-0.0602296
84	0.0168	-0.0586039	-0.0596405	-0.0589357	-0.0602347
85	0.017	-0.0585976	-0.0596546	-0.0589354	-0.0602396
86	0.0172	-0.0585917	-0.0596681	-0.058933	-0.0602445
87	0.0174	-0.0585858	-0.0596811	-0.0589288	-0.0602492
88	0.0176	-0.0585799	-0.0596936	-0.0589231	-0.0602538
89	0.0178	-0.058574	-0.0597057	-0.058916	-0.0602582
90	0.018	-0.0585679	-0.0597172	-0.0589077	-0.0602625
91	0.0182	-0.0585616	-0.0597283	-0.0588944	-0.0602667
92	0.0184	-0.0585548	-0.0597389	-0.0588763	-0.0602708
93	0.0186	-0.0585473	-0.0597492	-0.058854	-0.0602747
94	0.0188	-0.0585388	-0.059759	-0.058828	-0.0602785
95	0.019	-0.0585292	-0.0597685	-0.058799	-0.0602823
96	0.0192	-0.0585184	-0.0597775	-0.0587653	-0.060286
97	0.0194	-0.0585061	-0.0597863	-0.0587278	-0.0602896
98	0.0196	-0.0584922	-0.0597946	-0.058687	-0.0602933
99	0.0198	-0.0584766	-0.0598027	-0.0586435	-0.060297
100	0.02	-0.0584591	-0.0598104	-0.0585978	-0.0603007
101	0.0202	-0.0584399	-0.0598179	-0.0585486	-0.0603046
102	0.0204	-0.0584187	-0.059825	-0.0584965	-0.0603086
103	0.0206	-0.0583955	-0.0598319	-0.0584422	-0.0603129
104	0.0208	-0.0583702	-0.0598385	-0.0583861	-0.0603173
105	0.021	-0.0583428	-0.0598448	-0.0583287	-0.0603221
106	0.0212	-0.0583135	-0.0598509	-0.0582685	-0.0603272
107	0.0214	-0.058282	-0.0598567	-0.0582061	-0.0603327
108	0.0216	-0.0582485	-0.0598623	-0.058142	-0.0603385
109	0.0218	-0.0582129	-0.0598677	-0.0580769	-0.0603448
110	0.022	-0.0581752	-0.0598729	-0.058011	-0.0603516
111	0.0222	-0.0581355	-0.0598779	-0.0579425	-0.0603589
112	0.0224	-0.0580938	-0.0598827	-0.0578719	-0.0603667
113	0.0226	-0.0580501	-0.0598873	-0.0577999	-0.0603752
114	0.0228	-0.0580044	-0.0598917	-0.057727	-0.0603842
115	0.023	-0.0579568	-0.059896	-0.0576537	-0.0603938
116	0.0232	-0.0579074	-0.0599	-0.0575775	-0.0604041
117	0.0234	-0.057856	-0.059904	-0.0575025	-0.060415
118	0.0236	-0.0578029	-0.0599077	-0.0574289	-0.0604266
119	0.0238	-0.0577483	-0.0599113	-0.0573608	-0.0604389
120	0.024	-0.0576926	-0.0599148	-0.0572992	-0.060452
121	0.0242	-0.0576362	-0.0599182	-0.0572434	-0.0604658
122	0.0244	-0.0575794	-0.0599214	-0.0571928	-0.0604804
123	0.0246	-0.0575225	-0.0599245	-0.0571469	-0.0604957
124	0.0248	-0.057466	-0.0599274	-0.0571053	-0.0605117
125	0.025	-0.0574099	-0.0599303	-0.0570676	-0.0605284
126	0.0252	-0.0573545	-0.059933	-0.0570334	-0.0605458
127	0.0254	-0.0572999	-0.0599356	-0.0570024	-0.0605637
128	0.0256	-0.0572463	-0.0599381	-0.0569742	-0.0605822
129	0.0258	-0.0571938	-0.0599406	-0.0569486	-0.0606012
130	0.026	-0.0571425	-0.0599429	-0.0569254	-0.0606207
131	0.0262	-0.0570925	-0.0599451	-0.0569043	-0.0606405
132	0.0264	-0.0570438	-0.0599473	-0.0568851	-0.0606607
133	0.0266	-0.0569964	-0.0599494	-0.0568677	-0.0606812
134	0.0268	-0.0569505	-0.0599513	-0.0568519	-0.0607019
135	0.027	-0.0569059	-0.0599533	-0.0568375	-0.0607228
136	0.0272	-0.0568628	-0.0599551	-0.0568244	-0.0607438
137	0.0274	-0.0568211	-0.0599568	-0.0568126	-0.0607649
138	0.0276	-0.0567808	-0.0599585	-0.0568017	-0.0607861
139	0.0278	-0.056742	-0.0599602	-0.0567919	-0.0608073
140	0.028	-0.0567045	-0.0599617	-0.0567829	-0.0608284
141	0.0282	-0.0566684	-0.0599632	-0.0567748	-0.0608494
142	0.0284	-0.0566336	-0.0599647	-0.0567674	-0.0608703
143	0.0286	-0.0566002	-0.0599661	-0.0567606	-0.0608911
144	0.0288	-0.0565681	-0.0599674	-0.0567544	-0.0609116
145	0.029	-0.0565372	-0.0599687	-0.0567488	-0.060932
146	0.0292	-0.0565075	-0.0599699	-0.0567437	-0.0609521
147	0.0294	-0.0564791	-0.0599711	-0.056739	-0.0609719
148	0.0296	-0.0564518	-0.0599722	-0.0567347	-0.0609915
149	0.0298	-0.0564256	-0.0599733	-0.0567308	-0.0610107
150	0.03	-0.0564005	-0.0599743	-0.0567273	-0.0610296
151	0.0302	-0.0563765	-0.0599754	-0.056724	-0.0610482
152	0.0304	-0.0563534	-0.0599763	-0.056721	-0.0610664
153	0.0306	-0.0563314	-0.0599772	-0.0567183	-0.0610843
154	0.0308	-0.0563103	-0.0599781	-0.0567158	-0.0611018
155	0.031	-0.0562901	-0.059979	-0.0567135	-0.0611189
156	0.0312	-0.0562708	-0.0599798	-0.0567113	-0.0611356
157	0.0314	-0.0562523	-0.0599806	-0.0567094	-0.0611519
158	0.0316	-0.0562346	-0.0599814	-0.0567076	-0.0611678
159	0.0318	-0.0562178	-0.0599821	-0.0567059	-0.0611833
160	0.032	-0.0562016	-0.0599828	-0.0567044	-0.0611984
161	0.0322	-0.0561862	-0.0599835	-0.056703	-0.0612131
162	0.0324	-0.0561715	-0.0599841	-0.0567017	-0.0612273
163	0.0326	-0.0561574	-0.0599847	-0.0567005	-0.0612412
164	0.0328	-0.0561439	-0.0599853	-0.0566994	-0.0612546
165	0.033	-0.0561311	-0.0599859	-0.0566983	-0.0612677
166	0.0332	-0.0561188	-0.0599865	-0.0566973	-0.0612803
167	0.0334	-0.0561071	-0.059987	-0.0566964	-0.0612926
168	0.0336	-0.056096	-0.0599875	-0.0566956	-0.0613044
169	0.0338	-0.0560853	-0.059988	-0.0566947	-0.0613159
170	0.034	-0.0560751	-0.0599885	-0.056694	-0.061327
171	0.0342	-0.0560654	-0.0599889	-0.0566933	-0.0613377
172	0.0344	-0.0560561	-0.0599894	-0.0566926	-0.061348
173	0.0346	-0.0560472	-0.0599898	-0.0566919	-0.061358
174	0.0348	-0.0560388	-0.0599902	-0.0566913	-0.0613676
175	0.035	-0.0560307	-0.0599906	-0.0566907	-0.0613769
176	0.0352	-0.056023	-0.0599909	-0.0566902	-0.0613858
177	0.0354	-0.0560157	-0.0599913	-0.0566896	-0.0613944
178	0.0356	-0.0560087	-0.0599916	-0.0566891	-0.0614026
179	0.0358	-0.056002	-0.059992	-0.0566886	-0.0614105
180	0.036	-0.0559956	-0.0599923	-0.0566881	-0.0614181
181	0.0362	-0.0559895	-0.0599926	-0.0566876	-0.0614255
182	0.0364	-0.0559836	-0.0599929	-0.0566872	-0.0614325
183	0.0366	-0.0559781	-0.0599931	-0.0566867	-0.0614392
184	0.0368	-0.0559728	-0.0599934	-0.0566863	-0.0614456
185	0.037	-0.0559677	-0.0599937	-0.0566858	-0.0614517
186	0.0372	-0.0559628	-0.0599939	-0.0566854	-0.0614576
187	0.0374	-0.0559582	-0.0599942	-0.056685	-0.0614632
188	0.0376	-0.0559538	-0.0599944	-0.0566846	-0.0614686
189	0.0378	-0.0559496	-0.0599946	-0.0566842	-0.0614737
190	0.038	-0.0559455	-0.0599948	-0.0566838	-0.0614786
