TimeSlice	Time	ankle_L	hip_L	knee_L
2500	0.5	-0.0869898	-0.0973798	-0.00022217
2505	0.501	-0.0869933	-0.100597	-0.000213144
2510	0.502	-0.0869968	-0.1038	-0.000204154
2515	0.503	-0.0870004	-0.106987	-0.000195197
2520	0.504	-0.0870039	-0.110158	-0.000186285
2525	0.505	-0.0870074	-0.113312	-0.000177423
2530	0.506	-0.0870109	-0.116448	-0.000168616
2535	0.507	-0.0870143	-0.119565	-0.000159859
2540	0.508	-0.0870178	-0.122663	-0.000151161
2545	0.509	-0.0870212	-0.12574	-0.000142516
2550	0.51	-0.0870246	-0.128796	-0.00013394
2555	0.511	-0.087028	-0.13183	-0.000125421
2560	0.512	-0.0870314	-0.134841	-0.000116972
2565	0.513	-0.0870348	-0.137829	-0.000108594
2570	0.514	-0.0870382	-0.140792	-0.000100278
2575	0.515	-0.0870415	-0.143731	-9.2025e-005
2580	0.516	-0.0870449	-0.146643	-8.38502e-005
2585	0.517	-0.0870483	-0.149529	-7.57455e-005
2590	0.518	-0.0870516	-0.152389	-7.03339e-005
2595	0.519	-0.0870547	-0.155223	-6.8169e-005
2600	0.52	-0.0870577	-0.158031	-6.78879e-005
2605	0.521	-0.0870607	-0.160812	-6.78653e-005
2610	0.522	-0.0870637	-0.163566	-6.71906e-005
2615	0.523	-0.0870667	-0.166293	-6.57614e-005
2620	0.524	-0.0870698	-0.168993	-6.39312e-005
2625	0.525	-0.087073	-0.171666	-6.21021e-005
2630	0.526	-0.087076	-0.174313	-6.04614e-005
2635	0.527	-0.0870791	-0.176933	-5.9032e-005
2640	0.528	-0.0870822	-0.179526	-5.7718e-005
2645	0.529	-0.0870853	-0.182092	-5.64361e-005
2650	0.53	-0.0870884	-0.184632	-5.51311e-005
2655	0.531	-0.0870915	-0.187145	-5.37912e-005
2660	0.532	-0.0870946	-0.189631	-5.24507e-005
2665	0.533	-0.0870977	-0.192091	-5.11291e-005
2670	0.534	-0.0871008	-0.194523	-4.98305e-005
2675	0.535	-0.0871039	-0.19693	-4.85541e-005
2680	0.536	-0.087107	-0.19931	-4.72857e-005
2685	0.537	-0.0871101	-0.201663	-4.60325e-005
2690	0.538	-0.0871132	-0.20399	-4.47882e-005
2695	0.539	-0.0871163	-0.206291	-4.35575e-005
2700	0.54	-0.0871194	-0.208565	-4.233e-005
2705	0.541	-0.0871226	-0.210812	-4.11022e-005
2710	0.542	-0.0871257	-0.213034	-3.98588e-005
2715	0.543	-0.0871288	-0.215229	-3.85473e-005
2720	0.544	-0.0871321	-0.217398	-3.71319e-005
2725	0.545	-0.0871355	-0.219541	-3.5574e-005
2730	0.546	-0.0871391	-0.221657	-3.38511e-005
2735	0.547	-0.0871429	-0.223747	-3.19166e-005
2740	0.548	-0.0871471	-0.225811	-2.97496e-005
2745	0.549	-0.0871516	-0.227848	-2.73042e-005
2750	0.55	-0.0871566	-0.229859	-2.45671e-005
2755	0.551	-0.0871621	-0.231843	-2.15037e-005
2760	0.552	-0.0871681	-0.233801	-1.80945e-005
2765	0.553	-0.0871745	-0.235732	-1.43303e-005
2770	0.554	-0.0871815	-0.237637	-1.01937e-005
2775	0.555	-0.0871889	-0.239515	-5.66996e-006
2780	0.556	-0.0871969	-0.241365	-7.58112e-007
2785	0.557	-0.087205	-0.243187	9.29409e-006
2790	0.558	-0.0872134	-0.244978	3.03998e-005
2795	0.559	-0.0872223	-0.246735	6.88507e-005
2800	0.56	-0.0872315	-0.248457	0.000131278
2805	0.561	-0.087241	-0.25014	0.00022461
2810	0.562	-0.0872507	-0.251781	0.000356033
2815	0.563	-0.0872607	-0.253377	0.000532982
2820	0.564	-0.0873544	-0.254928	0.000757187
2825	0.565	-0.0877282	-0.25643	0.00102281
2830	0.566	-0.0884953	-0.257883	0.0013296
2835	0.567	-0.0896776	-0.259283	0.00168353
2840	0.568	-0.0912338	-0.260627	0.0020951
2845	0.569	-0.0930903	-0.261911	0.00257744
2850	0.57	-0.0935898	-0.261836	0.0059882
2855	0.571	-0.0947699	-0.261703	0.00944673
2860	0.572	-0.0966616	-0.261514	0.0129418
2865	0.573	-0.099168	-0.261271	0.0164733
2870	0.574	-0.102106	-0.260973	0.0200492
2875	0.575	-0.105285	-0.260618	0.02368
2880	0.576	-0.108534	-0.260206	0.0273767
2885	0.577	-0.111717	-0.259733	0.0311491
2890	0.578	-0.114768	-0.259198	0.0350032
2895	0.579	-0.117688	-0.2586	0.038941
2900	0.58	-0.120513	-0.257938	0.042963
2905	0.581	-0.123287	-0.25721	0.0470689
2910	0.582	-0.126051	-0.256415	0.0512586
2915	0.583	-0.128821	-0.255552	0.0555336
2920	0.584	-0.131636	-0.254618	0.0598943
2925	0.585	-0.13453	-0.253614	0.0643412
2930	0.586	-0.137529	-0.252535	0.0688757
2935	0.587	-0.14065	-0.251382	0.0734992
2940	0.588	-0.143907	-0.250152	0.0782138
2945	0.589	-0.147312	-0.248844	0.0830209
2950	0.59	-0.150876	-0.247455	0.0879251
2955	0.591	-0.154588	-0.245976	0.0929488
2960	0.592	-0.158441	-0.244397	0.0981161
2965	0.593	-0.162436	-0.24271	0.103453
2970	0.594	-0.16658	-0.240904	0.108984
2975	0.595	-0.170875	-0.238969	0.114738
2980	0.596	-0.175322	-0.236894	0.120739
