TimeSlice	Time	L Ank flx Ia	L Ank ext Ia	L Ank flx Ia IN	L Ank ext Ia IN	L Ank ext Ib	L Ank flx Ib	L Ank MN ext	L Ank MN flx	L Ank MN flx RE	L Ank MN ext RE
0	0	-0.0596848	-0.0596848	-0.06	-0.06	-0.06	-0.06	-0.0876866	-0.0876866	-0.0529905	-0.0529905
1	0.0002	-0.0593893	-0.0593893	-0.06	-0.06	-0.06	-0.06	-0.0779261	-0.0779261	-0.0533226	-0.0533226
2	0.0004	-0.0591127	-0.0591127	-0.0599999	-0.0599999	-0.06	-0.06	-0.0702106	-0.0702118	-0.0536006	-0.0536006
3	0.0006	-0.0588541	-0.0588541	-0.0599999	-0.0599999	-0.06	-0.06	-0.0641351	-0.0641391	-0.0538344	-0.0538344
4	0.0008	-0.0586125	-0.0586126	-0.0599998	-0.0599999	-0.06	-0.06	-0.0593773	-0.0593861	-0.0540321	-0.0540321
5	0.001	-0.0583872	-0.0583872	-0.0599998	-0.0599999	-0.06	-0.0599986	-0.055681	-0.0556967	-0.0542002	-0.0542001
6	0.0012	-0.0581772	-0.0581772	-0.0599997	-0.0599998	-0.06	-0.0599972	-0.0528428	-0.0528674	-0.0543439	-0.0543438
7	0.0014	-0.0579817	-0.0579817	-0.0599997	-0.0599998	-0.06	-0.0599958	-0.050701	-0.0507367	-0.0544677	-0.0544675
8	0.0016	-0.0577997	-0.0577997	-0.0599996	-0.0599998	-0.06	-0.0599945	-0.0491269	-0.0491759	-0.0545749	-0.0545747
9	0.0018	-0.0576434	-0.0576412	-0.0599996	-0.0599998	-0.06	-0.0599933	-0.0480179	-0.0480828	-0.0546687	-0.0546683
10	0.002	-0.0575177	-0.0575129	-0.0599996	-0.0599997	-0.0599023	-0.0599936	-0.0472896	-0.0473736	-0.0547513	-0.0547507
11	0.0022	-0.0574196	-0.0574119	-0.0599995	-0.0599997	-0.0598085	-0.0599938	-0.0468689	-0.0469796	-0.0548247	-0.0548239
12	0.0024	-0.0573466	-0.0573354	-0.0599995	-0.0599997	-0.0597184	-0.0599941	-0.0467009	-0.0468457	-0.0548907	-0.0548895
13	0.0026	-0.0572963	-0.0572812	-0.0599995	-0.0599997	-0.0596317	-0.0599943	-0.0467415	-0.0469276	-0.0549505	-0.0549489
14	0.0028	-0.0572663	-0.0572469	-0.0599994	-0.0599997	-0.0595485	-0.0599945	-0.046955	-0.0471897	-0.0550053	-0.0550031
15	0.003	-0.0572547	-0.0572304	-0.0599994	-0.0599996	-0.059409	-0.0599947	-0.0473123	-0.0476034	-0.055056	-0.0550532
16	0.0032	-0.0572596	-0.0572299	-0.0599994	-0.0599996	-0.059275	-0.0599949	-0.0477872	-0.0481453	-0.0551034	-0.0550997
17	0.0034	-0.0572791	-0.0572435	-0.0599993	-0.0599996	-0.0591462	-0.0599951	-0.0483607	-0.0487965	-0.0551482	-0.0551435
18	0.0036	-0.0573119	-0.0572697	-0.0599993	-0.0599996	-0.0590225	-0.0599953	-0.049017	-0.0495418	-0.0551909	-0.055185
19	0.0038	-0.0573563	-0.057307	-0.0599992	-0.0599996	-0.0589036	-0.0599955	-0.049743	-0.0503683	-0.055232	-0.0552246
20	0.004	-0.0574111	-0.0573541	-0.0599992	-0.0599996	-0.0587734	-0.0599957	-0.0505277	-0.0512659	-0.0552719	-0.0552627
21	0.0042	-0.057475	-0.0574097	-0.0599991	-0.0599995	-0.0586483	-0.0599959	-0.0513611	-0.0522257	-0.0553109	-0.0552996
22	0.0044	-0.0575469	-0.0574726	-0.0599991	-0.0599995	-0.0585281	-0.059996	-0.0522355	-0.0532407	-0.0553493	-0.0553356
23	0.0046	-0.0576259	-0.0575419	-0.059999	-0.0599995	-0.0584126	-0.0599962	-0.053144	-0.0543047	-0.0553874	-0.0553709
24	0.0048	-0.0577109	-0.0576167	-0.059999	-0.0599995	-0.0583016	-0.0599963	-0.0540808	-0.0554127	-0.0554254	-0.0554057
25	0.005	-0.0578012	-0.0576959	-0.059999	-0.0599995	-0.05822	-0.0599965	-0.0550407	-0.0565603	-0.0554634	-0.05544
26	0.0052	-0.0578959	-0.0577789	-0.0599989	-0.0599995	-0.0581416	-0.0599966	-0.0560205	-0.0577435	-0.0555017	-0.0554741
27	0.0054	-0.0579943	-0.0578648	-0.0599989	-0.0599995	-0.0580663	-0.0599967	-0.0570158	-0.0589592	-0.0555403	-0.0555079
28	0.0056	-0.0580957	-0.0579531	-0.0599988	-0.0599995	-0.0579939	-0.0599969	-0.0580228	-0.0602042	-0.0555794	-0.0555417
29	0.0058	-0.0581996	-0.0580431	-0.0599988	-0.0599994	-0.0579244	-0.059997	-0.059038	-0.0614761	-0.0556191	-0.0555754
30	0.006	-0.0583054	-0.0581342	-0.0599988	-0.0599994	-0.0579109	-0.0599942	-0.060058	-0.0627722	-0.0556594	-0.0556091
31	0.0062	-0.0584126	-0.058226	-0.0599987	-0.0599994	-0.0578979	-0.0599916	-0.0610828	-0.06409	-0.0557005	-0.0556428
32	0.0064	-0.0585207	-0.0583179	-0.0599987	-0.0599994	-0.0578854	-0.0599891	-0.0621094	-0.0654266	-0.0557424	-0.0556766
33	0.0066	-0.0586292	-0.0584095	-0.0599987	-0.0599994	-0.0578735	-0.0599866	-0.0631346	-0.0667796	-0.0557851	-0.0557104
34	0.0068	-0.0587377	-0.0585005	-0.0599986	-0.0599994	-0.057862	-0.0599843	-0.0641558	-0.0681466	-0.0558288	-0.0557443
35	0.007	-0.0588458	-0.0585905	-0.0599986	-0.0599994	-0.0579148	-0.0599703	-0.0651701	-0.0695252	-0.0558734	-0.0557782
36	0.0072	-0.0589512	-0.0586791	-0.0599986	-0.0599994	-0.0579656	-0.0599569	-0.066179	-0.0708804	-0.055919	-0.0558121
37	0.0074	-0.0590505	-0.0587662	-0.0599986	-0.0599994	-0.0580144	-0.0599441	-0.0671801	-0.0721583	-0.0559654	-0.0558461
38	0.0076	-0.0591439	-0.0588514	-0.0599986	-0.0599994	-0.0580613	-0.0599317	-0.0681712	-0.0733639	-0.0560125	-0.0558801
39	0.0078	-0.0592319	-0.0589346	-0.0599985	-0.0599994	-0.0581063	-0.0599198	-0.0691507	-0.0745017	-0.0560599	-0.0559141
40	0.008	-0.0593145	-0.0590157	-0.0599985	-0.0599994	-0.0581452	-0.0599103	-0.0701164	-0.0755761	-0.0561075	-0.055948
41	0.0082	-0.0593922	-0.0590945	-0.0599985	-0.0599994	-0.0581825	-0.0599011	-0.0710665	-0.0765911	-0.056155	-0.0559818
42	0.0084	-0.0594652	-0.0591709	-0.0599985	-0.0599993	-0.0582184	-0.0598923	-0.0719991	-0.0775507	-0.0562023	-0.0560156
43	0.0086	-0.0595337	-0.0592448	-0.0599985	-0.0599993	-0.0582529	-0.0598838	-0.0729126	-0.0784583	-0.0562491	-0.0560492
44	0.0088	-0.059598	-0.0593161	-0.0599985	-0.0599993	-0.058286	-0.0598757	-0.0738055	-0.079317	-0.0562955	-0.0560827
45	0.009	-0.0596583	-0.0593848	-0.0599985	-0.0599993	-0.0583239	-0.0598682	-0.0746763	-0.08013	-0.0563412	-0.0561159
46	0.0092	-0.0597148	-0.0594507	-0.0599985	-0.0599993	-0.0583603	-0.059861	-0.0755241	-0.0809002	-0.0563862	-0.0561489
47	0.0094	-0.0597678	-0.0595139	-0.0599985	-0.0599993	-0.0583952	-0.0598541	-0.0763475	-0.0816301	-0.0564303	-0.0561817
48	0.0096	-0.0598174	-0.0595744	-0.0599985	-0.0599993	-0.0584288	-0.0598475	-0.0771453	-0.0823222	-0.0564736	-0.0562141
49	0.0098	-0.0598638	-0.0596315	-0.0599985	-0.0599993	-0.0584611	-0.0598411	-0.0779068	-0.0829789	-0.0565158	-0.0562461
50	0.01	-0.0599072	-0.0596853	-0.0599985	-0.0599993	-0.0585004	-0.0598348	-0.0786327	-0.0836022	-0.056557	-0.0562777
51	0.0102	-0.0599479	-0.0597361	-0.0599985	-0.0599993	-0.0585381	-0.0598287	-0.0793258	-0.0841941	-0.056597	-0.0563088
52	0.0104	-0.0599859	-0.059784	-0.0599984	-0.0599993	-0.0585744	-0.0598228	-0.0799878	-0.0847566	-0.056636	-0.0563392
53	0.0106	-0.0600214	-0.0598291	-0.0599984	-0.0599993	-0.0586092	-0.0598172	-0.0806207	-0.0852914	-0.0566737	-0.0563691
54	0.0108	-0.0600547	-0.0598719	-0.0599984	-0.0599993	-0.0586426	-0.0598119	-0.0812275	-0.0858	-0.0567103	-0.0563982
55	0.011	-0.0600857	-0.0599126	-0.0599984	-0.0599993	-0.0586815	-0.0598065	-0.0818106	-0.086284	-0.0567457	-0.0564266
56	0.0112	-0.0601147	-0.0599512	-0.0599984	-0.0599993	-0.0587188	-0.0598014	-0.0823715	-0.0867448	-0.0567798	-0.0564543
57	0.0114	-0.0601417	-0.059988	-0.0599984	-0.0599993	-0.0587547	-0.0597965	-0.0829111	-0.0871835	-0.0568127	-0.0564812
58	0.0116	-0.0601669	-0.0600229	-0.0599984	-0.0599993	-0.0587892	-0.0597918	-0.0834304	-0.0876014	-0.0568443	-0.0565074
59	0.0118	-0.0601907	-0.060056	-0.0599984	-0.0599993	-0.0588223	-0.0597873	-0.08393	-0.0880007	-0.0568747	-0.0565327
60	0.012	-0.0602131	-0.0600875	-0.0599984	-0.0599993	-0.0588595	-0.0597828	-0.0844109	-0.0883829	-0.0569038	-0.0565573
61	0.0122	-0.0602344	-0.0601175	-0.0599984	-0.0599993	-0.0588952	-0.0597785	-0.0848743	-0.0887486	-0.0569317	-0.056581
62	0.0124	-0.0602544	-0.0601459	-0.0599984	-0.0599993	-0.0589295	-0.0597744	-0.0853208	-0.0890985	-0.0569583	-0.056604
63	0.0126	-0.0602734	-0.0601729	-0.0599984	-0.0599993	-0.0589624	-0.0597705	-0.0857511	-0.0894335	-0.0569838	-0.0566261
