TimeSlice	Time	L Hip flx Ia	L Hip ext Ia	L Hip ext Ia IN	L Hip flx Ia IN	L Hip flx Ib	L Hip ext Ib	L Hip MN ext	L Hip MN flx	L Hip MN flx R	L Hip MN ext R
0	0	-0.0596848	-0.0596848	-0.06	-0.06	-0.06	-0.06	-0.0876866	-0.0876866	-0.0529905	-0.0529905
1	0.0002	-0.0593893	-0.0593893	-0.0599057	-0.0599085	-0.06	-0.06	-0.0779261	-0.0779261	-0.0533226	-0.0533226
2	0.0004	-0.0591076	-0.0591074	-0.0598152	-0.0598206	-0.06	-0.06	-0.0702106	-0.0702118	-0.0536006	-0.0536006
3	0.0006	-0.0588393	-0.0588389	-0.0597282	-0.0597362	-0.06	-0.06	-0.0641357	-0.0641398	-0.0538344	-0.0538344
4	0.0008	-0.0585843	-0.0585834	-0.0596446	-0.059655	-0.06	-0.06	-0.0593799	-0.0593888	-0.0540321	-0.0540321
5	0.001	-0.058342	-0.0583406	-0.0595643	-0.0595771	-0.06	-0.06	-0.0556876	-0.0557036	-0.0542002	-0.0542001
6	0.0012	-0.0581122	-0.0581102	-0.0594871	-0.0595022	-0.06	-0.06	-0.052856	-0.0528812	-0.054344	-0.0543439
7	0.0014	-0.0578944	-0.0578917	-0.0594129	-0.0594302	-0.06	-0.06	-0.0507238	-0.0507606	-0.0544677	-0.0544676
8	0.0016	-0.0576882	-0.0576847	-0.0593417	-0.0593611	-0.06	-0.06	-0.0491626	-0.0492133	-0.0545751	-0.0545748
9	0.0018	-0.0575058	-0.0574992	-0.0592732	-0.0592947	-0.06	-0.06	-0.0480699	-0.0481374	-0.0546689	-0.0546685
10	0.002	-0.0573524	-0.0573423	-0.0592071	-0.0592308	-0.0599758	-0.0599984	-0.0473613	-0.0474489	-0.0547517	-0.0547511
11	0.0022	-0.0572252	-0.0572112	-0.0591435	-0.0591695	-0.0599525	-0.0599969	-0.0469676	-0.0470774	-0.0548253	-0.0548245
12	0.0024	-0.057122	-0.0571034	-0.0590824	-0.0591106	-0.0599302	-0.0599955	-0.0468334	-0.046968	-0.0548916	-0.0548904
13	0.0026	-0.0570403	-0.0570168	-0.0590237	-0.059054	-0.0599087	-0.0599941	-0.0469137	-0.0470767	-0.0549517	-0.0549501
14	0.0028	-0.056978	-0.056949	-0.0589673	-0.0589996	-0.0598881	-0.0599927	-0.0471725	-0.0473678	-0.0550069	-0.0550048
15	0.003	-0.0569333	-0.0568983	-0.0589135	-0.0589474	-0.0598322	-0.0599853	-0.0475804	-0.0478126	-0.0550581	-0.0550555
16	0.0032	-0.0569044	-0.0568628	-0.0588619	-0.0588972	-0.0597785	-0.0599781	-0.0481131	-0.0483852	-0.055106	-0.0551028
17	0.0034	-0.0568895	-0.0568408	-0.0588122	-0.0588489	-0.0597269	-0.0599712	-0.0487511	-0.0490668	-0.0551514	-0.0551474
18	0.0036	-0.0568873	-0.0568309	-0.0587646	-0.0588026	-0.0596773	-0.0599646	-0.0494782	-0.049842	-0.0551947	-0.0551899
19	0.0038	-0.0568962	-0.0568316	-0.0587187	-0.058758	-0.0596297	-0.0599583	-0.0502811	-0.0506982	-0.0552366	-0.0552307
20	0.004	-0.0569151	-0.0568417	-0.0586747	-0.0587151	-0.0595551	-0.059946	-0.0511484	-0.0516249	-0.0552772	-0.0552702
