TimeSlice	Time	L Knee PF flx IN	L Knee PF ext IN	L Knee PF flx	L Knee PF ext
0	0	-0.0595489	-0.0595489	-0.052851	-0.052851
1	0.0002	-0.0591408	-0.0591408	-0.0531245	-0.0531235
2	0.0004	-0.0587731	-0.0587731	-0.053409	-0.053406
3	0.0006	-0.0584436	-0.0584434	-0.0537011	-0.0536953
4	0.0008	-0.0581497	-0.0581492	-0.0539981	-0.0539886
5	0.001	-0.0578892	-0.0578882	-0.0542974	-0.0542833
6	0.0012	-0.0576599	-0.0576581	-0.0545967	-0.0545773
7	0.0014	-0.0574595	-0.0574568	-0.0548941	-0.0548686
8	0.0016	-0.0572859	-0.057282	-0.0551881	-0.0551558
9	0.0018	-0.0571373	-0.0571319	-0.0554772	-0.0554373
10	0.002	-0.0570117	-0.0570046	-0.0557602	-0.0557122
11	0.0022	-0.0569075	-0.0568982	-0.0560363	-0.0559794
12	0.0024	-0.0568229	-0.0568111	-0.0563045	-0.0562383
13	0.0026	-0.0567564	-0.0567418	-0.0565644	-0.0564882
14	0.0028	-0.0567065	-0.0566888	-0.0568155	-0.0567287
15	0.003	-0.056672	-0.0566507	-0.0570574	-0.0569596
16	0.0032	-0.0566515	-0.0566262	-0.0572898	-0.0571805
17	0.0034	-0.0566438	-0.0566142	-0.0575128	-0.0573914
18	0.0036	-0.0566479	-0.0566135	-0.0577261	-0.0575923
19	0.0038	-0.0566627	-0.056623	-0.0579298	-0.0577832
20	0.004	-0.0566873	-0.0566419	-0.058124	-0.0579641
21	0.0042	-0.0567206	-0.0566691	-0.0583088	-0.0581353
22	0.0044	-0.056762	-0.0567039	-0.0584844	-0.0582969
23	0.0046	-0.0568106	-0.0567454	-0.0586509	-0.0584491
24	0.0048	-0.0568657	-0.0567929	-0.0588086	-0.0585921
25	0.005	-0.0569266	-0.0568458	-0.0589576	-0.0587262
26	0.0052	-0.0569927	-0.0569032	-0.0590984	-0.0588516
27	0.0054	-0.0570633	-0.0569648	-0.059231	-0.0589686
28	0.0056	-0.057138	-0.0570298	-0.0593559	-0.0590776
29	0.0058	-0.0572161	-0.0570978	-0.0594733	-0.0591787
30	0.006	-0.0572973	-0.0571682	-0.0595832	-0.0592724
31	0.0062	-0.057381	-0.0572407	-0.0596856	-0.0593587
32	0.0064	-0.0574668	-0.0573148	-0.0597808	-0.0594382
33	0.0066	-0.0575543	-0.0573901	-0.0598692	-0.0595109
34	0.0068	-0.0576431	-0.0574661	-0.0599511	-0.0595773
35	0.007	-0.0577329	-0.0575427	-0.0600267	-0.0596376
36	0.0072	-0.0578218	-0.0576194	-0.0600965	-0.059692
37	0.0074	-0.0579072	-0.057696	-0.0601607	-0.0597409
38	0.0076	-0.0579893	-0.0577722	-0.0602195	-0.0597847
39	0.0078	-0.0580681	-0.0578478	-0.0602733	-0.0598237
40	0.008	-0.0581438	-0.0579225	-0.0603224	-0.0598583
41	0.0082	-0.0582166	-0.0579961	-0.0603669	-0.0598887
42	0.0084	-0.0582866	-0.0580685	-0.0604072	-0.0599152
43	0.0086	-0.0583537	-0.0581395	-0.0604435	-0.0599382
44	0.0088	-0.0584183	-0.058209	-0.060476	-0.0599578
45	0.009	-0.0584803	-0.0582768	-0.0605049	-0.0599743
46	0.0092	-0.0585399	-0.0583429	-0.0605305	-0.0599878
47	0.0094	-0.0585972	-0.0584072	-0.060553	-0.0599987
48	0.0096	-0.0586522	-0.0584696	-0.0605726	-0.0600071
49	0.0098	-0.058705	-0.0585296	-0.0605894	-0.0600132
50	0.01	-0.0587558	-0.0585873	-0.0606036	-0.0600171
51	0.0102	-0.0588046	-0.0586427	-0.0606155	-0.0600205
52	0.0104	-0.0588514	-0.0586959	-0.0606252	-0.0600235
53	0.0106	-0.0588965	-0.058747	-0.0606328	-0.0600261
54	0.0108	-0.0589397	-0.0587962	-0.0606386	-0.0600282
55	0.011	-0.0589813	-0.0588434	-0.0606426	-0.0600299
56	0.0112	-0.0590213	-0.0588887	-0.060645	-0.0600312
57	0.0114	-0.0590596	-0.0589323	-0.0606459	-0.0600322
58	0.0116	-0.0590965	-0.0589742	-0.0606453	-0.0600328
59	0.0118	-0.0591319	-0.0590144	-0.0606435	-0.060033
60	0.012	-0.059166	-0.059053	-0.0606406	-0.060033
61	0.0122	-0.0591987	-0.0590902	-0.0606365	-0.0600326
62	0.0124	-0.0592301	-0.0591258	-0.0606314	-0.060032
63	0.0126	-0.0592603	-0.0591601	-0.0606254	-0.060031
64	0.0128	-0.0592893	-0.059193	-0.0606186	-0.0600298
65	0.013	-0.0593172	-0.0592247	-0.060611	-0.0600284
66	0.0132	-0.0593439	-0.0592551	-0.0606027	-0.0600267
67	0.0134	-0.0593697	-0.0592843	-0.0605937	-0.0600247
68	0.0136	-0.0593944	-0.0593124	-0.0605842	-0.0600226
69	0.0138	-0.0594181	-0.0593393	-0.0605741	-0.0600203
70	0.014	-0.0594409	-0.0593652	-0.0605636	-0.0600178
