TimeSlice	Time	R Ank ext Ia	R Ank flx Ia	R Ank ext Ia IN	R Ank flx Ia IN	R Ank ext Ib	R Ank flx Ib	R Ank MN flx	R Ank MN ext	R Ank MN flx RE	R Ank MN ext RE
0	0	-0.0596848	-0.0596848	-0.06	-0.06	-0.06	-0.06	-0.0876866	-0.0876866	-0.0529905	-0.0529905
1	0.0002	-0.0593893	-0.0593893	-0.06	-0.06	-0.06	-0.06	-0.0779261	-0.0779261	-0.0533226	-0.0533226
2	0.0004	-0.0591127	-0.0591127	-0.0599999	-0.0599999	-0.06	-0.06	-0.0702106	-0.0702118	-0.0536006	-0.0536006
3	0.0006	-0.0588541	-0.0588541	-0.0599999	-0.0599999	-0.06	-0.06	-0.0641351	-0.0641391	-0.0538344	-0.0538344
4	0.0008	-0.0586126	-0.0586125	-0.0599999	-0.0599998	-0.06	-0.06	-0.0593773	-0.0593861	-0.0540321	-0.0540321
5	0.001	-0.0583872	-0.0583872	-0.0599999	-0.0599998	-0.06	-0.0599986	-0.055681	-0.0556967	-0.0542001	-0.0542002
6	0.0012	-0.0581772	-0.0581772	-0.0599998	-0.0599997	-0.06	-0.0599972	-0.0528427	-0.0528676	-0.0543438	-0.0543439
7	0.0014	-0.0579817	-0.0579817	-0.0599998	-0.0599997	-0.06	-0.0599958	-0.0507006	-0.050737	-0.0544675	-0.0544677
8	0.0016	-0.0577997	-0.0577997	-0.0599998	-0.0599996	-0.06	-0.0599945	-0.0491263	-0.0491765	-0.0545747	-0.0545749
9	0.0018	-0.0576434	-0.0576412	-0.0599998	-0.0599996	-0.06	-0.0599933	-0.048017	-0.0480837	-0.0546683	-0.0546687
10	0.002	-0.0575177	-0.0575129	-0.0599997	-0.0599996	-0.0599023	-0.0599936	-0.0472883	-0.0473749	-0.0547507	-0.0547513
11	0.0022	-0.0574197	-0.0574118	-0.0599997	-0.0599995	-0.0598085	-0.0599938	-0.0468713	-0.0469772	-0.0548239	-0.0548247
12	0.0024	-0.0573467	-0.0573354	-0.0599997	-0.0599995	-0.0597184	-0.0599941	-0.0467104	-0.0468362	-0.0548895	-0.0548907
13	0.0026	-0.0572963	-0.0572812	-0.0599997	-0.0599994	-0.0596317	-0.0599943	-0.0467609	-0.0469082	-0.0549489	-0.0549504
14	0.0028	-0.0572664	-0.0572468	-0.0599997	-0.0599994	-0.0595485	-0.0599945	-0.0469867	-0.0471579	-0.0550032	-0.0550052
15	0.003	-0.0572548	-0.0572303	-0.0599996	-0.0599993	-0.0594091	-0.0599947	-0.0473586	-0.0475567	-0.0550534	-0.0550558
16	0.0032	-0.0572597	-0.0572298	-0.0599996	-0.0599993	-0.0592752	-0.0599949	-0.0478527	-0.0480792	-0.0551001	-0.055103
17	0.0034	-0.0572792	-0.0572434	-0.0599996	-0.0599992	-0.0591465	-0.0599951	-0.0484497	-0.0487066	-0.055144	-0.0551476
18	0.0036	-0.057312	-0.0572696	-0.0599996	-0.0599992	-0.0590229	-0.0599953	-0.0491335	-0.0494239	-0.0551858	-0.0551901
19	0.0038	-0.0573564	-0.0573068	-0.0599996	-0.0599991	-0.0589041	-0.0599955	-0.0498907	-0.0502186	-0.0552257	-0.0552308
20	0.004	-0.0574112	-0.0573539	-0.0599996	-0.0599991	-0.0587741	-0.0599957	-0.0507105	-0.0510802	-0.0552643	-0.0552702
21	0.0042	-0.0574752	-0.0574094	-0.0599995	-0.059999	-0.0586493	-0.0599959	-0.0515834	-0.0519995	-0.0553018	-0.0553087
22	0.0044	-0.0575472	-0.0574723	-0.0599995	-0.059999	-0.0585293	-0.059996	-0.0525015	-0.0529693	-0.0553384	-0.0553465
23	0.0046	-0.0576262	-0.0575416	-0.0599995	-0.0599989	-0.0584141	-0.0599962	-0.053458	-0.0539836	-0.0553745	-0.0553838
24	0.0048	-0.0577113	-0.0576163	-0.0599995	-0.0599989	-0.0583033	-0.0599963	-0.0544471	-0.0550371	-0.0554101	-0.0554208
25	0.005	-0.0578016	-0.0576954	-0.0599995	-0.0599989	-0.0582226	-0.0599965	-0.0554635	-0.0561254	-0.0554455	-0.0554578
26	0.0052	-0.0578964	-0.0577783	-0.0599995	-0.0599988	-0.058145	-0.0599966	-0.0565027	-0.057246	-0.0554808	-0.0554948
27	0.0054	-0.0579949	-0.0578642	-0.0599995	-0.0599988	-0.0580705	-0.0599967	-0.0575606	-0.0583954	-0.055516	-0.055532
28	0.0056	-0.0580964	-0.0579523	-0.0599995	-0.0599988	-0.0579989	-0.0599969	-0.0586333	-0.0595704	-0.0555513	-0.0555695
29	0.0058	-0.0582005	-0.0580422	-0.0599994	-0.0599987	-0.0579301	-0.059997	-0.0597173	-0.0607682	-0.0555867	-0.0556074
30	0.006	-0.0583064	-0.0581332	-0.0599994	-0.0599987	-0.0579183	-0.059995	-0.0608095	-0.0619863	-0.0556223	-0.0556458
31	0.0062	-0.0584137	-0.0582248	-0.0599994	-0.0599987	-0.0579071	-0.0599931	-0.0619065	-0.0632253	-0.0556581	-0.0556847
32	0.0064	-0.058522	-0.0583165	-0.0599994	-0.0599987	-0.0578962	-0.0599913	-0.0630054	-0.0644823	-0.0556941	-0.0557242
33	0.0066	-0.0586307	-0.058408	-0.0599994	-0.0599986	-0.0578858	-0.0599896	-0.0641034	-0.0657545	-0.0557303	-0.0557644
34	0.0068	-0.0587394	-0.0584988	-0.0599994	-0.0599986	-0.0578758	-0.0599879	-0.0651978	-0.0670393	-0.0557668	-0.0558053
35	0.007	-0.0588477	-0.0585885	-0.0599994	-0.0599986	-0.0579309	-0.0599745	-0.066286	-0.0683343	-0.0558035	-0.055847
36	0.0072	-0.0589534	-0.0586769	-0.0599994	-0.0599986	-0.0579837	-0.0599616	-0.0673641	-0.0696105	-0.0558404	-0.0558894
37	0.0074	-0.059053	-0.0587637	-0.0599994	-0.0599986	-0.0580345	-0.0599492	-0.0684301	-0.0708153	-0.0558775	-0.0559325
38	0.0076	-0.0591468	-0.0588486	-0.0599994	-0.0599986	-0.0580833	-0.0599373	-0.069482	-0.0719532	-0.0559147	-0.055976
39	0.0078	-0.059235	-0.0589315	-0.0599994	-0.0599986	-0.0581302	-0.0599258	-0.0705183	-0.0730286	-0.055952	-0.0560198
40	0.008	-0.059318	-0.0590122	-0.0599994	-0.0599985	-0.0581718	-0.0599162	-0.0715373	-0.0740458	-0.0559894	-0.0560636
41	0.0082	-0.0593961	-0.0590906	-0.0599994	-0.0599985	-0.0582118	-0.0599069	-0.0725375	-0.0750081	-0.0560268	-0.0561073
42	0.0084	-0.0594695	-0.0591666	-0.0599993	-0.0599985	-0.0582502	-0.059898	-0.0735173	-0.0759192	-0.0560642	-0.0561506
43	0.0086	-0.0595384	-0.0592401	-0.0599993	-0.0599985	-0.0582871	-0.0598894	-0.0744752	-0.0767824	-0.0561015	-0.0561935
44	0.0088	-0.0596032	-0.059311	-0.0599993	-0.0599985	-0.0583226	-0.0598812	-0.0754096	-0.0776007	-0.0561388	-0.0562358
45	0.009	-0.059664	-0.0593792	-0.0599993	-0.0599985	-0.0583625	-0.0598736	-0.0763193	-0.078377	-0.0561758	-0.0562774
46	0.0092	-0.059721	-0.0594447	-0.0599993	-0.0599985	-0.0584009	-0.0598663	-0.0772028	-0.0791145	-0.0562127	-0.0563183
47	0.0094	-0.0597745	-0.0595074	-0.0599993	-0.0599985	-0.0584377	-0.0598593	-0.078059	-0.0798154	-0.0562493	-0.0563583
48	0.0096	-0.0598246	-0.0595673	-0.0599993	-0.0599985	-0.0584732	-0.0598526	-0.0788866	-0.0804822	-0.0562857	-0.0563974
49	0.0098	-0.0598716	-0.0596238	-0.0599993	-0.0599985	-0.0585072	-0.0598461	-0.0796749	-0.0811168	-0.0563216	-0.0564355
50	0.01	-0.0599156	-0.0596771	-0.0599993	-0.0599985	-0.0585476	-0.0598398	-0.0804245	-0.0817214	-0.0563572	-0.0564726
51	0.0102	-0.0599569	-0.0597273	-0.0599993	-0.0599984	-0.0585865	-0.0598336	-0.0811377	-0.0822984	-0.0563921	-0.0565086
52	0.0104	-0.0599955	-0.0597746	-0.0599993	-0.0599984	-0.0586238	-0.0598277	-0.0818165	-0.0828494	-0.0564265	-0.0565435
53	0.0106	-0.0600317	-0.0598191	-0.0599993	-0.0599984	-0.0586597	-0.0598221	-0.0824629	-0.083376	-0.0564602	-0.0565773
54	0.0108	-0.0600656	-0.0598614	-0.0599993	-0.0599984	-0.0586941	-0.0598166	-0.0830808	-0.0838795	-0.0564932	-0.05661
55	0.011	-0.0600973	-0.0599015	-0.0599993	-0.0599984	-0.0587334	-0.0598113	-0.0836718	-0.0843613	-0.0565254	-0.0566415
56	0.0112	-0.0601269	-0.0599396	-0.0599993	-0.0599984	-0.0587712	-0.0598061	-0.0842371	-0.0848231	-0.0565568	-0.0566719
57	0.0114	-0.0601546	-0.0599758	-0.0599993	-0.0599984	-0.0588075	-0.0598012	-0.0847779	-0.085266	-0.0565874	-0.0567011
58	0.0116	-0.0601806	-0.0600101	-0.0599993	-0.0599984	-0.0588423	-0.0597965	-0.0852952	-0.0856909	-0.0566171	-0.0567292
59	0.0118	-0.0602049	-0.0600427	-0.0599993	-0.0599984	-0.0588758	-0.0597919	-0.0857901	-0.0860994	-0.0566459	-0.0567561
60	0.012	-0.0602279	-0.0600736	-0.0599993	-0.0599984	-0.0589129	-0.0597874	-0.0862636	-0.0864934	-0.0566739	-0.0567819
61	0.0122	-0.0602497	-0.060103	-0.0599993	-0.0599984	-0.0589485	-0.0597832	-0.0867165	-0.0868739	-0.0567009	-0.0568066
62	0.0124	-0.0602704	-0.0601308	-0.0599993	-0.0599984	-0.0589827	-0.059779	-0.0871499	-0.0872415	-0.056727	-0.0568302
63	0.0126	-0.0602899	-0.0601572	-0.0599993	-0.0599984	-0.0590156	-0.0597751	-0.0875645	-0.0875965	-0.0567522	-0.0568526
