TimeSlice	Time	L Ank flx Ia	L Ank ext Ia	L Ank flx Ia IN	L Ank ext Ia IN	L Ank ext Ib	L Ank flx Ib	L Ank MN ext	L Ank MN flx	L Ank MN flx RE	L Ank MN ext RE
0	0	-0.0596848	-0.0596848	-0.06	-0.06	-0.06	-0.06	-0.0876866	-0.0876866	-0.0529905	-0.0529905
1	0.0002	-0.0593893	-0.0593893	-0.06	-0.06	-0.06	-0.06	-0.0779261	-0.0779261	-0.0533226	-0.0533226
2	0.0004	-0.0591127	-0.0591127	-0.0599999	-0.0599999	-0.06	-0.06	-0.0702106	-0.0702117	-0.0536006	-0.0536006
3	0.0006	-0.0588541	-0.0588541	-0.0599999	-0.0599999	-0.06	-0.06	-0.0641351	-0.0641389	-0.0538344	-0.0538344
4	0.0008	-0.0586125	-0.0586126	-0.0599998	-0.0599999	-0.06	-0.06	-0.0593773	-0.0593859	-0.0540321	-0.0540321
5	0.001	-0.0583872	-0.0583872	-0.0599998	-0.0599999	-0.06	-0.0599986	-0.055681	-0.0556968	-0.0542002	-0.0542001
6	0.0012	-0.0581772	-0.0581772	-0.0599997	-0.0599998	-0.06	-0.0599972	-0.0528428	-0.0528682	-0.0543439	-0.0543438
7	0.0014	-0.0579817	-0.0579817	-0.0599997	-0.0599998	-0.06	-0.0599958	-0.050701	-0.0507387	-0.0544677	-0.0544675
8	0.0016	-0.0577997	-0.0577997	-0.0599996	-0.0599998	-0.06	-0.0599945	-0.0491268	-0.0491799	-0.0545749	-0.0545747
9	0.0018	-0.0576437	-0.0576412	-0.0599996	-0.0599998	-0.06	-0.0599933	-0.0480179	-0.0480897	-0.0546687	-0.0546683
10	0.002	-0.0575184	-0.0575129	-0.0599996	-0.0599997	-0.0599022	-0.0599936	-0.0472894	-0.0473845	-0.0547513	-0.0547507
11	0.0022	-0.057421	-0.0574118	-0.0599995	-0.0599997	-0.0598081	-0.0599938	-0.0468685	-0.0469957	-0.0548248	-0.0548239
12	0.0024	-0.0573488	-0.0573354	-0.0599995	-0.0599997	-0.0597178	-0.0599941	-0.0467001	-0.0468685	-0.0548908	-0.0548895
13	0.0026	-0.0572994	-0.0572811	-0.0599995	-0.0599997	-0.059631	-0.0599943	-0.0467401	-0.0469588	-0.0549507	-0.0549489
14	0.0028	-0.0572706	-0.0572467	-0.0599994	-0.0599997	-0.0595477	-0.0599945	-0.0469526	-0.0472312	-0.0550055	-0.0550031
15	0.003	-0.0572603	-0.0572301	-0.0599994	-0.0599996	-0.0594023	-0.0599947	-0.0473086	-0.0476572	-0.0550564	-0.0550531
16	0.0032	-0.0572668	-0.0572294	-0.0599994	-0.0599996	-0.0592626	-0.0599949	-0.0477817	-0.0482138	-0.0551039	-0.0550997
17	0.0034	-0.0572882	-0.0572429	-0.0599993	-0.0599996	-0.0591284	-0.0599951	-0.0483525	-0.0488824	-0.0551489	-0.0551434
18	0.0036	-0.057323	-0.0572689	-0.0599993	-0.0599996	-0.0589995	-0.0599953	-0.0490054	-0.0496479	-0.0551919	-0.0551849
19	0.0038	-0.0573697	-0.0573059	-0.0599992	-0.0599996	-0.0588756	-0.0599955	-0.0497271	-0.0504977	-0.0552333	-0.0552244
20	0.004	-0.057427	-0.0573526	-0.0599992	-0.0599996	-0.0587456	-0.0599957	-0.0505066	-0.0514208	-0.0552735	-0.0552625
21	0.0042	-0.0574936	-0.0574077	-0.0599991	-0.0599995	-0.0586208	-0.0599959	-0.0513339	-0.052408	-0.055313	-0.0552993
22	0.0044	-0.0575682	-0.0574702	-0.0599991	-0.0599995	-0.0585008	-0.059996	-0.0522012	-0.0534516	-0.0553519	-0.0553352
23	0.0046	-0.0576498	-0.0575388	-0.059999	-0.0599995	-0.0583855	-0.0599962	-0.0531016	-0.0545451	-0.0553906	-0.0553704
24	0.0048	-0.0577374	-0.0576128	-0.059999	-0.0599995	-0.0582748	-0.0599963	-0.054029	-0.055683	-0.0554292	-0.055405
25	0.005	-0.0578302	-0.0576912	-0.059999	-0.0599995	-0.0582038	-0.0599965	-0.0549783	-0.0568604	-0.0554679	-0.0554391
26	0.0052	-0.0579273	-0.0577733	-0.0599989	-0.0599995	-0.0581356	-0.0599966	-0.0559466	-0.0580732	-0.055507	-0.055473
27	0.0054	-0.0580279	-0.0578582	-0.0599989	-0.0599995	-0.0580701	-0.0599967	-0.0569294	-0.0593176	-0.0555464	-0.0555066
28	0.0056	-0.0581315	-0.0579448	-0.0599988	-0.0599995	-0.0580071	-0.0599969	-0.0579162	-0.0605904	-0.0555864	-0.05554
29	0.0058	-0.0582372	-0.0580325	-0.0599988	-0.0599994	-0.0579466	-0.059997	-0.0589036	-0.0618887	-0.0556271	-0.0555734
30	0.006	-0.0583447	-0.0581208	-0.0599988	-0.0599994	-0.0579527	-0.0599901	-0.0598888	-0.0632096	-0.0556684	-0.0556066
31	0.0062	-0.0584533	-0.0582092	-0.0599987	-0.0599994	-0.0579586	-0.0599834	-0.0608726	-0.06455	-0.0557106	-0.0556397
32	0.0064	-0.0585626	-0.0582974	-0.0599987	-0.0599994	-0.0579642	-0.059977	-0.061852	-0.0659076	-0.0557536	-0.0556728
33	0.0066	-0.0586722	-0.0583848	-0.0599987	-0.0599994	-0.0579696	-0.0599708	-0.0628242	-0.06728	-0.0557975	-0.0557058
34	0.0068	-0.0587816	-0.0584711	-0.0599987	-0.0599994	-0.0579747	-0.0599649	-0.0637865	-0.0686652	-0.0558423	-0.0557386
35	0.007	-0.0588906	-0.058556	-0.0599986	-0.0599994	-0.058049	-0.0599461	-0.0647365	-0.0700611	-0.0558881	-0.0557714
36	0.0072	-0.0589943	-0.0586393	-0.0599986	-0.0599994	-0.0581204	-0.0599281	-0.0656759	-0.0713913	-0.055935	-0.055804
37	0.0074	-0.0590919	-0.0587206	-0.0599986	-0.0599994	-0.058189	-0.0599108	-0.0666028	-0.0726455	-0.0559825	-0.0558364
38	0.0076	-0.0591838	-0.0587999	-0.0599986	-0.0599994	-0.0582549	-0.0598941	-0.0675152	-0.0738284	-0.0560306	-0.0558687
39	0.0078	-0.0592703	-0.0588769	-0.0599986	-0.0599994	-0.0583182	-0.0598782	-0.0684116	-0.0749447	-0.0560789	-0.0559007
40	0.008	-0.0593517	-0.0589516	-0.0599986	-0.0599994	-0.05834	-0.0598707	-0.06929	-0.0759984	-0.0561273	-0.0559324
41	0.0082	-0.0594282	-0.0590238	-0.0599986	-0.0599994	-0.0583609	-0.0598636	-0.0701463	-0.0769945	-0.0561756	-0.0559639
42	0.0084	-0.0595001	-0.0590934	-0.0599986	-0.0599993	-0.058381	-0.0598567	-0.0709792	-0.0779368	-0.0562236	-0.055995
43	0.0086	-0.0595677	-0.0591604	-0.0599985	-0.0599993	-0.0584002	-0.0598501	-0.0717872	-0.0788284	-0.0562711	-0.0560258
44	0.0088	-0.0596311	-0.0592246	-0.0599985	-0.0599993	-0.0584188	-0.0598437	-0.0725693	-0.0796727	-0.0563181	-0.0560561
45	0.009	-0.0596907	-0.0592862	-0.0599985	-0.0599993	-0.0584231	-0.059842	-0.0733243	-0.0804724	-0.0563644	-0.056086
46	0.0092	-0.0597466	-0.0593449	-0.0599985	-0.0599993	-0.0584273	-0.0598404	-0.0740502	-0.0812311	-0.05641	-0.0561154
47	0.0094	-0.059799	-0.0594008	-0.0599985	-0.0599993	-0.0584313	-0.0598389	-0.0747461	-0.0819511	-0.0564547	-0.0561442
48	0.0096	-0.0598481	-0.059454	-0.0599985	-0.0599993	-0.0584352	-0.0598373	-0.0754113	-0.0826348	-0.0564984	-0.0561724
49	0.0098	-0.0598942	-0.0595043	-0.0599985	-0.0599993	-0.0584389	-0.0598359	-0.076045	-0.0832844	-0.0565412	-0.0561999
50	0.01	-0.0599373	-0.0595517	-0.0599985	-0.0599993	-0.0584465	-0.0598358	-0.0766467	-0.0839019	-0.056583	-0.0562267
51	0.0102	-0.0599777	-0.0595964	-0.0599985	-0.0599993	-0.0584538	-0.0598358	-0.0772163	-0.0844895	-0.0566237	-0.0562527
52	0.0104	-0.0600156	-0.0596385	-0.0599985	-0.0599993	-0.0584608	-0.0598357	-0.0777552	-0.0850488	-0.0566632	-0.0562779
53	0.0106	-0.060051	-0.0596782	-0.0599985	-0.0599993	-0.0584675	-0.0598356	-0.0782663	-0.0855815	-0.0567017	-0.0563022
54	0.0108	-0.0600842	-0.0597158	-0.0599984	-0.0599993	-0.058474	-0.0598355	-0.0787526	-0.086089	-0.0567389	-0.0563256
55	0.011	-0.0601152	-0.0597515	-0.0599984	-0.0599993	-0.058495	-0.0598345	-0.0792147	-0.0865729	-0.056775	-0.0563481
56	0.0112	-0.0601442	-0.0597853	-0.0599984	-0.0599993	-0.0585151	-0.0598334	-0.0796547	-0.0870342	-0.05681	-0.0563696
57	0.0114	-0.0601713	-0.0598172	-0.0599984	-0.0599993	-0.0585345	-0.0598324	-0.0800733	-0.0874741	-0.0568437	-0.0563902
58	0.0116	-0.0601966	-0.0598475	-0.0599984	-0.0599993	-0.0585531	-0.0598315	-0.0804711	-0.0878938	-0.0568762	-0.0564098
59	0.0118	-0.0602203	-0.059876	-0.0599984	-0.0599993	-0.058571	-0.0598306	-0.0808486	-0.0882944	-0.0569075	-0.0564284
60	0.012	-0.0602423	-0.059903	-0.0599984	-0.0599993	-0.0586063	-0.0598275	-0.0812066	-0.0886769	-0.0569377	-0.056446
61	0.0122	-0.0602629	-0.0599284	-0.0599984	-0.0599993	-0.0586403	-0.0598246	-0.0815471	-0.0890418	-0.0569666	-0.0564627
62	0.0124	-0.0602821	-0.0599523	-0.0599984	-0.0599993	-0.0586729	-0.0598218	-0.0818706	-0.0893901	-0.0569944	-0.0564783
63	0.0126	-0.0603	-0.0599748	-0.0599984	-0.0599993	-0.0587042	-0.0598191	-0.0821775	-0.0897227	-0.057021	-0.056493
