TimeSlice	Time	L Hip MN ext	L Hip MN flx	L Hip PF flx	L Hip PF ext	L RG ext	L RG flx
2500	0.5	-0.0498995	-0.0941805	-0.060785	-0.0572897	-0.0576494	-0.0628686
2501	0.5002	-0.0499133	-0.0941778	-0.0607824	-0.0572917	-0.0576497	-0.0628662
2502	0.5004	-0.0499271	-0.0941752	-0.0607797	-0.0572937	-0.05765	-0.0628638
2503	0.5006	-0.0499408	-0.0941726	-0.060777	-0.0572957	-0.0576503	-0.0628614
2504	0.5008	-0.0499544	-0.0941699	-0.0607744	-0.0572977	-0.0576506	-0.0628591
2505	0.501	-0.0499679	-0.0941673	-0.0607717	-0.0572997	-0.0576509	-0.0628567
2506	0.5012	-0.0499815	-0.0941647	-0.0607691	-0.0573017	-0.0576512	-0.0628544
2507	0.5014	-0.0499949	-0.0941621	-0.0607665	-0.0573037	-0.0576515	-0.062852
2508	0.5016	-0.0500083	-0.0941595	-0.0607639	-0.0573056	-0.0576519	-0.0628497
2509	0.5018	-0.0500216	-0.094157	-0.0607613	-0.0573076	-0.0576522	-0.0628474
2510	0.502	-0.0500349	-0.0941544	-0.0607587	-0.0573095	-0.0576525	-0.0628451
2511	0.5022	-0.0500481	-0.0941518	-0.0607561	-0.0573114	-0.0576528	-0.0628429
2512	0.5024	-0.0500612	-0.0941493	-0.0607535	-0.0573133	-0.0576531	-0.0628406
2513	0.5026	-0.0500743	-0.0941467	-0.0607509	-0.0573153	-0.0576534	-0.0628384
2514	0.5028	-0.0500874	-0.0941442	-0.0607484	-0.0573172	-0.0576538	-0.0628361
2515	0.503	-0.0501003	-0.0941417	-0.0607458	-0.057319	-0.0576541	-0.0628339
2516	0.5032	-0.0501132	-0.0941392	-0.0607433	-0.0573209	-0.0576544	-0.0628317
2517	0.5034	-0.0501261	-0.0941367	-0.0607408	-0.0573228	-0.0576547	-0.0628295
2518	0.5036	-0.0501389	-0.0941342	-0.0607382	-0.0573247	-0.057655	-0.0628273
2519	0.5038	-0.0501516	-0.0941317	-0.0607357	-0.0573265	-0.0576554	-0.0628251
2520	0.504	-0.0501643	-0.0941292	-0.0607332	-0.0573284	-0.0576557	-0.0628229
2521	0.5042	-0.0501769	-0.0941267	-0.0607307	-0.0573302	-0.057656	-0.0628207
2522	0.5044	-0.0501895	-0.0941242	-0.0607282	-0.057332	-0.0576563	-0.0628186
2523	0.5046	-0.050202	-0.0941218	-0.0607258	-0.0573339	-0.0576567	-0.0628164
2524	0.5048	-0.0502145	-0.0941193	-0.0607233	-0.0573357	-0.057657	-0.0628143
2525	0.505	-0.0502269	-0.0941169	-0.0607208	-0.0573375	-0.0576573	-0.0628122
2526	0.5052	-0.0502392	-0.0941144	-0.0607184	-0.0573393	-0.0576576	-0.0628101
2527	0.5054	-0.0502515	-0.094112	-0.0607159	-0.0573411	-0.0576579	-0.062808
2528	0.5056	-0.0502638	-0.0941096	-0.0607135	-0.0573429	-0.0576583	-0.0628059
2529	0.5058	-0.0502759	-0.0941072	-0.0607111	-0.0573446	-0.0576586	-0.0628038
2530	0.506	-0.0502881	-0.0941048	-0.0607087	-0.0573464	-0.0576589	-0.0628017
2531	0.5062	-0.0503001	-0.0941024	-0.0607063	-0.0573482	-0.0576592	-0.0627997
2532	0.5064	-0.0503122	-0.0941	-0.0607039	-0.0573499	-0.0576596	-0.0627976
2533	0.5066	-0.0503241	-0.0940976	-0.0607015	-0.0573516	-0.0576599	-0.0627956
2534	0.5068	-0.050336	-0.0940953	-0.0606991	-0.0573534	-0.0576602	-0.0627935
2535	0.507	-0.0503479	-0.0940929	-0.0606967	-0.0573551	-0.0576605	-0.0627915
2536	0.5072	-0.0503597	-0.0940906	-0.0606943	-0.0573568	-0.0576609	-0.0627895
2537	0.5074	-0.0503714	-0.0940882	-0.060692	-0.0573585	-0.0576612	-0.0627875
2538	0.5076	-0.0503832	-0.0940859	-0.0606896	-0.0573602	-0.0576615	-0.0627855
2539	0.5078	-0.0503948	-0.0940835	-0.0606873	-0.0573619	-0.0576618	-0.0627835
2540	0.508	-0.0504064	-0.0940812	-0.060685	-0.0573636	-0.0576622	-0.0627815
2541	0.5082	-0.050418	-0.0940789	-0.0606826	-0.0573653	-0.0576625	-0.0627795
2542	0.5084	-0.0504295	-0.0940766	-0.0606803	-0.0573669	-0.0576628	-0.0627776
2543	0.5086	-0.0504409	-0.0940743	-0.060678	-0.0573686	-0.0576631	-0.0627756
2544	0.5088	-0.0504523	-0.094072	-0.0606757	-0.0573703	-0.0576635	-0.0627737
2545	0.509	-0.0504637	-0.0940698	-0.0606734	-0.0573719	-0.0576638	-0.0627718
2546	0.5092	-0.050475	-0.0940675	-0.0606711	-0.0573736	-0.0576641	-0.0627698
2547	0.5094	-0.0504862	-0.0940652	-0.0606688	-0.0573752	-0.0576644	-0.0627679
2548	0.5096	-0.0504974	-0.094063	-0.0606666	-0.0573768	-0.0576648	-0.062766
2549	0.5098	-0.0505086	-0.0940608	-0.0606643	-0.0573784	-0.0576651	-0.0627641
2550	0.51	-0.0505197	-0.0940585	-0.0606621	-0.05738	-0.0576654	-0.0627622
2551	0.5102	-0.0505308	-0.0940563	-0.0606598	-0.0573816	-0.0576657	-0.0627603
2552	0.5104	-0.0505418	-0.0940541	-0.0606576	-0.0573832	-0.0576661	-0.0627585
2553	0.5106	-0.0505528	-0.0940519	-0.0606553	-0.0573848	-0.0576664	-0.0627566
2554	0.5108	-0.0505637	-0.0940497	-0.0606531	-0.0573864	-0.0576667	-0.0627547
2555	0.511	-0.0505746	-0.0940475	-0.0606509	-0.057388	-0.057667	-0.0627529
