TimeSlice	Time	hip_L_flx_rec	hip_L_ext_rec	hip_L	hip_L_flx	hip_L_ext
0	0	1.5698	1.6105	0	0	0
5	0.001	1.5701	1.61063	0	0	0
10	0.002	1.5704	1.6105	1.30848e-017	45.4419	19.398
15	0.003	1.57783	1.6105	0.00141472	97.7511	80.1166
20	0.004	1.5861	1.6105	0.00301313	145.71	136.482
25	0.005	1.59298	1.6105	0.0043521	189.51	186.687
30	0.006	1.59827	1.6105	0.00538615	227.109	229.784
35	0.007	1.6026	1.6105	0.00624113	254.717	263
40	0.008	1.60681	1.6105	0.0070888	268.803	277.224
45	0.009	1.61878	1.6105	0.00948121	257.97	282.029
50	0.01	1.63062	1.6105	0.0118749	239.591	271.06
55	0.011	1.64218	1.6105	0.0142392	217.805	251.674
60	0.012	1.65342	1.6105	0.0165629	194.937	229.191
65	0.013	1.6644	1.6105	0.0188666	172.086	206.241
70	0.014	1.67535	1.6105	0.0211824	149.638	184.093
75	0.015	1.6864	1.6105	0.0235447	127.681	163.369
80	0.016	1.69753	1.6105	0.0259509	106.377	144.104
85	0.017	1.709	1.6105	0.0284474	85.4849	126.755
90	0.018	1.72035	1.6105	0.0309463	65.6701	110.841
95	0.019	1.73149	1.6105	0.0334286	47.0527	96.2461
100	0.02	1.74234	1.6105	0.0358765	29.6619	82.8828
105	0.021	1.75282	1.6105	0.0382743	13.5458	70.6349
110	0.022	1.76284	1.6105	0.0406035	0	59.4165
115	0.023	1.7723	1.6105	0.0428428	0	49.0905
120	0.024	1.78112	1.6105	0.0449761	0	39.5292
125	0.025	1.78933	1.6105	0.0470024	0	30.7677
130	0.026	1.79698	1.6105	0.0489351	0	22.6899
135	0.027	1.80405	1.6105	0.0507695	0	15.2635
140	0.028	1.81063	1.6105	0.0525153	0	8.49157
145	0.029	1.81675	1.6105	0.0541852	0	2.35754
150	0.03	1.8225	1.6105	0.0557922	0	0
155	0.031	1.82792	1.6105	0.0573445	0	0
160	0.032	1.83303	1.6105	0.0588462	0	0
165	0.033	1.83786	1.6105	0.0603012	0	0
170	0.034	1.84244	1.6105	0.0617134	0	0
175	0.035	1.84677	1.6105	0.0630875	0	0
180	0.036	1.85089	1.6105	0.0644293	0	0
185	0.037	1.85486	1.6105	0.0657455	0	0
190	0.038	1.8587	1.6105	0.0670446	0	0
195	0.039	1.86245	1.6105	0.0683353	0	0
200	0.04	1.86617	1.6105	0.0696258	0	0
205	0.041	1.86989	1.6105	0.070924	0	0
210	0.042	1.87365	1.6105	0.0722376	0	0
215	0.043	1.87747	1.6105	0.0735738	0	0
220	0.044	1.8814	1.6105	0.0749389	0	0
225	0.045	1.88546	1.6105	0.0763392	0	0
230	0.046	1.88966	1.6105	0.0777804	0	0
235	0.047	1.89405	1.6105	0.0792678	0	0
240	0.048	1.89865	1.6105	0.0808062	0	0
245	0.049	1.90407	1.6105	0.0825245	0	0
250	0.05	1.91021	1.6105	0.084403	0	0
255	0.051	1.91676	1.6105	0.0863825	0	0
260	0.052	1.92349	1.6105	0.0884103	0	1.75596
265	0.053	1.93034	1.6105	0.0904813	0	7.68163
270	0.054	1.93757	1.6105	0.0926469	0	15.6355
275	0.055	1.94622	1.6105	0.0951227	0	24.3614
280	0.056	1.95598	1.6105	0.0978518	0	33.4748
285	0.057	1.96638	1.6105	0.100736	0	42.7419
290	0.058	1.97694	1.6105	0.103679	0	52.1244
295	0.059	1.98741	1.6105	0.106631	0	61.6961
300	0.06	1.99777	1.6105	0.109583	0	71.4204
305	0.061	2.00797	1.6105	0.112529	0	81.2919
310	0.062	2.01802	1.6105	0.115467	0	91.1521
315	0.063	2.02879	1.6105	0.118582	0	101.638
320	0.064	2.04031	1.6105	0.121881	0	112.834
325	0.065	2.05239	1.6105	0.12533	0	124.571
330	0.066	2.0649	1.6105	0.128901	0	136.69
335	0.067	2.07795	1.6105	0.132615	0	149.24
340	0.068	2.09148	1.6105	0.136467	0	162.175
345	0.069	2.1054	1.6105	0.140437	0	175.419
350	0.07	2.11957	1.6105	0.144498	0	188.846
355	0.071	2.13394	1.6105	0.148643	0	202.411
360	0.072	2.1485	1.6105	0.152866	0	216.074
365	0.073	2.16322	1.6105	0.157164	0	229.817
370	0.074	2.17807	1.6105	0.161532	0	243.612
375	0.075	2.19306	1.6105	0.165969	0	257.357
380	0.076	2.20867	1.6105	0.170584	0	271.413
385	0.077	2.2249	1.6105	0.175378	0	285.823
390	0.078	2.2416	1.6105	0.180323	0	300.481
395	0.079	2.2586	1.6105	0.185384	0	315.231
400	0.08	2.27578	1.6105	0.190532	0	329.989
405	0.081	2.29301	1.6105	0.195744	0	344.656
410	0.082	2.31021	1.6105	0.201005	0	359.197
415	0.083	2.32734	1.6105	0.206303	0	373.563
420	0.084	2.34436	1.6105	0.211628	0	387.751
425	0.085	2.36123	1.6105	0.216974	0	401.722
430	0.086	2.37791	1.6105	0.222336	0	415.483
435	0.087	2.39441	1.6105	0.227708	0	429.011
440	0.088	2.41071	1.6105	0.233089	0	442.326
445	0.089	2.42678	1.6105	0.238475	0	455.409
450	0.09	2.44265	1.6105	0.243866	0	468.277
455	0.091	2.4583	1.6105	0.249258	0	480.923
460	0.092	2.47369	1.6105	0.254652	0	493.346
465	0.093	2.48889	1.6105	0.260047	0	505.562
470	0.094	2.50385	1.6105	0.265441	0	517.568
475	0.095	2.51857	1.6105	0.270833	0	529.367
480	0.096	2.53306	1.6105	0.276225	0	540.97
485	0.097	2.54732	1.6105	0.281614	0	552.369
490	0.098	2.56134	1.6105	0.287002	0	563.582
495	0.099	2.57516	1.6105	0.292387	0	574.619
500	0.1	2.58873	1.6105	0.297769	0	585.469
505	0.101	2.60209	1.6105	0.303149	0	596.132
510	0.102	2.6153	1.6105	0.308545	0	606.67
515	0.103	2.62841	1.6105	0.313965	0	617.113
520	0.104	2.64137	1.6105	0.319402	0	627.457
525	0.105	2.65417	1.6105	0.324848	0	637.671
530	0.106	2.66675	1.6105	0.330295	0	647.733
535	0.107	2.67912	1.6105	0.335738	0	657.638
540	0.108	2.69125	1.6105	0.341175	0	667.173
545	0.109	2.70312	1.6105	0.346596	0	676.733
550	0.11	2.71475	1.6105	0.352006	0	686.127
555	0.111	2.72612	1.6105	0.357404	0	695.346
560	0.112	2.73726	1.6105	0.362791	0	704.415
565	0.113	2.74817	1.6105	0.368166	0	713.331
570	0.114	2.75884	1.6105	0.37353	0	722.097
575	0.115	2.76926	1.6105	0.378881	0	730.713
580	0.116	2.77944	1.6105	0.384219	0	739.186
585	0.117	2.78941	1.6105	0.389543	0	747.524
590	0.118	2.79913	1.6105	0.394852	0	755.708
595	0.119	2.80861	1.6105	0.400145	0	763.737
600	0.12	2.81785	1.6105	0.405422	0	792.278
605	0.121	2.79121	1.6105	0.401597	0	774.596
610	0.122	2.77134	1.6105	0.39943	0	763.002
615	0.123	2.7567	1.6105	0.398542	0	756.058
620	0.124	2.74569	1.6105	0.398525	0	752.322
625	0.125	2.737	1.6105	0.399067	0	750.651
630	0.126	2.72978	1.6105	0.399953	0	750.294
635	0.127	2.72349	1.6105	0.401053	0	750.79
640	0.128	2.71781	1.6105	0.402294	0	756.883
645	0.129	2.70405	1.6105	0.401467	0	752.32
650	0.13	2.69236	1.6105	0.401126	0	749.573
655	0.131	2.68245	1.6105	0.401203	0	748.34
660	0.132	2.67384	1.6105	0.401585	0	750.009
665	0.133	2.66326	1.6105	0.40144	0	749.04
670	0.134	2.65333	1.6105	0.401429	0	748.909
675	0.135	2.64354	1.6105	0.401431	0	749.053
680	0.136	2.63387	1.6105	0.401431	0	749.371
685	0.137	2.6243	1.6105	0.401431	0	749.883
690	0.138	2.61482	1.6105	0.401431	0	750.582
695	0.139	2.60545	1.6105	0.401431	0	751.443
700	0.14	2.5962	1.6105	0.401431	0	752.506
705	0.141	2.58703	1.6105	0.401431	0	753.712
710	0.142	2.57796	1.6105	0.401431	0	755.055
715	0.143	2.56901	1.6105	0.401431	0	756.524
720	0.144	2.56014	1.6105	0.401431	0	758.11
725	0.145	2.55137	1.6105	0.401431	0	759.797
730	0.146	2.5427	1.6105	0.401431	0	761.588
735	0.147	2.53411	1.6105	0.401431	0	763.451
740	0.148	2.52563	1.6105	0.401431	0	765.401
745	0.149	2.51723	1.6105	0.401431	0	767.42
750	0.15	2.50894	1.6105	0.401431	0	769.498
755	0.151	2.50072	1.6105	0.401431	0	771.639
760	0.152	2.49261	1.6105	0.401431	0	773.815
765	0.153	2.48457	1.6105	0.40143	0	776.036
770	0.154	2.47664	1.6105	0.40143	0	778.305
775	0.155	2.46878	1.6105	0.40143	0	780.589
780	0.156	2.46101	1.6105	0.40143	0	782.898
785	0.157	2.45331	1.6105	0.40143	0	785.223
790	0.158	2.44572	1.6105	0.40143	0	787.57
795	0.159	2.43819	1.6105	0.401429	0	789.926
800	0.16	2.43078	1.6105	0.401429	0	792.29
805	0.161	2.42342	1.6105	0.401429	0	794.654
810	0.162	2.41614	1.6105	0.401429	0	797.01
815	0.163	2.40895	1.6105	0.401429	0	799.374
820	0.164	2.40185	1.6105	0.401428	0	801.713
825	0.165	2.39481	1.6105	0.401428	0	804.029
830	0.166	2.38785	1.6105	0.401428	0	806.285
835	0.167	2.38097	1.6105	0.401428	0	808.475
840	0.168	2.37417	1.6105	0.401427	0	810.565
845	0.169	2.36744	1.6105	0.401427	0	812.529
850	0.17	2.36078	1.6105	0.401427	0	814.353
855	0.171	2.35421	1.6105	0.401426	0	816
860	0.172	2.3477	1.6105	0.401426	0	817.454
865	0.173	2.34125	1.6105	0.401421	0	818.731
870	0.174	2.33478	1.6105	0.401395	0	819.744
875	0.175	2.32825	1.6105	0.401336	0	820.457
880	0.176	2.32163	1.6105	0.401233	0	820.83
885	0.177	2.31486	1.6105	0.401073	0	820.805
890	0.178	2.3079	1.6105	0.400847	0	820.352
895	0.179	2.30071	1.6105	0.400544	0	819.455
900	0.18	2.29324	1.6105	0.400153	0	818.068
905	0.181	2.28548	1.6105	0.399663	0	816.175
910	0.182	2.27737	1.6105	0.399065	0	813.73
915	0.183	2.26888	1.6105	0.398347	0	810.701
920	0.184	2.25996	1.6105	0.3975	0	807.06
925	0.185	2.25057	1.6105	0.396512	0	802.754
930	0.186	2.24071	1.6105	0.395375	0	797.765
935	0.187	2.23032	1.6105	0.39408	0	792.024
940	0.188	2.21936	1.6105	0.39262	0	785.523
945	0.189	2.20784	1.6105	0.390986	0	778.193
950	0.19	2.19572	1.6105	0.389173	0	770.034
955	0.191	2.18299	1.6105	0.387177	0	760.972
960	0.192	2.16962	1.6105	0.384991	0	750.992
