TimeSlice	Time	L Hip flx Ia	L Hip ext Ia	L Hip ext Ia IN	L Hip flx Ia IN	L Hip flx Ib	L Hip ext Ib	L Hip MN ext	L Hip MN flx	L Hip MN flx R	L Hip MN ext R
0	0	-0.0596848	-0.0596848	-0.06	-0.06	-0.06	-0.06	-0.0876866	-0.0876866	-0.0529905	-0.0529905
1	0.0002	-0.0593893	-0.0593893	-0.0599057	-0.0599085	-0.06	-0.06	-0.0779261	-0.0779261	-0.0533226	-0.0533226
2	0.0004	-0.0591076	-0.0591074	-0.0598152	-0.0598206	-0.06	-0.06	-0.0702106	-0.0702117	-0.0536006	-0.0536006
3	0.0006	-0.0588393	-0.0588389	-0.0597282	-0.0597362	-0.06	-0.06	-0.0641357	-0.0641393	-0.0538344	-0.0538344
4	0.0008	-0.0585843	-0.0585834	-0.0596446	-0.059655	-0.06	-0.06	-0.0593799	-0.0593877	-0.0540321	-0.0540321
5	0.001	-0.058342	-0.0583406	-0.0595642	-0.0595771	-0.06	-0.06	-0.0556876	-0.0557015	-0.0542002	-0.0542001
6	0.0012	-0.0581122	-0.0581102	-0.0594871	-0.0595022	-0.06	-0.06	-0.052856	-0.0528782	-0.0543439	-0.0543439
7	0.0014	-0.0578944	-0.0578917	-0.0594129	-0.0594302	-0.06	-0.06	-0.0507238	-0.0507566	-0.0544677	-0.0544676
8	0.0016	-0.0576882	-0.0576847	-0.0593417	-0.059361	-0.06	-0.06	-0.0491626	-0.0492086	-0.054575	-0.0545748
9	0.0018	-0.0575057	-0.0574992	-0.0592732	-0.0592946	-0.06	-0.06	-0.0480699	-0.0481321	-0.0546689	-0.0546685
10	0.002	-0.0573522	-0.0573423	-0.0592075	-0.0592307	-0.0599753	-0.0599977	-0.0473614	-0.0474434	-0.0547516	-0.0547511
11	0.0022	-0.057225	-0.0572112	-0.0591443	-0.0591694	-0.0599516	-0.0599956	-0.0469677	-0.0470722	-0.0548253	-0.0548245
12	0.0024	-0.0571217	-0.0571035	-0.0590836	-0.0591104	-0.0599289	-0.0599935	-0.0468334	-0.0469637	-0.0548915	-0.0548904
13	0.0026	-0.0570402	-0.0570169	-0.0590252	-0.0590538	-0.059907	-0.0599915	-0.0469136	-0.0470739	-0.0549516	-0.0549501
14	0.0028	-0.0569781	-0.0569492	-0.0589692	-0.0589994	-0.059886	-0.0599896	-0.0471722	-0.0473673	-0.0550068	-0.0550048
15	0.003	-0.0569337	-0.0568986	-0.0589154	-0.0589466	-0.0598374	-0.0599807	-0.0475796	-0.0478153	-0.055058	-0.0550555
16	0.0032	-0.0569051	-0.0568631	-0.0588636	-0.0588958	-0.0597907	-0.0599721	-0.0481117	-0.0483926	-0.0551059	-0.0551028
17	0.0034	-0.0568907	-0.0568411	-0.0588139	-0.0588471	-0.0597459	-0.0599639	-0.0487489	-0.0490806	-0.0551513	-0.0551474
18	0.0036	-0.056889	-0.0568312	-0.0587662	-0.0588003	-0.0597028	-0.059956	-0.0494747	-0.0498639	-0.0551947	-0.0551899
19	0.0038	-0.0568986	-0.0568318	-0.0587203	-0.0587553	-0.0596614	-0.0599484	-0.0502759	-0.0507298	-0.0552366	-0.0552306
20	0.004	-0.0569181	-0.0568418	-0.0586762	-0.0587115	-0.0595956	-0.0599346	-0.0511412	-0.051667	-0.0552774	-0.0552701
