TimeSlice	Time	L Knee PF flx IN	L Knee PF ext IN	L Knee PF flx	L Knee PF ext
0	0	-0.0595489	-0.0595489	-0.052851	-0.052851
1	0.0002	-0.0591408	-0.0591408	-0.0531244	-0.0531235
2	0.0004	-0.0587731	-0.0587731	-0.0534088	-0.053406
3	0.0006	-0.0584436	-0.0584434	-0.0537011	-0.0536953
4	0.0008	-0.0581497	-0.0581492	-0.0539984	-0.0539886
5	0.001	-0.0578892	-0.0578882	-0.0542982	-0.0542833
6	0.0012	-0.0576599	-0.0576581	-0.0545985	-0.0545773
7	0.0014	-0.0574596	-0.0574568	-0.0548972	-0.0548686
8	0.0016	-0.0572862	-0.057282	-0.0551929	-0.0551557
9	0.0018	-0.0571378	-0.0571319	-0.0554842	-0.0554373
10	0.002	-0.0570126	-0.0570045	-0.0557698	-0.055712
11	0.0022	-0.0569088	-0.0568982	-0.0560489	-0.0559792
12	0.0024	-0.0568248	-0.0568111	-0.0563206	-0.0562379
13	0.0026	-0.056759	-0.0567418	-0.0565843	-0.0564875
14	0.0028	-0.05671	-0.0566887	-0.0568396	-0.0567278
15	0.003	-0.0566766	-0.0566506	-0.057086	-0.0569583
16	0.0032	-0.0566573	-0.056626	-0.0573233	-0.0571787
17	0.0034	-0.0566511	-0.0566139	-0.0575513	-0.0573891
18	0.0036	-0.0566568	-0.0566131	-0.0577698	-0.0575893
19	0.0038	-0.0566734	-0.0566225	-0.0579776	-0.0577793
20	0.004	-0.0566999	-0.0566412	-0.058175	-0.0579593
21	0.0042	-0.0567354	-0.0566682	-0.0583621	-0.0581293
22	0.0044	-0.0567789	-0.0567027	-0.0585392	-0.0582896
23	0.0046	-0.0568296	-0.0567439	-0.0587065	-0.0584403
24	0.0048	-0.0568867	-0.0567911	-0.0588642	-0.0585817
25	0.005	-0.0569496	-0.0568434	-0.0590127	-0.0587141
26	0.0052	-0.0570176	-0.0569004	-0.0591523	-0.0588377
27	0.0054	-0.05709	-0.0569613	-0.0592833	-0.0589454
28	0.0056	-0.0571663	-0.0570253	-0.059406	-0.0590452
29	0.0058	-0.0572459	-0.0570918	-0.0595208	-0.0591375
30	0.006	-0.0573284	-0.0571603	-0.0596279	-0.0592224
31	0.0062	-0.0574133	-0.0572305	-0.0597278	-0.0593003
