TimeSlice	Time	R Ank ext Ia	R Ank flx Ia	R Ank ext Ia IN	R Ank flx Ia IN	R Ank ext Ib	R Ank flx Ib	R Ank MN flx	R Ank MN ext	R Ank MN flx RE	R Ank MN ext RE
0	0	-0.0596848	-0.0596848	-0.06	-0.06	-0.06	-0.06	-0.0876866	-0.0876866	-0.0529905	-0.0529905
1	0.0002	-0.0593893	-0.0593893	-0.06	-0.06	-0.06	-0.06	-0.0779261	-0.0779261	-0.0533226	-0.0533226
2	0.0004	-0.0591127	-0.0591127	-0.0599999	-0.0599999	-0.06	-0.06	-0.0702105	-0.0702118	-0.0536006	-0.0536006
3	0.0006	-0.0588541	-0.0588541	-0.0599999	-0.0599999	-0.06	-0.06	-0.0641349	-0.0641391	-0.0538344	-0.0538344
4	0.0008	-0.0586126	-0.0586125	-0.0599999	-0.0599998	-0.06	-0.06	-0.0593771	-0.0593861	-0.0540321	-0.0540321
5	0.001	-0.0583872	-0.0583872	-0.0599999	-0.0599998	-0.06	-0.0599986	-0.0556811	-0.0556967	-0.0542001	-0.0542002
6	0.0012	-0.0581772	-0.0581772	-0.0599998	-0.0599997	-0.06	-0.0599972	-0.0528435	-0.0528676	-0.0543438	-0.0543439
7	0.0014	-0.0579817	-0.0579817	-0.0599998	-0.0599997	-0.06	-0.0599958	-0.0507028	-0.050737	-0.0544675	-0.0544677
8	0.0016	-0.0577997	-0.0577997	-0.0599998	-0.0599996	-0.06	-0.0599945	-0.0491305	-0.0491765	-0.0545747	-0.0545749
9	0.0018	-0.0576434	-0.0576415	-0.0599998	-0.0599996	-0.06	-0.0599933	-0.0480242	-0.0480837	-0.0546683	-0.0546687
10	0.002	-0.0575177	-0.0575137	-0.0599997	-0.0599996	-0.0599022	-0.0599936	-0.0472996	-0.0473747	-0.0547507	-0.0547513
11	0.0022	-0.0574196	-0.0574132	-0.0599997	-0.0599995	-0.0598082	-0.0599938	-0.0468879	-0.0469768	-0.0548239	-0.0548247
12	0.0024	-0.0573466	-0.0573376	-0.0599997	-0.0599995	-0.0597179	-0.0599941	-0.0467338	-0.0468354	-0.0548896	-0.0548907
13	0.0026	-0.0572962	-0.0572843	-0.0599997	-0.0599994	-0.0596312	-0.0599943	-0.0467927	-0.0469068	-0.0549491	-0.0549504
14	0.0028	-0.0572662	-0.0572512	-0.0599997	-0.0599994	-0.0595478	-0.0599945	-0.0470288	-0.0471556	-0.0550035	-0.0550052
15	0.003	-0.0572545	-0.0572361	-0.0599996	-0.0599993	-0.0594024	-0.0599947	-0.0474131	-0.0475533	-0.0550538	-0.0550558
16	0.0032	-0.0572593	-0.0572371	-0.0599996	-0.0599993	-0.0592627	-0.0599949	-0.047922	-0.0480739	-0.0551006	-0.055103
17	0.0034	-0.0572787	-0.0572526	-0.0599996	-0.0599992	-0.0591285	-0.0599951	-0.0485362	-0.0486989	-0.0551448	-0.0551476
18	0.0036	-0.0573112	-0.0572808	-0.0599996	-0.0599992	-0.0589995	-0.0599953	-0.0492399	-0.049413	-0.0551868	-0.05519
19	0.0038	-0.0573554	-0.0573205	-0.0599996	-0.0599991	-0.0588756	-0.0599955	-0.0500201	-0.0502037	-0.055227	-0.0552307
20	0.004	-0.0574099	-0.0573701	-0.0599996	-0.0599991	-0.0587376	-0.0599957	-0.0508659	-0.0510605	-0.0552659	-0.05527
21	0.0042	-0.0574734	-0.0574285	-0.0599995	-0.059999	-0.0586051	-0.0599959	-0.0517682	-0.0519738	-0.0553038	-0.0553084
22	0.0044	-0.057545	-0.0574945	-0.0599995	-0.059999	-0.0584777	-0.059996	-0.0527193	-0.0529365	-0.055341	-0.0553461
23	0.0046	-0.0576235	-0.0575671	-0.0599995	-0.0599989	-0.0583554	-0.0599962	-0.0537125	-0.0539424	-0.0553777	-0.0553833
24	0.0048	-0.0577079	-0.0576454	-0.0599995	-0.0599989	-0.0582378	-0.0599963	-0.0547421	-0.0549861	-0.055414	-0.0554202
25	0.005	-0.0577976	-0.0577284	-0.0599995	-0.0599988	-0.0581508	-0.0599965	-0.055803	-0.0560632	-0.0554502	-0.0554569
26	0.0052	-0.0578915	-0.0578153	-0.0599995	-0.0599988	-0.0580672	-0.0599966	-0.0568909	-0.057171	-0.0554864	-0.0554937
27	0.0054	-0.0579891	-0.0579054	-0.0599995	-0.0599988	-0.0579869	-0.0599967	-0.0580017	-0.0583058	-0.0555226	-0.0555307
28	0.0056	-0.0580896	-0.0579981	-0.0599995	-0.0599987	-0.0579098	-0.0599969	-0.0591317	-0.0594644	-0.0555591	-0.0555678
29	0.0058	-0.0581925	-0.0580927	-0.0599994	-0.0599987	-0.0578356	-0.059997	-0.0602776	-0.0606439	-0.0555958	-0.0556054
30	0.006	-0.0582972	-0.0581886	-0.0599994	-0.0599987	-0.0578213	-0.0599955	-0.0614362	-0.0618415	-0.0556328	-0.0556433
31	0.0062	-0.0584031	-0.0582853	-0.0599994	-0.0599987	-0.0578076	-0.0599941	-0.0626042	-0.0630582	-0.0556702	-0.0556817
32	0.0064	-0.0585099	-0.0583823	-0.0599994	-0.0599986	-0.0577944	-0.0599928	-0.063779	-0.0642914	-0.055708	-0.0557206
33	0.0066	-0.0586171	-0.0584791	-0.0599994	-0.0599986	-0.0577818	-0.0599915	-0.0649576	-0.0655387	-0.0557463	-0.0557601
34	0.0068	-0.0587242	-0.0585755	-0.0599994	-0.0599986	-0.0577696	-0.0599902	-0.0661374	-0.0667973	-0.0557849	-0.0558003
35	0.007	-0.0588309	-0.058671	-0.0599994	-0.0599986	-0.0578247	-0.0599765	-0.0673158	-0.0680647	-0.055824	-0.0558411
36	0.0072	-0.0589365	-0.0587652	-0.0599994	-0.0599986	-0.0578776	-0.0599633	-0.0684888	-0.0693375	-0.0558635	-0.0558826
37	0.0074	-0.059036	-0.0588579	-0.0599994	-0.0599985	-0.0579284	-0.0599506	-0.0696539	-0.0705383	-0.0559034	-0.0559248
38	0.0076	-0.0591296	-0.0589488	-0.0599994	-0.0599985	-0.0579773	-0.0599384	-0.0708093	-0.071672	-0.0559437	-0.0559674
39	0.0078	-0.0592176	-0.0590378	-0.0599994	-0.0599985	-0.0580242	-0.0599267	-0.0719531	-0.0727429	-0.0559844	-0.0560102
40	0.008	-0.0593004	-0.0591247	-0.0599994	-0.0599985	-0.0580754	-0.0599165	-0.0730834	-0.0737553	-0.0560253	-0.056053
41	0.0082	-0.0593782	-0.0592086	-0.0599994	-0.0599985	-0.0581246	-0.0599067	-0.0741865	-0.0747133	-0.0560665	-0.0560957
42	0.0084	-0.0594512	-0.0592875	-0.0599993	-0.0599985	-0.0581718	-0.0598973	-0.0752303	-0.0756207	-0.056108	-0.056138
43	0.0086	-0.0595199	-0.0593619	-0.0599993	-0.0599985	-0.0582172	-0.0598882	-0.0762187	-0.0764809	-0.0561494	-0.0561798
44	0.0088	-0.0595843	-0.0594318	-0.0599993	-0.0599985	-0.0582608	-0.0598795	-0.0771551	-0.0772971	-0.0561907	-0.056221
45	0.009	-0.0596448	-0.0594976	-0.0599993	-0.0599985	-0.0583081	-0.0598714	-0.078043	-0.0780724	-0.0562317	-0.0562616
46	0.0092	-0.0597016	-0.0595596	-0.0599993	-0.0599985	-0.0583535	-0.0598636	-0.0788854	-0.0788097	-0.0562723	-0.0563013
47	0.0094	-0.059755	-0.0596178	-0.0599993	-0.0599985	-0.0583971	-0.0598561	-0.0796851	-0.0795116	-0.0563124	-0.0563402
48	0.0096	-0.059805	-0.0596726	-0.0599993	-0.0599985	-0.058439	-0.0598489	-0.0804446	-0.0801803	-0.0563519	-0.0563782
49	0.0098	-0.059852	-0.0597242	-0.0599993	-0.0599984	-0.0584793	-0.0598419	-0.0811664	-0.0808179	-0.0563907	-0.0564152
50	0.01	-0.0598961	-0.0597727	-0.0599993	-0.0599984	-0.0585245	-0.0598351	-0.0818527	-0.0814262	-0.0564287	-0.0564513
51	0.0102	-0.0599375	-0.0598183	-0.0599993	-0.0599984	-0.058568	-0.0598285	-0.0825055	-0.0820076	-0.0564658	-0.0564862
52	0.0104	-0.0599762	-0.0598611	-0.0599993	-0.0599984	-0.0586097	-0.0598222	-0.0831268	-0.0825637	-0.0565021	-0.0565201
53	0.0106	-0.0600126	-0.0599014	-0.0599993	-0.0599984	-0.0586498	-0.0598161	-0.0837184	-0.0830958	-0.0565375	-0.0565529
54	0.0108	-0.0600467	-0.0599394	-0.0599993	-0.0599984	-0.0586883	-0.0598103	-0.0842826	-0.0836054	-0.0565719	-0.0565847
55	0.011	-0.0600787	-0.0599754	-0.0599993	-0.0599984	-0.0587308	-0.0598046	-0.0848222	-0.0840936	-0.0566054	-0.0566153
56	0.0112	-0.0601087	-0.0600096	-0.0599993	-0.0599984	-0.0587717	-0.0597991	-0.0853384	-0.0845622	-0.0566378	-0.0566448
57	0.0114	-0.0601369	-0.060042	-0.0599993	-0.0599984	-0.0588109	-0.0597938	-0.0858321	-0.0850126	-0.0566692	-0.0566732
58	0.0116	-0.0601636	-0.0600727	-0.0599993	-0.0599984	-0.0588486	-0.0597887	-0.0863044	-0.0854471	-0.0566996	-0.0567005
59	0.0118	-0.0601889	-0.0601019	-0.0599993	-0.0599984	-0.0588848	-0.0597838	-0.0867562	-0.0858663	-0.0567289	-0.0567267
60	0.012	-0.0602129	-0.0601295	-0.0599993	-0.0599984	-0.058924	-0.059779	-0.0871885	-0.0862708	-0.0567572	-0.0567518
61	0.0122	-0.0602356	-0.0601556	-0.0599993	-0.0599984	-0.0589616	-0.0597743	-0.087602	-0.0866615	-0.0567844	-0.0567759
62	0.0124	-0.0602572	-0.0601804	-0.0599993	-0.0599984	-0.0589977	-0.0597699	-0.0879975	-0.0870389	-0.0568106	-0.0567989
63	0.0126	-0.0602776	-0.0602039	-0.0599993	-0.0599984	-0.0590325	-0.0597656	-0.088376	-0.0874036	-0.0568358	-0.0568209
