TimeSlice	Time	R Hip PF ext IN	R Hip PF flx IN	R Hip PF ext	R Hip PF flx
0	0	-0.0595489	-0.0595489	-0.052851	-0.052851
1	0.0002	-0.0591408	-0.0591408	-0.0531245	-0.0531234
2	0.0004	-0.0587731	-0.0587731	-0.053409	-0.0534056
3	0.0006	-0.0584436	-0.0584433	-0.0537011	-0.0536946
4	0.0008	-0.0581497	-0.0581491	-0.0539981	-0.0539874
5	0.001	-0.0578892	-0.0578881	-0.0542974	-0.0542818
6	0.0012	-0.0576599	-0.0576579	-0.0545967	-0.0545756
7	0.0014	-0.0574595	-0.0574565	-0.0548942	-0.054867
8	0.0016	-0.0572859	-0.0572817	-0.0551881	-0.0551543
9	0.0018	-0.0571373	-0.0571315	-0.0554772	-0.0554364
10	0.002	-0.0570117	-0.0570041	-0.0557602	-0.055712
11	0.0022	-0.0569075	-0.0568977	-0.0560363	-0.0559802
12	0.0024	-0.0568229	-0.0568107	-0.0563045	-0.0562403
13	0.0026	-0.0567564	-0.0567416	-0.0565643	-0.0564918
14	0.0028	-0.0567065	-0.0566887	-0.0568153	-0.056734
15	0.003	-0.056672	-0.0566509	-0.057057	-0.0569668
16	0.0032	-0.0566515	-0.0566268	-0.0572893	-0.0571899
17	0.0034	-0.0566438	-0.0566152	-0.057512	-0.057403
18	0.0036	-0.0566478	-0.056615	-0.057725	-0.0576062
19	0.0038	-0.0566626	-0.0566252	-0.0579284	-0.0577995
20	0.004	-0.0566871	-0.0566448	-0.0581222	-0.0579829
21	0.0042	-0.0567204	-0.0566729	-0.0583065	-0.0581564
22	0.0044	-0.0567616	-0.0567086	-0.0584814	-0.0583204
23	0.0046	-0.0568101	-0.0567511	-0.0586473	-0.0584748
24	0.0048	-0.056865	-0.0567997	-0.0588042	-0.05862
25	0.005	-0.0569257	-0.0568537	-0.0589524	-0.0587562
26	0.0052	-0.0569916	-0.0569124	-0.0590922	-0.0588837
27	0.0054	-0.0570619	-0.0569752	-0.0592239	-0.0590026
28	0.0056	-0.0571363	-0.0570415	-0.0593476	-0.0591133
29	0.0058	-0.057214	-0.0571109	-0.0594638	-0.059216
30	0.006	-0.0572948	-0.0571828	-0.0595726	-0.0593111
31	0.0062	-0.057378	-0.0572567	-0.0596745	-0.0593989
32	0.0064	-0.0574634	-0.0573323	-0.0597695	-0.0594795
33	0.0066	-0.0575504	-0.057409	-0.0598576	-0.0595533
34	0.0068	-0.0576388	-0.0574866	-0.0599392	-0.0596206
35	0.007	-0.057728	-0.0575647	-0.0600145	-0.0596817
36	0.0072	-0.0578171	-0.0576429	-0.0600839	-0.0597368
37	0.0074	-0.0579027	-0.057721	-0.0601476	-0.0597863
38	0.0076	-0.0579849	-0.0577987	-0.060206	-0.0598304
39	0.0078	-0.058064	-0.0578757	-0.0602593	-0.0598696
40	0.008	-0.0581399	-0.0579518	-0.0603078	-0.0599042
41	0.0082	-0.0582128	-0.0580268	-0.0603517	-0.0599345
42	0.0084	-0.0582829	-0.0581005	-0.0603914	-0.0599608
43	0.0086	-0.0583502	-0.0581728	-0.060427	-0.0599834
44	0.0088	-0.0584149	-0.0582435	-0.0604589	-0.0600026
45	0.009	-0.0584771	-0.0583124	-0.0604871	-0.0600185
46	0.0092	-0.0585368	-0.0583786	-0.060512	-0.0600316
47	0.0094	-0.0585941	-0.0584421	-0.0605338	-0.0600418
48	0.0096	-0.0586493	-0.0585032	-0.0605527	-0.0600495
49	0.0098	-0.0587022	-0.0585619	-0.0605689	-0.0600548
50	0.01	-0.0587531	-0.0586183	-0.0605826	-0.0600579
51	0.0102	-0.058802	-0.0586725	-0.060594	-0.0600605
52	0.0104	-0.058849	-0.0587245	-0.0606032	-0.0600625
53	0.0106	-0.0588941	-0.0587745	-0.0606104	-0.060064
54	0.0108	-0.0589375	-0.0588226	-0.0606158	-0.060065
55	0.011	-0.0589791	-0.0588688	-0.0606194	-0.0600655
56	0.0112	-0.0590192	-0.0589131	-0.0606215	-0.0600655
57	0.0114	-0.0590576	-0.0589557	-0.0606221	-0.0600651
58	0.0116	-0.0590946	-0.0589967	-0.0606213	-0.0600642
59	0.0118	-0.0591301	-0.059036	-0.0606193	-0.0600629
60	0.012	-0.0591642	-0.0590738	-0.0606161	-0.0600612
61	0.0122	-0.059197	-0.0591101	-0.0606118	-0.0600591
62	0.0124	-0.0592285	-0.059145	-0.0606066	-0.0600566
63	0.0126	-0.0592587	-0.0591786	-0.0606004	-0.0600538
64	0.0128	-0.0592878	-0.0592108	-0.0605935	-0.0600506
65	0.013	-0.0593157	-0.0592417	-0.0605858	-0.0600471
66	0.0132	-0.0593425	-0.0592714	-0.0605773	-0.0600433
67	0.0134	-0.0593683	-0.0593	-0.0605683	-0.0600392
68	0.0136	-0.0593931	-0.0593275	-0.0605587	-0.0600348
69	0.0138	-0.0594169	-0.0593538	-0.0605486	-0.0600301
70	0.014	-0.0594397	-0.0593792	-0.060538	-0.0600252
71	0.0142	-0.0594617	-0.0594035	-0.060527	-0.0600201
72	0.0144	-0.0594828	-0.0594269	-0.0605156	-0.0600148
73	0.0146	-0.0595031	-0.0594494	-0.0605039	-0.0600092
74	0.0148	-0.0595226	-0.059471	-0.0604919	-0.0600034
75	0.015	-0.0595413	-0.0594917	-0.0604797	-0.0599975
76	0.0152	-0.0595593	-0.0595115	-0.0604672	-0.0599914
77	0.0154	-0.0595766	-0.0595301	-0.0604545	-0.0599851
78	0.0156	-0.0595932	-0.0595477	-0.0604417	-0.0599787
79	0.0158	-0.0596091	-0.0595641	-0.0604288	-0.0599722
80	0.016	-0.0596244	-0.0595795	-0.0604158	-0.0599655
81	0.0162	-0.0596392	-0.0595939	-0.0604027	-0.0599587
82	0.0164	-0.0596533	-0.0596074	-0.0603897	-0.0599518
83	0.0166	-0.0596669	-0.0596198	-0.0603766	-0.0599448
84	0.0168	-0.05968	-0.0596314	-0.0603636	-0.0599377
85	0.017	-0.0596925	-0.0596421	-0.0603507	-0.0599306
86	0.0172	-0.0597046	-0.0596519	-0.0603378	-0.0599234
87	0.0174	-0.0597162	-0.0596609	-0.0603251	-0.0599161
88	0.0176	-0.0597273	-0.0596692	-0.0603124	-0.0599087
89	0.0178	-0.059738	-0.0596766	-0.0603	-0.0599013
90	0.018	-0.0597483	-0.0596833	-0.0602877	-0.0598939
91	0.0182	-0.0597581	-0.0596893	-0.0602755	-0.0598864
92	0.0184	-0.0597676	-0.0596946	-0.0602636	-0.0598789
93	0.0186	-0.0597767	-0.0596992	-0.0602519	-0.0598714
94	0.0188	-0.0597855	-0.0597032	-0.0602404	-0.0598638
95	0.019	-0.0597939	-0.0597066	-0.0602291	-0.0598563
96	0.0192	-0.059802	-0.0597094	-0.060218	-0.0598487
97	0.0194	-0.0598097	-0.0597116	-0.0602072	-0.0598411
98	0.0196	-0.0598172	-0.0597132	-0.0601967	-0.0598335
99	0.0198	-0.0598244	-0.0597144	-0.0601864	-0.0598259
100	0.02	-0.0598313	-0.059715	-0.0601764	-0.0598184
101	0.0202	-0.0598379	-0.0597151	-0.0601666	-0.0598108
102	0.0204	-0.0598442	-0.0597148	-0.0601572	-0.0598033
103	0.0206	-0.0598503	-0.0597141	-0.060148	-0.0597957
104	0.0208	-0.0598562	-0.0597129	-0.0601391	-0.0597882
105	0.021	-0.0598618	-0.0597113	-0.0601305	-0.0597807
106	0.0212	-0.0598673	-0.0597093	-0.0601221	-0.0597733
107	0.0214	-0.0598725	-0.0597069	-0.0601141	-0.0597659
108	0.0216	-0.0598775	-0.0597042	-0.0601063	-0.0597585
109	0.0218	-0.0598823	-0.0597011	-0.0600988	-0.0597511
110	0.022	-0.0598869	-0.0596978	-0.0600917	-0.0597438
111	0.0222	-0.0598913	-0.0596941	-0.0600848	-0.0597365
112	0.0224	-0.0598956	-0.0596901	-0.0600782	-0.0597292
113	0.0226	-0.0598997	-0.0596858	-0.0600718	-0.059722
114	0.0228	-0.0599036	-0.0596813	-0.0600658	-0.0597149
115	0.023	-0.0599074	-0.0596765	-0.06006	-0.0597077
116	0.0232	-0.059911	-0.0596715	-0.0600546	-0.0597007
117	0.0234	-0.0599145	-0.0596662	-0.0600494	-0.0596936
118	0.0236	-0.0599179	-0.0596608	-0.0600444	-0.0596866
119	0.0238	-0.0599211	-0.0596551	-0.0600398	-0.0596797
120	0.024	-0.0599242	-0.0596492	-0.0600353	-0.0596728
121	0.0242	-0.0599272	-0.0596432	-0.0600312	-0.059666
122	0.0244	-0.05993	-0.059637	-0.0600273	-0.0596592
123	0.0246	-0.0599327	-0.0596306	-0.0600237	-0.0596525
124	0.0248	-0.0599354	-0.0596241	-0.0600203	-0.0596458
125	0.025	-0.0599379	-0.0596174	-0.0600172	-0.0596392
126	0.0252	-0.0599404	-0.0596106	-0.0600143	-0.0596326
127	0.0254	-0.0599427	-0.0596037	-0.0600116	-0.0596261
128	0.0256	-0.0599449	-0.0595967	-0.0600092	-0.0596196
129	0.0258	-0.0599471	-0.0595895	-0.060007	-0.0596132
130	0.026	-0.0599492	-0.0595823	-0.060005	-0.0596068
131	0.0262	-0.0599512	-0.059575	-0.0600032	-0.0596005
132	0.0264	-0.0599531	-0.0595676	-0.0600016	-0.0595942
133	0.0266	-0.0599549	-0.0595601	-0.0600003	-0.059588
134	0.0268	-0.0599567	-0.0595525	-0.0599991	-0.0595819
135	0.027	-0.0599583	-0.0595449	-0.0599981	-0.0595758
136	0.0272	-0.0599599	-0.0595372	-0.0599973	-0.0595698
137	0.0274	-0.0599613	-0.0595295	-0.0599967	-0.0595638
138	0.0276	-0.0599626	-0.0595217	-0.0599963	-0.0595579
139	0.0278	-0.0599638	-0.0595139	-0.0599961	-0.059552
140	0.028	-0.059965	-0.059506	-0.059996	-0.0595462
141	0.0282	-0.0599661	-0.0594981	-0.0599961	-0.0595404
142	0.0284	-0.0599672	-0.0594902	-0.0599963	-0.0595348
143	0.0286	-0.0599683	-0.0594823	-0.0599967	-0.0595291
144	0.0288	-0.0599693	-0.0594743	-0.0599973	-0.0595236
145	0.029	-0.0599704	-0.0594664	-0.059998	-0.059518
146	0.0292	-0.0599714	-0.0594584	-0.0599988	-0.0595126
147	0.0294	-0.0599724	-0.0594504	-0.0599998	-0.0595072
148	0.0296	-0.0599735	-0.0594425	-0.0600008	-0.0595018
149	0.0298	-0.0599745	-0.0594345	-0.0600019	-0.0594965
150	0.03	-0.0599755	-0.0594265	-0.060003	-0.0594912
151	0.0302	-0.0599765	-0.0594186	-0.0600042	-0.059486
152	0.0304	-0.0599774	-0.0594107	-0.0600055	-0.0594808
153	0.0306	-0.0599783	-0.0594027	-0.0600069	-0.0594757
154	0.0308	-0.0599792	-0.0593948	-0.0600083	-0.0594706
155	0.031	-0.05998	-0.059387	-0.0600097	-0.0594656
156	0.0312	-0.0599808	-0.0593791	-0.0600112	-0.0594606
157	0.0314	-0.0599815	-0.0593713	-0.0600128	-0.0594557
158	0.0316	-0.0599822	-0.0593634	-0.0600145	-0.0594508
159	0.0318	-0.0599829	-0.0593557	-0.0600162	-0.059446
160	0.032	-0.0599836	-0.0593479	-0.0600179	-0.0594412
161	0.0322	-0.0599843	-0.0593402	-0.0600197	-0.0594364
162	0.0324	-0.0599849	-0.0593325	-0.0600216	-0.0594317
163	0.0326	-0.0599855	-0.0593248	-0.0600235	-0.0594271
