TimeSlice	Time	R Hip ext Ia	R Hip flx Ia	R Hip ext Ia IN	R Hip flx Ia IN	R Hip flx Ib	R Hip ext Ib	R Hip MN flx	R Hip MN ext	R Hip MN ext RE	R Hip MN flx RE
0	0	-0.0596848	-0.0596848	-0.06	-0.06	-0.06	-0.06	-0.0876866	-0.0876866	-0.0529905	-0.0529905
1	0.0002	-0.0593893	-0.0593893	-0.0599086	-0.0599086	-0.06	-0.06	-0.0779261	-0.0779261	-0.0533226	-0.0533226
2	0.0004	-0.0591076	-0.0591076	-0.0598209	-0.0598209	-0.06	-0.06	-0.0702105	-0.0702118	-0.0536006	-0.0536006
3	0.0006	-0.0588393	-0.0588393	-0.0597365	-0.0597365	-0.06	-0.06	-0.0641352	-0.0641397	-0.0538344	-0.0538344
4	0.0008	-0.0585843	-0.0585843	-0.0596555	-0.0596555	-0.06	-0.06	-0.0593787	-0.0593887	-0.0540321	-0.0540321
5	0.001	-0.0583421	-0.0583421	-0.0595776	-0.0595776	-0.06	-0.06	-0.0556856	-0.0557033	-0.0542002	-0.0542001
6	0.0012	-0.0581123	-0.0581123	-0.0595028	-0.0595028	-0.06	-0.06	-0.0528531	-0.0528808	-0.054344	-0.0543438
7	0.0014	-0.0578945	-0.0578945	-0.0594309	-0.0594309	-0.06	-0.06	-0.05072	-0.0507598	-0.0544677	-0.0544675
8	0.0016	-0.0576883	-0.0576883	-0.0593618	-0.0593618	-0.06	-0.06	-0.0491581	-0.0492122	-0.0545751	-0.0545748
9	0.0018	-0.0575059	-0.0575036	-0.0592955	-0.0592955	-0.06	-0.06	-0.048065	-0.0481357	-0.0546689	-0.0546684
10	0.002	-0.0573524	-0.0573475	-0.0592314	-0.0592314	-0.0599567	-0.06	-0.0473563	-0.0474466	-0.0547517	-0.054751
11	0.0022	-0.0572252	-0.0572173	-0.0591699	-0.0591699	-0.0599152	-0.06	-0.0469602	-0.0470761	-0.0548253	-0.0548244
12	0.0024	-0.0571219	-0.0571107	-0.0591107	-0.0591107	-0.0598753	-0.06	-0.0468217	-0.046969	-0.0548915	-0.0548903
13	0.0026	-0.0570401	-0.0570252	-0.0590539	-0.0590539	-0.0598369	-0.06	-0.0468965	-0.0470809	-0.0549517	-0.05495
14	0.0028	-0.0569778	-0.0569589	-0.0589993	-0.0589993	-0.0598	-0.06	-0.0471488	-0.0473762	-0.0550069	-0.0550047
15	0.003	-0.0569329	-0.0569096	-0.0589452	-0.0589452	-0.0597079	-0.0599803	-0.0475494	-0.0478259	-0.0550581	-0.0550552
16	0.0032	-0.0569037	-0.0568756	-0.0588933	-0.0588933	-0.0596194	-0.0599615	-0.0480706	-0.0484058	-0.0551061	-0.0551024
17	0.0034	-0.0568885	-0.0568552	-0.0588433	-0.0588433	-0.0595344	-0.0599433	-0.0486934	-0.0490969	-0.0551515	-0.0551469
18	0.0036	-0.0568858	-0.0568469	-0.0587953	-0.0587953	-0.0594527	-0.0599259	-0.0494021	-0.0498837	-0.055195	-0.0551892
19	0.0038	-0.0568942	-0.0568493	-0.0587492	-0.0587492	-0.0593742	-0.0599091	-0.0501836	-0.0507533	-0.0552369	-0.0552298
20	0.004	-0.0569124	-0.0568611	-0.0587035	-0.0587035	-0.0592462	-0.0598737	-0.051027	-0.0516953	-0.0552777	-0.055269
21	0.0042	-0.0569392	-0.0568811	-0.0586595	-0.0586595	-0.0591233	-0.0598397	-0.0519187	-0.0526998	-0.0553178	-0.0553072
22	0.0044	-0.0569736	-0.0569081	-0.0586172	-0.0586172	-0.0590052	-0.059807	-0.0528511	-0.0537595	-0.0553573	-0.0553446
23	0.0046	-0.0570145	-0.0569413	-0.0585766	-0.0585766	-0.0588918	-0.0597755	-0.0538176	-0.0548681	-0.0553966	-0.0553813
