TimeSlice	Time	R Knee flx Ia	R Knee ext Ia	R Knee ext Ia IN	R Knee flx Ia IN	R Knee ext Ib	R Knee flx Ib	R Knee MN flx	R Knee MN ext	R Knee MN flx RE	L Knee MN ext RE
0	0	-0.0596848	-0.0596848	-0.06	-0.06	-0.06	-0.06	-0.0876866	-0.0876866	-0.0529905	-0.0529905
1	0.0002	-0.0593893	-0.0593893	-0.06	-0.0599999	-0.06	-0.06	-0.0779261	-0.0779261	-0.0533226	-0.0533226
2	0.0004	-0.0591127	-0.0591127	-0.0599999	-0.0599998	-0.06	-0.06	-0.0702105	-0.0702118	-0.0536006	-0.0536006
3	0.0006	-0.0588541	-0.0588541	-0.0599999	-0.0599998	-0.06	-0.06	-0.0641349	-0.0641391	-0.0538344	-0.0538344
4	0.0008	-0.0586125	-0.0586125	-0.0599998	-0.0599997	-0.06	-0.06	-0.0593771	-0.0593861	-0.0540321	-0.0540321
5	0.001	-0.0583872	-0.0583872	-0.0599998	-0.0599996	-0.0599902	-0.06	-0.0556811	-0.0556967	-0.0542001	-0.0542002
6	0.0012	-0.0581772	-0.0581772	-0.0599997	-0.0599996	-0.0599808	-0.06	-0.0528436	-0.0528671	-0.0543438	-0.0543439
7	0.0014	-0.0579816	-0.0579817	-0.0599997	-0.0599995	-0.0599718	-0.06	-0.0507031	-0.0507357	-0.0544675	-0.0544677
8	0.0016	-0.0577997	-0.0577997	-0.0599997	-0.0599994	-0.0599631	-0.06	-0.049131	-0.0491742	-0.0545747	-0.0545749
9	0.0018	-0.0576415	-0.0576434	-0.0599996	-0.0599994	-0.0599548	-0.06	-0.0480251	-0.0480802	-0.0546683	-0.0546687
10	0.002	-0.0575136	-0.0575177	-0.0599996	-0.0599993	-0.0599312	-0.059997	-0.0473008	-0.0473698	-0.0547507	-0.0547513
11	0.0022	-0.0574132	-0.0574196	-0.0599996	-0.0599993	-0.0599084	-0.0599941	-0.0468892	-0.0469737	-0.054824	-0.0548247
12	0.0024	-0.0573375	-0.0573466	-0.0599995	-0.0599992	-0.0598866	-0.0599913	-0.0467349	-0.0468368	-0.0548896	-0.0548906
13	0.0026	-0.0572842	-0.0572962	-0.0599995	-0.0599992	-0.0598656	-0.0599886	-0.0467935	-0.0469149	-0.0549491	-0.0549504
14	0.0028	-0.0572511	-0.0572662	-0.0599995	-0.0599991	-0.0598455	-0.059986	-0.0470292	-0.0471724	-0.0550035	-0.0550051
15	0.003	-0.057236	-0.0572545	-0.0599995	-0.0599991	-0.0598209	-0.0599721	-0.0474128	-0.0475806	-0.0550538	-0.0550558
16	0.0032	-0.057237	-0.0572592	-0.0599994	-0.059999	-0.0597973	-0.0599587	-0.0479201	-0.048116	-0.0551007	-0.0551031
17	0.0034	-0.0572524	-0.0572786	-0.0599994	-0.059999	-0.0597747	-0.0599458	-0.0485319	-0.0487595	-0.0551448	-0.0551478
18	0.0036	-0.0572807	-0.0573111	-0.0599994	-0.0599989	-0.0597529	-0.0599334	-0.0492324	-0.0494958	-0.0551868	-0.0551904
19	0.0038	-0.0573203	-0.0573553	-0.0599994	-0.0599989	-0.059732	-0.0599215	-0.0500087	-0.0503121	-0.055227	-0.0552314
20	0.004	-0.05737	-0.0574098	-0.0599993	-0.0599989	-0.0597081	-0.0598995	-0.0508499	-0.051198	-0.0552659	-0.0552711
21	0.0042	-0.0574284	-0.0574733	-0.0599993	-0.0599988	-0.0596852	-0.0598784	-0.0517461	-0.0521446	-0.0553037	-0.0553098
22	0.0044	-0.0574944	-0.0575448	-0.0599993	-0.0599988	-0.0596632	-0.0598581	-0.0526896	-0.0531445	-0.0553408	-0.055348
23	0.0046	-0.057567	-0.0576233	-0.0599993	-0.0599987	-0.059642	-0.0598386	-0.0536739	-0.0541915	-0.0553773	-0.0553858
24	0.0048	-0.0576452	-0.0577077	-0.0599993	-0.0599987	-0.0596217	-0.0598199	-0.0546933	-0.0552805	-0.0554135	-0.0554234
