TimeSlice	Time	ankle_L	hip_L	knee_L
2500	0.5	-0.0863455	0.348866	1.03862
2505	0.501	-0.0863531	0.349315	1.03811
2510	0.502	-0.0863602	0.349835	1.03758
2515	0.503	-0.0863667	0.350419	1.03703
2520	0.504	-0.0863727	0.351057	1.03647
2525	0.505	-0.0863783	0.35174	1.0359
2530	0.506	-0.0863836	0.352459	1.03531
2535	0.507	-0.0863886	0.353209	1.0347
2540	0.508	-0.0863935	0.353983	1.03408
2545	0.509	-0.0863984	0.35478	1.03344
2550	0.51	-0.0864033	0.355598	1.03279
2555	0.511	-0.0864083	0.356437	1.03212
2560	0.512	-0.0864134	0.357301	1.03143
2565	0.513	-0.0864186	0.358193	1.03074
2570	0.514	-0.0864239	0.359115	1.03002
2575	0.515	-0.0864293	0.360074	1.0293
2580	0.516	-0.0864347	0.361071	1.02856
2585	0.517	-0.0864401	0.362112	1.0278
2590	0.518	-0.0864454	0.363197	1.02704
2595	0.519	-0.0864507	0.36433	1.02626
2600	0.52	-0.0864558	0.36551	1.02546
2605	0.521	-0.0864607	0.366738	1.02466
2610	0.522	-0.0864652	0.368012	1.02384
2615	0.523	-0.0864701	0.36933	1.023
2620	0.524	-0.0864748	0.370691	1.02216
2625	0.525	-0.0864793	0.372093	1.02129
2630	0.526	-0.0864836	0.373531	1.02042
2635	0.527	-0.0864877	0.375006	1.01953
2640	0.528	-0.0864917	0.376514	1.01862
2645	0.529	-0.0864954	0.378052	1.0177
2650	0.53	-0.0864991	0.379618	1.01677
2655	0.531	-0.0865026	0.381207	1.01582
2660	0.532	-0.0865061	0.382819	1.01486
2665	0.533	-0.0865089	0.384451	1.01389
2670	0.534	-0.0865119	0.386103	1.0129
2675	0.535	-0.086515	0.387774	1.01191
2680	0.536	-0.0865184	0.389465	1.0109
2685	0.537	-0.0865218	0.391173	1.00989
2690	0.538	-0.0865252	0.392899	1.00886
2695	0.539	-0.0865286	0.394642	1.00783
2700	0.54	-0.086532	0.3964	1.00678
2705	0.541	-0.0865353	0.398171	1.00573
2710	0.542	-0.0865385	0.399955	1.00468
2715	0.543	-0.0865415	0.40175	1.00361
2720	0.544	-0.0857679	0.401465	1.00235
2725	0.545	-0.0859138	0.401427	1.0012
2730	0.546	-0.0861156	0.401429	1.00017
2735	0.547	-0.0862498	0.401429	0.999229
2740	0.548	-0.0863339	0.401428	0.998336
2745	0.549	-0.0863963	0.401428	0.997474
2750	0.55	-0.0864476	0.401428	0.99663
2755	0.551	-0.086472	0.401428	0.995795
2760	0.552	-0.0864858	0.401427	0.994966
2765	0.553	-0.0864977	0.401427	0.994138
2770	0.554	-0.0865093	0.401427	0.99331
2775	0.555	-0.08652	0.401427	0.992479
2780	0.556	-0.0865295	0.401427	0.991645
2785	0.557	-0.0865376	0.401427	0.990805
2790	0.558	-0.086544	0.401427	0.989959
2795	0.559	-0.0865483	0.401427	0.989105
2800	0.56	-0.0865507	0.401427	0.988242
2805	0.561	-0.0865513	0.401427	0.98737
2810	0.562	-0.0865503	0.401427	0.986488
2815	0.563	-0.0865481	0.401427	0.985597
2820	0.564	-0.0865452	0.401427	0.984696
2825	0.565	-0.0865422	0.401427	0.983787
2830	0.566	-0.0865395	0.401427	0.98287
2835	0.567	-0.0865375	0.401428	0.981945
2840	0.568	-0.0865362	0.401428	0.981014
2845	0.569	-0.0865358	0.401428	0.980078
2850	0.57	-0.0865362	0.401428	0.979136
2855	0.571	-0.0865374	0.401428	0.978189
2860	0.572	-0.0865394	0.401428	0.977238
2865	0.573	-0.086542	0.401428	0.976281
2870	0.574	-0.0865451	0.401428	0.975321
2875	0.575	-0.0865483	0.401428	0.974355
2880	0.576	-0.0865516	0.401428	0.973384
2885	0.577	-0.0865549	0.401427	0.972409
2890	0.578	-0.0865579	0.401427	0.971427
2895	0.579	-0.0865605	0.401427	0.97044
2900	0.58	-0.0865628	0.401427	0.969447
2905	0.581	-0.0865646	0.401427	0.968448
2910	0.582	-0.0865661	0.401427	0.967443
2915	0.583	-0.0865671	0.401427	0.966432
2920	0.584	-0.0865679	0.401428	0.965414
2925	0.585	-0.0865685	0.401428	0.96439
2930	0.586	-0.0865689	0.401428	0.96336
2935	0.587	-0.0865693	0.401428	0.962324
2940	0.588	-0.0865697	0.401428	0.961282
2945	0.589	-0.0865702	0.401428	0.960235
2950	0.59	-0.0865709	0.401428	0.959182
2955	0.591	-0.086572	0.401428	0.958125
2960	0.592	-0.0865733	0.401428	0.957062
2965	0.593	-0.0865749	0.401428	0.955995
2970	0.594	-0.0865767	0.401428	0.954924
2975	0.595	-0.0865787	0.401428	0.953848
2980	0.596	-0.0865808	0.401428	0.952768
2985	0.597	-0.086583	0.401428	0.951684
2990	0.598	-0.0865854	0.401428	0.950596
2995	0.599	-0.0865877	0.401427	0.949504
3000	0.6	-0.0865901	0.401427	0.948408
3005	0.601	-0.0865926	0.401427	0.947309
3010	0.602	-0.086595	0.401427	0.946207
3015	0.603	-0.0865975	0.401427	0.945101
3020	0.604	-0.0866	0.401427	0.943992
3025	0.605	-0.0866026	0.401427	0.94288
3030	0.606	-0.0866052	0.401427	0.941766
3035	0.607	-0.0866079	0.401427	0.940649
3040	0.608	-0.0866108	0.401427	0.93953
3045	0.609	-0.0866139	0.401427	0.93841
3050	0.61	-0.0866173	0.401427	0.937289
3055	0.611	-0.0866211	0.401427	0.936166
3060	0.612	-0.0866252	0.401427	0.935044
3065	0.613	-0.0866299	0.401427	0.933921
3070	0.614	-0.0866351	0.401427	0.932799
3075	0.615	-0.0866404	0.401427	0.931679
3080	0.616	-0.0866456	0.401427	0.93056
3085	0.617	-0.0866514	0.401427	0.929444
3090	0.618	-0.0866579	0.401426	0.928331
3095	0.619	-0.0866655	0.401426	0.927223
3100	0.62	-0.0866744	0.401426	0.926121
3105	0.621	-0.0866835	0.401421	0.925025
3110	0.622	-0.0866902	0.401399	0.923936
3115	0.623	-0.0866951	0.401345	0.922852
3120	0.624	-0.0866991	0.401247	0.921776
3125	0.625	-0.0867025	0.401092	0.920707
3130	0.626	-0.0867057	0.400868	0.919648
3135	0.627	-0.0867086	0.40056	0.918601
3140	0.628	-0.0867114	0.400158	0.917567
3145	0.629	-0.0867108	0.399653	0.916547
3150	0.63	-0.086715	0.399042	0.915544
3155	0.631	-0.08672	0.398322	0.914562
3160	0.632	-0.0867246	0.397492	0.913603
3165	0.633	-0.0867294	0.396549	0.912668
3170	0.634	-0.0867345	0.395494	0.91176
3175	0.635	-0.0867407	0.394329	0.910881
3180	0.636	-0.0867474	0.393058	0.910031
3185	0.637	-0.0867589	0.391693	0.909212
3190	0.638	-0.0867733	0.39025	0.908426
3195	0.639	-0.0867845	0.388747	0.907674
3200	0.64	-0.0867957	0.387211	0.906955
3205	0.641	-0.0868076	0.385648	0.906268
3210	0.642	-0.0868198	0.384058	0.905613
3215	0.643	-0.0868324	0.38244	0.904989
3220	0.644	-0.0868483	0.380804	0.904375
3225	0.645	-0.0868589	0.379136	0.903798
3230	0.646	-0.0868736	0.377433	0.903256
3235	0.647	-0.0868897	0.375693	0.902747
3240	0.648	-0.0869086	0.373923	0.902273
3245	0.649	-0.0869299	0.37213	0.901834
3250	0.65	-0.086953	0.370324	0.901432
3255	0.651	-0.0869788	0.368513	0.901067
3260	0.652	-0.087004	0.366707	0.900739
3265	0.653	-0.0870291	0.36492	0.900451
3270	0.654	-0.0870529	0.363165	0.900205
3275	0.655	-0.0870776	0.361457	0.900002
3280	0.656	-0.0871038	0.359811	0.899843
3285	0.657	-0.0871306	0.358243	0.899731
3290	0.658	-0.0871524	0.356767	0.899665
3295	0.659	-0.0871584	0.355403	0.899652
3300	0.66	-0.0871626	0.35417	0.899699
3305	0.661	-0.087168	0.353086	0.899809
