TimeSlice	Time	L Hip PF ext IN	L Hip PF flx IN	L Hip PF ext	L Hip PF flx
0	0	-0.0595489	-0.0595489	-0.052851	-0.052851
1	0.0002	-0.0591408	-0.0591408	-0.0531235	-0.0531245
2	0.0004	-0.0587731	-0.0587731	-0.053406	-0.0534091
3	0.0006	-0.0584434	-0.0584436	-0.0536953	-0.0537015
4	0.0008	-0.0581492	-0.0581498	-0.0539886	-0.0539991
5	0.001	-0.0578882	-0.0578893	-0.0542833	-0.0542993
6	0.0012	-0.0576581	-0.0576601	-0.0545773	-0.0546
7	0.0014	-0.0574568	-0.0574598	-0.0548686	-0.0548993
8	0.0016	-0.057282	-0.0572865	-0.0551557	-0.0551955
9	0.0018	-0.0571319	-0.0571383	-0.0554372	-0.0554873
10	0.002	-0.0570045	-0.0570132	-0.055712	-0.0557735
11	0.0022	-0.0568982	-0.0569095	-0.0559791	-0.0560533
12	0.0024	-0.0568111	-0.0568257	-0.0562378	-0.0563256
13	0.0026	-0.0567417	-0.0567601	-0.0564875	-0.0565901
14	0.0028	-0.0566887	-0.0567114	-0.0567277	-0.056846
15	0.003	-0.0566505	-0.0566782	-0.0569582	-0.0570931
16	0.0032	-0.056626	-0.0566592	-0.0571786	-0.0573311
17	0.0034	-0.0566139	-0.0566533	-0.057389	-0.0575598
18	0.0036	-0.0566131	-0.0566594	-0.0575891	-0.0577788
19	0.0038	-0.0566225	-0.0566763	-0.0577791	-0.0579871
20	0.004	-0.0566412	-0.0567032	-0.0579591	-0.058185
21	0.0042	-0.0566682	-0.056739	-0.0581291	-0.0583725
22	0.0044	-0.0567027	-0.0567829	-0.0582893	-0.05855
23	0.0046	-0.0567439	-0.0568339	-0.05844	-0.0587176
24	0.0048	-0.056791	-0.0568915	-0.0585814	-0.0588757
25	0.005	-0.0568433	-0.0569548	-0.0587137	-0.0590245
26	0.0052	-0.0569003	-0.0570231	-0.0588372	-0.0591643
27	0.0054	-0.0569612	-0.057096	-0.0589523	-0.0592955
28	0.0056	-0.0570255	-0.0571727	-0.0590591	-0.0594184
29	0.0058	-0.0570927	-0.0572527	-0.0591581	-0.0595333
30	0.006	-0.0571623	-0.0573355	-0.0592495	-0.0596405
31	0.0062	-0.0572338	-0.0574208	-0.0593336	-0.0597404
32	0.0064	-0.0573068	-0.057508	-0.0594107	-0.0598333
33	0.0066	-0.057381	-0.0575967	-0.0594812	-0.0599195
34	0.0068	-0.0574558	-0.0576865	-0.0595453	-0.0599993
35	0.007	-0.0575311	-0.0577772	-0.0596033	-0.060073
36	0.0072	-0.0576064	-0.0578643	-0.0596555	-0.060141
37	0.0074	-0.0576816	-0.0579481	-0.0597023	-0.0602035
38	0.0076	-0.0577562	-0.0580285	-0.0597441	-0.0602608
39	0.0078	-0.0578302	-0.0581058	-0.0597812	-0.0603132
40	0.008	-0.0579032	-0.0581801	-0.0598139	-0.060361
41	0.0082	-0.0579751	-0.0582515	-0.0598426	-0.0604043
42	0.0084	-0.0580458	-0.05832	-0.0598676	-0.0604435
43	0.0086	-0.0581151	-0.0583859	-0.0598891	-0.0604788
44	0.0088	-0.0581828	-0.0584492	-0.0599073	-0.0605105
45	0.009	-0.0582488	-0.05851	-0.0599225	-0.0605386
46	0.0092	-0.0583131	-0.0585684	-0.0599349	-0.0605636
47	0.0094	-0.0583756	-0.0586246	-0.0599447	-0.0605854
48	0.0096	-0.0584362	-0.0586785	-0.0599521	-0.0606045
49	0.0098	-0.0584947	-0.0587303	-0.0599573	-0.0606208
50	0.01	-0.0585513	-0.0587801	-0.0599604	-0.0606347
51	0.0102	-0.0586059	-0.0588279	-0.0599631	-0.0606463
52	0.0104	-0.0586584	-0.0588739	-0.0599654	-0.0606557
53	0.0106	-0.058709	-0.058918	-0.0599674	-0.0606631
54	0.0108	-0.0587578	-0.0589605	-0.059969	-0.0606686
55	0.011	-0.0588047	-0.0590012	-0.0599703	-0.0606724
56	0.0112	-0.0588498	-0.0590404	-0.0599713	-0.0606746
57	0.0114	-0.0588932	-0.059078	-0.0599719	-0.0606753
58	0.0116	-0.058935	-0.0591142	-0.0599724	-0.0606747
59	0.0118	-0.0589752	-0.0591489	-0.0599725	-0.0606728
60	0.012	-0.0590137	-0.0591823	-0.0599724	-0.0606697
61	0.0122	-0.0590508	-0.0592143	-0.059972	-0.0606655
62	0.0124	-0.0590864	-0.0592451	-0.0599714	-0.0606603
63	0.0126	-0.0591205	-0.0592747	-0.0599707	-0.0606542
64	0.0128	-0.0591533	-0.0593032	-0.0599697	-0.0606473
65	0.013	-0.0591847	-0.0593305	-0.0599685	-0.0606396
66	0.0132	-0.0592148	-0.0593568	-0.0599671	-0.0606313
67	0.0134	-0.0592436	-0.059382	-0.0599655	-0.0606223
68	0.0136	-0.0592712	-0.0594062	-0.0599638	-0.0606127
69	0.0138	-0.0592977	-0.0594295	-0.059962	-0.0606026
70	0.014	-0.0593229	-0.0594519	-0.05996	-0.0605921
71	0.0142	-0.0593471	-0.0594734	-0.0599578	-0.0605812
72	0.0144	-0.0593702	-0.059494	-0.0599556	-0.0605698
73	0.0146	-0.0593922	-0.0595138	-0.0599532	-0.0605582
74	0.0148	-0.0594133	-0.0595329	-0.0599506	-0.0605463
75	0.015	-0.0594333	-0.0595512	-0.059948	-0.0605342
76	0.0152	-0.0594524	-0.0595688	-0.0599453	-0.0605218
77	0.0154	-0.0594706	-0.0595857	-0.0599425	-0.0605093
78	0.0156	-0.0594879	-0.059602	-0.0599396	-0.0604967
79	0.0158	-0.0595044	-0.0596176	-0.0599366	-0.0604839
80	0.016	-0.05952	-0.0596326	-0.0599335	-0.0604711
81	0.0162	-0.0595348	-0.059647	-0.0599304	-0.0604582
82	0.0164	-0.0595489	-0.0596608	-0.0599272	-0.0604453
83	0.0166	-0.0595622	-0.0596741	-0.0599239	-0.0604323
84	0.0168	-0.0595748	-0.0596869	-0.0599206	-0.0604194
85	0.017	-0.0595866	-0.0596992	-0.0599172	-0.0604065
86	0.0172	-0.0595979	-0.059711	-0.0599137	-0.0603937
87	0.0174	-0.0596084	-0.0597223	-0.0599103	-0.060381
88	0.0176	-0.0596183	-0.0597332	-0.0599067	-0.0603683
89	0.0178	-0.0596277	-0.0597437	-0.0599031	-0.0603557
90	0.018	-0.0596364	-0.0597537	-0.0598995	-0.0603433
91	0.0182	-0.0596446	-0.0597634	-0.0598959	-0.0603309
92	0.0184	-0.0596522	-0.0597726	-0.0598922	-0.0603187
93	0.0186	-0.0596593	-0.0597816	-0.0598885	-0.0603067
94	0.0188	-0.059666	-0.0597901	-0.0598848	-0.0602948
95	0.019	-0.0596721	-0.0597984	-0.059881	-0.0602831
96	0.0192	-0.0596777	-0.0598063	-0.0598772	-0.0602715
97	0.0194	-0.0596829	-0.0598139	-0.0598734	-0.0602602
98	0.0196	-0.0596877	-0.0598212	-0.0598696	-0.060249
99	0.0198	-0.059692	-0.0598282	-0.0598658	-0.060238
100	0.02	-0.0596959	-0.0598349	-0.0598619	-0.0602272
101	0.0202	-0.0596995	-0.0598414	-0.0598581	-0.0602166
102	0.0204	-0.0597027	-0.0598476	-0.0598542	-0.0602062
103	0.0206	-0.0597055	-0.0598536	-0.0598503	-0.060196
104	0.0208	-0.0597079	-0.0598593	-0.0598464	-0.060186
105	0.021	-0.0597101	-0.0598648	-0.0598425	-0.0601763
106	0.0212	-0.0597119	-0.0598701	-0.0598386	-0.0601667
107	0.0214	-0.0597134	-0.0598752	-0.0598347	-0.0601574
108	0.0216	-0.0597146	-0.0598801	-0.0598308	-0.0601483
109	0.0218	-0.0597155	-0.0598848	-0.0598269	-0.0601394
110	0.022	-0.0597162	-0.0598893	-0.059823	-0.0601307
111	0.0222	-0.0597165	-0.0598937	-0.0598191	-0.0601222
112	0.0224	-0.0597167	-0.0598978	-0.0598152	-0.060114
