"zotero_key","airtable_id","title","DOI","pdf_url"
"EZAB553H","recIBEMEe0glxwdTn","Organization of common synaptic drive to motoneurones during fictive locomotion in the spinal cat","10.1113/jphysiol.2005.091744",""
"SLWW76U4","recv8Vni5LmZtnz9C","Motor cortical regulation of sparse synergies provides a framework for the flexible control of precision walking","10.3389/fncom.2013.00083","https://www.frontiersin.org/articles/10.3389/fncom.2013.00083/pdf"
"VIP3GQJV","recdaLDhNrvFuW3Ri","Split-belt walking alters the relationship between locomotor phases and cycle duration across speeds in intact and chronic spinalized adult cats.","10.1523/jneurosci.3931-12.2013","https://www.jneurosci.org/content/jneuro/33/19/8559.full.pdf"
"SSLMSMBY","recaxlexn0oGcgAwz","Central control of interlimb coordination and speed-dependent gait expression in quadrupeds.","10.1113/jp272787",""
"B4P3IYSY","recvKVgv2mR9RW8Xu","The role of cutaneous afferents from the distal hindlimb in the regulation of the step cycle of thalamic cats","10.1007/bf00235013",""
"7WF6KLGD","recGrViCbZPnRE3W0","Predictive and reactive tuning of the locomotor CPG","10.1093/icb/icm065","https://academic.oup.com/icb/article-pdf/47/4/474/1770624/icm065.pdf"
"L6NSMHC7","recE9cSeqeqqeRjE5","Spinal Interneurons: Diversity and Connectivity in Motor Control","10.1146/annurev-neuro-083122-025325","System.Object[]"
"LT3PEKVL","recdziQxCrW4TUaWv","Primacy of Flexor Locomotor Pattern Revealed by Ancestral Reversion of Motor Neuron Identity","10.1016/j.cell.2015.06.036",""
"SG9IX7YE","rec6GvqjHjEavh3QO","Role of muscle spindle feedback in regulating muscle activity strength during walking at different speed in mice.","10.1152/jn.00250.2018",""
"J8YGN2AK","recEX7mcxxwNr78Y3","Identified interneurons contributing to locomotion in mammals","10.1016/b978-0-12-819260-3.00009-3",""
"S8U62GQC","rec5AonT0nLlGpzHz","Interlimb coordination during fictive locomotion in the thalamic cat.","10.1007/bf00228795",""
"KPZNAIXG","recJEiw9uGUO59CPy","Sensory Influences on Interlimb Coordination During Gait","10.1007/978-1-4419-9056-3_1",""
"DRACVJLN","recaxMKMbXnTQarAB","Connectivity and Regional Distribution of Constituent Cells of the Mammalian Locomotor Central Pattern Generator","10.7939/r3639kg5w",""
"HJKAP6HX","recOFN0t5qZjVwdBR","Quantifying proprioception","",""
"NZQ7JZAW","reckveZdtn6EUZLbp","Neonatal Rat Spinal Cord Bulbospinal Activation of Locomotion in the In Vitro Contribution of Commissural Projections to","",""
"UBQD3A3F","rec3sCaTz2c5DZML2","Biomechanical and Sensory Feedback Regularize the Behavior of Different Locomotor Central Pattern Generators","10.3390/biomimetics7040226","https://www.mdpi.com/2313-7673/7/4/226/pdf?version=1670476335"
"7B7E6A5I","rec3bT3OcdqqGQ2dY","The Circuitry of the Human Spinal Cord: Its Role in Motor Control and Movement Disorders","",""
"UKJXVFTT","receXHrZLNVgcCYod","Amplitude modulation of the soleus H-reflex in the human during walking and standing","10.1523/jneurosci.06-05-01308.1986","https://www.jneurosci.org/content/jneuro/6/5/1308.full.pdf"
"G6ZM8NXY","recTsutd2LougteUB","Segmental patterns of vestibular-mediated synaptic inputs to axial and limb motoneurons in the neonatal mouse assessed by optical recording","10.1113/jphysiol.2010.195644","https://onlinelibrary.wiley.com/doi/pdfdirect/10.1113/jphysiol.2010.195644"
"6XIG2NLN","recaHgeOwaaT9XnUu","The Effect of DOPA on the Spinal Cord 5. Reciprocal organization of pathways transmitting excitatory action to alpha motoneurones of flexors and extensors","10.1111/j.1748-1716.1967.tb03636.x",""
"B3M335FJ","reczqkTGMQnJmFpia","Motoneurons have different membrane resistance during fictive scratching and weight support.","10.1523/jneurosci.22-18-08259.2002","https://www.jneurosci.org/content/jneuro/22/18/8259.full.pdf"
"3SB4QSIF","recutnIzTJ10bOQaq","A Spinal Mechanism Related to Left–Right Symmetry Reduces Cutaneous Reflex Modulation Independently of Speed During Split-Belt Locomotion","10.1523/JNEUROSCI.1082-18.2018","https://www.jneurosci.org/content/jneuro/38/48/10314.full.pdf"
"8W7UKZPJ","recvidnnShDcajXMs","Integrative pattern of Ia synaptic actions on motoneurones of hip and knee muscles.","10.1113/jphysiol.1958.sp006101",""
"CBWBJ5BV","rec0FmHD8UXVun1zN","A sensory signal related to left-right symmetry modulates intra- and interlimb cutaneous reflexes during locomotion in intact cats","10.3389/fnsys.2023.1199079","System.Object[]"
"KVUZC7GU","recPFQk4euEsokrB8","LOCOMOTOR CIRCUITS IN THE MAMMALIAN SPINAL CORD","10.1146/annurev.neuro.29.051605.112910",""
"5IJUW683","recJYMLbsrfjj6vFl","Spinal interneurons providing input to the final common path during locomotion","10.1016/b978-0-444-53613-6.00006-x",""
"ZBI5R8X9","recdbMeqWdaUKgS4s","How Do We Approach the Locomotor Network in the Mammalian Spinal Cord?a","10.1111/j.1749-6632.1998.tb09039.x",""
"HR9H9J8Z","recGjIFEmPMcbesLF","Parallel reflex pathways from flexor muscle afferents evoking resetting and flexion enhancement during fictive locomotion and scratch in the cat.","10.1113/jphysiol.2005.095505",""
"8W9ZHS8D","recsPiiKkka4Rm6qj","Neuromechanics: an integrative approach for understanding motor control.","10.1093/icb/icm024","https://academic.oup.com/icb/article-pdf/47/1/16/1773464/icm024.pdf"
"WDQ262NK","recG2w6dXkFEbMjK7","The role of the motor cortex in the control of accuracy of locomotor movements in the cat.","10.1113/jphysiol.1993.sp019498",""
"MCU88JT6","recEfpqUr9aBwNnv4","Control of walking and running by means of electric stimulation of the midbrain","",""
"2R4PG7HC","recghr9s21A35rvHN","The brain has a body: adaptive behavior emerges from interactions of nervous system, body and environment.","10.1016/s0166-2236(97)01149-1",""
"LYDY4DUC","recCKM8JmUVPKSFeP","Neuromechanical model of praying mantis explores the role of descending commands in pre-strike pivots.","10.1088/1748-3190/10/6/065005",""
"96WEH7YJ","reczsfNXwVhvy631C","Analytical CPG model driven by limb velocity input generates accurate temporal locomotor dynamics.","10.7287/peerj.preprints.26734v1",""
"X6I4YC75","recHUmIbC15rFPFRa","A controller for continuous wave peristaltic locomotion","10.1109/iros.2011.6094954",""
"266BY2HT","recbMS9RPrgSZOuZs","Sensory-evoked perturbations of locomotor activity by sparse sensory input: a computational study","10.1152/jn.00866.2014",""
"WUNEZFCJ","recrE9XzewFkRCTgQ","Motor circuits in action: specification, connectivity, and function","10.1016/j.neuron.2012.05.011",""
"IRVPFS35","recu9DgoUeRGnC7vX","The CPGs for Limbed Locomotion-Facts and Fiction.","10.3390/ijms22115882","https://www.mdpi.com/1422-0067/22/11/5882/pdf?version=1622526695"
"G358BIIV","recGjQLjdnjFm8IWZ","Deletions of Rhythmic Motoneuron Activity During Fictive Locomotion and Scratch Provide Clues to the Organization of the Mammalian Central Pattern Generator","10.1152/jn.00216.2005",""
"JTN9IW98","recxUvFneDcGWwxyd","Neuromechanical Model of Rat Hind Limb Walking with Two Layer CPGs and Muscle Synergies","10.1007/978-3-319-95972-6_15",""
"BPNNH6YJ","recmVTrWXTVfSOWnt","Microstimulation of the medullary reticular formation during fictive locomotion.","10.1152/jn.1994.71.1.229",""
"548ZDKKX","rec7nQB7Cpfe5SGV0","Control of fore- and hindlimb movements and their coordination during quadrupedal locomotion across speeds in adult spinal cats","10.1089/neu.2022.0042",""
"BKB8XLHW","reczvPaUJrVXapwLB","The locomotion of the low spinal cat. I. Coordination within a hindlimb.","10.1111/j.1748-1716.1980.tb06533.x",""
"DVJE3QGP","rec9fRy7A9nPiPCWr","Diversity of reticulospinal systems in mammals","10.1016/j.cophys.2019.03.001",""
"49TKJ88S","recEm0axCU177keHd","Contribution of morphology and membrane resistance to integration of fast synaptic signals in two thalamic cell types","10.1113/jphysiol.2006.113043",""
"D9ZBLGKV","recW61jLS87WefMpR","Integration of posture and locomotion in acute decerebrate cats and in awake, freely moving cats","10.1016/0301-0082(87)90010-4",""
"SFAGS4TH","recvj2cY9DNFXQhWD","A dynamical model exploring sensory integration in the insect central complex substructures","10.1088/1748-3190/ab57b6",""
"A6RR8R89","recnNIUEj17GdHE5C","Neural networks that co-ordinate locomotion and body orientation in lamprey","10.1016/0166-2236(95)80008-p",""
"CR77ZSJL","recksW1OCi6CpOt8r","Synaptic connectivity amongst components of the locomotor central pattern generator","10.3389/fncir.2022.1076766","https://www.frontiersin.org/articles/10.3389/fncir.2022.1076766/pdf"
"S2ACA47F","rec43V3D0BUhYFUGn","Robustness, flexibility, and sensitivity in a multifunctional motor control model","10.1007/s00422-016-0704-8","https://link.springer.com/content/pdf/10.1007%2Fs00422-016-0704-8.pdf"
