"id","title","match","zotero_key","DOI","flag"
"rec01Sym3p8O4bSMn","Locomotor activity in spinal cord-injured persons","strict","GKN9S4JZ","10.1152/japplphysiol.00942.2003",""
"rec0k5AJjSxNrEexP","RHYTHMIC PATTERNS IN THE THORACIC NERVE CORD OF THE STICK INSECT INDUCED BY PILOCARPINE","strict","CK2NF8VD","10.1242/jeb.198.2.435",""
"rec2gECWIzFDn4tsj","What mechanisms coordinate leg movement in walking arthropods?","strict","GFF6HJZW","10.1016/0166-2236(90)90057-H",""
"rec2jytMTqUIEJMaK","Synaptic control of hindlimb motoneurones during three forms of the fictive scratch reflex in the turtle.","strict","76ZBD6RT","10.1113/jphysiol.1988.sp017281",""
"rec2l3X3DRev8OZEt","Simulations of neuromuscular control in lamprey swimming","strict","XAVF83U8","10.1098/rstb.1999.0441",""
"rec3237UGETrSD0Uw","Modeling the spinal cord neural circuitry controlling cat hindlimb movement during locomotion","strict","ZWG2647T","10.1016/S0925-2312(02)00832-9",""
"rec5nlSDkEYm0W4Zs","Organization of mammalian locomotor rhythm and pattern generation","strict","9ID7ASV7","10.1016/j.brainresrev.2007.08.006",""
"rec6EhQhpWHDNDPX5","Modulation of forelimb and hindlimb muscle activity during quadrupedal tied-belt and split-belt locomotion in intact cats","strict","9UA8CYPG","10.1016/j.neuroscience.2014.12.084",""
"rec6biPs0jRaVO5Wj","Intra-muscle Synergies Stabilizing Reflex-mediated Force Changes","strict","48FEM3CD","10.1016/j.neuroscience.2022.10.009",""
"rec6lfBtg6uUvOxsZ","The neuromechanical tuning hypothesis","strict","T2LK3IM5","10.1016/S0079-6123(06)65016-4",""
"rec78NasDfISVsyLl","Modular organization of murine locomotor pattern in the presence and absence of sensory feedback from muscle spindles","strict","N63HA8YN","10.1113/jp277515",""
"rec7kjoASidTkVaOM","Degradation of mouse locomotor pattern in the absence of proprioceptive sensory feedback","strict","TQVQL9W7","10.1073/pnas.1419045111",""
"rec8WdUONYgfvw1zw","A Role for Hip Position Initiating the Swing to Stance Transition in Walking Cats","adjudicated","HBAEC9DM","10.1152/jn.00511.2005",""
"rec8jxlUJWMZw73UO","Control of oscillation periods and phase durations in half-center central pattern generators: a comparative mechanistic analysis","strict","J3WDY2YY","10.1007/s10827-008-0124-4",""
"rec9QuN0QkmKaK8nF","The Role of Proprioceptive Feedback in the Regulation and Adaptation of Locomotor Activity","loose","DTAEXW5V","10.1007/978-1-4615-0713-0_40",""
"rec9m5Jii31v6NV9M","A neuromechanical simulation of insect walking and transition to turning of the cockroach Blaberus discoidalis","strict","66KVYB3J","10.1007/s00422-013-0573-3",""
"rec9s9QNUNgTbbtQX","Neuromechanical Modeling of Posture and Locomotion","strict","7388U9W7","",""
"recAcAFyWwwCLEAqY","Diversified physiological sensory input connectivity questions the existence of distinct classes of spinal interneurons","strict","RKNVIVD6","10.1016/j.isci.2022.104083",""
"recBw9Zqf4F6xcr4o","Nonlinear Modulation of Cutaneous Reflexes with Increasing Speed of Locomotion in Spinal Cats","strict","753KL7RM","10.1523/JNEUROSCI.3042-16.2017",""
"recCFeBMqwumM6uPE","Current Principles of Motor Control, with Special Reference to Vertebrate Locomotion","strict","3RHFE8KI","10.1152/physrev.00015.2019",""
"recDKSwBYMQO5uNiK","Organization of left-right coordination of neuronal activity in the mammalian spinal cord: Insights from computational modelling","strict","ZQ2YLZKM","10.1113/JP270121",""
"recDT62aen4FMrVhd","Positive force feedback in bouncing gaits?","adjudicated","INYJVQYV","10.1098/rspb.2003.2454",""
"recEo8zrcYm7PAsFe","Sophisticated spinal contributions to motor control","strict","DM5F38IE","10.1016/S0166-2236(03)00073-0",""
"recEvGQ0MflxZ13yF","Decentralized control of insect walking: A simple neural network explains a wide range of behavioral and neurophysiological results","strict","9HFMIKJ2","10.1371/journal.pcbi.1007804",""
"recFcuIXzjebeAqZF","Intralimb and Interlimb Cutaneous Reflexes during Locomotion in the Intact Cat","strict","29VYEMDX","10.1523/JNEUROSCI.3288-17.2018",""
"recFoowp3GLdTtl5p","Sensory feedback in cockroach locomotion: current knowledge and open questions","strict","8VCB7RAL","10.1007/s00359-014-0968-1",""
