"zotero_key","title","author","year","DOI"
"6J8X9RQC","Deconstructing the modular organization and real-time dynamics of mammalian spinal locomotor networks","Hsu et al.","2023","10.1038/s41467-023-36587-w"
"MKE6485E","Stepping responses to treadmill perturbations vary with severity of motor deficits in human SCI","Chu et al.","2018","10.1152/jn.00486.2017"
"Q7VR4INI","Spinal Interneurons as Gatekeepers to Neuroplasticity after Injury or Disease.","Zholudeva et al.","2021","10.1523/jneurosci.1654-20.2020"
"7F8N78A9","A controller perspective on biological gait control: Reflexes and central pattern generators","Duysens and Forner-Cordero","2019","10.1016/j.arcontrol.2019.04.004"
"CEQX3Y93","Cutaneous Reflexes During Human Gait: Electromyographic and Kinematic Responses to Electrical Stimulation","Zehr et al.","1997","10.1152/jn.1997.77.6.3311"
"WLGYZ4MX","Initiation of locomotion in lampreys.","Dubuc et al.","2008","10.1016/j.brainresrev.2007.07.016"
"FXXKJEFZ","Depression of group Ia monosynaptic EPSPs in cat hindlimb motoneurones during fictive locomotion.","Gosgnach et al.","2000","10.1111/j.1469-7793.2000.00639.x"
"Y3SF4GJC","A neural network with central pattern generators entrained by sensory feedback controls walking of a bipedal model","Li et al.","2017","10.1088/1748-3190/aa8290"
"KIG9DEKJ","The role of V3 neurons in speed-dependent interlimb coordination during locomotion in mice.","Zhang et al.","2022","10.7554/elife.73424"
"5BM93A93","Neural control of locomotion","Herman et al.","1976","10.1007/978-1-4757-0964-3"
"LWWSHR63","Pontine reticulospinal projections in the neonatal mouse: Internal organization and axon trajectories.","Sivertsen et al.","2016","10.1002/cne.23904"
"ACANM79H","CONTROL OF LOCOMOTION IN THE DECEREBRATE CAT","Whelan","1996","10.1016/0301-0082(96)00028-7"
"8AUBC3V7","Force Sensors in Hexapod Locomotion","Kaliyamoorthy et al.","2005","10.1177/0278364905055381"
"YSB9TKJX","The case for and against muscle synergies.","Tresch and Jarc","2009","10.1016/j.conb.2009.09.002"
"JU4WBGTJ","Heterogenic Feedback Between Hindlimb Extensors in the Spontaneously Locomoting Premammillary Cat","Ross and Nichols","2009","10.1152/jn.90338.2008"
"QU973HAA","Functional plasticity following spinal cord lesions.","Frigon and Rossignol","2006","10.1016/s0079-6123(06)57016-5"
"YJVT4HJU","Highly mobile robots that run and jump","Horchler et al.","2004",""
"DQLYCBH2","Modelling genetic reorganization in the mouse spinal cord affecting leftΓÇôright coordination during locomotion","Rybak et al.","2013","10.1113/jphysiol.2013.261115"
"LNCVWZ8E","Neural Adaptation in the Generation of Rhythmic Behavior","Pearson","2000","10.1146/annurev.physiol.62.1.723"
"WA46PM2Y","The flexion synergy, mother of all synergies and father of new models of gait","Duysens et al.","2013","10.3389/fncom.2013.00014"
"STI84977","Entrainment of the locomotor rhythm by group Ib afferents from ankle extensor muscles in spinal cats.","Pearson et al.","1992","10.1007/bf00230939"
"YSBJLGU7","Recovery of locomotion after chronic spinalization in the adult cat","Barbeau and Rossignol","1987","10.1016/0006-8993(87)91442-9"
"BI2N2VXZ","V1 and V2b Interneurons Secure the Alternating Flexor-Extensor Motor Activity Mice Require for Limbed Locomotion","Zhang et al.","2014","10.1016/j.neuron.2014.02.013"
"FT6FLCCE","Two-Level Model of Mammalian Locomotor CPG","Shevtsova","2013","10.1007/978-1-4614-7320-6_49-2"
"CV83DAZY","The convergence of monosynaptic excitatory afferents on to many different species of alpha motoneurones","Eccles and Lundberg","1957","10.1113/jphysiol.1957.sp005794"
"EFRSBRUQ","Pattern generation for stick insect walking movements-multisensory control of a locomotor program","B├ñssler and B├╝schges","1998","10.1016/s0165-0173(98)00006-x"
"VRUAGILB","Supraspinal contributions to the initiation and control of locomotion in the cat.","Armstrong","1986","10.1016/0301-0082(86)90021-3"
"28XSSMP9","2008 Special Issue: Central pattern generators for locomotion control in animals and robots: A review","Ijspeert","2008","10.1016/j.neunet.2008.03.014"
"UVG6PMDD","Stumbling corrective reaction during fictive locomotion in the cat.","Quevedo et al.","2005","10.1152/jn.00175.2005"
"FDYA43W5","Simulation of Human Balance Control Using an Inverted Pendulum Model","Hilts et al.","2017","10.1007/978-3-319-63537-8_15"
"QKVU6KK3","Adaptive control for backward quadrupedal walking. III. Stumbling corrective reactions and cutaneous reflex sensitivity.","Buford and Smith","1993","10.1152/jn.1993.70.3.1102"
"YX6IC7SQ","Adaptive Control Responses to Behavioral Perturbation Based Upon the Insect","Ritzmann et al.","2006",""
"N8C5DJV6","Locomotor primitives in newborn babies and their development.","Dominici et al.","2011","10.1126/science.1210617"
"723RUJG9","A Functional Subnetwork Approach to Designing Synthetic Nervous Systems That Control Legged Robot Locomotion","Szczecinski et al.","2017","10.3389/fnbot.2017.00037"
"GKEDLR7B","Force-sensitive afferents recruited during stance encode sensory depression in the contralateral swinging limb during locomotion.","Hochman et al.","2013","10.1111/nyas.12055"
"QRNCP58H","Interlimb communication during human walking: crossed responses in the gastrocnemius muscle","Gervasio","2014",""
"F4V9VS9X","A distributed neural network architecture for hexapod robot locomotion","Beer et al.","1992","10.1162/neco.1992.4.3.356"
"9K4DAP7A","Spinal cords: Symphonies of interneurons across species","Wilson and Sweeney","2023","10.3389/fncir.2023.1146449"
"LYPEYIAI","A Synthetic Nervous System Controls a Simulated Cockroach","Rubeo et al.","2017","10.3390/app8010006"
"4JE58YY8","Effect of stimulating the lumbar skin caudal to a complete spinal cord injury on hindlimb locomotion","Hurteau et al.","2015","10.1152/jn.00739.2014"
"8QVW6ZRY","Adaptive hindlimb split-belt treadmill walking in rats by controlling basic muscle activation patterns via phase resetting","Fujiki et al.","2018","10.1038/s41598-018-35714-8"
"D8PKQH5X","Using mouse genetics to study the developing spinal locomotor circuit","Thiry et al.","2020","10.1016/b978-0-12-816477-8.00011-9"
"JV5ZJCH9","Spinal Control of Locomotion: Individual Neurons, Their Circuits and Functions.","C├┤t├⌐ et al.","2018","10.3389/fphys.2018.00784"
