date,batch,zotero_key,airtable_id,short_title,note_written,animals,feedback,flags
2026-09-12,1,9KAXASMM,recWxAmum8kwHL5uD,"Pearson 1995, Proprioceptive regulation of locomotion",yes,"Cat; Insects; Arthropods","Ib stance to swing; Ia or II stance to swing","Review Papers record created: recc5MpXPbbHBwo6w (Pearson 1995); grounded: PubMed abstract PMID 8805415"
2026-09-12,1,ZMLZC8RV,recMfFMvBOIrfAd2d,"Sherrington 1910, Flexion-reflex of the limb",yes,"Cat; Dog","Cutaneous flexor excitation","Grounded: full text OCR from archive.org J Physiol vol 40 scan; Wiley/PMC blocked or scan-only"
2026-09-12,1,H7FU2J6M,recmMgSVwdJCnZEpy,"Brown 1911, The intrinsic factors in the act of progression",yes,"Mammals; Cat",,"No feedback link per spec; grounded: full text from local Zotero PDF (storage 47QYMID7)"
2026-09-12,1,C825GTPT,recP7eT8wZvqmG1hi,"Grillner and Zangger 1975, How detailed is the central pattern generation",yes,Cat,"Fictive locomotion without sensory feedback","RESOLVED after Ben added the paper to AARL Zotero Biology (group item 69B9ZVYN, PDF child YFGAZUZV): note re-grounded from the full text (local .zotero-ft-cache) and reworded per the paper - preparation is MLR-evoked treadmill walking in mesencephalic cats (not strictly fictive locomotion) and after bilateral deafferentation the pattern persists but is more variable; Feedback link Fictive locomotion without sensory feedback kept (paper demonstrates CPG output without limb afferent feedback)"
2026-09-12,1,23ZX8RAS,rec9DlaMQnKFgSvnW,"Duysens 1977, premammillary cutaneous stimulation",yes,Cat,"Cutaneous stance modification; Cutaneous flexor excitation","Expanded beyond expected minimum: Cutaneous flexor excitation added, supported by small-fibre flexor-burst prolongation in abstract; grounded: Zotero abstract"
2026-09-12,1,RYXH6JSP,recrlZYjHX6nPIjO1,"McCrea 1980, Renshaw cells in fictive locomotion",yes,Cat,,"Grounded: APS free first-page PNG (full Summary and Conclusions read); no PubMed abstract exists; Zotero abstract field held a publisher-page wrapper, not the real abstract"
2026-09-12,1,MZQZRLAD,recnBt0xNcrHDHHir,"Jankowska 1981, common Ia/Ib interneurones",yes,Cat,"Ib disynaptic inhibition; Ib disynaptic excitation","Grounded: Zotero abstract"
2026-09-12,1,8VKY3MVB,recLletXmaXDZQutA,"Taga 1995, neuro-musculo-skeletal model",yes,Human,,"Models record created: recNDXiHGWiRS2tAL (Taga 1995); paper Models 2 auto-linked and verified; grounded: Zotero abstract"
2026-09-12,1,NUQ2JRWH,recIzLR7pGD7JCzhs,"Marder and Bucher 2001, CPGs and rhythmic movements",yes,"Vertebrates; Insects; Arthropods",,"Review Papers record created: recEUToBYWLaLlvcP (Marder and Bucher 2001); grounded: Zotero abstract"
2026-09-12,1,89WM8PFQ,recoHY3E3DH3IDrrk,"Dietz and Duysens 2000, load receptor review",yes,"Human; Cat","Ib stance to swing","Review Papers record created: rec5vMNlT9CNvVFNG (Dietz and Duysens 2000); grounded: PubMed abstract PMID 10899663"
2026-09-12,1,WORKFLOW,note,"Zotero local API q= does NOT search the DOI field; qmode=everything does",,,,,use qmode=everything in future batch grounding queries
2026-09-12,1,WORKFLOW,note,"Only Brown 1911 still had a local PDF in Zotero (Sept-11 attachment purge removed the others)",,,,,grounding route that worked: Zotero abstract -> PubMed eutils -> Europe PMC -> publisher first-page image (journals.physiology.org fp.png pattern) -> archive.org vol scan OCR (sim_ identifier + _djvu.txt)
2026-09-12,1,WORKFLOW,verify,"Re-pull of all 10 records by id after write: every Notes/Animal/Feedback echo matched; Review/Models twin links resolved (Pearson->recc5MpXPbbHBwo6w, Marder->recEUToBYWLaLlvcP, Dietz->rec5vMNlT9CNvVFNG, Taga Models 2->recNDXiHGWiRS2tAL)",,,,,PILOT BATCH COMPLETE - STOPPED FOR BEN REVIEW before batch 2
2026-09-12,2,6J8X9RQC,recjX2utz9I3wA6Q1,"Hsu 2023, Deconstructing modular organization of spinal locomotor networks",yes,Mice,,"Grounded: Zotero abstract"
2026-09-12,2,MKE6485E,recQCsnmp7no8jfwi,"Chu 2018, Stepping responses to treadmill perturbations in human SCI",yes,Human,,"Zotero abstract was truncated at 200 chars; grounded: PubMed abstract PMID 29668389"
2026-09-12,2,Q7VR4INI,recdp4jXR6rResB2w,"Zholudeva 2021, Spinal Interneurons as Gatekeepers to Neuroplasticity",yes,Mammals,,"Review confirmed from abstract; Review Papers record created: recbkUF5KT5igD7Q5 (Zholudeva 2021); Animals tagged Mammals (review spans mammalian SCI work) - Ben may prefer Mice"
2026-09-12,2,7F8N78A9,recbuZPxtSFoexUn3,"Duysens and Forner-Cordero 2019, controller perspective on gait control",yes,"Human; Cat",,"Review Papers record created: receYefj0vcqJJNkN; grounded: Zotero abstract"
2026-09-12,2,CEQX3Y93,recoIv60HYptnkyrY,"Zehr 1997, Cutaneous reflexes during human gait",yes,Human,"Cutaneous stance modification","JUDGMENT CALL: linked Cutaneous stance modification (tibial responses assist foot placement and weight acceptance at stance onset; SP responses are stumbling-correction during swing) - flag if Ben wants human cutaneous reflex papers tagged differently; grounded: Zotero abstract"
2026-09-12,2,WLGYZ4MX,recQKYXn4Tb62Xi80,"Dubuc 2008, Initiation of locomotion in lampreys",yes,Lamprey,,"Review Papers record created: recqrjdjYMrGSceUN (Dubuc 2008); Zotero had no abstract; grounded: PubMed abstract PMID 17916380"
2026-09-12,2,FXXKJEFZ,recSdhE0hA5bdq22R,"Gosgnach 2000, Depression of group Ia monosynaptic EPSPs during fictive locomotion",yes,Cat,"Ia monosynaptic excitation","JUDGMENT CALL: linked Ia monosynaptic excitation (recdWs6wNZ9DktXQg) as the pathway being presynaptically modulated - alternative record recsqGlPgBJriilg4 (Ia monosynaptic) exists; flag if Ben prefers that; grounded: Zotero abstract (J Physiol structured abstract)"
2026-09-12,2,Y3SF4GJC,recl6W47JHetZC0Px,"Li 2017, CPG neural network entrained by sensory feedback controls bipedal model",yes,,"none - robot model paper, no animal preparation","Models record created: recbMOCs7pz3fGlnn (Li 2017); paper Models 2 auto-linked and verified; grounded: Zotero abstract"
2026-09-12,2,KIG9DEKJ,receRQ4hYm1Keotr6,"Zhang 2022, V3 neurons in speed-dependent interlimb coordination in mice",yes,Mice,,"AMBIGUITY FLAG for Ben: paper extends the Danner et al. 2017 rhythm-generator model (existing Models tab has Danner 2016, a different paper) - no Models link made; options are create Zhang 2022 model record or link a Danner 2017 record if Ben adds one; grounded: Zotero abstract"
2026-09-12,2,5BM93A93,recyLcXLiTOHjMQue,"Herman 1976, Neural Control of Locomotion (edited volume)",yes,,"none - edited multi-species volume","POLICY FLAG for Ben: Animals left blank (volume spans cat/human/arthropod/fish); NO Review Papers record created (edited volume, treated like the Pierrot-Deseilligny and Burke monograph rule); note grounded from Springer landing page metadata and table of contents"
2026-09-12,2,WORKFLOW,verify,"Re-pull of all 10 by id after write: every Notes/Animal/Feedback echo matched; twin links resolved (Zholudeva->recbkUF5KT5igD7Q5, Duysens and Forner-Cordero->receYefj0vcqJJNkN, Dubuc->recqrjdjYMrGSceUN, Li Models 2->recbMOCs7pz3fGlnn)",,,,,BATCH 2 COMPLETE - queue rows 1-10 of airtable_rest_import_clean.csv; next batch starts at row 11; audit subagent due after batch 5
