"key","name","parent"
"N6HLE6P7","AARL Paper Club papers","False"
"Z4NMMVVJ","Biology","False"
"BIMUYAAR","Animals","Z4NMMVVJ"
"U65AP8TW","Flight","BIMUYAAR"
"MMK48V5F","Biomechanics","U65AP8TW"
"BBE4U5K8","Robotics\Planes","U65AP8TW"
"8KUXKGCX","Sensors","U65AP8TW"
"5T5PXLZC","Fly Eye","BIMUYAAR"
"XRRT83XE","Local Feedback","BIMUYAAR"
"VD8SAM7F","Swimming","BIMUYAAR"
"ZLA4768F","Neuromechanical Modeling","Z4NMMVVJ"
"5Q8IMQK4","Biologically Inspired Neural Networks (BINNs)","ZLA4768F"
"TYJX29H8","CPGs","5Q8IMQK4"
"BBGSDJ8D","Functional Subnetwork Approach","5Q8IMQK4"
"QUIZCN5R","Neural Oscillators","5Q8IMQK4"
"QIP5VX22","Synchronization","QUIZCN5R"
"YGJ8NW46","Neuron Modeling","5Q8IMQK4"
"7N4C29P2","Proprioceptive Feedback","5Q8IMQK4"
"JTGFU9XU","Biomechanics","ZLA4768F"
"Q5A46GCA","Biped","JTGFU9XU"
"AJENK7I2","Muscles","JTGFU9XU"
"5TDG33CE","Quadruped","JTGFU9XU"
"BHJDGXEG","Synergies","JTGFU9XU"
"LRCMDEWK","Neuromorphic Hardware","ZLA4768F"
"N9R9QB36","Sensory Feedback","ZLA4768F"
"XXAXGRUX","Animal Data","N9R9QB36"
"T8DEMIYL","Literature Reviews","N9R9QB36"
"XK5E9LE4","Models","N9R9QB36"
"DU88N5P6","Damping in Locomotion","False"
"HH56GVGM","Hunt Lab","False"
"7BJ8K9CF","Construction","HH56GVGM"
"5ZWL5BRD","Grant Attributions","HH56GVGM"
"48MI7YWC","NSF Career","5ZWL5BRD"
"FPJSQBTB","NSF NeuroNex","5ZWL5BRD"
"VCBEWTQP","IEEEexample","HH56GVGM"
"M6BJ77DG","IRG4 Journal Club","HH56GVGM"
"5RXBHZ9D","Robot Reading","HH56GVGM"
"SUKCWFGV","Ben","5RXBHZ9D"
"7U35WMMH","Cal Jerome","5RXBHZ9D"
"8ZK4JUJB","Cody","5RXBHZ9D"
"PUDA6G27","Connor","5RXBHZ9D"
"MDMQ892R","Haonan","5RXBHZ9D"
"X2YEHY6K","Jack","5RXBHZ9D"
"LB2PA2M3","Maybe Read?","X2YEHY6K"
"Z2IJ6ASX","Read","X2YEHY6K"
"XHH7YQFB","BPA Modeling","Z2IJ6ASX"
"DRCDLNJ4","Jake","5RXBHZ9D"
"DSDYXL2L","Fall 22","DRCDLNJ4"
"WMJF5UGJ","Winter 2023","DRCDLNJ4"
"2YNWM79F","James","5RXBHZ9D"
"MB93MP53","Joe","5RXBHZ9D"
"9KWWRHPC","Mantasha","5RXBHZ9D"
"FXQ6HTLZ","Manuel","5RXBHZ9D"
"IUHWJX44","Mark","5RXBHZ9D"
"Y9RHVYHT","Afferent","IUHWJX44"
"GVN8ELFX","Ia Afferent Cite","Y9RHVYHT"
"BS9BJMUU","ToRead","Y9RHVYHT"
"3U723ACD","Mo","5RXBHZ9D"
"H8HWV4EW","Potential Papers","5RXBHZ9D"
"5ZBAX3UJ","Reggie","5RXBHZ9D"
"KM6GSHI4","Robot Research","HH56GVGM"
"EW82DS4M","unreviewed","KM6GSHI4"
"RPZANTCL","week 7","KM6GSHI4"
"BR77C3AA","Writing","HH56GVGM"
"Y23HHZAB","Bolen Papers","BR77C3AA"
"7UEJ9QHI","Aim 2","Y23HHZAB"
"N7NMH786","Bolen BPA Static Test","Y23HHZAB"
"I4AAHC3F","Bolen LM19","Y23HHZAB"
"6C2495PH","BolenBPACharacterization","Y23HHZAB"
"GJM4HIMG","BolenFrontiers22","Y23HHZAB"
"ZK7SHJ2T","BolenIsoKneeTorque","Y23HHZAB"
"F2724BJJ","LM2023","Y23HHZAB"
"G7U2YC7Y","Prospectus","Y23HHZAB"
"M7HKXCYK","Grants","BR77C3AA"
"HDR6ZJ9D","NSF26 - Stability and Speed","M7HKXCYK"
"AGA7UJ58","Hilts Papers","BR77C3AA"
"SEM476TQ","Hilts IROS18","AGA7UJ58"
"RRG7HIDB","Hilts LM17","AGA7UJ58"
"UPS3TD7N","Hunt Papers","BR77C3AA"
"ECT36WDA","Challenges","UPS3TD7N"
"37LXZNG7","DaltorioPapers","UPS3TD7N"
"NW7YXWPA","LM 2021 Review","UPS3TD7N"
"6TF2M9GP","MURI24","UPS3TD7N"
"Y76B34FF","Revision","UPS3TD7N"
"82WF42TU","Jake Papers","BR77C3AA"
"DG4K4PN5","Jubert","BR77C3AA"
"C45ZG27Y","LM2024","DG4K4PN5"
"68MAL8TP","npjRobotics","DG4K4PN5"
"YZ4IVNP2","Krnacik Thesis","BR77C3AA"
"S8SFCWRR","Lutz Papers","BR77C3AA"
"J9QQKKC3","references_Lutz_quadruped","S8SFCWRR"
"FJVWT8R9","Dual-Layered CPGs","J9QQKKC3"
"V22WMIYJ","references_Lutz_thesis","S8SFCWRR"
"IDGNQ47J","BPAs","V22WMIYJ"
"MA3TJQ29","CPGs","V22WMIYJ"
"8QZLFJ8X","Network Architecture","V22WMIYJ"
"ATKR54M2","Noise","V22WMIYJ"
"JXDH3WWD","Quadruped","V22WMIYJ"
"P7B3YT3N","Sensory Feedback","V22WMIYJ"
"PUS8CILG","Spikes to Muscle Activation","V22WMIYJ"
"68IMS87T","Spiking/NonSpiking Networks","V22WMIYJ"
"4SGK9MF3","Subthreshold Dynamics","V22WMIYJ"
"D4ADQ5D4","Virtual models","V22WMIYJ"
"4TDF9VPZ","To Read List","S8SFCWRR"
"ADI9MVVM","Hunt17LR Papers","4TDF9VPZ"
"7MIEJ5FT","HuntThesisPapers","4TDF9VPZ"
"8ZJVZTWZ","CHAPTER 2. BACKGROUND","7MIEJ5FT"
"5UEQLNWE","CHAPTER 4. CALCULATING MN ACTIVATIONS","7MIEJ5FT"
"S7EBCZE4","Mantasha","BR77C3AA"
"KKTCWNPD","Manuel papers","BR77C3AA"
"8UIZLZPV","Moe's Papers","BR77C3AA"
"BFK4L9YS","Morrow Papers","BR77C3AA"
"4HEJRE8E","References","BFK4L9YS"
"UQJYQ7IP","Morrow LM19","4HEJRE8E"
"C9GHUG33","Morrow LM20","4HEJRE8E"
"LCUKWY48","Morrow LM21","4HEJRE8E"
"SWCZ6SUI","Morrow Thesis","4HEJRE8E"
"PWVSRQSM","Scharzenberger","BR77C3AA"
"RPIUIZ6R","Brain Initiative","PWVSRQSM"
"3BN6JX5Z","BRAIN21 Poster","RPIUIZ6R"
"S495ULAK","BRAIN22 Poster","RPIUIZ6R"
"7MUA9TNJ","CPG PDC","PWVSRQSM"
"CAP6PPKA","Journal Papers","PWVSRQSM"
"P5CQ9YSR","Paper 1","CAP6PPKA"
"IRE97TNR","Paper 2","CAP6PPKA"
"EDKLKR7C","Paper 3","CAP6PPKA"
"EI65S8JU","Living Machines","PWVSRQSM"
"7E78U3HX","LM19","EI65S8JU"
"JHS52VG2","LM22","EI65S8JU"
"JNXN9AAK","Animal Examples","JHS52VG2"
"EZYZVY6T","Amphibians","JNXN9AAK"
"YXNK8WUU","Crustacean","JNXN9AAK"
"E2FKFDAQ","Fish","JNXN9AAK"
"PDND6A7U","Insects","JNXN9AAK"
"TSL7SF8X","Mammals","JNXN9AAK"
"SSZX4B6Z","Mollusk","JNXN9AAK"
"3JICMNZE","Behavioral Examples","JHS52VG2"
"PCKP9AS7","Ambulation","3JICMNZE"
"YWBJ6R8Z","Digestive","3JICMNZE"
"XQ5EJAKY","Flying","3JICMNZE"
"IY7BSXUR","Respiration","3JICMNZE"
"5UVPAB2Z","Swimming","3JICMNZE"
"XQM5FLN5","Machine Learning Examples","JHS52VG2"
"G2YJMU83","Mathematical Examples","JHS52VG2"
"TTTAHR7M","Review","JHS52VG2"
"T82M4DVB","Robotics Examples","JHS52VG2"
"GH5SI7R8","LM23","EI65S8JU"
"GZK5JP95","NRL","PWVSRQSM"
"LYPSVMQL","Deep ROA","GZK5JP95"
"7L8J3QFC","Deep ROA BO","GZK5JP95"
"IBKFNWDG","Naval Applications of Machine Learning (NAML)","GZK5JP95"
"IB7IVR9D","NAML21 Poster","IBKFNWDG"
"RMQU9EWR","NAML22 Poster","IBKFNWDG"
"VQF6LTVP","PSU","PWVSRQSM"
"XL69CIE9","Masters Thesis","VQF6LTVP"
"TK8F7HCH","Manuscript","XL69CIE9"
"PRVFQL5A","Presentation","XL69CIE9"
"LQ7WFCSX","Prospectus","VQF6LTVP"
"RPTFU546","Manuscript","LQ7WFCSX"
"CQ4PSU6E","Presentation","LQ7WFCSX"
"36NJP68S","Student Research Symposium","VQF6LTVP"
"5CFSTTEV","SRS19 Poster","36NJP68S"
"84BJXSJD","SRS24 Poster","36NJP68S"
"2W3P44BG","Three Minute Thesis","VQF6LTVP"
"N7DDRC4H","3MT22","2W3P44BG"
"8A6RE9ZG","Young Scientist Seminar","VQF6LTVP"
"MFGSWZG9","Reading","PWVSRQSM"
"9QFIJRF5","Resources","PWVSRQSM"
"RK95XFHP","FSA_Extensions","9QFIJRF5"
"3T22SVCZ","Society for Neuroscience","PWVSRQSM"
"VTXUYYDY","SfN23","3T22SVCZ"
"RWJX4ZPZ","Steele Papers","BR77C3AA"
"VIKGTZKC","Steele ASME","RWJX4ZPZ"
"AR82MPS8","Steele LM17","RWJX4ZPZ"
"ANZ3EFN7","Steele LM18","RWJX4ZPZ"
"LI4SBLVE","Steele TAROS18","RWJX4ZPZ"
"L2JMER9Q","Steele Thesis","RWJX4ZPZ"
"UQIQANLV","SteeleASME2","RWJX4ZPZ"
"PXM49285","Tran Papers","BR77C3AA"
"3TXQAVR6","citation","PXM49285"
"UZA4WERG","Paper 1 References","PXM49285"
"Y5999VDY","Zheng Thesis","BR77C3AA"
"N3CAKIKF","Machine Learning (ML)","False"
"ZJ495LXB","Artificial Neural Networks (ANNs)","N3CAKIKF"
"3J5HPR5V","Dynamic Neural Fields (DNF)","ZJ495LXB"
"2FMXHVPZ","Metalearning","ZJ495LXB"
"GB2CGPEH","PDE Networks","ZJ495LXB"
"J3EDBTC5","Non-PINN Methods","GB2CGPEH"
"NHS422Q7","Parameterized PDEs","GB2CGPEH"
"7RC4FMTK","PINN Methods","GB2CGPEH"
"3X9PC269","Plasticity","ZJ495LXB"
"9UMAALCG","Recurrent Neural Networks (RNNs)","ZJ495LXB"
"CPUNMBVE","Reinforcement Learning (RL)","ZJ495LXB"
"J98IRJME","Reservoir Computers (RCs)","ZJ495LXB"
"Y87YEA85","Vector Symbolic Architecture (VSA)","ZJ495LXB"
"X2EULUQG","Bayesian Optimization (BO)","N3CAKIKF"
"GCHTIYB2","Foundational","N3CAKIKF"
"K2LAIJIA","Particle Swarm Optimization (PSO)","N3CAKIKF"
"9MSB9F4D","Spiking Neural Networks (SNNs)","N3CAKIKF"
"CEQRB2P6","Liquid State Machines (LSMs)","9MSB9F4D"
"SJE8A4ZI","Loihi Projects","9MSB9F4D"
"AGU6HZE6","Metalearning","9MSB9F4D"
"XMGTKWZW","PDE Networks","9MSB9F4D"
"E73C5GEU","Plasticity","9MSB9F4D"
"99KMN29G","Reinforcement Learning (RL)","9MSB9F4D"
"UUA9JSY4","Material Science","False"
"VI5WXWBV","Bioprinting","UUA9JSY4"
"2C3BBNF5","Heat Treatment of 3D Printed Materials","UUA9JSY4"
"3AQVM6PB","Bibliography for all materials","2C3BBNF5"
"9I853MAM","Heat Treatment related studies","2C3BBNF5"
"84IY5ELE","Onyx related studies","2C3BBNF5"
"B49PSSWR","PA6 Studies","2C3BBNF5"
"MDERJGGU","Mathematics","False"
"R9CNL2T6","Numerical Methods","MDERJGGU"
"2MXRPFH8","Optimization","MDERJGGU"
"S3ESTZ64","PCB Recycling","False"
"S42VJRQ6","Robotics","False"
"56KFHKNU","Actuators","S42VJRQ6"
"NZCI8A3Q","BPA","56KFHKNU"
"WA8Q63H7","Compliance","56KFHKNU"
"GYS937RW","Artificial Muscles and Biarticular","S42VJRQ6"
"3RERPCK5","Controls","S42VJRQ6"
"WGWM9X3A","Balance","3RERPCK5"
"YVGUHXRC","Balance Control","WGWM9X3A"
"SRBJQXRQ","Bipedal balance control","WGWM9X3A"
"F6ANC2GJ","Stability in Legged Locomotion","WGWM9X3A"
"5JRVHYC6","Hybrid Systems","3RERPCK5"
"CWMSXK7Q","Nonlinear Controls","3RERPCK5"
"V5LZT7Q3","ROA Estimation","CWMSXK7Q"
"TSXBJRNA","Neural ROA Estimation","V5LZT7Q3"
"7U5HPLHI","Non-Neural ROA Estimation","V5LZT7Q3"
"RNJJ7ISJ","Safe Motor Learning","CWMSXK7Q"
