"key","type","title","DOI","date","pub"
"XG2ZHUUU","journalArticle","Evaluation of thermal and mechanical properties of continuous fiberglass reinforced thermoplastic composite fabricated by fused deposition modeling","10.1002/app.53989","2023","Journal of Applied Polymer Science"
"EYS9LIW4","journalArticle","V1 spinal neurons regulate the speed of vertebrate locomotor outputs.","10.1038/nature04545","2006-03-09","Nature"
"EN6F3PHP","journalArticle","Editorial: Biological and Robotic Inter-Limb Coordination",,"2022","Frontiers in Robotics and AI"
"JSXF58NV","journalArticle","Afferent control of locomotor CPG: insights from a simple neuromechanical model","10.1111/j.1749-6632.2010.05435.x","2010-06-01","Annals of the New York Academy of Sciences"
"JHA4K38H","journalArticle","Adaptive hindlimb split-belt treadmill walking in rats by controlling basic muscle activation patterns via phase resetting","10.1038/s41598-018-35714-8","2018-11-26","Scientific Reports"
"34YHKUFB","journalArticle","Robotics Application of a Method for Analytically Computing Infinitesimal Phase Response Curves","10.1007/978-3-030-64313-3_12","2020",
"WXR5PMWT","journalArticle","On the Role of Sensory Feedbacks in RowatΓÇôSelverston CPG to Improve Robot Legged Locomotion","10.3389/fnbot.2010.00113","2010 Dec 29","Frontiers in Neurorobotics"
"JB7EJB46","journalArticle","Towards a comprehensive model of Self-regulationΓïå",,,
"5922NXLN","journalArticle","Ankleextensor groupIafferents excite extensors throughout thehindlimb during fictive locomotion inthecat",,"2011-01-01",
"MTS9MS5Z","journalArticle","Control of position and movement is simplified by combined muscle spindle and Golgi tendon organ feedback","10.1152/jn.00751.2012","2013-02-15","Journal of Neurophysiology"
"53CI4WCB","blogPost","Component Reclaim",,,
"PJB6NEA5","journalArticle","Real-Time Computing Without Stable States: A New Framework for Neural Computation Based on Perturbations","10.1162/089976602760407955","2002-11-01","Neural Computation"
"352UDMZ7","journalArticle","Modelling spinal circuitry involved in locomotor pattern generation: insights from deletions during fictive locomotion","10.1113/jphysiol.2006.118703","2006-12-01","The Journal of Physiology"
"4QUD65QH","journalArticle","Recurrent Braiding of Thin McKibben Muscles to Overcome Their Limitation of Contraction","10.1089/soro.2019.0022","November 7, 2019","Soft Robotics"
"DSGTZ897","conferencePaper","Tuning of neural oscillators for the design of rhythmic motions","10.1109/ROBOT.2000.844870","2000",
"JRRZFK7E","journalArticle","Sensory Feedback Induced by Front-Leg Stepping Entrains the Activity of Central Pattern Generators in Caudal Segments of the Stick Insect Walking System","10.1523/JNEUROSCI.3155-08.2009","2009-03-04","Journal of Neuroscience"
"SD372GKE","journalArticle","Stable task information from an unstable neural population","10.7554/eLife.51121","2020-07-14","eLife"
"B2JHYYG3","book","Macromolecular physics",,"1973",
"M8IHF2RQ","journalArticle","The grand challenges of Science Robotics","10.1126/scirobotics.aar7650","2018-01-31","Science Robotics"
"KRW5LIXD","journalArticle","Ankle and hip postural strategies defined by joint torques","10.1016/S0966-6362(99)00032-6","October 1999","Gait & Posture"
"9ID7ASV7","journalArticle","Organization of mammalian locomotor rhythm and pattern generation","10.1016/j.brainresrev.2007.08.006","2008-01-01","Brain Research Reviews"
"P77MGTHY","journalArticle","Improving reservoirs using intrinsic plasticity","10.1016/j.neucom.2007.12.020","3/2008","Neurocomputing"
"IIN8MQSM","journalArticle","Hip geometry and femoral neck fractures: A meta-analysis","10.1016/j.jot.2017.12.002","January 2018","Journal of Orthopaedic Translation"
"WKN7J9EI","bookSection","The Anatomy of the Hip Joint",,"1984",
"GDKE9S3M","journalArticle","The use of state-dependent modulation of spinal reflexes as a tool to investigate the organization of spinal interneurons.","10.1007/s002210050847","1999-09-17","Experimental Brain Research"
"N3DFZEXB","journalArticle","Computational modeling of spinal circuits controlling limb coordination and gaits in quadrupeds","10.7554/eLife.31050","2017/11/22","eLife"
"U3H52BTN","journalArticle","Optic flow regulation: the key to aircraft automatic guidance","10.1016/j.robot.2004.09.016","March 31, 2005","Robotics and Autonomous Systems"
"CALXWEUJ","standard","Markforged MDS: Onyx Filament Rev 5.3",,,
"GDPGDWCG","webpage","ResearchGate",,,
"ZT3GPGK6","journalArticle","Paleoinspired robotics as an experimental approach to the history of life","10.1126/scirobotics.adn1125","2024-10-23","Science Robotics"
"MKJHC4AD","book","Gray's Anatomy",,"25 Sep 2015",
"J8ICEH85","journalArticle","Implementation of an RBF neural network on embedded systems: real-time face tracking and identity verification","10.1109/TNN.2003.816035","Sept 2003","IEEE Transactions on Neural Networks"
"9W5PDGU7","journalArticle","An Assessment of Six Muscle Spindle Models for Predicting Sensory Information during Human Wrist Movements","10.3389/fncom.2015.00154","2016-01-14","Frontiers in Computational Neuroscience"
"89A2WTCX","webpage","3D printed fiber reinforced polymer composites - Structural analysis | Elsevier Enhanced Reader","10.1016/j.compositesb.2019.107112",,
"PXRBX6MP","journalArticle","fPINNs: Fractional Physics-Informed Neural Networks","10.1137/18M1229845","01/2019","SIAM Journal on Scientific Computing"
"V7SUAUEQ","journalArticle","Studies of microstructural and mechanical properties of nylon/glass composite Part I The effect of thermal processing on crystallinity, transcrystallinity and crystal phases","10.1023/A:1004713200894","10/1999","Journal of Materials Science"
"RMBFG35N","journalArticle","A soft robot that navigates its environment through growth","10.1126/scirobotics.aan3028","2017-07-19","Science Robotics"
"WYMJF3XP","book","Polymer science and technology",,"2014",
"H2CWETMG","journalArticle","Spiking Neural Network Learning, Benchmarking, Programming and Executing View all 16 Articles Articles",,,
"55ICCI38","journalArticle","Effect of joint stiffness on standing stability",,"2007","Gait & posture"
"6LKA6H8S","journalArticle","Integrate-and-fire neurons with threshold noise: A tractable model of how interspike interval correlations affect neuronal signal transmission","10.1103/PhysRevE.72.021911","2005-8","Physical review. E, Statistical, nonlinear, and soft matter physics"
"L6SSXEE2","journalArticle","Maximizing the Strength of Fused-Deposition ABS Plastic Parts",,,
"F9VGJALV","journalArticle","Gradient Descent for Spiking Neural Networks",,"2017-06-19","arXiv:1706.04698 [cs, q-bio, stat]"
"9XQ3RUI3","journalArticle","Learning CPG Sensory Feedback with Policy Gradient for Biped Locomotion for a Full-Body Humanoid",,"2005",
"R4DX3I8Z","journalArticle","Sensory Feedback in the Control of Posture and Locomotion","10.1002/9781118873397.ch9","2017-06-23",
"NJQKPXSF","attachment","1-s2.0-S0021929096001650-main.pdf",,,
"8B3JHIED","journalArticle","Ratio of Shear to Load Ground-Reaction Force May Underlie the Directional Tuning of the Automatic Postural Response to Rotation and Translation","10.1152/jn.00773.2003","2004-08","Journal of Neurophysiology"
"P6PFRBJV","journalArticle","Contribution of sensory feedback to the generation of extensor activity during walking in the decerebrate Cat","10.1152/jn.1999.81.2.758","Feb 1999","Journal of Neurophysiology"
"M7VUR3TT","journalArticle","Nucleation and Crystallization of PA6 Composites Prepared by T-RTM: Effects of Carbon and Glass Fiber Loading","10.3390/polym11101680","2019-10-14","Polymers"
"6BE7ALV5","journalArticle","A metalearning approach for Physics-Informed Neural Networks (PINNs): Application to parameterized PDEs","10.1016/j.jcp.2023.111912","03/2023","Journal of Computational Physics"
"QLYVWBC5","journalArticle","A Dynamic Neural Network Designed Using Analytical Methods Produces Dynamic Control Properties Similar to an Analogous Classical Controller","10.1109/LCSYS.2018.2871126","April 2019","IEEE Control Systems Letters"
"7MV3W6VX","bookSection","Learning Trajectory Preferences for Manipulators via Iterative Improvement",,"2013",
"IG4RHJX9","journalArticle","Investigating the role of low level reinforcement reflex loops in insect locomotion","10.1088/1748-3190/ac28ea","2021-10","Bioinspiration &amp$\mathsemicolon$ Biomimetics"
"EKZAQERB","journalArticle","The capsular ligaments provide more hip rotational restraint than the acetabular labrum and the ligamentum teres: an experimental study","10.1302/0301-620X.97B4.34638","04/2015","The Bone & Joint Journal"
"D3P5QCWF","journalArticle","Separation of polymerization and crystallization processes for nylon-6","10.1016/0032-3861(92)90377-9","9/1992","Polymer"
"7MZ83V8R","conferencePaper","Design and Experimental Study of Parallel Hip Joint","10.1109/ICMA65362.2025.11120665","2025-08",
"EQZSNW6E","journalArticle","Operation regimes of spinal circuits controlling locomotion and the role of supraspinal drives and sensory feedback","10.7554/eLife.98841","2024-10-14","eLife"
"5K3N7CVL","journalArticle","Mechanical properties of structures produced by 3D printing from composite materials","10.1051/matecconf/201925401018","2019","MATEC Web of Conferences"
"58SETK3T","journalArticle","Achievement of Twist Squat by Musculoskeletal Humanoid with Screw-Home Mechanism","10.1109/IROS.2013.6697025","November 2013","IEEE/RSJ International Conference on Intelligent Robots and Systems"
"MUUVCR63","journalArticle","Is coordination of two-joint leg muscles during load lifting consistent with the strategy of minimum fatigue?","10.1016/S0021-9290(98)00116-X","1998-11-01","Journal of Biomechanics"
"BXRNZU8D","document","An Interactive Graphics-Based Model of the Lower Extremity to Study Orthopaedic Surgical Procedures",,,
"YUUY7Z2K","journalArticle","Influence of Layer Thickness and Raster Angle on the Mechanical Properties of 3D-Printed PEEK and a Comparative Mechanical Study between PEEK and ABS","10.3390/ma8095271","2015-09-01","Materials"
"8BTFJLJW","journalArticle","Flow field sensing with bio-inspired artificial hair cell arrays","10.1016/j.snb.2016.05.091","November 29, 2016","Sensors and Actuators B: Chemical"
"EUV4ILUK","book","Neuromechanical Modeling of Posture and Locomotion",,"2015-12-30",
"6X2TGXAU","journalArticle","Origami-based earthworm-like locomotion robots","10.1088/1748-3190/aa8448","2017-10","Bioinspiration & Biomimetics"
"WEGVWW5Z","journalArticle","Effects of Idealized Joint Geometry on Finite Element Predictions of Cartilage Contact Stresses in the Hip","10.1016/j.jbiomech.2010.01.010","2010-5-7","Journal of biomechanics"
"WUTW7V92","journalArticle","The contribution of a central pattern generator in a reflex-based neuromuscular model","10.3389/fnhum.2014.00371","2014-06-26","Frontiers in Human Neuroscience"
"9NL8NBZL","journalArticle","Soft Inflatable Sensing Modules for Safe and Interactive Robots","10.1109/LRA.2018.2850971","10/2018","IEEE Robotics and Automation Letters"
