"key","type","title","DOI","date","pub"
"EZAB553H","journalArticle","Organization of common synaptic drive to motoneurones during fictive locomotion in the spinal cat","10.1113/jphysiol.2005.091744","2005-11-01","The Journal of Physiology"
"SLWW76U4","journalArticle","Motor cortical regulation of sparse synergies provides a framework for the flexible control of precision walking","10.3389/fncom.2013.00083","2013-07-11","Frontiers in Computational Neuroscience"
"VIP3GQJV","journalArticle","Split-belt walking alters the relationship between locomotor phases and cycle duration across speeds in intact and chronic spinalized adult cats.","10.1523/jneurosci.3931-12.2013","2013-05-08","The Journal of Neuroscience"
"SSLMSMBY","journalArticle","Central control of interlimb coordination and speed-dependent gait expression in quadrupeds.","10.1113/jp272787","2016-12-01","The Journal of Physiology"
"B4P3IYSY","journalArticle","The role of cutaneous afferents from the distal hindlimb in the regulation of the step cycle of thalamic cats","10.1007/bf00235013","1976-01-26","Experimental Brain Research"
"7WF6KLGD","journalArticle","Predictive and reactive tuning of the locomotor CPG","10.1093/icb/icm065","2007-10-01","Integrative and Comparative Biology"
"L6NSMHC7","journalArticle","Spinal Interneurons: Diversity and Connectivity in Motor Control","10.1146/annurev-neuro-083122-025325","2023-07-10",
"LT3PEKVL","journalArticle","Primacy of Flexor Locomotor Pattern Revealed by Ancestral Reversion of Motor Neuron Identity","10.1016/j.cell.2015.06.036","2015-07-16","Cell"
"SG9IX7YE","journalArticle","Role of muscle spindle feedback in regulating muscle activity strength during walking at different speed in mice.","10.1152/jn.00250.2018","2018-11-01","Journal of Neurophysiology"
"J8YGN2AK","journalArticle","Identified interneurons contributing to locomotion in mammals","10.1016/b978-0-12-819260-3.00009-3","2023-01-01","Elsevier eBooks"
"S8U62GQC","journalArticle","Interlimb coordination during fictive locomotion in the thalamic cat.","10.1007/bf00228795","1990-01-01","Experimental Brain Research"
"KPZNAIXG","journalArticle","Sensory Influences on Interlimb Coordination During Gait","10.1007/978-1-4419-9056-3_1","2004-01-01",
"DRACVJLN","journalArticle","Connectivity and Regional Distribution of Constituent Cells of the Mammalian Locomotor Central Pattern Generator","10.7939/r3639kg5w","2016-01-01",
"HJKAP6HX","journalArticle","Quantifying proprioception","","1999","Progress in Brain Research"
"NZQ7JZAW","journalArticle","Neonatal Rat Spinal Cord Bulbospinal Activation of Locomotion in the In Vitro Contribution of Commissural Projections to","","2015-01-01",
"UBQD3A3F","journalArticle","Biomechanical and Sensory Feedback Regularize the Behavior of Different Locomotor Central Pattern Generators","10.3390/biomimetics7040226","2022-12-04",
"QDN8VDSK","journalArticle","catsof ankle extensor muscle activity in walking","","2015-01-01",
"7B7E6A5I","journalArticle","The Circuitry of the Human Spinal Cord: Its Role in Motor Control and Movement Disorders","","2005-09-19",
"UKJXVFTT","journalArticle","Amplitude modulation of the soleus H-reflex in the human during walking and standing","10.1523/jneurosci.06-05-01308.1986","1986-05-01","The Journal of Neuroscience"
"G6ZM8NXY","journalArticle","Segmental patterns of vestibular-mediated synaptic inputs to axial and limb motoneurons in the neonatal mouse assessed by optical recording","10.1113/jphysiol.2010.195644","2010-12-15","The Journal of Physiology"
"C6252AEY","attachment","Horcholle-Bossavit - Encoding of muscle contractile tension by golgi tendon organs.pdf","","",
