"parentKey","title","DOI","attKey","filename","linkMode"
"U47I2QZM","The neuromechanical tuning hypothesis","10.1016/S0079-6123(06)65016-4","375JYEPB","Prochazka and Yakovenko - 2007 - The neuromechanical tuning hypothesis.pdf","imported_url"
"KGTN2CXP","Locomotor activity in spinal cord-injured persons","10.1152/japplphysiol.00942.2003","WL5PV4ZW","Dietz and Harkema - 2004 - Locomotor activity in spinal cord-injured persons.pdf","imported_url"
"D6SZGC6D","Kinesthetic Senses","10.1002/cphy.c170036","8ZXJ7A74","Proske and Gandevia - 2018 - Kinesthetic Senses.pdf","imported_url"
"RGPAV78H","Brainstem Circuits for Locomotion","10.1146/annurev-neuro-082321-025137","KUYRMXC7","Leiras et al. - 2022 - Brainstem Circuits for Locomotion.pdf","imported_url"
"PHER5PA6","A biologically based neural system coordinates the joints and legs of a tetrapod","10.1088/1748-3190/10/5/055004","MLD55F9G","Hunt et al. - 2015 - A biologically based neural system coordinates the.pdf","imported_file"
"A924UV2P","AnimatLab: A 3D graphics environment for neuromechanical simulations","10.1016/j.jneumeth.2010.01.005","PEIW67K9","S0165027010000087.html","imported_url"
"A924UV2P","AnimatLab: A 3D graphics environment for neuromechanical simulations","10.1016/j.jneumeth.2010.01.005","CJY2QX2E","Cofer et al. - 2010 - AnimatLab A 3D graphics environment for neuromech.pdf","imported_file"
"ECAXY6SG","Proprioceptive modulation of hip flexor activity during the swing phase of locomotion in decerebrate cats.","10.1152/jn.2001.86.3.1321","8SQFYAE4","Tania Lam et al. - 2001 - Proprioceptive modulation of hip flexor activity d.pdf","imported_url"
"FVXGFLYC","Load-regulating mechanisms in gait and posture: comparative aspects.","10.1152/physrev.2000.80.1.83","BH794RAT","Jaak Duysens et al. - 2000 - Load-regulating mechanisms in gait and posture co.pdf","imported_url"
"3MJ2HBKM","On the organization of the locomotor CPG: insights from split-belt locomotion and mathematical modeling","10.1101/2020.07.17.205351","54QAT6SJ","Elizaveta M. Latash et al. - 2020 - On the organization of the locomotor CPG insights.pdf","imported_url"
"QIIZ42FT","Contribution of Sensory Feedback to the Generation of Extensor Activity During Walking in the Decerebrate Cat","10.1152/jn.1999.81.2.758","335ASIQC","Gordon W. Hiebert et al. - 1999 - Contribution of Sensory Feedback to the Generation.pdf","imported_url"
"U47I2QZM","The neuromechanical tuning hypothesis","10.1016/S0079-6123(06)65016-4","BTFMEE4C","S0079612306650164.html","imported_url"
"D3GX3WKK","Spinal control of muscle synergies for adult mammalian locomotion","10.1113/JP277018","BS7KMKUT","Desrochers et al. - 2019 - Spinal control of muscle synergies for adult mamma.pdf","imported_url"
"9BWZR29E","Ankle extensor group I afferents excite extensors throughout the hindlimb during fictive locomotion in the cat.","10.1113/jphysiol.1995.sp020871","B47IFWSR","Guertin et al. - 1995 - Ankle extensor group I afferents excite extensors .pdf","imported_url"
"43BU34HI","Proprioception and locomotor disorders","10.1038/nrn939","AYCRXWCZ","Dietz - 2002 - Proprioception and locomotor disorders.pdf","imported_url"
"DU5QNK4J","Modeling the spinal cord neural circuitry controlling cat hindlimb movement during locomotion","10.1016/S0925-2312(02)00832-9","9TXI3559","Ivashko et al. - 2003 - Modeling the spinal cord neural circuitry controll.pdf","imported_file"
"VC4P6AZ3","Effects of stimulation of hindlimb flexor group II afferents during fictive locomotion in the cat.","","9ILHZSEH","Perreault et al. - 1995 - Effects of stimulation of hindlimb flexor group II.pdf","imported_url"
"LSZGGFGJ","Human lumbar cord circuitries can be activated by extrinsic tonic input to generate locomotor-like activity","10.1016/j.humov.2007.01.005","77ECD56X","Minassian et al. - 2007 - Human lumbar cord circuitries can be activated by .pdf","imported_file"
"BJ2N3U2I","Neuronal activity in the isolated mouse spinal cord during spontaneous deletions in fictive locomotion: insights into locomotor central pattern generator organization","10.1113/jphysiol.2012.240895","6C5MCSE3","Zhong et al. - 2012 - Neuronal activity in the isolated mouse spinal cor.pdf","imported_url"
"BUHUYBFR","Strategies for delineating spinal locomotor rhythm-generating networks and the possible role of Hb9 interneurones in rhythmogenesis","10.1016/j.brainresrev.2007.06.025","67FB3F8H","Brownstone and Wilson - 2008 - Strategies for delineating spinal locomotor rhythm.pdf","imported_url"
"92EUXMBP","The special nature of human walking and its neural control","10.1016/S0166-2236(02)02173-2","5WQECYK8","Capaday - 2002 - The special nature of human walking and its neural.pdf","imported_file"
"ZYYSS7P5","Synaptic control of hindlimb motoneurones during three forms of the fictive scratch reflex in the turtle.","10.1113/jphysiol.1988.sp017281","5K5K3HZ4","Robertson and Stein - 1988 - Synaptic control of hindlimb motoneurones during t.pdf","imported_url"
"U646MXD8","Neuromechanical Principles Underlying Movement Modularity and Their Implications for Rehabilitation","10.1016/j.neuron.2015.02.042","4IMRP8RY","Ting et al. - 2015 - Neuromechanical Principles Underlying Movement Mod.pdf","imported_url"
"FHRRC8YZ","Ipsilateral and Contralateral Interactions in Spinal Locomotor Circuits Mediated by V1 Neurons: Insights from Computational Modeling","10.3390/ijms23105541","42AZ6JWR","Shevtsova et al. - 2022 - Ipsilateral and Contralateral Interactions in Spin.pdf","imported_url"
"GKYP7G6R","The construction of movement by the spinal cord","10.1038/5721","2X6M6BWN","Tresch et al. - 1999 - The construction of movement by the spinal cord.pdf","imported_url"
"CAG5YMY6","Insect Walking and Biorobotics: A Relationship with Mutual Benefits","10.1641/0006-3568(2000)050[0023:IWABAR]2.3.CO;2","2PLZW3ME","Ritzmann et al. - 2000 - Insect Walking and Biorobotics A Relationship wit.pdf","imported_url"
"5EASBQZ5","Intra-muscle Synergies Stabilizing Reflex-mediated Force Changes","10.1016/j.neuroscience.2022.10.009","U7GSDQAP","S0306452222005176.html","imported_url"
"38XBMS29","Speed dependency in ╬▒-motoneuron activity and locomotor modules in human locomotion: Indirect evidence for phylogenetically conserved spinal circuits","10.1098/rspb.2017.0290","LABCVLAT","Yokoyama et al. - 2017 - Speed dependency in α-motoneuron activity and loco.pdf","imported_url"
"734BGJT4","Resonance tuning in a neuro-musculo-skeletal model of the forearm","10.1007/s00422-006-0112-6","QW78WHYQ","Verdaasdonk et al. - 2007 - Resonance tuning in a neuro-musculo-skeletal model.pdf","imported_file"
"K88MTURC","A neuromechanical simulation of insect walking and transition to turning of the cockroach Blaberus discoidalis","10.1007/s00422-013-0573-3","UQ4QILFU","Szczecinski et al. - 2013 - A neuromechanical simulation of insect walking and.pdf","imported_file"
"AA3XMLMD","Organization of left-right coordination of neuronal activity in the mammalian spinal cord: Insights from computational modelling","10.1113/JP270121","M5BGFCKI","Shevtsova et al. - 2015 - Organization of left-right coordination of neurona.pdf","imported_url"
"MJ342HLM","Organization of flexorΓÇôextensor interactions in the mammalian spinal cord: insights from computational modelling","10.1113/JP272437","SWWWMXZX","Shevtsova and Rybak - 2016 - Organization of flexor–extensor interactions in th.pdf","imported_url"
"JX2MIXNT","Decentralized control of insect walking: A simple neural network explains a wide range of behavioral and neurophysiological results","10.1371/journal.pcbi.1007804","ZE3N83ER","Schilling and Cruse - 2020 - Decentralized control of insect walking A simple .pdf","imported_url"
"9XQDPXXQ","Modelling spinal circuitry involved in locomotor pattern generation: insights from the effects of afferent stimulation","10.1113/jphysiol.2006.118711","WI882JGD","Rybak et al. - 2006 - Modelling spinal circuitry involved in locomotor p.pdf","imported_url"
"9XQDPXXQ","Modelling spinal circuitry involved in locomotor pattern generation: insights from the effects of afferent stimulation","10.1113/jphysiol.2006.118711","GJ3HAXJF","jphysiol.2006.html","imported_url"
"MJ342HLM","Organization of flexorΓÇôextensor interactions in the mammalian spinal cord: insights from computational modelling","10.1113/JP272437","SLFN6A5Q","JP272437.html","imported_url"
"ZYYSS7P5","Synaptic control of hindlimb motoneurones during three forms of the fictive scratch reflex in the turtle.","10.1113/jphysiol.1988.sp017281","YIFUVBYA","jphysiol.1988.html","imported_url"
"PEFTU9LY","Neuromechanical Modeling of Posture and Locomotion","","TV55NQ3H","(Springer Series in Computational Neuroscience) Boris I. Prilutsky, Donald H. Edwards (eds.) - Neuromechanical Modeling of Posture and Locomotion-Springer-Verlag New York (2016).pdf","imported_file"
