"parentKey","title","aarlFile","airtableFile","verdict"
"U47I2QZM","The neuromechanical tuning hypothesis","True","True","OK (files in both)"
"KGTN2CXP","Locomotor activity in spinal cord-injured persons","True","True","OK (files in both)"
"D6SZGC6D","Kinesthetic Senses","True","True","OK (files in both)"
"RGPAV78H","Brainstem Circuits for Locomotion","True","True","OK (files in both)"
"PHER5PA6","A biologically based neural system coordinates the joints and legs of a tetrapod","True","True","OK (files in both)"
"A924UV2P","AnimatLab: A 3D graphics environment for neuromechanical simulations","False","True","OVER-PURGED"
"ECAXY6SG","Proprioceptive modulation of hip flexor activity during the swing phase of locomotion in decerebrate cats.","True","True","OK (files in both)"
"FVXGFLYC","Load-regulating mechanisms in gait and posture: comparative aspects.","True","True","OK (files in both)"
"3MJ2HBKM","On the organization of the locomotor CPG: insights from split-belt locomotion and mathematical modeling","True","True","OK (files in both)"
"QIIZ42FT","Contribution of Sensory Feedback to the Generation of Extensor Activity During Walking in the Decerebrate Cat","True","True","OK (files in both)"
"D3GX3WKK","Spinal control of muscle synergies for adult mammalian locomotion","True","True","OK (files in both)"
"9BWZR29E","Ankle extensor group I afferents excite extensors throughout the hindlimb during fictive locomotion in the cat.","True","True","OK (files in both)"
"43BU34HI","Proprioception and locomotor disorders","True","True","OK (files in both)"
"DU5QNK4J","Modeling the spinal cord neural circuitry controlling cat hindlimb movement during locomotion","True","True","OK (files in both)"
"VC4P6AZ3","Effects of stimulation of hindlimb flexor group II afferents during fictive locomotion in the cat.","True","True","OK (files in both)"
"LSZGGFGJ","Human lumbar cord circuitries can be activated by extrinsic tonic input to generate locomotor-like activity","True","True","OK (files in both)"
"BJ2N3U2I","Neuronal activity in the isolated mouse spinal cord during spontaneous deletions in fictive locomotion: insights into locomotor central pattern generator organization","True","True","OK (files in both)"
"BUHUYBFR","Strategies for delineating spinal locomotor rhythm-generating networks and the possible role of Hb9 interneurones in rhythmogenesis","True","True","OK (files in both)"
"92EUXMBP","The special nature of human walking and its neural control","True","True","OK (files in both)"
"ZYYSS7P5","Synaptic control of hindlimb motoneurones during three forms of the fictive scratch reflex in the turtle.","True","True","OK (files in both)"
"U646MXD8","Neuromechanical Principles Underlying Movement Modularity and Their Implications for Rehabilitation","True","True","OK (files in both)"
"FHRRC8YZ","Ipsilateral and Contralateral Interactions in Spinal Locomotor Circuits Mediated by V1 Neurons: Insights from Computational Modeling","True","True","OK (files in both)"
"GKYP7G6R","The construction of movement by the spinal cord","True","True","OK (files in both)"
"CAG5YMY6","Insect Walking and Biorobotics: A Relationship with Mutual Benefits","True","True","OK (files in both)"
"5EASBQZ5","Intra-muscle Synergies Stabilizing Reflex-mediated Force Changes","True","True","OK (files in both)"
"38XBMS29","Speed dependency in ╬▒-motoneuron activity and locomotor modules in human locomotion: Indirect evidence for phylogenetically conserved spinal circuits","True","True","OK (files in both)"
"734BGJT4","Resonance tuning in a neuro-musculo-skeletal model of the forearm","True","True","OK (files in both)"
"K88MTURC","A neuromechanical simulation of insect walking and transition to turning of the cockroach Blaberus discoidalis","True","True","OK (files in both)"
