"zotero_key","title","author","year","DOI"
"EZAB553H","Organization of common synaptic drive to motoneurones during fictive locomotion in the spinal cat","Nielsen et al.","2005","10.1113/jphysiol.2005.091744"
"SLWW76U4","Motor cortical regulation of sparse synergies provides a framework for the flexible control of precision walking","Krouchev and Drew","2013","10.3389/fncom.2013.00083"
"VIP3GQJV","Split-belt walking alters the relationship between locomotor phases and cycle duration across speeds in intact and chronic spinalized adult cats.","Frigon et al.","2013","10.1523/jneurosci.3931-12.2013"
"SSLMSMBY","Central control of interlimb coordination and speed-dependent gait expression in quadrupeds.","Danner et al.","2016","10.1113/jp272787"
"B4P3IYSY","The role of cutaneous afferents from the distal hindlimb in the regulation of the step cycle of thalamic cats","Duysens and Pearson","1976","10.1007/bf00235013"
"7WF6KLGD","Predictive and reactive tuning of the locomotor CPG","Procházka et al.","2007","10.1093/icb/icm065"
"L6NSMHC7","Spinal Interneurons: Diversity and Connectivity in Motor Control","Sengupta and Bagnall","2023","10.1146/annurev-neuro-083122-025325"
"LT3PEKVL","Primacy of Flexor Locomotor Pattern Revealed by Ancestral Reversion of Motor Neuron Identity","Machado et al.","2015","10.1016/j.cell.2015.06.036"
"SG9IX7YE","Role of muscle spindle feedback in regulating muscle activity strength during walking at different speed in mice.","Mayer et al.","2018","10.1152/jn.00250.2018"
"J8YGN2AK","Identified interneurons contributing to locomotion in mammals","Li et al.","2023","10.1016/b978-0-12-819260-3.00009-3"
"S8U62GQC","Interlimb coordination during fictive locomotion in the thalamic cat.","Orsal et al.","1990","10.1007/bf00228795"
"KPZNAIXG","Sensory Influences on Interlimb Coordination During Gait","Duysens et al.","2004","10.1007/978-1-4419-9056-3_1"
"DRACVJLN","Connectivity and Regional Distribution of Constituent Cells of the Mammalian Locomotor Central Pattern Generator","Griener","2016","10.7939/r3639kg5w"
"HJKAP6HX","Quantifying proprioception","Prochazka","1999",""
"NZQ7JZAW","Neonatal Rat Spinal Cord Bulbospinal Activation of Locomotion in the In Vitro Contribution of Commissural Projections to","Zaporozhets et al.","2015",""
"UBQD3A3F","Biomechanical and Sensory Feedback Regularize the Behavior of Different Locomotor Central Pattern Generators","Deng et al.","2022","10.3390/biomimetics7040226"
"7B7E6A5I","The Circuitry of the Human Spinal Cord: Its Role in Motor Control and Movement Disorders","Pierrot-Deseilligny and Burke","2005",""
"UKJXVFTT","Amplitude modulation of the soleus H-reflex in the human during walking and standing","Capaday et al.","1986","10.1523/jneurosci.06-05-01308.1986"
"G6ZM8NXY","Segmental patterns of vestibular-mediated synaptic inputs to axial and limb motoneurons in the neonatal mouse assessed by optical recording","Kasumacic et al.","2010","10.1113/jphysiol.2010.195644"
"6XIG2NLN","The Effect of DOPA on the Spinal Cord 5. Reciprocal organization of pathways transmitting excitatory action to alpha motoneurones of flexors and extensors","Jankowska et al.","1967","10.1111/j.1748-1716.1967.tb03636.x"
"B3M335FJ","Motoneurons have different membrane resistance during fictive scratching and weight support.","Perreault","2002","10.1523/jneurosci.22-18-08259.2002"
"3SB4QSIF","A Spinal Mechanism Related to Left–Right Symmetry Reduces Cutaneous Reflex Modulation Independently of Speed During Split-Belt Locomotion","Hurteau and Frigon","2018","10.1523/JNEUROSCI.1082-18.2018"
"8W7UKZPJ","Integrative pattern of Ia synaptic actions on motoneurones of hip and knee muscles.","Eccles and Lundberg","1958","10.1113/jphysiol.1958.sp006101"
"CBWBJ5BV","A sensory signal related to left-right symmetry modulates intra- and interlimb cutaneous reflexes during locomotion in intact cats","Mari et al.","2023","10.3389/fnsys.2023.1199079"
"KVUZC7GU","LOCOMOTOR CIRCUITS IN THE MAMMALIAN SPINAL CORD","Kiehn","2006","10.1146/annurev.neuro.29.051605.112910"
"5IJUW683","Spinal interneurons providing input to the final common path during locomotion","Brownstone and Bui","2010","10.1016/b978-0-444-53613-6.00006-x"
"ZBI5R8X9","How Do We Approach the Locomotor Network in the Mammalian Spinal Cord?a","Hultborn et al.","1998","10.1111/j.1749-6632.1998.tb09039.x"
"HR9H9J8Z","Parallel reflex pathways from flexor muscle afferents evoking resetting and flexion enhancement during fictive locomotion and scratch in the cat.","Stecina et al.","2005","10.1113/jphysiol.2005.095505"
"8W9ZHS8D","Neuromechanics: an integrative approach for understanding motor control.","Nishikawa et al.","2007","10.1093/icb/icm024"
"WDQ262NK","The role of the motor cortex in the control of accuracy of locomotor movements in the cat.","Beloozerova and Sirota","1993","10.1113/jphysiol.1993.sp019498"
"MCU88JT6","Control of walking and running by means of electric stimulation of the midbrain","Shik et al.","1966",""
"2R4PG7HC","The brain has a body: adaptive behavior emerges from interactions of nervous system, body and environment.","Chiel and Beer","1997","10.1016/s0166-2236(97)01149-1"
"LYDY4DUC","Neuromechanical model of praying mantis explores the role of descending commands in pre-strike pivots.","Szczecinski et al.","2015","10.1088/1748-3190/10/6/065005"
"96WEH7YJ","Analytical CPG model driven by limb velocity input generates accurate temporal locomotor dynamics.","Yakovenko et al.","2018","10.7287/peerj.preprints.26734v1"
"X6I4YC75","A controller for continuous wave peristaltic locomotion","Boxerbaum et al.","2011","10.1109/iros.2011.6094954"
"266BY2HT","Sensory-evoked perturbations of locomotor activity by sparse sensory input: a computational study","Bui and Brownstone","2015","10.1152/jn.00866.2014"
"WUNEZFCJ","Motor circuits in action: specification, connectivity, and function","Arber","2012","10.1016/j.neuron.2012.05.011"
"IRVPFS35","The CPGs for Limbed Locomotion-Facts and Fiction.","Grillner and Kozlov","2021","10.3390/ijms22115882"
"G358BIIV","Deletions of Rhythmic Motoneuron Activity During Fictive Locomotion and Scratch Provide Clues to the Organization of the Mammalian Central Pattern Generator","Lafrenière-Roula et al.","2005","10.1152/jn.00216.2005"
"JTN9IW98","Neuromechanical Model of Rat Hind Limb Walking with Two Layer CPGs and Muscle Synergies","Deng et al.","2018","10.1007/978-3-319-95972-6_15"
"BPNNH6YJ","Microstimulation of the medullary reticular formation during fictive locomotion.","Perreault et al.","1994","10.1152/jn.1994.71.1.229"
"548ZDKKX","Control of fore- and hindlimb movements and their coordination during quadrupedal locomotion across speeds in adult spinal cats","Audet et al.","2022","10.1089/neu.2022.0042"
"BKB8XLHW","The locomotion of the low spinal cat. I. Coordination within a hindlimb.","Forssberg et al.","1980","10.1111/j.1748-1716.1980.tb06533.x"
"DVJE3QGP","Diversity of reticulospinal systems in mammals","Perreault and Giorgi","2019","10.1016/j.cophys.2019.03.001"
"49TKJ88S","Contribution of morphology and membrane resistance to integration of fast synaptic signals in two thalamic cell types","Perreault and Raastad","2006","10.1113/jphysiol.2006.113043"
"D9ZBLGKV","Integration of posture and locomotion in acute decerebrate cats and in awake, freely moving cats","Mori","1987","10.1016/0301-0082(87)90010-4"
