"id","title","author","year","animals","DOI"
"rec01Sym3p8O4bSMn","Locomotor activity in spinal cord-injured persons","Dietz","2004","Human","10.1152/japplphysiol.00942.2003"
"rec0k5AJjSxNrEexP","RHYTHMIC PATTERNS IN THE THORACIC NERVE CORD OF THE STICK INSECT INDUCED BY PILOCARPINE","Büschges","1995","Stick Insect","10.1242/jeb.198.2.435"
"rec2gECWIzFDn4tsj","What mechanisms coordinate leg movement in walking arthropods?","Cruse","1990","Arthropods","10.1016/0166-2236(90)90057-H"
"rec2jytMTqUIEJMaK","Synaptic control of hindlimb motoneurones during three forms of the fictive scratch reflex in the turtle.","Robertson and Stein","1988","Turtle","10.1113/jphysiol.1988.sp017281"
"rec2l3X3DRev8OZEt","Simulations of neuromuscular control in lamprey swimming","Ekeberg and Grillner","1999","Lamprey","10.1098/rstb.1999.0441"
"rec3237UGETrSD0Uw","Modeling the spinal cord neural circuitry controlling cat hindlimb movement during locomotion","Ivashko","2003","Cat","10.1016/S0925-2312(02)00832-9"
"rec5nlSDkEYm0W4Zs","Organization of mammalian locomotor rhythm and pattern generation","McCrea and Rybak","2008","Cat;Mammals","10.1016/j.brainresrev.2007.08.006"
"rec6EhQhpWHDNDPX5","Modulation of forelimb and hindlimb muscle activity during quadrupedal tied-belt and split-belt locomotion in intact cats","Frigon","2015","Cat","10.1016/j.neuroscience.2014.12.084"
"rec6biPs0jRaVO5Wj","Intra-muscle Synergies Stabilizing Reflex-mediated Force Changes","Madarshahian","2022","Human","10.1016/j.neuroscience.2022.10.009"
"rec6lfBtg6uUvOxsZ","The neuromechanical tuning hypothesis","Prochazka and Yakovenko","2007","Mammals","10.1016/S0079-6123(06)65016-4"
"rec78NasDfISVsyLl","Modular organization of murine locomotor pattern in the presence and absence of sensory feedback from muscle spindles","Santuz","2019","Mice","10.1113/jp277515"
"rec7kjoASidTkVaOM","Degradation of mouse locomotor pattern in the absence of proprioceptive sensory feedback","Akay","2014","Mice","10.1073/pnas.1419045111"
"rec8WdUONYgfvw1zw","A Role for Hip Position in Initiating the Swing-to-Stance Transition in Walking Cats","McVea","2005","Cat","10.1152/jn.00511.2005"
"rec8jxlUJWMZw73UO","Control of oscillation periods and phase durations in half-center central pattern generators: a comparative mechanistic analysis","Daun","2009","","10.1007/s10827-008-0124-4"
