match(doi_or_key),source,old_display_author,new_primary,secondary_authors,primary_changed
10.1152/japplphysiol.00942.2003,orig99,Dietz,Dietz and Harkema,,YES
10.1242/jeb.198.2.435,orig99,Büschges,Büschges,Schmitz; Bässler1,no
10.1016/0166-2236(90)90057-h,orig99,Cruse,Cruse,,no
10.1113/jphysiol.1988.sp017281,orig99,Robertson and Stein,Robertson and Stein,,no
10.1098/rstb.1999.0441,orig99,Ekeberg and Grillner,Leeuwen,Ekeberg; Grillner,YES
10.1016/s0925-2312(02)00832-9,orig99,Ivashko,Ivashko,Prilutsky; Markin; Chapin; Rybak,no
10.1016/j.brainresrev.2007.08.006,orig99,McCrea and Rybak,McCrea and Rybak,,no
10.1016/j.neuroscience.2014.12.084,orig99,Frigon,Frigon,Thibaudier; Hurteau,no
10.1016/j.neuroscience.2022.10.009,orig99,Madarshahian,Madarshahian,Ricotta; Latash,no
10.1016/s0079-6123(06)65016-4,orig99,Prochazka and Yakovenko,Prochazka,Yakovenko; Cisek; Drew; Kalaska,YES
10.1113/jp277515,orig99,Santuz,Santuz,Akay; Mayer; Wells; Schroll; Arampatzis,no
10.1073/pnas.1419045111,orig99,Akay,Akay,Tourtellotte; Arber; Jessell,no
10.1152/jn.00511.2005,orig99,McVea,McVea,Donelan; Tachibana; Pearson,no
10.1007/s10827-008-0124-4,orig99,Daun,Daun,Rubin; Rybak,no
10.1007/978-1-4615-0713-0_40,orig99,Lam,Lam and Pearson,,YES
10.1007/s00422-013-0573-3,orig99,Szczecinski,Szczecinski,Brown; Bender; Quinn; Ritzmann,no
10.1016/j.isci.2022.104083,orig99,Kohler,Kohler,Bengtsson; Stratmann; Röhrbein; Knoll; Albu-Schäffer; Jörntell,no
10.1523/jneurosci.3042-16.2017,orig99,Hurteau,Hurteau,Thibaudier; Dambreville; Chraibi; Desrochers; Telonio; Frigon,no
10.1152/physrev.00015.2019,orig99,Grillner and El Manira,Grillner and El Manira,,no
10.1113/jp270121,orig99,Shevtsova,Shevtsova,Talpalar; Markin; Harris-Warrick; Kiehn; Rybak,no
10.1016/s0166-2236(03)00073-0,orig99,Poppele and Bosco,Poppele and Bosco,,no
10.1371/journal.pcbi.1007804,orig99,Schilling and Cruse,Schilling and Cruse,,no
10.1523/jneurosci.3288-17.2018,orig99,Hurteau,Hurteau,Thibaudier; Dambreville; Danner; Rybak; Frigon,no
10.1007/s00359-014-0968-1,orig99,Ayali,Ayali,Couzin-Fuchs; David; Gal; Holmes; Knebel,no
10.3390/ijms23105541,orig99,Shevtsova,Shevtsova,Li; Singh; Dougherty; Rybak,no
10.1177/105971239300100404,orig99,Espenschied,Espenschied,Chiel; Quinn; Beer,no
10.1016/j.tins.2006.08.007,orig99,Pearson,Pearson,Ekeberg; Büschges,no
10.1152/jn.00216.2017,orig99,Nichols,Nichols,,no
10.1016/0006-8993(80)90206-1,orig99,Duysens,Duysens and Pearson,,YES
10.1007/bf00228410,orig99,Gossard,Gossard,Brownstone; Barajon; Hultborn,no
10.1016/j.brainresrev.2007.06.014,orig99,Pearson,Pearson,,no
10.1113/jphysiol.1971.sp009487,orig99,Hultborn,Hultborn,Jankowska; Lindström,no
10.1016/j.cub.2016.06.070,orig99,Tuthill and Wilson,Tuthill and Wilson,,no
10.3389/fnbot.2017.00018,orig99,Hunt,Hunt,Szczecinski; Quinn,no
10.1113/jp272437,orig99,Shevtsova and Rybak,Shevtsova and Rybak,,no
10.1088/1748-3190/10/5/055004,orig99,Hunt,Hunt,Schmidt; Fischer; Quinn,no
10.1016/0301-0082(92)90024-9,orig99,JANKOWSKA,Jankowska,,no
10.1038/nrn939,orig99,Dietz,Dietz,,no
10.1098/rspb.2017.0290,orig99,Yokoyama,Yokoyama,Ogawa; Shinya; Kawashima; Nakazawa,no
10.1152/jn.00419.2015,orig99,Dambreville,Dambreville,Labarre; Thibaudier; Hurteau; Frigon,no
10.3389/fnins.2020.598888,orig99,Latash,Latash,Lecomte; Danner; Frigon; Rybak; Molkov,no
10.1641/0006-3568(2000)050[0023:iwabar]2.3.co;2,orig99,Ritzmann,Ritzmann,Quinn; Watson; Zill,no
10.1146/annurev-neuro-082321-025137,orig99,Leiras,Leiras,Cregg; Kiehn,no
10.1113/jp277018,orig99,Desrochers,Desrochers,Harnie; Doelman; Hurteau; Frigon,no
10.1152/physrev.2000.80.1.83,orig99,Duysens,Duysens,Clarac; Cruse,no
10.1113/jphysiol.2003.057174,orig99,Ivanenko,Ivanenko,Poppele; Lacquaniti,no
10.1016/j.humov.2007.01.005,orig99,Minassian,Minassian,Persy; Rattay; Pinter; Kern; Dimitrijevic,no
10.1113/jphysiol.2006.118711,orig99,Rybak,Rybak,Stecina; Shevtsova; McCrea,no
10.7554/elife.31050,orig99,Danner,Danner,Shevtsova; Frigon; Rybak,no
10.1007/bf00235671,orig99,Grillner and Zangger,Grillner and Zangger,,no
10.1016/0006-8993(75)90974-9,orig99,Feldman and Orlovsky,Feldman and Orlovsky,,no
10.1016/j.neuron.2015.02.042,orig99,Ting,Ting,Chiel; Trumbower; Allen; McKay; Hackney; Kesar,no
10.1007/978-3-319-22979-9_21,orig99,Hunt,Hunt,Szczecinski; Andrada; Fischer; Quinn,no
10.1007/s00422-012-0543-1,orig99,Bicanski,Bicanski,Ryczko; Knuesel; Harischandra; Charrier; Ekeberg; Cabelguen; Ijspeert,no
10.1113/jphysiol.1995.sp020871,orig99,Guertin,Guertin,Angel; Perreault; McCrea,no
10.1016/j.asd.2015.07.001,orig99,Sasha N. Zill,Zill,Chaudhry; Büschges; Schmitz,YES
10.1007/978-3-319-09435-9_13,orig99,Hunt,Hunt,Schmidt; Fischer; Quinn,no
10.1109/tnsre.2010.2047592,orig99,Geyer and Herr,Geyer and Herr,,no
10.1007/s00422-006-0112-6,orig99,Verdaasdonk,Verdaasdonk,Koopman; Van der Helm,no
10.1016/j.cub.2011.05.029,orig99,Buschges,Büschges,Scholz; El Manira,YES
10.1016/j.jneumeth.2010.01.005,orig99,Cofer,Cofer,Cymbalyuk; Reid; Zhu; Heitler; Edwards,no
10.1016/s0079-6123(06)65015-2,orig99,McCrea and Rybak,McCrea and Rybak,,no
10.1002/cphy.c210020,orig99,Frigon,Frigon,Akay; Prilutsky,no
10.1152/jn.1996.75.3.1126,orig99,Hiebert,Hiebert,Whelan; Procházka; Pearson,no
10.1152/jn.2001.86.3.1321,orig99,Lam,Lam and Pearson,,YES
10.1038/5721,orig99,Tresch,Tresch,Saltiel; Bizzi,no
10.1152/jn.01054.2007,orig99,Kargo,Kargo,Ramakrishnan; Hart; Rome; Giszter,no
10.1093/brain/awu372,orig99,Danner,Danner,Hofstoetter; Freundl; Binder; Mayr; Rattay; Minassian,no
10.1016/j.conb.2010.09.004,orig99,Kiehn,Kiehn,,no
10.1016/j.brainresrev.2007.06.025,orig99,Brownstone and Wilson,Brownstone and Wilson,,no
10.1152/jn.1997.77.6.3226,orig99,Prochazka,Prochazka,Gillard; Bennett,no
10.1007/978-1-4939-3267-2_5,orig99,Shevtsova,Shevtsova,Hamade; Chakrabarty; Markin; Prilutsky; Rybak; Edwards,no
10.1016/j.brainresrev.2007.06.028,orig99,Büschges,Büschges,Akay; Gabriel; Schmidt,no
10.1016/j.asd.2004.05.004,orig99,Dürr,Dürr,Schmitz; Cruse,no
10.1038/nrn.2016.9,orig99,Kiehn,Kiehn,,no
10.1093/brain/119.6.1809,orig99,Nathan,Nathan,Smith; Deacon,no
10.1177/0278364917743320,orig99,"Van der Noot, Nicolas",Van der Noot,Ijspeert; Ronsse,YES
10.1113/jphysiol.2012.240895,orig99,Zhong,Zhong,Shevtsova; Rybak; Harris-Warrick,no
10.1113/jp272740,orig99,Frigon,Frigon,Desrochers; Thibaudier; Hurteau; Dambreville,no
10.1152/jn.00160.2014,orig99,D’Angelo,D'Angelo,Thibaudier; Telonio; Hurteau; Kuczynski; Dambreville; Frigon,YES
10.1152/jn.1999.81.2.758,orig99,HIEBERT,Hiebert and Pearson,,YES
10.1016/s0166-2236(02)02173-2,orig99,Capaday,Capaday,,no
10.1007/bf00249807,orig99,Conway,Conway,Hultborn; Kiehn,no
10.1002/cphy.c170036,orig99,Proske,Proske and Gandevia,,YES
10.1016/s1388-2457(03)00120-2,orig99,Dietz,Dietz,,no
10.1111/j.1469-7793.2001.0041b.x,orig99,McCrea,McCrea,,no
10.1016/j.cois.2015.07.004,orig99,Ayali,Ayali,Borgmann; Büschges; Couzin-Fuchs; Daun-Gruhn; Holmes,no
