doi,title,staged_title_match,zot_user_key,zot_user_pdf,zot_group_key,zot_group_pdf,airtable_id,airtable_has_file,Downloaded,Attached
10.1002/9781118133880.hop203007,Comparative Locomotor Systems,,,FALSE,,FALSE,recrLp5Yn36F0aMt2,no,x -> attached,y 2026-09-16
10.1002/9781118873397.ch12,"Muscle, Biomechanics, and Implications for Neural Control",,,FALSE,,FALSE,recMLbRa9efnWHXEx,no,x -> attached,y 2026-09-16
10.1002/9781118873397.ch9,Sensory Feedback in the Control of Posture and Locomotion,,,FALSE,,FALSE,recyIH6OhD7EnhIy6,no,x -> attached,y 2026-09-16
10.1002/cphy.c100086,Sensory Systems in the Control of Movement,,,FALSE,,FALSE,recJ3ZtAYEvlGiThj,no,x -> attached,y 2026-09-16
10.1002/cphy.cp010226,"Control of Locomotion in Bipeds, Tetrapods, and Fish",,,FALSE,,FALSE,recLKbcEm4la8JtDV,no,x -> attached,y 2026-09-16
10.1002/cphy.cp120103,Proprioceptive Feedback and Movement Regulation,,,FALSE,,FALSE,recXastPRIyZzzaN1,no,x -> attached,y 2026-09-16
10.1002/cphy.cp120105,Neural Control of Stereotypic Limb Movements,,,FALSE,,FALSE,recgzIOzQxO3lmhT2,no,x -> attached,y 2026-09-16
10.1002/jmor.1051410102,The cat step cycle: Hind limb joint angles and muscle lengths during unrestraine,,,FALSE,,FALSE,recms0RLDKCq2z6is,no,x -> attached,y 2026-09-16
10.1007/978-0-387-77064-2_36,The Implications of Force Feedback for the ╬╗ Model,,,FALSE,,FALSE,recvuLXfmP2ns7vAO,no,x -> attached,y 2026-09-16
10.1007/978-1-0716-1006-0_758,Vertebrate Pattern Generation: Overview,,,FALSE,,FALSE,reckgJeVmfQqcEZhs,no,"Chapter of ""Encyclopedia of Computational neuroscience, 2nd Edition""",
10.1007/978-1-4614-7320-6_49-2,Two-Level Model of Mammalian Locomotor CPG,,,FALSE,,FALSE,recDSLrNhTr2NsyMo,no,no,
10.1007/978-1-4615-0713-0_40,The Role of Proprioceptive Feedback in the Regulation and Adaptation of Locomoto,,,FALSE,,FALSE,rec9QuN0QkmKaK8nF,yes,x -> attached,y 2026-09-16
10.1007/978-1-4757-0964-3,Neural control of locomotion,,,,,FALSE,recyLcXLiTOHjMQue,no,no,
10.1007/978-1-4757-0964-3_21,Function of Segmental Reflexes in the Control of Stepping in Cockroaches and Cat,,,,,FALSE,recq4D7mpZmWJIdAz,no,x -> attached,y 2026-09-16
10.1007/978-1-4939-3267-2_10,Computing Motion Dependent Afferent Activity During Cat Locomotion Using a Forwa,,,,,FALSE,recEnR0pqtUweSuQz,no,x -> attached,y 2026-09-16
10.1007/978-1-4939-3267-2_8,Neuromusculoskeletal Modeling for the Adaptive Control of Posture During Locomot,,,,,,recJ988LEyoLACI7e,no,x -> attached,y 2026-09-16
10.1007/978-1-62703-197-4_8,The Cat Model of Spinal Cord Injury,,,FALSE,,,recJtJy4Wyyr4Lyjv,no,x -> attached,y 2026-09-16
10.1007/978-3-030-24741-6_34,Analyzing the Interplay Between Local CPG Activity and Sensory Signals for Inter,,,FALSE,,,recwIiaV3T7VT6UtQ,no,x -> attached,y 2026-09-16
10.1007/978-3-030-41878-6_9,Motor Systems,,,,,FALSE,recVXrmH9NwbZIb2Z,no,no,
10.1007/978-3-030-64313-3_12,Robotics Application of a Method for Analytically Computing Infinitesimal Phase ,,,,,FALSE,rec30h0ZO39QemhM4,no,no,
10.1007/978-3-030-64313-3_30,A Synthetic Nervous System Model of the Insect Optomotor Response,,,,,FALSE,rec2BZRpatIkJvjp0,no,no,
10.1007/978-3-030-64313-3_38,Using Animatlab for Neuromechanical Analysis: Linear Hill Parameter Calculation,,,,,FALSE,recx8H3sgNvo0E3rK,no,no,
10.1007/978-3-030-64313-3_7,Kinematic and Kinetic Analysis of a Biomechanical Model of Rat Hind Limb with Bi,,,,,FALSE,recE58oyIqSq818ko,no,no,
10.1007/978-3-319-09435-9_15,Simulated Neural Dynamics Produces Adaptive Stepping and Stable Transitions in a,,,,,FALSE,recC76WYNaaRhRz3f,no,x -> attached,y 2026-09-16
10.1007/978-3-319-09435-9_26,Neuromechanical Mantis Model Replicates Animal Postures via Biological Neural Mo,,,,,FALSE,recNw2LUeZ0JpVsek,no,no,
