doi,title,crossref_author_year,pdf_file
10.1002/9781118133880.hop203007,Comparative Locomotor Systems,Fouad 2012,fouad2012.pdf
10.1002/9781118873397.ch12,"Muscle, Biomechanics, and Implications for Neural Contr",Ting 2017,ting2017.pdf
10.1002/9781118873397.ch9,Sensory Feedback in the Control of Posture and Locomoti,Edwards 2017,edwards2017.pdf
10.1002/cphy.c100086,Sensory Systems in the Control of Movement,Prochazka 2012,prochazka2012.pdf
10.1002/cphy.cp010226,"Control of Locomotion in Bipeds, Tetrapods, and Fish",Grillner 1981,grillner1981.pdf
10.1002/cphy.cp120103,Proprioceptive Feedback and Movement Regulation,Prochazka 1996,prochazka1996.pdf
10.1002/cphy.cp120105,Neural Control of Stereotypic Limb Movements,Rossignol 1996,rossignol1996.pdf
10.1002/jmor.1051410102,The cat step cycle: Hind limb joint angles and muscle l,Goslow 1973,goslow1973.pdf
10.1007/978-0-387-77064-2_36,The Implications of Force Feedback for the ╬╗ Model,Nichols 2009,nichols2009.pdf
10.1007/978-1-4615-0713-0_40,The Role of Proprioceptive Feedback in the Regulation a,Lam 2002,lam2002.pdf
10.1007/978-1-4757-0964-3_21,Function of Segmental Reflexes in the Control of Steppi,Pearson 1976,pearson1976.pdf
10.1007/978-1-4939-3267-2_10,Computing Motion Dependent Afferent Activity During Cat,Prilutsky 2015,prilutsky2015.pdf
10.1007/978-1-4939-3267-2_8,Neuromusculoskeletal Modeling for the Adaptive Control ,Aoi 2015,aoi2015.pdf
10.1007/978-1-62703-197-4_8,The Cat Model of Spinal Cord Injury,Frigon 2012,frigon2012.pdf
10.1007/978-3-030-24741-6_34,Analyzing the Interplay Between Local CPG Activity and ,Nourse 2019,nourse2019.pdf
10.1007/978-3-319-09435-9_15,Simulated Neural Dynamics Produces Adaptive Stepping an,Klein 2014,klein2014.pdf
10.1007/978-3-319-12913-6_8,"Sensorimotor Integration in the Spinal Cord, from Behav",Wyart 2015,wyart2015.pdf
