doi,source,old_display_author,copies,libraries,staging_or_local
10.1002/cne.20711,rest383,├ülvarez et al.,1,groups/735051,C:\Users\Ben Bolen\Zotero\storage\7ZVT46ZE\Francisco J. Álvarez et al. - 2005 - Postnatal Phenotype and Localization of Spinal Cor.pdf
10.1002/cne.23904,rest383,Sivertsen et al.,2,"groups/735051,users/0",C:\Users\Ben Bolen\Zotero\storage\3IRYTQQV\Magne Sand Sivertsen et al. - 2016 - Pontine reticulospinal projections in the neonatal.pdf
10.1002/cphy.c170036,orig99,Proske,1,groups/735051,C:\Users\Ben Bolen\Zotero\storage\MTX98ELR\Proske and Gandevia - 2018 - Kinesthetic Senses.pdf
10.1002/cphy.c210020,orig99,Frigon,1,groups/735051,C:\Users\Ben Bolen\Zotero\storage\FMTH7X8Y\Frigon et al. - 2021 - Control of Mammalian Locomotion by Somatosensory F.pdf
10.1002/jnr.24791,rest383,Merlet et al.,2,"groups/735051,users/0",C:\Users\Ben Bolen\Zotero\storage\AE2VEALH\Merlet et al. - 2021 - Cutaneous inputs from perineal region facilitate s.pdf
10.1007/978-1-0716-1006-0_48,rest383,Harris-Warrick and HarrisΓÇÉWarrick,1,groups/735051,"C:\Users\Ben Bolen\Zotero\storage\LWI46WF3\Harris‐Warrick, Ronald M. - 2022 - Locomotor Pattern Generation in the Rodent Spinal .pdf"
10.1007/978-1-4939-3267-2_12,rest383,Bondy et al.,2,groups/735051,C:\Users\Ben Bolen\Zotero\storage\33SMU8LT\317176159_Control_of_Cat_Walking_and_Paw-Shake_by_a_Multifunctional_Central_Pattern_Generator.pdf
10.1007/978-1-4939-3267-2_2,rest383,Markin et al.,2,groups/735051,C:\Users\Ben Bolen\Zotero\storage\GUPC462T\Markin et al. - 2016 - A Neuromechanical Model of Spinal Control of Locom.pdf
10.1007/978-1-4939-3267-2_5,orig99,Shevtsova,1,groups/735051,C:\Users\Ben Bolen\Zotero\storage\3W26RRLF\Shevtsova et al. - 2016 - Modeling the Organization of Spinal Cord Neural Ci.pdf
10.1007/978-3-319-09435-9_13,orig99,Hunt,1,groups/735051,C:\Users\Ben Bolen\Zotero\storage\YTWALTLA\Hunt et al. - 2014 - Neuromechanical Simulation of an Inter-leg Control.pdf
10.1007/978-3-319-22979-9_21,orig99,Hunt,3,"groups/735051,users/0",C:\Users\Ben Bolen\Zotero\storage\6FZWMDBS\Hunt et al. - 2015 - Using Animal Data and Neural Dynamics to Reverse E.pdf
10.1007/978-3-319-63537-8_15,rest383,Hilts et al.,1,groups/735051,C:\Users\Ben Bolen\Zotero\storage\WGUTHSQ9\Hilts et al. - 2017 - Simulation of Human Balance Control Using an Inver.pdf
10.1007/978-3-319-95972-6_21,rest383,Hilts et al.,1,groups/735051,C:\Users\Ben Bolen\Zotero\storage\UWJWFZDI\Wade Hilts et al. - 2000 - Emulating Balance Control Observed in Human Test S.pdf
10.1007/978-3-319-95972-6_57,rest383,Young et al.,1,groups/735051,C:\Users\Ben Bolen\Zotero\storage\W4UX9AHU\Young et al. - 2018 - A Neuromechanical Rat Model with a Complete Set of.pdf
10.1007/bf00227344,rest383,Dietz et al.,2,"groups/735051,users/0",C:\Users\Ben Bolen\Zotero\storage\3HM2QQVU\Volker Dietz et al. - 1994 - HUMAN NEURONAL INTERLIMB COORDINATION DURING SPLIT.pdf
10.1007/bf00235671,orig99,Grillner and Zangger,1,groups/735051,C:\Users\Ben Bolen\Zotero\storage\CLVRQIHL\Grillner and Zangger - 1979 - On the central generation of locomotion in the low.pdf
10.1007/s00359-014-0968-1,orig99,Ayali,1,groups/735051,C:\Users\Ben Bolen\Zotero\storage\NFCQQDCR\Ayali et al. - 2015 - Sensory feedback in cockroach locomotion current .pdf
10.1007/s00422-006-0112-6,orig99,Verdaasdonk,1,groups/735051,C:\Users\Ben Bolen\Zotero\storage\5A8XR6YQ\Verdaasdonk et al. - 2007 - Resonance tuning in a neuro-musculo-skeletal model.pdf
10.1007/s00422-012-0543-1,orig99,Bicanski,2,groups/735051,C:\Users\Ben Bolen\Zotero\storage\5MLUL97T\Bicanski et al. - 2013 - Decoding the mechanisms of gait generation in sala.pdf
10.1007/s00422-013-0573-3,orig99,Szczecinski,3,groups/735051,C:\Users\Ben Bolen\Zotero\storage\H8RHPHL9\Szczecinski et al. - 2013 - A neuromechanical simulation of insect walking and.pdf
10.1007/s00422-017-0711-4,rest383,Szczecinski et al.,2,"groups/735051,users/0",C:\Users\Ben Bolen\Zotero\storage\8EWRN9CN\Szczecinski et al. - 2017 - Design process and tools for dynamic neuromechanic.pdf
10.1007/s00422-020-00851-9,rest383,WebsterΓÇÉWood et al.,1,groups/735051,C:\Users\Ben Bolen\Zotero\storage\PWTVJSQA\Victoria A. Webster‐Wood et al. - 2020 - Control for multifunctionality bioinspired contro.pdf
10.1007/s10489-021-02275-9,rest383,Husbands et al.,1,groups/735051,C:\Users\Ben Bolen\Zotero\storage\TE4WTMMS\Husbands et al. - 2021 - Recent advances in evolutionary and bio-inspired a.pdf
10.1007/s10827-008-0124-4,orig99,Daun,1,groups/735051,C:\Users\Ben Bolen\Zotero\storage\QLCZ56SZ\Daun et al. - 2009 - Control of oscillation periods and phase durations.pdf
10.1007/s10827-014-0519-3,rest383,Shaw et al.,2,"groups/735051,users/0",C:\Users\Ben Bolen\Zotero\storage\5KVPMN6U\Kendrick M. Shaw et al. - 2015 - The significance of dynamical architecture for ada.pdf
10.1016/0006-8993(75)90401-1,rest383,Grillner and Zangger,1,groups/735051,C:\Users\Ben Bolen\Zotero\storage\YFGAZUZV\Grillner and Zangger - 1975 - How detailed is the central pattern generation for locomotion.pdf
10.1016/0006-8993(75)90974-9,orig99,Feldman and Orlovsky,1,groups/735051,C:\Users\Ben Bolen\Zotero\storage\7KFVCPQR\Feldman and Orlovsky - 1975 - Activity of interneurons mediating reciprocal 1a i.pdf
10.1016/0166-2236(90)90057-h,orig99,Cruse,1,groups/735051,C:\Users\Ben Bolen\Zotero\storage\TTN67GPM\Cruse - 1990 - What mechanisms coordinate leg movement in walking.pdf
10.1016/0166-2236(95)94494-p,orig99,Bizzi,1,groups/735051,C:\Users\Ben Bolen\Zotero\storage\V8N5VKMV\Bizzi et al. - 1995 - Modular organization of motor behavior in the frog.pdf
10.1016/0301-0082(92)90024-9,orig99,JANKOWSKA,2,groups/735051,"C:\Users\Ben Bolen\Zotero\storage\FCKPJHRU\Jankowska, E. Interneuronal relay in pathway.pdf"
10.1016/j.arcontrol.2019.04.004,rest383,Duysens and Forner-Cordero,1,groups/735051,C:\Users\Ben Bolen\Zotero\storage\M64JTJ5S\Jaak Duysens et al. - 2019 - A controller perspective on biological gait contro.pdf
10.1016/j.asd.2004.05.001,rest383,Ritzmann et al.,1,groups/735051,C:\Users\Ben Bolen\Zotero\storage\TQHGQSFG\Ritzmann et al. - 2004 - Convergent evolution and locomotion through comple.pdf
10.1016/j.asd.2004.05.004,orig99,Dürr,1,groups/735051,C:\Users\Ben Bolen\Zotero\storage\VMSHV6QN\Dürr et al. - 2004 - Behaviour-based modelling of hexapod locomotion l.pdf
10.1016/j.brainresbull.2007.03.010,rest383,Windhorst,1,groups/735051,C:\Users\Ben Bolen\Zotero\storage\WKFPQ4QC\Windhorst - 2007 - Muscle proprioceptive feedback and spinal networks.pdf
10.1016/j.brainresrev.2007.06.014,orig99,Pearson,1,groups/735051,C:\Users\Ben Bolen\Zotero\storage\IFR3L86E\Pearson - 2008 - Role of sensory feedback in the control of stance duration in walking cats.pdf
10.1016/j.brainresrev.2007.06.022,rest383,Jankowska,5,"groups/735051,users/0",C:\Users\Ben Bolen\Zotero\storage\ESZT2H87\E. Jankowska and Jankowska - 2008 - Spinal interneuronal networks in the cat elementa.pdf
10.1016/j.brainresrev.2007.06.025,orig99,Brownstone and Wilson,1,groups/735051,C:\Users\Ben Bolen\Zotero\storage\D7VTPMJN\Brownstone and Wilson - 2008 - Strategies for delineating spinal locomotor rhythm.pdf
10.1016/j.brainresrev.2007.08.006,orig99,McCrea and Rybak,3,"groups/735051,users/0",C:\Users\Ben Bolen\Zotero\storage\EWNZK2VU\McCrea and Rybak - 2008 - Organization of mammalian locomotor rhythm and pat.pdf
10.1016/j.brainresrev.2009.08.002,rest383,Guertin,1,groups/735051,C:\Users\Ben Bolen\Zotero\storage\VCM2D3TS\Guertin - 2009 - The mammalian central pattern generator for locomo.pdf
10.1016/j.celrep.2018.08.095,rest383,Chopek et al.,2,"groups/735051,users/0",C:\Users\Ben Bolen\Zotero\storage\EFEIMKTA\Chopek et al. - 2018 - Sub-populations of Spinal V3 Interneurons Form Foc.pdf
10.1016/j.cois.2015.07.004,orig99,Ayali,1,groups/735051,C:\Users\Ben Bolen\Zotero\storage\MCWDAYF8\Ayali et al. - 2015 - The comparative investigation of the stick insect .pdf
10.1016/j.conb.2009.09.002,rest383,Tresch and Jarc,4,groups/735051,C:\Users\Ben Bolen\Zotero\storage\HIEVAMMZ\Matthew C. Tresch et al. - 2009 - The case for and against muscle synergies..pdf
10.1016/j.conb.2009.10.011,rest383,Grillner and Jessell,2,"groups/735051,users/0",C:\Users\Ben Bolen\Zotero\storage\3M6ICAMG\Sten Grillner et al. - 2009 - Measured motion searching for simplicity in spina.pdf
10.1016/j.conb.2010.09.004,orig99,Kiehn,1,groups/735051,C:\Users\Ben Bolen\Zotero\storage\T2V9CNJB\Kiehn - 2011 - Development and functional organization of spinal .pdf
10.1016/j.conb.2015.03.001,rest383,McLean and Dougherty,1,groups/735051,C:\Users\Ben Bolen\Zotero\storage\E4CLZKBS\David L. McLean et al. - 2015 - Peeling back the layers of locomotor control in th.pdf
10.1016/j.cub.2011.05.029,orig99,Buschges,1,groups/735051,C:\Users\Ben Bolen\Zotero\storage\EN8PPRGG\Büschges et al. - 2011 - New Moves in Motor Control.pdf
10.1016/j.cub.2016.06.070,orig99,Tuthill and Wilson,2,groups/735051,C:\Users\Ben Bolen\Zotero\storage\F3MI78ZF\Tuthill and Wilson - 2016 - Mechanosensation and adaptive motor control in ins.pdf
10.1016/j.humov.2007.01.005,orig99,Minassian,1,groups/735051,C:\Users\Ben Bolen\Zotero\storage\K7CMAN5H\Minassian et al. - 2007 - Human lumbar cord circuitries can be activated by .pdf
10.1016/j.isci.2022.104083,orig99,Kohler,1,groups/735051,C:\Users\Ben Bolen\Zotero\storage\UTK3NBGI\Kohler et al. - 2022 - Diversified physiological sensory input connectivi.pdf
10.1016/j.jneumeth.2010.01.005,orig99,Cofer,10,"groups/735051,users/0",C:\Users\Ben Bolen\Zotero\storage\HMU7XHUC\cofer2010_animatlab.pdf
10.1016/j.neunet.2008.03.014,rest383,Ijspeert,1,groups/735051,C:\Users\Ben Bolen\Zotero\storage\7NMTH7VS\Ijspeert - 2008 - Central pattern generators for locomotion control in animals and robots a review.pdf
10.1016/j.neuron.2006.11.008,rest383,Grillner,2,groups/735051,C:\Users\Ben Bolen\Zotero\storage\NVQV5H42\Sten Grillner and Grillner - 2006 - Biological Pattern Generation The Cellular and Co.pdf
10.1016/j.neuron.2008.08.009,rest383,Crone et al.,1,groups/735051,C:\Users\Ben Bolen\Zotero\storage\TADDEQM4\Steven A. Crone et al. - 2008 - Genetic Ablation of V2a Ipsilateral Interneurons D.pdf
10.1016/j.neuron.2008.09.027,rest383,Zhang et al.,1,groups/735051,C:\Users\Ben Bolen\Zotero\storage\66VKGB47\Ying Zhang et al. - 2008 - V3 spinal neurons establish a robust and balanced .pdf
10.1016/j.neuron.2011.07.011,rest383,Talpalar et al.,1,groups/735051,C:\Users\Ben Bolen\Zotero\storage\K4QIEY68\Adolfo E. Talpalar et al. - 2011 - Identification of Minimal Neuronal Networks Involv.pdf
10.1016/j.neuron.2013.02.007,rest383,Bui et al.,1,groups/735051,C:\Users\Ben Bolen\Zotero\storage\SNP7DVZX\Tuan V. Bui et al. - 2013 - Circuits for Grasping Spinal dI3 Interneurons Med.pdf
10.1016/j.neuron.2013.08.015,rest383,Dougherty et al.,2,"groups/735051,users/0",C:\Users\Ben Bolen\Zotero\storage\BN4UZ9HG\Kimberly J. Dougherty et al. - 2013 - Locomotor Rhythm Generation Linked to the Output o.pdf
