doi,source,old_display_author
10.1002/9781118133880.hop203007,rest383,Fouad et al.
10.1002/9781118873397.ch12,rest383,Ting and Chiel
10.1002/9781118873397.ch9,rest383,Edwards and Prilutsky
10.1002/cphy.c100086,rest383,Proch├ízka et al.
10.1002/cphy.cp010226,rest383,Grillner
10.1002/cphy.cp120103,rest383,Proch├ízka and Prochazka
10.1002/cphy.cp120105,rest383,Rossignol
10.1002/jmor.1051410102,rest383,Goslow et al.
10.1007/978-0-387-77064-2_36,rest383,Nichols and Ross
10.1007/978-1-0716-1006-0_758,rest383,Rybak and Ausborn
10.1007/978-1-4614-7320-6_49-2,rest383,Shevtsova
10.1007/978-1-4615-0713-0_40,orig99,Lam
10.1007/978-1-4757-0964-3,rest383,Herman et al.
10.1007/978-1-4757-0964-3_21,rest383,Pearson and Duysens
10.1007/978-1-4939-3267-2_10,rest383,Prilutsky et al.
10.1007/978-1-4939-3267-2_8,rest383,Aoi
10.1007/978-1-62703-197-4_8,rest383,Frigon
10.1007/978-3-030-24741-6_34,rest383,Nourse et al.
10.1007/978-3-030-41878-6_9,rest383,Donkelaar
10.1007/978-3-030-64313-3_12,rest383,Fitzpatrick et al.
10.1007/978-3-030-64313-3_30,rest383,Sedlackova et al.
10.1007/978-3-030-64313-3_38,rest383,Young et al.
10.1007/978-3-030-64313-3_7,rest383,Deng et al.
10.1007/978-3-319-09435-9_15,rest383,Klein et al.
10.1007/978-3-319-09435-9_26,rest383,Szczecinski et al.
10.1007/978-3-319-12913-6_8,rest383,Wyart and Knafo
10.1007/978-3-642-31525-1_4,rest383,Boxerbaum et al.
10.1007/978-94-010-0870-9_20,rest383,Duysens
10.1007/bf00204048,rest383,Taga
10.1007/bf00227094,rest383,Yang et al.
10.1007/bf00228156,rest383,Shefchyk et al.
10.1007/bf00228410,orig99,Gossard
10.1007/bf00229406,rest383,Pratt et al.
10.1007/bf00229407,rest383,Pratt et al.
10.1007/bf00230939,rest383,Pearson et al.
10.1007/bf00231254,rest383,Duysens et al.
10.1007/bf00231657,rest383,LaBella et al.
10.1007/bf00235825,rest383,Fleshman et al.
10.1007/bf00235875,rest383,Abraham et al.
10.1007/bf00236206,rest383,Noga et al.
10.1007/bf00237937,rest383,Wand et al.
10.1007/bf00239728,rest383,Duysens and Stein
10.1007/bf00241961,rest383,Whelan et al.
10.1007/bf00249807,orig99,Conway
10.1007/pl00007977,rest383,Ogihara and Yamazaki
10.1007/s002210050522,rest383,Schomburg et al.
10.1007/s002210050847,rest383,Burke
10.1007/s00422-003-0449-z,rest383,Yakovenko et al.
10.1007/s00422-006-0129-x,rest383,Frigon and Rossignol
10.1007/s00422-011-0446-6,rest383,Daun-Gruhn and B├╝schges
10.1007/s00422-017-0726-x,rest383,Szczecinski and Quinn
10.1007/s00422-019-00811-y,rest383,Naris et al.
10.1007/s00422-023-00970-z,digest20,
10.1007/s11055-023-01357-0,rest383,Veshchitskii et al.
10.1007/s11062-022-09927-7,rest383,Windhorst
10.1016/0006-8993(72)90007-8,rest383,Orlovsky
10.1016/0006-8993(75)91013-6,rest383,Forssberg et al.
10.1016/0006-8993(77)90710-7,rest383,Forssberg et al.
10.1016/0006-8993(78)90363-3,rest383,Schomburg and Behrends
10.1016/0006-8993(78)90493-6,rest383,Andersson et al.
10.1016/0006-8993(78)90973-3,rest383,Grillner and Rossignol
10.1016/0006-8993(80)90206-1,orig99,Duysens
10.1016/0006-8993(80)90207-3,rest383,Perret and Cabelguen
10.1016/0006-8993(87)91442-9,rest383,Barbeau and Rossignol
10.1016/0006-8993(90)90334-8,rest383,Gossard et al.
10.1016/0006-8993(93)90903-z,rest383,Duysens et al.
10.1016/0014-4886(86)90094-4,rest383,Lovely et al.
10.1016/0301-0082(86)90021-3,rest383,Armstrong
10.1016/0301-0082(89)90004-x,rest383,Proch├ízka and Prochazka
10.1016/0301-0082(96)00028-7,rest383,Whelan
10.1016/0304-3940(77)90187-2,rest383,Schomburg et al.
10.1016/0921-8890(96)00003-6,rest383,Espenschied et al.
10.1016/0959-4388(94)90139-2,rest383,Rossignol and Dubuc
10.1016/0959-4388(95)80107-3,rest383,Pearson
10.1016/b978-0-08-026814-9.50025-9,rest383,Lundberg
10.1016/b978-0-12-803766-9.00008-7,rest383,Proch├ízka et al.
10.1016/b978-0-12-805353-9.00098-x,rest383,Harkema et al.
10.1016/b978-0-12-816477-8.00011-9,rest383,Thiry et al.
10.1016/b978-0-12-816477-8.00013-2,rest383,Frigon
10.1016/b978-0-444-53825-3.00007-3,rest383,Gossard et al.
10.1016/b978-0-444-53825-3.00015-2,rest383,Yakovenko
10.1016/j.asd.2004.05.002,rest383,Ekeberg et al.
10.1016/j.asd.2015.07.001,orig99,Sasha N. Zill
10.1016/j.brainresrev.2007.06.028,orig99,Büschges
10.1016/j.brainresrev.2007.07.016,rest383,Dubuc et al.
10.1016/j.clinph.2010.01.039,rest383,Knikou
10.1016/j.conb.2015.01.011,rest383,Drew and Marigold
10.1016/j.conb.2023.102763,rest383,Dougherty
10.1016/j.cophys.2019.01.005,rest383,Deska-Gauthier and Zhang
10.1016/j.cub.2023.07.014,digest20,
10.1016/j.cub.2025.09.030,digest20,
10.1016/j.expneurol.2023.114496,digest20,
10.1016/j.neunet.2024.106422,digest20,
10.1016/j.neuroscience.2020.05.008,rest383,Akay
10.1016/j.neuroscience.2022.10.009,orig99,Madarshahian
10.1016/j.pneurobio.2004.04.003,rest383,Fouad and Pearson
10.1016/j.pneurobio.2006.04.001,rest383,Hultborn
10.1016/s0006-8993(96)00977-8,rest383,Stephens and Yang
10.1016/s0021-9290(01)00187-7,rest383,Duysens et al.
10.1016/s0065-2806(07)34004-6,rest383,B├╝schges and Gruhn
10.1016/s0074-7742(05)69005-8,rest383,Von Stetina et al.
10.1016/s0079-6123(03)43011-2,rest383,Yamaguchi
10.1016/s0079-6123(03)43012-4,rest383,Pearson
10.1016/s0079-6123(06)57016-5,rest383,Frigon and Rossignol
10.1016/s0079-6123(08)60803-1,rest383,Lundberg
10.1016/s0165-0173(98)00006-x,rest383,B├ñssler and B├╝schges
10.1016/s0165-0173(99)00008-9,rest383,Barbeau et al.
10.1016/s0301-0082(98)00081-1,rest383,Zehr et al.
10.1016/s0959-4388(98)80121-9,rest383,Beer et al.
10.1016/s0966-6362(99)00052-1,rest383,Dietz and Duysens
10.1016/s1044-5765(05)80026-0,rest383,Rossignol et al.
10.1023/a:1008920021246,rest383,Beer et al.
10.1023/a:1012478704769,rest383,Quinn et al.
10.1038/35049541,rest383,Jessell
10.1038/nature10538,rest383,Tripodi et al.
10.1038/nn.2482,rest383,H├ñgglund et al.
10.1038/nrn1137,rest383,Grillner
10.1038/s42003-024-06843-w,digest20,
10.1088/1748-3190/10/2/026001,rest383,Horchler et al.
10.1088/1748-3190/ab9e52,rest383,Goldsmith et al.
10.1093/acprof:oso/9780198524052.001.0001,rest383,Orlovsky et al.
10.1093/brain/awh252,rest383,Beres-Jones and Harkema
10.1098/rsos.240207,digest20,
10.1101/2025.11.11.687930,digest20,
10.1109/robot.1998.676345,rest383,Flannigan et al.
10.1109/robot.1998.676348,rest383,Nelson and Quinn
10.1109/robot.2007.363057,rest383,Rutter et al.
10.1109/wcecs.2008.25,rest383,Harkins et al.
10.1111/j.1748-1716.1967.tb03637.x,rest383,Jankowska et al.
10.1111/j.1748-1716.1969.tb04415.x,rest383,Engberg and Lundberg
10.1111/j.1748-1716.1980.tb06534.x,rest383,Forssberg et al.
10.1111/j.1748-1716.1981.tb06867.x,rest383,Andersson and Grillner
10.1111/j.1748-1716.1983.tb07267.x,rest383,Andersson and Grillner
10.1111/j.1748-1716.1984.tb07400.x,rest383,Grillner and Zangger
10.1111/j.1748-1716.1985.tb07612.x,rest383,Nilsson et al.
10.1111/j.1748-1716.2006.01651.x,rest383,Hultborn and Nielsen
10.1111/j.1749-6632.1998.tb09040.x,rest383,Jordan
10.1111/j.1749-6632.1998.tb09050.x,rest383,Pearson et al.
10.1111/j.1749-6632.1998.tb09062.x,rest383,Dimitrijevi─ç et al.
10.1113/jp286151,digest20,
10.1113/jp286808,digest20,
10.1113/jphysiol.1971.sp009487,orig99,Hultborn
10.1117/12.886413,rest383,Quinn et al.
10.1126/science.3975635,rest383,Grillner
10.1139/y04-043,rest383,Donelan and Pearson
10.1142/9789813207158_0025,rest383,Dalrymple and Mushahwar
10.1146/annurev.ne.16.030193.001405,rest383,Pearson and Kg
10.1146/annurev.physiol.62.1.723,rest383,Pearson
10.1152/jn.00104.2024,digest20,
10.1152/jn.00248.2023,digest20,
10.1152/jn.00331.2025,digest20,
10.1152/jn.00511.2005,orig99,McVea
10.1152/jn.1977.40.4.737,rest383,Duysens
10.1152/jn.1979.42.4.936,rest383,Forssberg
10.1152/jn.1980.44.3.475,rest383,McCrea et al.
10.1152/jn.1980.44.5.1024,rest383,Duysens and Loeb
10.1152/jn.1987.57.1.56,rest383,Pratt and Jordan
10.1152/jn.1989.62.5.1177,rest383,Gossard et al.
10.1152/jn.1990.64.3.756,rest383,Buford and Smith
10.1152/jn.1991.66.3.919,rest383,Drew
10.1152/jn.1993.69.6.2232,rest383,Perreault et al.
10.1152/jn.1993.70.3.1009,rest383,Pearson and Collins
10.1152/jn.1993.70.3.1102,rest383,Buford and Smith
10.1152/jn.1994.71.6.2074,rest383,Kriellaars et al.
10.1152/jn.1996.75.3.1126,orig99,Hiebert
10.1152/jn.90338.2008,rest383,Ross and Nichols
10.1162/neco.1992.4.3.356,rest383,Beer et al.
10.1177/0278364903022003003,rest383,Quinn et al.
10.1177/1073858404264680,rest383,Zehr and Duysens
10.1201/9781420038705.ch6,rest383,Yakovenko et al.
10.1371/journal.pcbi.1012101,digest20,
10.1371/journal.pcbi.1013494,digest20,
10.1515/revneuro-2017-0102,rest383,Steuer and Guertin
10.1523/jneurosci.2015-22.2023,digest20,
