doi,reason
10.1002/9781118133880.hop203007,no-oa-url
10.1002/9781118873397.ch12,no-oa-url
10.1002/9781118873397.ch9,no-oa-url
10.1002/cne.20711,no-oa-url
10.1002/cne.23904,no-oa-url
10.1002/cphy.c100086,no-oa-url
10.1002/cphy.c170036,no-oa-url
10.1002/cphy.c210020,no-oa-url
10.1002/cphy.cp010226,no-oa-url
10.1002/cphy.cp120103,no-oa-url
10.1002/cphy.cp120105,no-oa-url
10.1002/jmor.1051410102,no-oa-url
10.1002/jnr.24791,no-oa-url
10.1007/978-0-387-77064-2_36,no-oa-url
10.1007/978-1-0716-1006-0_48,no-oa-url
10.1007/978-1-0716-1006-0_758,no-oa-url
10.1007/978-1-4614-7320-6_49-2,no-oa-url
10.1007/978-1-4615-0713-0_40,no-oa-url
10.1007/978-1-4757-0964-3,no-oa-url
10.1007/978-1-4757-0964-3_21,no-oa-url
10.1007/978-1-4939-3267-2_10,no-oa-url
10.1007/978-1-4939-3267-2_12,no-oa-url
10.1007/978-1-4939-3267-2_2,no-oa-url
10.1007/978-1-4939-3267-2_5,no-oa-url
10.1007/978-1-4939-3267-2_8,no-oa-url
10.1007/978-1-62703-197-4_8,no-oa-url
10.1007/978-3-030-24741-6_34,no-oa-url
10.1007/978-3-030-41878-6_9,no-oa-url
10.1007/978-3-030-64313-3_12,no-oa-url
10.1007/978-3-030-64313-3_30,no-oa-url
10.1007/978-3-030-64313-3_38,no-oa-url
10.1007/978-3-030-64313-3_7,no-oa-url
10.1007/978-3-319-09435-9_13,no-oa-url
10.1007/978-3-319-09435-9_15,no-oa-url
10.1007/978-3-319-09435-9_26,no-oa-url
10.1007/978-3-319-12913-6_8,no-oa-url
10.1007/978-3-319-22979-9_21,no-oa-url
10.1007/978-3-319-63537-8_15,no-oa-url
10.1007/978-3-319-95972-6_21,no-oa-url
10.1007/978-3-319-95972-6_57,no-oa-url
10.1007/978-3-642-31525-1_4,no-oa-url
10.1007/978-94-010-0870-9_20,no-oa-url
10.1007/bf00204048,no-oa-url
10.1007/bf00227094,no-oa-url
10.1007/bf00228156,no-oa-url
10.1007/bf00228410,no-oa-url
10.1007/bf00229406,no-oa-url
10.1007/bf00229407,no-oa-url
10.1007/bf00230939,no-oa-url
10.1007/bf00231254,no-oa-url
10.1007/bf00231657,no-oa-url
10.1007/bf00235671,no-oa-url
10.1007/bf00235825,no-oa-url
10.1007/bf00235875,no-oa-url
10.1007/bf00236206,no-oa-url
10.1007/bf00237937,no-oa-url
10.1007/bf00239728,no-oa-url
10.1007/bf00241961,no-oa-url
10.1007/bf00249807,no-oa-url
10.1007/pl00007977,no-oa-url
10.1007/s002210050522,no-oa-url
10.1007/s002210050847,no-oa-url
10.1007/s00359-014-0968-1,no-oa-url
10.1007/s00422-003-0449-z,no-oa-url
10.1007/s00422-006-0129-x,no-oa-url
10.1007/s00422-011-0446-6,no-oa-url
10.1007/s00422-012-0543-1,no-oa-url
10.1007/s00422-013-0573-3,no-oa-url
10.1007/s00422-017-0711-4,no-oa-url
10.1007/s00422-017-0726-x,no-oa-url
10.1007/s00422-019-00811-y,no-oa-url
10.1007/s00422-020-00851-9,oa-url-blocked
10.1007/s10827-008-0124-4,no-oa-url
10.1007/s11055-023-01357-0,no-oa-url
10.1007/s11062-022-09927-7,no-oa-url
10.1016/0006-8993(72)90007-8,no-oa-url
10.1016/0006-8993(75)90401-1,no-oa-url
10.1016/0006-8993(75)90974-9,no-oa-url
10.1016/0006-8993(75)91013-6,no-oa-url
10.1016/0006-8993(77)90710-7,no-oa-url
10.1016/0006-8993(78)90363-3,no-oa-url
10.1016/0006-8993(78)90493-6,no-oa-url
10.1016/0006-8993(78)90973-3,no-oa-url
10.1016/0006-8993(80)90206-1,no-oa-url
10.1016/0006-8993(80)90207-3,no-oa-url
10.1016/0006-8993(87)91442-9,no-oa-url
10.1016/0006-8993(90)90334-8,no-oa-url
10.1016/0006-8993(93)90903-z,no-oa-url
10.1016/0014-4886(86)90094-4,no-oa-url
10.1016/0166-2236(90)90057-h,no-oa-url
10.1016/0166-2236(95)94494-p,no-oa-url
10.1016/0301-0082(86)90021-3,no-oa-url
10.1016/0301-0082(89)90004-x,no-oa-url
10.1016/0301-0082(92)90024-9,no-oa-url
10.1016/0301-0082(96)00028-7,no-oa-url
10.1016/0304-3940(77)90187-2,no-oa-url
10.1016/0921-8890(96)00003-6,no-oa-url
