doi,record_id,title,hunt_status
10.1109/72.392256,rec0JhHJw5aw4I0WQ,Emergent synchrony in locally coupled neural oscillators,no-oa-candidate
10.1016/s1095-6433(01)00461-5,rec0NooJ72wQsrPsZ,Biomechanics of fast-start swimming in fish,no-oa-candidate
10.1007/s002210050522,rec0Y7IJ9rNh4reiU,Flexor reflex afferents reset the step cycle during fictive locomotion in the cat,no-oa-candidate
10.1113/ep089826,rec0Z7X0ms5uDDukg,"Secondary endings of muscle spindles: Structure, reflex action, role in motor control and propriocep",no-oa-candidate
10.1152/jn.1998.79.4.1702,rec0ZhpvZiz4FURmL,"Forms of Forward Quadrupedal Locomotion. III. A Comparison of Posture, Hindlimb Kinematics, and Moto",no-oa-candidate
10.1242/jeb.049163,rec0gOKQ1VhT9Gdjz,Estimation of musculoskeletal models from in situ measurements of muscle action in the rat hindlimb,no-oa-candidate
10.1109/jra.1985.1087012,rec0llKB0yUSgmBMM,Automatic body regulation for maintaining stability of a legged vehicle during rough-terrain locomot,no-oa-candidate
10.1007/s10827-008-0120-8,rec0q70q4u7BD0dFE,Synchronization dynamics of two coupled neural oscillators receiving shared and unshared noisy stimu,no-oa-candidate
10.1016/j.ics.2004.05.129,rec0vkpo5bMCA2P9n,Bipedal walk using a Central Pattern Generator,no-oa-candidate
10.1113/jphysiol.1977.sp011864,rec0yvmhmcGcqScMI,Ia afferent activity during a variety of voluntary movements in the cat,no-oa-candidate
10.1152/jn.01272.2007,rec18biwcKDeZu794,Identification of the Plant for Upright Stance in Humans: Multiple Movement Patterns From a Single N,no-oa-candidate
10.1016/0006-8993(87)91442-9,rec1F20efUKE33q3J,Recovery of locomotion after chronic spinalization in the adult cat,no-oa-candidate
10.1162/08997660360675053,rec1G5Z6VrjN33zdK,Rate Models for Conductance-Based Cortical Neuronal Networks,no-oa-candidate
10.1109/iros.2006.281802,rec1JKynLMl2Bh82A,Finding Resonance: Adaptive Frequency Oscillators for Dynamic Legged Locomotion,no-oa-candidate
10.1016/j.neunet.2024.106422,rec1Q4YaKntrUybgY,A spinal circuit model with asymmetric cervical-lumbar layout controls backward locomotion and scrat,no-oa-candidate
10.1016/0301-0082(86)90021-3,rec1fq8mn2oqPeLiQ,Supraspinal contributions to the initiation and control of locomotion in the cat.,no-oa-candidate
10.3390/ijms22031394,rec1pJjSUTKWKxPLy,Recent Insights into the Rhythmogenic Core of the Locomotor CPG.,no-verified-pdf
10.1242/jeb.244629,rec23I4Y4cASCKLX1,Hindlimb muscle spindles inform preparatory forelimb coordination prior to landing in toads,no-oa-candidate
10.1007/978-3-030-64313-3_30,rec2BZRpatIkJvjp0,A Synthetic Nervous System Model of the Insect Optomotor Response,no-oa-candidate
10.3390/s17051080,rec2FWsbPOP67VY96,Nitride-Based Materials for Flexible MEMS Tactile and Flow Sensors in Robotics,no-verified-pdf
10.1126/science.8332898,rec2LGJaT2IS5CkEM,How Fish Power Swimming,no-oa-candidate
10.1007/s00221-007-0938-8,rec2RZbu3cjgkAJvv,The effects of self-reinnervation of cat medial and lateral gastrocnemius muscles on hindlimb kinema,no-oa-candidate
10.1016/0006-8993(72)90007-8,rec2h1B7gvrjFk4I4,Activity of vestibulospinal neurons during locomotion.,no-oa-candidate
10.1113/jphysiol.2004.076307,rec2qezdCASwOpm4G,"Human postural sway results from frequent, ballistic bias impulses by soleus and gastrocnemius",no-oa-candidate
10.1016/j.asd.2004.05.002,rec2vnLEhwtLZDpnJ,Dynamic simulation of insect walking.,no-oa-candidate
10.1007/s10514-015-9509-1,rec2xw9sbTwrnAK5e,Balancing of humanoid robot using contact force/moment control by task-oriented whole body control f,no-oa-candidate
10.1007/978-3-030-64313-3_12,rec30h0ZO39QemhM4,Robotics Application of a Method for Analytically Computing Infinitesimal Phase Response Curves,no-oa-candidate
10.1016/b978-0-444-53613-6.00014-9,rec317AjMO6M6rHW7,General Principles of Rhythmogenesis in Central Pattern Generator Networks,no-oa-candidate
10.1111/j.1469-7793.2000.t01-1-00549.x,rec3BRkL2st5JzzeI,Group I disynaptic excitation of cat hindlimb flexor and bifunctional motoneurones during fictive lo,no-oa-candidate
10.1109/icsmc.2004.1400711,rec3OJDWO5tzJx5eg,Identification of human balance control in standing,no-oa-candidate
10.1016/j.engappai.2025.111811,rec3fLgtC69pKIljl,A multi-Layered neural control framework: Combining central pattern generators utilizing muscle syne,no-oa-candidate
10.3390/biomimetics7040226,rec3sCaTz2c5DZML2,Biomechanical and Sensory Feedback Regularize the Behavior of Different Locomotor Central Pattern Ge,no-verified-pdf
10.1016/s0165-0173(99)00008-9,rec3wynmDwk03ghmF,Tapping into spinal circuits to restore motor function.,no-oa-candidate
