id,title,primary,secondary,year,doi,animals,feedback,models_ref,models2,reviews,has_pdf,has_notes,notes
rec00Fih3nO6FmfNV,Emergence of natural and robust bipedal walking by learning from biologically plausible objectives,Schumacher,,2025,10.1016/j.isci.2025.112203,Human,,,Schumacher 2025,,True,False,
rec00oIejxpXTzNt9,Reorganization of spinal neural connectivity following recovery after thoracic spinal cord injury: insights from computational modelling,Shevtsova,,2025,10.1101/2025.05.17.654682,Rat,,,Shevtsova 2025,,True,True,"Rat-adapted spinal locomotor circuit models reproduce pre-injury and recovered gait after two thoracic injury types and point to distinct recovery mechanisms: lateral hemisection required functional restoration of descending drive and long propriospinal detour pathways, while midline contusion recovery relied on spared sublesional reorganization and altered supralesional cervical control."
rec01Sym3p8O4bSMn,Locomotor activity in spinal cord-injured persons,Dietz and Harkema,,2004,10.1152/japplphysiol.00942.2003,Human,,,,,True,True,"After a spinal cord injury (SCI) of the cat or rat, neuronal centers below the level of lesion exhibit plasticity that can be exploited by specific training paradigms. In individuals with complete or incomplete SCI, human spinal locomotor centers can be activated and modulated by locomotor training (facilitating stepping movements of the legs using body weight support on a treadmill to provide appropriate sensory cues). Individuals with incomplete SCI benefit from locomotor training such that they improve their ability to walk over ground. Load- or hip joint-related afferent input seems to be of crucial importance for both the generation of a locomotor pattern and the effectiveness of the training. However, it may be a critical combination of afferent signals that is needed to generate a locomotor pattern after severe SCI. Mobility of individuals after a SCI can be improved by taking advantage of the plasticity of the central nervous system and can be maintained with persistent locomotor activity. In the future, if regeneration approaches can successfully be applied in human SCI, even individuals with complete SCI may recover walking ability with locomotor training."
rec07rEXnl9YiWRNO,The neural control of interlimb coordination during mammalian locomotion.,Frigon,,2017,10.1152/jn.00978.2016,,,,,,True,False,
rec0FmHD8UXVun1zN,A sensory signal related to left-right symmetry modulates intra- and interlimb cutaneous reflexes during locomotion in intact cats,Mari et al.,,2023,10.3389/fnsys.2023.1199079,Cat,Cutaneous stance modification,,,,True,True,"A sensory signal related to left-right symmetry modulates intra- and interlimb cutaneous reflexes during locomotion in intact cats, extending the split-belt symmetry findings to intact walking."
rec0JhHJw5aw4I0WQ,Emergent synchrony in locally coupled neural oscillators,Wang,,1995,10.1109/72.392256,,,,Wang 1995,,False,True,"Computational model study. Many neural models thus proposed end up relying on global connections, leading to the question of whether lateral connections alone can produce remote synchronization."
rec0NooJ72wQsrPsZ,Biomechanics of fast-start swimming in fish,Wakeling,,2001,10.1016/s1095-6433(01)00461-5,Human,,,,Wakeling 2001,False,True,"Review of biomechanics fast-start swimming fish. However, close examination reveals that propulsion occurs even during the initial phase of body bending."
rec0Y7IJ9rNh4reiU,Flexor reflex afferents reset the step cycle during fictive locomotion in the cat,Schomburg,Petersen; Barajon; Hultborn,1998,10.1007/s002210050522,,,,,,False,False,
rec0YUoteW4d5T1HL,An Assessment of Six Muscle Spindle Models for Predicting Sensory Information during Human Wrist Movements,Malik,,2016,10.3389/fncom.2015.00154,Human,,,Malik 2016,,True,True,"Computational model study. Jones kejones@ualberta.ca Received: 27 April 2015 Accepted: 21 December 2015 Published: 14 January 2016 Citation: Malik P , Jabakhanji N and Jones KE (2016) An Assessment of Six Muscle Spindle Models for Predicting Sensory Information during Human Wrist Movements."
rec0Z7X0ms5uDDukg,"Secondary endings of muscle spindles: Structure, reflex action, role in motor control and proprioception",Banks,,2021,10.1113/ep089826,Human,,,,Banks 2021,False,True,"Review of secondary endings muscle spindles: structure, reflex action,. There are two types of sensory endings, primary and secondary, with differing development, morphology, distribution and responsiveness."
rec0ZhpvZiz4FURmL,"Forms of Forward Quadrupedal Locomotion. III. A Comparison of Posture, Hindlimb Kinematics, and Motor Patterns for Downslope and Level Walking",Smith,Carlson-Kuhta; Trank,,10.1152/jn.1998.79.4.1702,,,,,,False,False,
rec0cO6C6sIY1QqTD,Neural control of locomotion: sensory control of the central pattern generator and its relation to treadmill training,Van de Crommert,Mulder; Duysens,1998,10.1016/s0966-6362(98)00010-1,,,,,,True,False,
rec0gOKQ1VhT9Gdjz,Estimation of musculoskeletal models from in situ measurements of muscle action in the rat hindlimb,Yeo,,2011,10.1242/jeb.049163,Rat,,,Yeo 2011,,False,True,"Computational model study. In many cases these peripheral systems have been shown to simplify neural control or make natural behaviors more efficient (Nishikawa et al., 2007; Pfeifer et al., 2007; Valero-Cuevas et al., 2007b)."
rec0k5AJjSxNrEexP,RHYTHMIC PATTERNS IN THE THORACIC NERVE CORD OF THE STICK INSECT INDUCED BY PILOCARPINE,Büschges,Schmitz; Bässler,1995,10.1242/jeb.198.2.435,Stick Insect,,,,,True,True,Vivisection of stick insects
rec0llKB0yUSgmBMM,Automatic body regulation for maintaining stability of a legged vehicle during rough-terrain locomotion,Messuri,,1985,10.1109/jra.1985.1087012,,,,,,False,False,
rec0q70q4u7BD0dFE,Synchronization dynamics of two coupled neural oscillators receiving shared and unshared noisy stimuli,Ly,,2009,10.1007/s10827-008-0120-8,,,,,,False,False,
rec0vkpo5bMCA2P9n,Bipedal walk using a Central Pattern Generator,Inada,,2004,10.1016/j.ics.2004.05.129,,,,,,False,False,
rec0yvmhmcGcqScMI,Ia afferent activity during a variety of voluntary movements in the cat,Prochazka,,1977,10.1113/jphysiol.1977.sp011864,Cat,,,,,False,False,
rec18biwcKDeZu794,Identification of the Plant for Upright Stance in Humans: Multiple Movement Patterns From a Single Neural Strategy,Kiemel,,2008,10.1152/jn.01272.2007,Human,,,Kiemel 2008,,False,True,"Computational model study. Because EMG signals from ankle muscles and from hip and lower trunk muscles showed similar responses to the visual perturbation across frequency, we combined EMG signals from all recorded muscles into a single plant input."
rec1F20efUKE33q3J,Recovery of locomotion after chronic spinalization in the adult cat,Barbeau and Rossignol,,1987,10.1016/0006-8993(87)91442-9,Cat,,,,,False,True,"Adult cats spinalized at T13 recover plantar weight-bearing treadmill walking after weeks to months of interactive training, with cycle duration, stance/swing timing, joint coupling, and hindlimb EMG resembling intact cats at comparable speeds — establishing the chronic spinal cat as the standard model for testing how training, drugs, and other treatments influence locomotor recovery below the lesion."
